,event,eta,phi,PT,jmass,ntrk,btag,hadem
0,25,-1.548,3.039,1050.67,0.11,1.0,3.0,1053.15
1,31,-0.195,0.423,1413.39,0.11,1.0,3.0,1420.03
2,36,-0.448,0.56,154.98,0.11,1.0,4.0,156.02
3,45,-0.148,0.062,926.99,0.11,1.0,5.0,931.0
4,50,0.385,-0.801,1281.38,0.11,1.0,5.0,1283.0
5,58,0.6,2.589,468.6,0.11,1.0,7.0,470.0
6,65,0.295,-3.054,983.64,0.11,1.0,10.0,989.0
7,74,-0.629,3.037,1569.39,0.11,-1.0,4.0,1571.0
8,75,0.941,-3.092,691.55,0.11,-1.0,3.0,696.01
9,86,-0.045,2.321,1199.0,0.11,1.0,5.0,1199.05
10,91,-0.887,-1.571,471.4,0.11,1.0,7.0,491.14
11,95,-0.513,2.316,660.23,0.11,1.0,3.0,661.0
12,95,-0.573,-0.155,88.14,0.11,1.0,8.0,88.04
13,101,-0.7,0.35,2769.47,0.11,-1.0,4.0,2775.0
14,103,0.171,-0.546,1367.4,0.11,1.0,6.0,1369.0
15,104,-0.621,-0.757,1173.41,0.11,1.0,4.0,1173.0
16,107,0.65,-0.362,1083.5,0.11,1.0,4.0,1083.01
17,108,0.719,-1.562,35.15,0.11,1.0,6.0,35.09
18,109,-0.589,-3.073,1025.91,0.11,1.0,5.0,1026.0
19,110,0.539,2.4,20.48,0.11,-1.0,7.0,22.05
20,115,0.872,-2.197,105.71,0.11,-1.0,5.0,115.21
21,118,-0.912,-2.583,561.12,0.11,1.0,3.0,617.17
22,134,0.997,-2.371,711.74,0.11,1.0,6.0,712.01
23,134,1.525,2.509,79.91,0.11,1.0,5.0,81.01
24,140,-0.292,-0.558,1030.12,0.11,-1.0,9.0,1278.0
25,140,-0.349,-0.705,247.32,0.11,1.0,9.0,1278.0
26,141,-1.214,2.803,515.74,0.11,1.0,8.0,517.0
27,144,-0.039,-0.271,713.73,0.11,1.0,4.0,714.0
28,145,-0.015,-1.191,1968.55,0.11,1.0,5.0,1969.0
29,145,-0.348,-3.046,530.79,0.11,-1.0,4.0,531.0
30,146,-0.971,1.105,730.54,0.11,1.0,9.0,744.03
31,153,0.948,1.095,207.0,0.11,1.0,5.0,207.0
32,169,-1.569,-2.672,1499.83,0.11,1.0,6.0,1502.0
33,169,-0.218,-3.135,16.93,0.11,1.0,6.0,17.0
34,178,0.345,-0.099,3410.54,0.11,1.0,4.0,3429.01
35,180,-0.017,-0.238,4136.27,0.11,1.0,4.0,4136.0
36,189,1.481,0.417,40.99,0.11,1.0,5.0,43.0
37,190,1.382,-2.09,613.86,0.11,-1.0,5.0,614.0
38,195,0.317,-1.548,736.47,0.11,-1.0,6.0,768.06
39,209,-0.937,2.714,122.13,0.11,1.0,4.0,122.03
40,211,0.036,-0.374,1055.93,0.11,1.0,8.0,1056.0
41,212,-0.12,-2.966,1122.12,0.11,-1.0,3.0,1122.0
42,216,0.31,-1.386,291.48,0.11,1.0,7.0,291.02
43,217,-0.969,3.004,454.65,0.11,1.0,7.0,455.0
44,245,0.446,2.603,885.74,0.11,-1.0,4.0,886.0
45,252,0.164,0.864,666.92,0.11,1.0,12.0,667.0
46,263,0.496,1.614,457.94,0.11,1.0,3.0,458.0
47,288,0.635,0.166,1611.32,0.11,-1.0,9.0,1611.0
48,296,-0.796,0.881,75.42,0.11,1.0,5.0,78.04
49,298,0.241,0.779,280.17,0.11,-1.0,8.0,280.0
50,299,1.095,-0.7,1628.03,0.11,-1.0,3.0,1628.0
51,301,0.913,-1.036,415.72,0.11,1.0,9.0,416.0
52,311,0.59,0.354,880.11,0.11,1.0,4.0,880.0
53,321,-0.546,-1.112,741.52,0.11,1.0,10.0,859.21
54,325,1.624,2.489,70.63,0.11,1.0,4.0,71.0
55,342,0.818,2.472,3207.29,0.11,1.0,3.0,3209.0
56,361,0.582,-1.818,314.48,0.11,1.0,4.0,316.0
57,368,0.742,-1.919,2326.05,0.11,1.0,7.0,2331.0
58,371,-0.762,-1.732,51.32,0.11,1.0,6.0,53.0
59,372,-1.367,-1.232,21.73,0.11,1.0,4.0,22.0
60,373,-0.095,0.717,407.4,0.11,1.0,4.0,408.0
61,374,-1.465,1.479,996.2,0.11,1.0,5.0,999.0
62,391,0.579,-0.681,188.86,0.11,1.0,5.0,390.99
63,397,1.523,-0.334,1111.27,0.11,-1.0,8.0,1111.0
64,405,0.628,1.933,1540.61,0.11,-1.0,5.0,1542.01
