,event,eta,phi,PT,jmass,ntrk,btag,hadem
0,5,-1.436,2.324,58.0,0.0,-1.0,0.0,0.0
1,9,0.501,2.152,83.99,0.0,-1.0,0.0,0.0
2,13,-0.367,0.985,121.6,0.0,-1.0,0.0,0.0
3,16,1.264,3.126,124.5,0.0,1.0,0.0,0.0
4,23,-0.87,1.193,25.23,0.0,1.0,0.0,0.0
5,26,-1.23,-2.699,69.98,0.0,1.0,0.0,0.0
6,28,-0.303,0.937,105.21,0.0,1.0,0.0,0.0
7,29,0.02,-3.032,108.63,0.0,-1.0,0.0,0.0
8,30,-0.39,-2.27,47.22,0.0,1.0,0.0,0.0
9,30,1.886,0.597,46.34,0.0,-1.0,0.0,0.0
10,39,0.179,-1.101,21.35,0.0,1.0,0.0,0.0
11,43,0.463,2.438,58.33,0.0,1.0,0.0,0.0
12,48,-1.959,-0.926,22.25,0.0,1.0,0.0,0.0
13,52,-1.437,-2.484,60.31,0.0,1.0,0.0,0.0
14,62,-0.9,-1.521,59.24,0.0,1.0,0.0,0.0
15,63,1.099,0.795,65.88,0.0,1.0,0.0,0.0
16,67,-0.095,-2.55,73.13,0.0,-1.0,0.0,0.0
17,69,0.735,-2.601,70.69,0.0,1.0,0.0,0.0
18,73,-0.049,2.044,116.18,0.0,-1.0,0.0,0.0
19,75,0.843,-1.439,76.77,0.0,1.0,0.0,0.0
20,80,-0.242,0.311,61.74,0.0,-1.0,0.0,0.0
21,83,-1.159,1.106,38.82,0.0,-1.0,0.0,0.0
22,97,1.326,-2.212,24.19,0.0,1.0,0.0,0.0
23,111,1.423,-1.443,73.27,0.0,1.0,0.0,0.0
24,115,-0.432,-2.535,48.43,0.0,-1.0,0.0,0.0
25,118,0.147,2.021,33.32,0.0,-1.0,0.0,0.0
26,121,-0.448,-0.715,90.25,0.0,-1.0,0.0,0.0
27,134,2.094,-1.508,50.37,0.0,1.0,0.0,0.0
28,136,-0.496,0.773,54.73,0.0,1.0,0.0,0.0
29,137,1.477,-2.145,73.95,0.0,1.0,0.0,0.0
30,160,-0.791,-0.675,71.08,0.0,1.0,0.0,0.0
31,177,-1.156,1.363,65.08,0.0,1.0,0.0,0.0
32,181,0.475,1.443,82.21,0.0,1.0,0.0,0.0
33,187,-2.474,2.34,50.6,0.0,-1.0,0.0,0.0
34,192,-1.445,2.205,31.57,0.0,-1.0,0.0,0.0
35,201,-1.648,2.575,53.54,0.0,-1.0,0.0,0.0
36,206,-0.418,2.841,27.7,0.0,1.0,0.0,0.0
37,219,-0.441,-2.218,39.96,0.0,-1.0,0.0,0.0
38,227,2.032,0.665,45.47,0.0,1.0,0.0,0.0
39,228,-1.109,2.106,22.68,0.0,-1.0,0.0,0.0
40,232,-1.598,2.0,30.0,0.0,1.0,0.0,0.0
41,241,-0.535,3.08,108.93,0.0,1.0,0.0,0.0
42,243,2.192,1.56,36.6,0.0,-1.0,0.0,0.0
43,259,-2.054,-2.623,80.88,0.0,-1.0,0.0,0.0
44,261,-0.211,-1.542,73.68,0.0,-1.0,0.0,0.0
45,266,-0.609,-1.412,88.97,0.0,1.0,0.0,0.0
46,268,-0.364,0.904,53.94,0.0,-1.0,0.0,0.0
47,276,-1.252,-1.952,122.32,0.0,1.0,0.0,0.0
48,279,-0.684,2.209,62.52,0.0,1.0,0.0,0.0
49,280,0.577,1.96,44.96,0.0,-1.0,0.0,0.0
50,286,-0.05,-1.453,22.51,0.0,-1.0,0.0,0.0
51,287,0.783,-2.485,90.32,0.0,-1.0,0.0,0.0
52,294,0.259,-1.242,67.3,0.0,1.0,0.0,0.0
53,302,0.474,0.674,49.15,0.0,1.0,0.0,0.0
54,302,0.816,-1.825,13.94,0.0,-1.0,0.0,0.0
55,333,-0.591,1.295,69.65,0.0,1.0,0.0,0.0
56,335,1.336,2.525,91.76,0.0,-1.0,0.0,0.0
57,339,0.11,-1.349,100.1,0.0,-1.0,0.0,0.0
58,339,0.141,2.057,77.09,0.0,1.0,0.0,0.0
59,346,1.183,3.05,71.49,0.0,1.0,0.0,0.0
60,368,-0.562,1.671,53.31,0.0,1.0,0.0,0.0
61,382,0.028,1.548,22.09,0.0,1.0,0.0,0.0
62,386,0.378,-1.052,105.63,0.0,1.0,0.0,0.0
63,392,-0.943,-1.746,93.78,0.0,1.0,0.0,0.0
64,396,-1.411,-1.704,23.81,0.0,-1.0,0.0,0.0
65,402,-0.762,0.609,10.22,0.0,-1.0,0.0,0.0
66,438,1.075,0.43,60.5,0.0,1.0,0.0,0.0
67,456,1.122,-0.719,62.39,0.0,-1.0,0.0,0.0
68,477,1.188,-0.773,43.08,0.0,1.0,0.0,0.0
69,486,-0.166,0.21,22.96,0.0,1.0,0.0,0.0
70,496,0.197,-0.095,28.79,0.0,-1.0,0.0,0.0
71,509,-0.225,-0.436,57.78,0.0,-1.0,0.0,0.0
72,517,-1.323,0.831,37.46,0.0,-1.0,0.0,0.0
73,525,2.101,-2.215,40.35,0.0,1.0,0.0,0.0
74,538,0.942,-1.145,22.72,0.0,-1.0,0.0,0.0
75,544,-1.725,0.995,141.03,0.0,-1.0,0.0,0.0
76,545,0.026,-2.859,41.55,0.0,1.0,0.0,0.0
