,event,eta,phi,PT,jmass,ntrk,btag,hadem
0,3,-0.106,-0.064,21.16,0.11,1.0,2.0,22.0
1,4,-0.965,1.23,27.31,0.11,1.0,4.0,31.19
2,11,0.504,-1.149,15.7,0.11,1.0,5.0,65.99
3,15,0.608,-2.452,31.95,0.11,1.0,5.0,32.0
4,21,-1.386,-0.043,78.73,0.11,1.0,3.0,79.01
5,22,-0.155,-0.797,41.49,0.11,-1.0,2.0,42.03
6,49,0.559,2.352,62.03,0.11,-1.0,3.0,62.0
7,59,-1.339,-2.384,32.26,0.11,-1.0,4.0,34.0
8,68,0.463,0.525,25.4,0.11,1.0,3.0,25.0
9,85,0.809,2.676,26.79,0.11,1.0,4.0,27.0
10,89,0.803,-2.089,276.83,0.11,1.0,3.0,286.03
11,92,1.335,-1.308,29.54,0.11,1.0,3.0,30.04
12,94,0.053,-1.868,93.82,0.11,-1.0,3.0,98.04
13,103,0.425,2.412,72.75,0.11,1.0,5.0,73.0
14,106,0.059,2.704,48.69,0.11,-1.0,4.0,49.04
15,124,-0.436,0.269,20.08,0.11,1.0,5.0,21.15
16,126,1.827,0.342,143.69,0.11,-1.0,4.0,149.14
17,127,0.594,-2.882,61.68,0.11,1.0,4.0,62.0
18,128,-2.038,3.065,65.72,0.11,-1.0,5.0,66.01
19,130,-1.464,-2.289,33.21,0.11,1.0,3.0,33.0
20,145,-0.846,-0.697,31.57,0.11,1.0,5.0,33.0
21,147,-0.716,0.425,19.73,0.11,1.0,2.0,20.0
22,148,1.067,-1.784,14.93,0.11,-1.0,5.0,16.0
23,153,0.473,-0.904,194.54,0.11,1.0,5.0,196.0
24,153,-0.044,1.061,20.83,0.11,-1.0,3.0,21.0
25,155,0.58,2.665,14.07,0.11,1.0,5.0,14.0
26,159,-1.813,-1.212,75.34,0.11,-1.0,5.0,75.03
27,165,-2.183,0.986,80.21,0.11,-1.0,3.0,80.0
28,172,1.594,1.934,28.92,0.11,1.0,2.0,32.17
29,183,1.126,0.033,21.38,0.11,-1.0,4.0,23.0
30,203,-1.913,-2.795,65.59,0.11,-1.0,5.0,67.0
31,210,0.296,-3.04,14.61,0.11,-1.0,5.0,16.0
32,210,0.828,-0.377,12.9,0.11,1.0,5.0,13.0
33,222,-0.498,2.101,41.26,0.11,1.0,2.0,41.0
34,231,0.387,1.048,83.9,0.11,-1.0,4.0,90.0
35,245,1.537,0.514,74.3,0.11,-1.0,3.0,75.01
36,247,-1.013,0.209,21.41,0.11,-1.0,4.0,23.13
37,254,-0.019,-0.36,37.89,0.11,-1.0,6.0,38.0
38,260,1.4,-2.368,30.98,0.11,-1.0,3.0,31.0
39,265,-1.036,0.587,67.65,0.11,1.0,4.0,68.01
40,266,0.143,2.067,28.5,0.11,-1.0,3.0,34.04
41,273,-0.515,0.073,28.97,0.11,1.0,5.0,30.04
42,288,1.985,0.8,28.81,0.11,-1.0,3.0,29.02
43,298,1.461,2.434,43.2,0.11,-1.0,5.0,48.13
44,306,-0.851,-1.73,66.79,0.11,-1.0,4.0,67.06
45,312,-0.505,0.674,31.46,0.11,-1.0,4.0,31.0
46,313,0.776,1.03,22.82,0.11,-1.0,2.0,23.0
47,331,-0.762,-0.825,45.85,0.11,-1.0,3.0,46.0
48,332,-0.465,-1.185,28.02,0.11,1.0,2.0,29.0
49,347,2.292,-2.52,24.41,0.11,1.0,4.0,24.04
50,348,0.644,0.33,50.1,0.11,1.0,6.0,50.0
51,360,-0.942,2.019,108.79,0.11,1.0,4.0,115.06
52,361,-1.46,2.697,40.18,0.11,-1.0,3.0,40.0
53,363,-0.744,-1.959,44.1,0.11,1.0,3.0,44.0
54,374,1.418,-0.591,58.72,0.11,1.0,3.0,59.0
55,381,-0.464,-1.567,85.53,0.11,1.0,8.0,86.0
56,387,0.048,-0.207,47.99,0.11,1.0,3.0,48.07
57,393,-2.282,-2.57,39.95,0.11,-1.0,3.0,40.1
58,395,0.218,-1.837,68.24,0.11,1.0,5.0,68.0
59,399,-1.6,2.781,16.07,0.11,-1.0,2.0,16.0
60,400,0.113,0.0,25.22,0.11,1.0,3.0,30.05
61,410,1.08,-1.072,28.1,0.11,-1.0,3.0,28.0
62,415,1.306,-0.077,20.46,0.11,1.0,4.0,21.05
63,420,-0.046,-1.137,44.28,0.11,1.0,2.0,51.17
64,421,1.277,1.561,59.98,0.11,-1.0,3.0,63.02
65,428,0.134,-0.747,65.71,0.11,-1.0,3.0,67.04
66,429,1.2,-2.92,36.22,0.11,-1.0,3.0,38.0
67,435,1.994,2.278,36.87,0.11,1.0,5.0,37.06
68,437,-1.769,-2.646,41.02,0.11,-1.0,5.0,41.12
69,442,1.178,-2.745,15.98,0.11,1.0,2.0,16.0
70,445,-1.187,-2.052,18.24,0.11,1.0,5.0,18.0
71,468,-0.467,0.858,36.74,0.11,-1.0,4.0,37.06
72,473,1.661,1.896,39.99,0.11,-1.0,3.0,40.0
73,479,1.168,-0.864,33.52,0.11,-1.0,2.0,34.04
74,485,-2.069,-1.384,48.82,0.11,1.0,6.0,49.12
75,490,1.764,-2.183,43.92,0.11,-1.0,5.0,44.02
76,499,0.609,1.287,222.33,0.11,1.0,7.0,222.01
77,504,-2.254,2.069,55.82,0.11,1.0,3.0,56.0
78,514,2.299,1.28,37.78,0.11,-1.0,4.0,38.0
79,521,-1.93,-2.757,117.95,0.11,1.0,3.0,119.03
80,525,1.238,-0.825,22.02,0.11,-1.0,3.0,22.0
