,event,eta,phi,PT,jmass,ntrk,btag,hadem
0,11,0.023,-2.118,29.44,0.0,0.0,0.0,0.0
1,11,0.871,-1.737,11.94,0.0,0.0,0.0,0.0
2,69,-0.605,-0.84,24.87,0.0,0.0,0.0,0.0
3,142,1.52,1.912,78.91,0.0,0.0,0.0,0.0
4,152,-0.836,-2.136,15.64,0.0,0.0,0.0,0.0
5,158,0.06,-2.209,37.82,0.0,0.0,0.0,0.0
6,165,-0.569,-2.591,18.07,0.0,0.0,0.0,0.0
7,167,-1.88,-2.8,85.89,0.0,0.0,0.0,0.0
8,188,1.597,1.251,68.09,0.0,0.0,0.0,0.0
9,197,-0.469,3.065,11.05,0.0,0.0,0.0,0.0
10,229,0.555,2.526,43.64,0.0,0.0,0.0,0.0
11,275,-1.455,2.398,11.66,0.0,0.0,0.0,0.0
12,280,0.209,-2.515,19.38,0.0,0.0,0.0,0.0
13,289,-0.164,2.453,56.74,0.0,0.0,0.0,0.0
14,335,-1.251,0.588,41.75,0.0,0.0,0.0,0.0
15,425,1.677,-1.212,49.46,0.0,0.0,0.0,0.0
16,450,1.219,0.592,26.14,0.0,0.0,0.0,0.0
17,470,-0.343,1.759,118.63,0.0,0.0,0.0,0.0
18,494,-0.16,-1.01,16.75,0.0,0.0,0.0,0.0
19,548,-2.053,1.414,27.58,0.0,0.0,0.0,0.0
20,564,-0.152,-0.367,39.04,0.0,0.0,0.0,0.0
21,565,-0.127,-0.581,20.71,0.0,0.0,0.0,0.0
22,651,-2.039,-0.573,14.57,0.0,0.0,0.0,0.0
23,735,1.22,3.078,53.97,0.0,0.0,0.0,0.0
24,779,-0.571,0.947,33.02,0.0,0.0,0.0,0.0
25,786,0.287,1.86,31.72,0.0,0.0,0.0,0.0
26,816,-1.968,-2.447,117.36,0.0,0.0,0.0,0.0
27,825,-1.793,-1.774,25.66,0.0,0.0,0.0,0.0
28,829,0.491,-2.254,21.97,0.0,0.0,0.0,0.0
29,839,0.665,0.139,44.0,0.0,0.0,0.0,0.0
30,886,0.318,-0.995,15.77,0.0,0.0,0.0,0.0
31,896,-0.895,2.404,81.0,0.0,0.0,0.0,0.0
32,902,-1.008,2.347,21.26,0.0,0.0,0.0,0.0
33,942,1.09,1.561,10.47,0.0,0.0,0.0,0.0
34,943,-1.306,-0.04,45.69,0.0,0.0,0.0,0.0
