,event,eta,phi,PT,jmass,ntrk,btag,hadem
0,0,2.114,1.25,10.13,0.0,1.0,0.0,0.0
1,1,-2.271,2.86,28.16,0.0,1.0,0.0,0.0
2,15,-1.485,2.667,29.68,0.0,1.0,0.0,0.0
3,28,1.139,2.224,77.85,0.0,-1.0,0.0,0.0
4,32,0.115,-0.198,125.69,0.0,-1.0,0.0,0.0
5,32,-2.259,-1.52,34.71,0.0,1.0,0.0,0.0
6,32,-0.839,-3.042,34.4,0.0,-1.0,0.0,0.0
7,34,-0.971,-1.303,125.07,0.0,-1.0,0.0,0.0
8,39,1.258,-2.261,39.48,0.0,1.0,0.0,0.0
9,40,0.896,-2.103,47.58,0.0,-1.0,0.0,0.0
10,46,1.664,1.734,76.42,0.0,-1.0,0.0,0.0
11,46,2.087,-1.875,42.1,0.0,-1.0,0.0,0.0
12,60,-2.236,2.038,35.18,0.0,1.0,0.0,0.0
13,61,1.004,-2.285,84.06,0.0,1.0,0.0,0.0
14,65,-1.927,0.64,23.33,0.0,-1.0,0.0,0.0
15,77,0.951,1.087,109.15,0.0,1.0,0.0,0.0
16,82,-1.999,2.956,120.75,0.0,1.0,0.0,0.0
17,84,1.135,2.975,22.72,0.0,1.0,0.0,0.0
18,86,1.086,0.734,167.5,0.0,1.0,0.0,0.0
19,89,0.192,-3.06,246.75,0.0,-1.0,0.0,0.0
20,89,-1.701,0.861,141.51,0.0,1.0,0.0,0.0
21,112,-1.909,2.495,46.42,0.0,-1.0,0.0,0.0
22,113,-1.046,-1.284,42.25,0.0,1.0,0.0,0.0
23,118,2.434,-1.14,24.31,0.0,-1.0,0.0,0.0
24,120,1.044,-1.016,132.89,0.0,-1.0,0.0,0.0
25,139,-0.9,-3.091,123.82,0.0,1.0,0.0,0.0
26,141,1.109,-2.766,44.97,0.0,-1.0,0.0,0.0
27,142,1.939,1.031,22.81,0.0,-1.0,0.0,0.0
28,146,1.801,-1.344,113.04,0.0,1.0,0.0,0.0
29,160,-1.027,-2.279,43.88,0.0,1.0,0.0,0.0
30,171,-0.615,-1.759,210.49,0.0,1.0,0.0,0.0
31,180,-1.23,-2.163,114.58,0.0,-1.0,0.0,0.0
32,198,1.584,1.388,131.96,0.0,-1.0,0.0,0.0
33,198,2.087,-1.776,36.64,0.0,-1.0,0.0,0.0
34,203,1.441,2.73,87.59,0.0,-1.0,0.0,0.0
35,207,-1.153,0.924,32.84,0.0,-1.0,0.0,0.0
36,208,-0.113,-1.294,124.33,0.0,-1.0,0.0,0.0
37,209,1.28,3.107,152.27,0.0,1.0,0.0,0.0
38,210,-1.743,1.891,68.44,0.0,1.0,0.0,0.0
39,213,-0.765,-1.465,188.27,0.0,1.0,0.0,0.0
40,225,0.446,-0.356,321.25,0.0,1.0,0.0,0.0
41,232,-1.479,1.566,37.95,0.0,-1.0,0.0,0.0
42,235,0.823,-3.125,93.59,0.0,-1.0,0.0,0.0
43,241,1.351,-0.121,19.53,0.0,-1.0,0.0,0.0
44,251,0.897,2.492,80.65,0.0,1.0,0.0,0.0
45,254,-1.743,1.031,92.39,0.0,1.0,0.0,0.0
46,273,1.551,-2.981,70.11,0.0,1.0,0.0,0.0
47,276,-1.578,-1.544,157.64,0.0,1.0,0.0,0.0
48,279,2.006,1.21,57.87,0.0,1.0,0.0,0.0
49,293,-1.682,2.273,56.85,0.0,1.0,0.0,0.0
50,299,1.388,-2.826,114.72,0.0,-1.0,0.0,0.0
51,322,1.807,2.044,27.93,0.0,1.0,0.0,0.0
52,327,-1.349,1.273,109.28,0.0,-1.0,0.0,0.0
53,347,1.118,-0.92,33.92,0.0,-1.0,0.0,0.0
54,347,1.447,-2.215,18.96,0.0,1.0,0.0,0.0
55,353,-1.73,-0.571,12.1,0.0,1.0,0.0,0.0
56,355,1.776,1.523,30.98,0.0,-1.0,0.0,0.0
57,373,1.1,0.766,275.98,0.0,1.0,0.0,0.0
58,385,-2.212,-1.922,12.29,0.0,1.0,0.0,0.0
59,388,-1.036,0.501,68.1,0.0,1.0,0.0,0.0
60,391,-1.73,-2.251,40.8,0.0,-1.0,0.0,0.0
61,395,-1.494,0.494,48.89,0.0,-1.0,0.0,0.0
62,397,0.983,2.764,145.62,0.0,1.0,0.0,0.0
63,401,-1.23,0.878,25.92,0.0,-1.0,0.0,0.0
64,404,-1.07,2.074,50.3,0.0,1.0,0.0,0.0
65,423,-1.104,-1.037,81.66,0.0,-1.0,0.0,0.0
66,426,2.377,0.619,10.27,0.0,1.0,0.0,0.0
67,428,-0.316,-2.189,85.44,0.0,1.0,0.0,0.0
68,431,1.561,-1.991,183.84,0.0,1.0,0.0,0.0
69,431,0.359,0.324,149.15,0.0,1.0,0.0,0.0
70,433,1.62,-1.811,128.97,0.0,-1.0,0.0,0.0
71,438,0.931,1.449,30.69,0.0,-1.0,0.0,0.0
72,438,0.83,1.488,19.48,0.0,1.0,0.0,0.0
73,447,-1.171,-2.946,84.25,0.0,-1.0,0.0,0.0
74,451,2.053,-0.945,101.01,0.0,1.0,0.0,0.0
75,456,1.807,-2.125,38.67,0.0,-1.0,0.0,0.0
76,458,-0.69,-0.238,86.9,0.0,-1.0,0.0,0.0
77,465,2.112,1.56,47.48,0.0,1.0,0.0,0.0
78,469,1.67,-1.777,52.87,0.0,1.0,0.0,0.0
79,486,1.127,-2.371,16.82,0.0,1.0,0.0,0.0
80,500,1.147,0.637,96.12,0.0,1.0,0.0,0.0
81,503,-1.207,2.971,34.37,0.0,-1.0,0.0,0.0
82,506,0.331,1.81,155.98,0.0,-1.0,0.0,0.0
83,507,-1.625,2.374,60.88,0.0,1.0,0.0,0.0
84,508,2.064,-1.082,129.22,0.0,1.0,0.0,0.0
85,508,2.192,0.937,23.04,0.0,-1.0,0.0,0.0
86,515,1.931,-0.588,31.7,0.0,1.0,0.0,0.0
87,534,0.72,-2.383,34.9,0.0,1.0,0.0,0.0
88,535,1.007,2.915,184.97,0.0,1.0,0.0,0.0
89,537,0.015,1.484,143.42,0.0,1.0,0.0,0.0
90,541,1.769,1.469,20.54,0.0,-1.0,0.0,0.0
91,547,2.451,-2.48,21.47,0.0,-1.0,0.0,0.0
92,555,-0.887,2.087,161.06,0.0,1.0,0.0,0.0
93,569,1.619,0.066,14.4,0.0,1.0,0.0,0.0
94,575,-1.132,0.077,131.6,0.0,1.0,0.0,0.0
95,581,1.864,2.268,32.38,0.0,-1.0,0.0,0.0
96,585,2.117,1.294,14.25,0.0,1.0,0.0,0.0
97,588,2.202,3.124,10.88,0.0,-1.0,0.0,0.0
98,602,1.103,0.124,117.45,0.0,1.0,0.0,0.0
99,617,2.499,1.482,65.25,0.0,1.0,0.0,0.0
100,622,-1.507,0.404,34.9,0.0,1.0,0.0,0.0
101,624,1.334,-1.044,118.03,0.0,-1.0,0.0,0.0
102,626,-0.82,0.438,302.86,0.0,-1.0,0.0,0.0
103,630,-2.408,-0.477,26.03,0.0,-1.0,0.0,0.0
104,637,-1.202,-1.008,32.32,0.0,-1.0,0.0,0.0
105,639,2.172,1.688,45.76,0.0,1.0,0.0,0.0
106,641,1.035,0.142,63.9,0.0,1.0,0.0,0.0
107,648,1.684,-0.814,45.91,0.0,-1.0,0.0,0.0
108,658,-1.945,2.543,25.84,0.0,-1.0,0.0,0.0
109,673,-1.35,1.43,88.25,0.0,1.0,0.0,0.0
110,682,-1.515,3.036,11.44,0.0,-1.0,0.0,0.0
111,702,-1.457,-0.074,39.04,0.0,1.0,0.0,0.0
112,707,0.039,-2.223,126.76,0.0,-1.0,0.0,0.0
113,724,-0.728,-2.674,106.28,0.0,-1.0,0.0,0.0
114,728,-1.936,3.088,35.63,0.0,1.0,0.0,0.0
115,733,-2.191,0.245,65.32,0.0,-1.0,0.0,0.0
116,733,-2.266,-1.722,16.1,0.0,1.0,0.0,0.0
117,752,2.138,-0.158,18.35,0.0,-1.0,0.0,0.0
118,754,-0.656,-2.185,155.0,0.0,-1.0,0.0,0.0
119,754,2.37,-2.935,60.94,0.0,-1.0,0.0,0.0
120,755,0.098,2.776,96.61,0.0,-1.0,0.0,0.0
121,770,2.397,0.648,35.49,0.0,1.0,0.0,0.0
122,778,-0.299,-3.108,112.7,0.0,1.0,0.0,0.0
123,778,-0.302,2.328,27.34,0.0,-1.0,0.0,0.0
124,797,-0.595,-2.324,133.6,0.0,-1.0,0.0,0.0
125,805,-1.431,-0.008,123.41,0.0,1.0,0.0,0.0
126,806,-1.534,-0.769,25.83,0.0,1.0,0.0,0.0
127,807,-1.565,-1.256,47.28,0.0,1.0,0.0,0.0
128,808,1.799,-2.129,115.0,0.0,-1.0,0.0,0.0
129,817,1.276,-1.919,187.44,0.0,1.0,0.0,0.0
130,820,-1.449,-1.181,28.7,0.0,-1.0,0.0,0.0
131,826,1.454,-1.949,72.12,0.0,-1.0,0.0,0.0
132,836,-0.617,0.284,49.21,0.0,1.0,0.0,0.0
133,840,-1.329,0.685,373.69,0.0,1.0,0.0,0.0
134,852,0.234,2.803,166.18,0.0,1.0,0.0,0.0
135,856,-1.35,-2.85,49.35,0.0,-1.0,0.0,0.0
136,858,1.597,0.34,10.12,0.0,1.0,0.0,0.0
137,860,-1.853,-2.4,18.99,0.0,1.0,0.0,0.0
138,866,0.553,-2.068,86.25,0.0,-1.0,0.0,0.0
139,866,-2.436,-2.781,12.27,0.0,1.0,0.0,0.0
140,868,0.888,-0.874,158.96,0.0,-1.0,0.0,0.0
141,871,1.701,-2.34,84.34,0.0,1.0,0.0,0.0
142,872,-1.516,2.887,33.53,0.0,-1.0,0.0,0.0
143,876,0.817,-0.062,83.24,0.0,-1.0,0.0,0.0
144,876,1.09,-0.063,25.5,0.0,1.0,0.0,0.0
145,887,-1.597,2.608,37.26,0.0,1.0,0.0,0.0
146,890,1.119,1.067,65.48,0.0,-1.0,0.0,0.0
147,890,1.013,1.936,32.08,0.0,-1.0,0.0,0.0
148,896,-1.942,-2.871,82.42,0.0,1.0,0.0,0.0
149,908,1.072,0.082,32.76,0.0,-1.0,0.0,0.0
150,911,-0.928,-1.304,40.1,0.0,-1.0,0.0,0.0
151,919,-0.025,-0.605,112.31,0.0,1.0,0.0,0.0
152,919,-0.148,2.82,105.8,0.0,1.0,0.0,0.0
153,920,2.066,-3.056,25.08,0.0,1.0,0.0,0.0
154,943,-1.317,1.434,79.04,0.0,-1.0,0.0,0.0
155,946,-2.203,1.348,99.3,0.0,1.0,0.0,0.0
156,946,1.348,0.96,42.94,0.0,-1.0,0.0,0.0
157,958,1.382,1.854,130.98,0.0,-1.0,0.0,0.0
158,967,-1.807,-0.316,168.0,0.0,1.0,0.0,0.0
159,969,-2.122,-1.314,38.18,0.0,-1.0,0.0,0.0
160,974,-0.984,1.116,144.25,0.0,-1.0,0.0,0.0
161,974,1.872,0.782,27.15,0.0,-1.0,0.0,0.0
162,975,-1.823,-1.755,262.58,0.0,-1.0,0.0,0.0
163,981,1.245,-2.134,19.99,0.0,1.0,0.0,0.0
164,983,-0.92,3.082,24.82,0.0,-1.0,0.0,0.0
165,984,-1.571,0.415,26.7,0.0,1.0,0.0,0.0
166,984,2.305,2.171,19.23,0.0,-1.0,0.0,0.0
167,990,1.322,-0.832,32.29,0.0,1.0,0.0,0.0
168,992,-0.885,1.004,105.99,0.0,-1.0,0.0,0.0
169,1001,-1.081,-1.023,22.67,0.0,1.0,0.0,0.0
170,1003,-0.186,-0.496,176.53,0.0,1.0,0.0,0.0
171,1005,-2.034,-2.809,30.06,0.0,1.0,0.0,0.0
172,1012,2.067,0.809,30.37,0.0,1.0,0.0,0.0
173,1027,1.646,1.278,72.91,0.0,-1.0,0.0,0.0
174,1032,-1.149,2.992,53.51,0.0,1.0,0.0,0.0
175,1032,-1.097,2.892,42.99,0.0,1.0,0.0,0.0
176,1037,0.198,-2.151,34.31,0.0,1.0,0.0,0.0
177,1044,2.186,-1.535,24.23,0.0,-1.0,0.0,0.0
178,1045,1.661,-1.125,126.7,0.0,-1.0,0.0,0.0
