,event,eta,phi,PT,jmass,ntrk,btag,hadem
0,2,-1.425,-0.247,21.47,0.11,-1.0,20.0,26.08
1,8,1.859,0.515,40.22,0.11,-1.0,35.0,42.04
2,9,-1.755,-2.918,81.23,0.11,-1.0,11.0,95.16
3,10,2.078,-0.495,20.12,0.11,1.0,35.0,20.08
4,15,1.193,0.504,127.67,0.11,-1.0,29.0,128.04
5,26,1.118,-1.861,42.8,0.11,1.0,8.0,44.03
6,36,1.551,0.233,89.9,0.11,1.0,10.0,91.0
7,36,-0.852,2.392,11.57,0.11,-1.0,4.0,12.0
8,39,-0.572,3.045,240.27,0.11,1.0,32.0,265.07
9,40,-0.986,-0.414,61.15,0.11,-1.0,25.0,66.14
10,46,-1.869,2.285,30.4,0.11,1.0,29.0,32.07
11,50,1.62,-1.55,203.56,0.11,-1.0,23.0,237.04
12,50,-2.083,2.952,17.84,0.11,-1.0,15.0,18.0
13,50,-1.817,1.558,11.18,0.11,-1.0,31.0,12.14
14,52,1.111,0.663,79.13,0.11,-1.0,22.0,82.07
15,53,2.117,1.699,18.12,0.11,1.0,31.0,19.28
16,54,2.191,2.316,84.49,0.11,1.0,40.0,87.06
17,55,-2.009,1.434,10.55,0.11,-1.0,30.0,11.12
18,58,2.263,2.702,50.74,0.11,1.0,22.0,51.06
19,61,0.763,-1.469,118.21,0.11,-1.0,16.0,141.23
20,61,-1.994,2.702,47.73,0.11,1.0,24.0,48.0
21,61,2.245,0.315,13.68,0.11,1.0,34.0,14.03
22,65,-1.88,1.276,23.52,0.11,-1.0,20.0,24.12
23,68,1.231,0.317,30.6,0.11,-1.0,35.0,32.18
24,74,-1.63,-0.374,85.07,0.11,1.0,38.0,97.22
25,75,1.289,0.478,94.8,0.11,1.0,32.0,96.06
26,77,-2.344,0.579,85.69,0.11,1.0,32.0,86.09
27,79,1.878,0.228,36.61,0.11,1.0,13.0,38.0
28,82,-1.58,-0.89,31.05,0.11,-1.0,17.0,34.13
29,83,2.279,-2.023,12.43,0.11,-1.0,32.0,15.34
30,84,1.798,0.671,54.7,0.11,1.0,31.0,117.99
31,87,-0.339,-1.899,341.22,0.11,1.0,19.0,464.08
32,87,-1.16,-1.995,40.59,0.11,1.0,33.0,41.13
33,96,2.016,-2.944,55.91,0.11,1.0,32.0,58.08
34,107,1.685,1.845,38.94,0.11,-1.0,16.0,39.03
35,108,1.626,2.233,59.73,0.11,1.0,37.0,67.13
36,109,-0.673,-2.512,91.61,0.11,1.0,24.0,102.33
37,112,-0.852,1.586,134.11,0.11,-1.0,20.0,153.14
38,112,1.601,-2.826,102.78,0.11,1.0,14.0,109.03
39,119,-2.35,1.399,58.8,0.11,1.0,24.0,59.0
40,130,2.29,2.881,11.13,0.11,1.0,20.0,13.42
41,132,0.308,1.578,182.21,0.11,-1.0,28.0,236.14
42,141,-1.607,3.105,96.51,0.11,1.0,22.0,98.02
43,141,1.524,-0.37,30.73,0.11,-1.0,32.0,31.0
44,141,-1.129,-1.474,26.27,0.11,-1.0,14.0,28.32
45,144,1.271,-2.33,38.02,0.11,1.0,21.0,38.03
46,149,-1.392,-0.718,27.96,0.11,-1.0,20.0,29.0
47,155,0.449,1.899,54.72,0.11,1.0,22.0,60.1
48,158,-0.264,0.001,180.97,0.11,-1.0,6.0,250.4
49,160,0.693,3.081,153.21,0.11,1.0,12.0,186.22
50,163,1.948,1.306,70.45,0.11,-1.0,22.0,108.57
51,164,1.412,-1.955,87.11,0.11,1.0,22.0,91.32
52,165,1.083,-2.813,73.8,0.11,1.0,31.0,84.08
53,165,-0.82,-0.996,26.7,0.11,1.0,21.0,27.0
54,168,0.548,-0.498,71.56,0.11,1.0,20.0,72.03
55,169,-1.904,-1.109,82.34,0.11,1.0,25.0,82.0
56,172,0.764,-0.541,72.73,0.11,1.0,27.0,74.13
57,172,-1.568,-0.15,65.6,0.11,1.0,24.0,70.16
58,173,2.087,-1.723,70.75,0.11,1.0,9.0,72.02
59,176,0.782,-2.244,41.71,0.11,1.0,31.0,47.12
60,179,-1.405,-1.514,72.47,0.11,1.0,35.0,74.06
61,185,0.335,-2.719,59.92,0.11,-1.0,29.0,62.34
62,187,-1.995,-3.114,45.02,0.11,1.0,9.0,49.13
63,187,1.529,-0.769,19.59,0.11,-1.0,25.0,20.0
64,192,-1.003,0.558,63.82,0.11,1.0,39.0,72.28
65,196,-1.799,-0.456,32.85,0.11,1.0,32.0,35.11
66,201,-0.189,1.837,177.91,0.11,1.0,17.0,198.42
67,205,-1.51,-0.949,81.61,0.11,1.0,18.0,96.14
68,205,-2.227,-1.042,58.45,0.11,1.0,34.0,58.24
69,207,1.855,-0.587,47.11,0.11,1.0,39.0,48.12
70,211,-2.278,0.224,63.12,0.11,1.0,28.0,64.05
