,event,eta,phi,PT,jmass,ntrk,btag,hadem
0,1,0.679,2.831,126.3,0.0,0.0,0.0,0.0
1,2,-1.37,-2.72,45.84,0.0,0.0,0.0,0.0
2,3,1.956,-1.782,192.08,0.0,0.0,0.0,0.0
3,5,-0.217,-0.482,206.76,0.0,0.0,0.0,0.0
4,9,1.904,2.747,12.07,0.0,0.0,0.0,0.0
5,11,0.521,-0.401,204.4,0.0,0.0,0.0,0.0
6,13,-0.254,0.173,159.63,0.0,0.0,0.0,0.0
7,14,2.246,2.107,92.14,0.0,0.0,0.0,0.0
8,20,0.166,2.893,119.87,0.0,0.0,0.0,0.0
9,21,-0.944,0.675,140.83,0.0,0.0,0.0,0.0
10,25,2.275,2.699,14.55,0.0,0.0,0.0,0.0
11,40,2.335,-2.823,16.59,0.0,0.0,0.0,0.0
12,48,1.029,0.813,47.02,0.0,0.0,0.0,0.0
13,53,-1.285,-1.165,23.42,0.0,0.0,0.0,0.0
14,58,1.863,3.016,76.19,0.0,0.0,0.0,0.0
15,64,-2.135,2.633,43.56,0.0,0.0,0.0,0.0
16,81,-1.748,-2.444,64.64,0.0,0.0,0.0,0.0
17,81,-0.949,0.478,51.13,0.0,0.0,0.0,0.0
18,82,-2.3,1.712,32.62,0.0,0.0,0.0,0.0
19,89,0.067,2.734,266.65,0.0,0.0,0.0,0.0
20,95,0.039,-1.141,226.77,0.0,0.0,0.0,0.0
21,100,1.945,-1.681,29.47,0.0,0.0,0.0,0.0
22,100,-1.74,0.853,20.4,0.0,0.0,0.0,0.0
23,103,1.39,-2.463,10.82,0.0,0.0,0.0,0.0
24,105,1.425,2.186,69.93,0.0,0.0,0.0,0.0
25,105,-2.007,-2.935,59.36,0.0,0.0,0.0,0.0
26,108,-1.102,-1.844,77.01,0.0,0.0,0.0,0.0
27,109,0.644,2.482,150.44,0.0,0.0,0.0,0.0
28,109,1.59,-0.136,99.41,0.0,0.0,0.0,0.0
29,111,0.744,0.71,58.04,0.0,0.0,0.0,0.0
30,112,2.132,2.873,34.61,0.0,0.0,0.0,0.0
31,120,-0.258,1.239,328.4,0.0,0.0,0.0,0.0
32,127,-0.73,-1.741,112.72,0.0,0.0,0.0,0.0
33,132,-0.288,-2.025,86.51,0.0,0.0,0.0,0.0
34,133,1.82,0.926,71.47,0.0,0.0,0.0,0.0
35,135,-1.782,2.381,28.71,0.0,0.0,0.0,0.0
36,137,-1.309,-0.856,84.76,0.0,0.0,0.0,0.0
37,140,2.068,1.745,32.94,0.0,0.0,0.0,0.0
38,144,-0.985,-0.877,245.54,0.0,0.0,0.0,0.0
39,147,1.113,-1.352,190.9,0.0,0.0,0.0,0.0
