,event,eta,phi,PT,jmass,ntrk,btag,hadem
0,0,-0.403,-0.042,921.49,210.19,-1.0,0.0,0.94
1,0,0.052,-0.524,570.57,128.95,1.0,0.0,0.34
2,0,-0.421,-1.144,370.86,79.15,1.0,0.0,0.17
3,0,-0.533,-2.566,345.15,69.27,1.0,0.0,0.09
4,0,0.218,0.008,256.63,42.21,-1.0,0.0,0.0
5,0,0.216,-1.168,244.07,27.22,1.0,0.0,0.37
6,0,-1.098,-1.026,165.63,39.18,1.0,0.0,1.97
7,0,-1.775,-3.066,54.61,12.98,1.0,0.0,0.16
8,0,-1.555,-0.506,45.08,5.44,1.0,0.0,999.9
9,0,-0.596,-0.461,44.61,2.64,1.0,0.0,999.9
10,0,-1.076,1.842,24.96,2.76,1.0,0.0,0.0
11,1,0.727,1.453,338.96,58.48,-1.0,0.0,2.31
12,1,1.453,1.36,121.82,20.74,-1.0,0.0,1.0
13,1,1.557,3.058,63.25,8.34,-1.0,0.0,55.27
14,1,-0.22,1.141,40.16,3.65,1.0,0.0,2.32
15,2,0.493,1.177,124.64,25.76,1.0,0.0,0.46
16,2,-1.645,-1.66,42.35,3.02,-1.0,0.0,999.9
17,2,1.162,-2.476,22.61,6.62,-1.0,0.0,0.44
18,3,0.934,-1.06,424.55,91.47,-1.0,0.0,1.14
19,3,0.744,-2.153,188.62,34.99,1.0,0.0,0.24
20,3,1.094,-1.453,148.45,14.98,-1.0,0.0,0.27
21,3,1.241,-0.634,90.07,8.69,-1.0,0.0,1.16
22,4,0.467,-0.004,404.59,74.47,1.0,0.0,1.02
23,4,-0.445,-0.289,385.92,78.43,-1.0,0.0,0.14
24,4,0.72,1.639,348.14,63.68,-1.0,0.0,0.17
25,4,1.279,-1.034,205.39,34.23,-1.0,0.0,1.44
26,4,1.342,2.178,75.53,16.47,1.0,0.0,0.04
27,5,0.664,-1.87,627.22,154.94,1.0,0.0,0.62
28,5,0.938,0.77,384.13,61.74,1.0,0.0,0.25
29,5,0.566,-1.256,144.21,18.55,1.0,0.0,1.01
30,5,-0.16,-1.137,100.37,26.4,-1.0,0.0,7.5
31,5,-0.371,-1.641,48.43,13.61,-1.0,0.0,1.17
32,7,-0.234,-2.022,1076.33,263.24,1.0,0.0,0.84
33,7,-0.691,2.538,323.28,71.4,-1.0,0.0,0.28
34,7,-1.14,2.943,256.25,53.49,-1.0,0.0,0.36
35,7,-1.095,-1.589,234.58,31.07,-1.0,0.0,1.0
36,7,-0.194,-1.532,173.6,16.93,1.0,0.0,1.42
37,7,-1.185,-0.719,160.93,29.62,1.0,0.0,0.27
38,7,-0.435,-2.908,110.07,8.57,-1.0,0.0,0.47
39,7,-0.478,0.371,77.2,15.07,-1.0,0.0,0.31
40,7,-1.353,-2.773,51.33,6.18,1.0,0.0,3.14
41,8,0.593,-1.494,568.48,83.96,-1.0,0.0,0.59
42,8,-0.103,2.024,360.57,60.1,1.0,0.0,1.07
43,8,-0.554,-2.144,305.26,57.92,-1.0,0.0,1.06
44,8,-0.477,2.183,297.08,32.91,1.0,0.0,116.17
45,8,-0.102,-0.27,147.0,27.74,-1.0,0.0,2.24
46,8,-0.386,-2.719,46.36,4.3,1.0,0.0,0.69
47,8,-1.089,-3.096,30.08,4.07,1.0,0.0,0.0
48,9,-0.056,-1.112,334.66,58.64,1.0,0.0,1.25
49,9,-0.902,2.864,128.7,16.12,-1.0,0.0,0.19
50,10,0.884,2.139,388.67,71.18,-1.0,0.0,1.38
51,10,0.614,2.996,271.41,36.33,-1.0,0.0,0.98
52,10,0.837,2.556,89.74,17.36,-1.0,0.0,0.0
