,event,particle,eta,phi,PT,jmass,ntrk,btag,hadem
0,0,jet,0.426,2.63,1253.18,179.34,38.0,1.0,0.45
1,0,jet,0.31,1.43,430.64,70.64,33.0,1.0,1.09
2,0,jet,0.698,1.627,252.39,15.77,26.0,0.0,1.38
3,0,jet,0.705,-0.305,195.05,26.87,18.0,0.0,0.57
4,0,jet,1.235,0.228,64.84,11.13,10.0,0.0,0.73
5,0,jet,-0.137,2.148,29.57,6.91,13.0,0.0,0.0
6,0,jet,-0.543,1.806,26.06,5.89,13.0,0.0,0.0
7,0,MET,0.0,-1.021,1546.71,0.0,0.0,0.0,0.0
8,1,tau,-0.354,3.003,379.28,62.89,-1.0,0.0,0.09
9,1,jet,0.657,-0.971,4042.0,148.72,27.0,0.0,0.34
10,1,jet,-0.009,2.287,2648.07,174.91,39.0,0.0,0.12
11,1,jet,-0.217,1.075,899.29,51.16,11.0,0.0,3.32
12,1,jet,-1.245,2.784,248.69,9.41,6.0,0.0,0.0
13,1,jet,-0.97,3.097,29.07,3.89,10.0,0.0,999.9
14,1,jet,-0.6,2.63,25.36,2.18,24.0,0.0,999.9
15,1,MET,0.0,2.261,520.89,0.0,0.0,0.0,0.0
16,2,photon,0.113,0.525,359.83,0.0,0.0,0.0,0.0
17,2,electron,0.067,-1.783,2882.55,0.0,-1.0,0.0,0.0
18,2,jet,0.197,1.404,1933.16,184.59,38.0,0.0,0.0
19,2,jet,-0.766,1.603,1108.14,28.82,16.0,0.0,0.03
20,2,jet,0.943,2.066,372.11,39.96,18.0,0.0,0.62
21,2,MET,0.0,-1.5,802.02,0.0,0.0,0.0,0.0
22,3,photon,0.465,1.109,35.69,0.0,0.0,0.0,0.0
23,3,jet,-0.377,-2.785,3445.71,119.73,19.0,0.0,0.0
24,3,jet,0.066,-0.661,2253.22,35.61,21.0,0.0,0.0
25,3,jet,1.477,-0.684,205.08,10.94,10.0,0.0,0.15
26,3,jet,1.753,-1.572,32.21,5.44,6.0,0.0,0.19
27,3,jet,-0.377,-1.54,23.06,5.48,6.0,0.0,999.9
28,3,MET,0.0,1.139,3016.43,0.0,0.0,0.0,0.0
29,4,jet,-0.982,-0.293,2610.82,78.03,15.0,0.0,1.28
30,4,jet,1.26,-3.113,1463.07,66.33,48.0,1.0,0.0
31,4,jet,0.617,2.866,679.04,33.1,6.0,0.0,17.16
32,4,jet,-0.507,1.609,446.84,92.6,16.0,0.0,0.09
33,4,jet,-1.42,-0.567,144.33,14.68,13.0,0.0,0.18
34,4,jet,0.325,1.328,61.12,8.72,12.0,0.0,0.68
35,4,jet,-0.216,1.208,36.25,3.3,18.0,0.0,999.9
36,4,MET,0.0,2.863,514.52,0.0,0.0,0.0,0.0
37,5,jet,0.148,-0.816,3276.26,178.62,38.0,0.0,0.57
38,5,jet,0.57,2.052,2335.1,268.36,45.0,0.0,0.22
39,5,jet,-1.429,2.647,505.08,63.97,43.0,1.0,0.89
40,5,jet,-0.716,-2.904,459.82,49.11,25.0,0.0,0.68
41,5,jet,-1.006,2.489,341.36,16.94,31.0,0.0,0.13
42,5,jet,1.479,2.316,195.69,27.84,16.0,0.0,0.86
43,5,jet,0.75,-0.666,109.78,17.63,15.0,0.0,3.49
44,5,jet,0.583,-1.311,108.37,12.49,8.0,0.0,1.05
45,5,jet,-1.807,2.097,71.13,9.88,10.0,0.0,1.05
46,5,jet,0.859,0.031,27.09,4.52,6.0,0.0,0.85
47,5,MET,0.0,-0.688,78.33,0.0,0.0,0.0,0.0
48,6,jet,0.54,1.978,1798.31,168.42,27.0,1.0,0.36
49,6,jet,-0.819,-1.805,1527.2,0.0,0.0,0.0,999.9
50,6,jet,-1.294,-0.744,1321.26,18.35,8.0,0.0,0.01
51,6,jet,1.775,1.547,698.73,104.05,26.0,0.0,0.13
52,6,jet,0.273,-2.358,35.84,5.59,5.0,0.0,0.0
53,6,jet,-0.077,1.898,23.67,6.64,9.0,0.0,999.9
54,6,MET,0.0,-0.237,110.33,0.0,0.0,0.0,0.0
55,7,jet,-0.044,-2.306,2236.16,179.58,34.0,0.0,0.04
56,7,jet,-1.078,-1.184,1656.37,44.74,17.0,0.0,0.02
57,7,jet,0.359,1.38,1577.41,104.72,31.0,0.0,1.11
58,7,jet,0.756,1.251,1105.84,23.94,32.0,0.0,0.0
59,7,jet,0.948,-1.645,299.1,34.74,19.0,0.0,0.27
60,7,MET,0.0,1.304,920.9,0.0,0.0,0.0,0.0
61,8,electron,0.079,-2.578,1203.86,0.0,-1.0,0.0,0.0
62,8,tau,-0.42,0.074,430.24,10.44,1.0,0.0,999.9
63,8,jet,0.453,0.64,2370.05,100.95,29.0,0.0,1.91
64,8,jet,-0.081,0.727,1386.54,135.52,46.0,0.0,0.13
65,8,jet,0.78,0.007,178.95,22.24,16.0,0.0,0.29
66,8,jet,1.13,-0.358,49.84,7.37,14.0,0.0,4.48
67,8,jet,-0.677,1.024,24.31,4.23,11.0,0.0,0.0
68,8,MET,0.0,-2.547,3087.66,0.0,0.0,0.0,0.0
69,9,electron,1.112,2.807,322.84,0.0,-1.0,0.0,0.0
70,9,jet,-1.815,-0.042,1269.42,232.38,22.0,0.0,0.19
71,9,jet,1.224,-0.927,939.84,59.61,11.0,0.0,0.65
72,9,jet,-1.248,0.143,69.74,15.56,25.0,1.0,8.9
73,9,jet,0.285,-3.073,61.77,10.52,11.0,0.0,0.0
74,9,jet,-1.209,-1.66,34.29,7.45,8.0,0.0,6.01
75,9,jet,0.636,-2.211,24.08,6.19,3.0,0.0,3.11
76,9,MET,0.0,2.671,1675.57,0.0,0.0,0.0,0.0
77,10,jet,-0.609,-1.027,3179.94,180.23,26.0,0.0,0.1
78,10,jet,-0.46,1.83,1373.76,137.68,26.0,0.0,1.26
79,10,jet,0.684,1.999,1312.35,127.16,48.0,0.0,0.17
80,10,jet,1.162,-3.013,253.44,11.55,5.0,0.0,999.9
81,10,jet,0.001,1.518,96.74,23.86,22.0,0.0,0.39
82,10,jet,-1.609,-0.329,96.47,11.64,10.0,0.0,2.99
83,10,MET,0.0,2.938,579.68,0.0,0.0,0.0,0.0
84,11,muon,-1.414,1.32,136.44,0.11,1.0,5.0,153.08
85,11,jet,0.386,3.097,2541.45,74.12,12.0,0.0,0.0
86,11,jet,-0.522,-1.02,1870.19,104.73,25.0,0.0,1.05
87,11,jet,1.08,0.895,1450.84,93.94,25.0,0.0,0.08
88,11,jet,-1.76,1.782,474.89,22.61,10.0,1.0,2.35
89,11,jet,1.328,0.516,257.15,11.21,20.0,0.0,0.02
90,11,MET,0.0,-0.672,621.31,0.0,0.0,0.0,0.0
91,12,jet,0.3,-0.308,2765.86,68.64,21.0,0.0,1.37
92,12,jet,0.891,2.735,1568.9,58.68,10.0,0.0,0.0
93,12,jet,-0.221,1.513,168.4,24.53,16.0,0.0,3.23
94,12,jet,-0.433,-0.035,98.59,13.99,9.0,1.0,22.34
95,12,jet,-1.222,-0.417,43.77,9.8,9.0,0.0,2.3
96,12,jet,1.651,2.664,38.91,5.84,5.0,0.0,0.21
97,12,jet,0.954,1.732,29.09,5.42,12.0,0.0,0.0
