,event,particle,eta,phi,PT,jmass,ntrk,btag,hadem
0,0,photon,-0.533,2.911,53.69,0.0,0.0,0.0,0.0
1,0,electron,1.162,2.567,16.76,0.0,1.0,0.0,0.0
2,0,tau,-0.425,-0.175,276.25,73.72,1.0,0.0,1.71
3,0,tau,0.901,-0.158,197.55,45.71,-1.0,0.0,1.12
4,0,jet,0.377,-1.263,873.42,260.39,55.0,0.0,0.56
5,0,jet,0.054,-3.089,543.75,118.62,23.0,1.0,0.06
6,0,jet,-0.827,-1.548,374.39,91.66,24.0,0.0,1.71
7,0,jet,-0.726,1.435,328.87,72.7,21.0,0.0,0.48
8,0,jet,-0.121,2.565,321.88,72.38,22.0,0.0,0.0
9,0,jet,0.638,3.131,301.15,63.32,17.0,1.0,0.0
10,0,jet,-1.282,0.486,290.87,89.17,14.0,1.0,0.23
11,0,jet,0.633,0.78,258.04,54.33,24.0,0.0,0.89
12,0,jet,0.001,1.359,241.24,49.74,22.0,0.0,0.6
13,0,jet,-1.377,2.115,172.16,44.49,15.0,0.0,0.05
14,0,jet,0.078,-0.506,162.21,23.58,19.0,1.0,0.45
15,0,jet,-0.432,-2.015,123.18,21.04,7.0,0.0,4.78
16,0,jet,0.456,-2.254,115.58,18.04,13.0,0.0,2.99
17,0,jet,0.396,1.835,101.93,28.33,29.0,1.0,0.52
18,0,jet,-1.07,-2.127,99.76,17.3,21.0,1.0,0.15
19,0,jet,-1.84,2.832,97.68,11.54,11.0,0.0,0.59
20,0,jet,-1.162,-1.007,93.83,11.82,8.0,0.0,12.56
21,0,jet,-0.535,-2.727,85.34,17.86,14.0,1.0,999.9
22,0,jet,-2.147,-1.331,76.46,21.0,11.0,1.0,1.58
23,0,jet,1.398,-2.069,59.88,10.75,5.0,0.0,5.28
24,0,jet,0.916,-1.54,53.66,10.39,17.0,1.0,0.28
25,0,jet,-1.735,-0.565,37.85,5.62,7.0,0.0,1.19
26,0,jet,-1.427,-1.494,33.37,3.31,10.0,0.0,0.06
27,0,jet,0.817,1.353,29.42,4.09,16.0,0.0,0.0
28,0,jet,-1.687,-2.229,25.06,3.22,7.0,1.0,0.17
