,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-0.735,2.88,2484.29,388.84,51.0,0.0,1.08,0
1,-0.109,0.17,2143.0,651.86,58.0,1.0,0.47,0
2,-0.213,-2.263,1895.25,450.64,50.0,0.0,0.48,0
3,-0.862,-1.501,1869.75,594.95,66.0,0.0,0.2,0
4,-0.939,1.735,1770.72,409.53,53.0,0.0,0.15,0
5,-0.412,0.929,1682.01,462.65,62.0,0.0,0.98,0
6,-0.37,-0.529,1186.6,334.17,66.0,0.0,0.53,0
7,-1.176,-3.114,1128.11,173.79,36.0,0.0,0.02,0
8,-0.065,1.424,1049.19,299.78,55.0,1.0,0.23,0
9,0.824,-1.474,595.7,172.15,48.0,0.0,0.41,0
10,-0.791,0.322,497.2,71.22,26.0,0.0,0.11,0
11,-1.577,1.537,402.2,72.81,14.0,0.0,0.24,0
12,-0.265,-3.064,399.29,34.97,34.0,0.0,0.07,0
13,0.256,0.695,298.2,34.62,41.0,1.0,0.06,0
14,0.716,-0.268,285.17,97.17,11.0,0.0,1.06,0
15,-1.708,0.548,195.36,14.85,8.0,0.0,1.01,0
16,0.823,-2.907,151.89,21.84,16.0,0.0,0.0,0
17,-1.994,1.065,143.39,16.12,9.0,0.0,0.83,0
18,-0.356,2.324,132.85,28.64,19.0,1.0,1.43,0
19,-1.039,1.208,108.76,7.2,48.0,1.0,0.0,0
20,-1.289,-1.033,106.19,17.05,16.0,0.0,3.02,0
21,0.585,2.157,105.7,13.96,14.0,0.0,6.25,0
22,-1.943,-0.03,86.83,21.29,6.0,0.0,2.12,0
23,1.075,-1.982,75.15,7.17,20.0,0.0,1.12,0
24,-1.36,2.032,66.53,1.67,16.0,0.0,0.0,0
25,1.29,2.18,57.31,7.97,10.0,0.0,2.83,0
26,1.553,-1.168,49.97,5.68,9.0,0.0,0.0,0
27,-1.782,-1.533,48.67,9.74,13.0,0.0,0.2,0
28,-1.715,-2.924,35.1,5.28,9.0,0.0,0.0,0
29,1.64,-2.329,27.93,3.65,1.0,0.0,17.38,0
30,-4.207,-0.843,26.73,8.48,0.0,0.0,1.43,0
31,4.543,1.504,25.97,8.01,0.0,0.0,0.84,0
32,0.688,2.276,2213.49,578.63,117.0,0.0,0.56,1
33,0.672,-0.542,1412.97,336.08,43.0,0.0,0.02,1
34,0.899,-1.995,1279.16,324.36,51.0,0.0,0.1,1
35,0.614,1.293,1088.2,334.01,71.0,0.0,0.85,1
36,1.265,-2.68,784.31,209.5,52.0,1.0,0.31,1
37,0.635,0.322,759.76,173.78,41.0,1.0,0.48,1
38,1.558,-0.466,603.11,171.87,43.0,0.0,0.42,1
39,0.82,-1.244,602.31,154.02,26.0,1.0,0.03,1
40,0.365,3.064,547.23,123.37,39.0,1.0,0.02,1
41,0.05,-0.421,517.86,98.43,38.0,1.0,0.05,1
42,-0.429,2.039,437.79,116.63,38.0,0.0,0.34,1
43,-0.282,-1.286,258.15,62.64,22.0,0.0,0.76,1
44,-0.368,-2.613,242.52,53.28,16.0,0.0,0.84,1
45,1.995,-2.805,207.35,50.09,20.0,0.0,0.61,1
46,1.788,-1.389,204.46,23.02,11.0,0.0,0.71,1
47,1.371,1.824,193.24,24.35,10.0,0.0,0.08,1
48,2.244,1.437,151.77,22.65,3.0,0.0,0.01,1
49,0.078,2.267,140.94,19.13,40.0,0.0,0.86,1
50,2.329,2.336,124.31,21.73,14.0,0.0,5.75,1
51,1.184,1.186,115.61,15.69,24.0,0.0,0.0,1
52,1.218,2.997,115.17,25.74,21.0,1.0,1.65,1
53,1.44,2.422,89.52,21.55,36.0,1.0,5.54,1
54,1.167,0.201,82.72,12.09,26.0,0.0,0.48,1
55,0.111,1.423,67.97,13.98,42.0,0.0,0.39,1
56,-1.271,-0.06,65.18,9.35,8.0,0.0,0.06,1
57,2.766,-3.105,56.05,9.45,1.0,0.0,0.2,1
58,-0.587,2.979,52.3,13.17,13.0,0.0,0.72,1
59,-0.677,-0.52,49.46,11.98,14.0,1.0,0.24,1
60,2.621,-0.067,42.93,7.91,1.0,0.0,0.42,1
61,2.478,-1.257,33.91,6.03,4.0,0.0,0.61,1
62,-0.719,0.9,30.6,5.51,7.0,0.0,1.04,1
63,1.886,0.057,26.63,3.68,16.0,0.0,2.49,1
64,1.243,1.315,1575.68,308.2,74.0,0.0,0.28,2
65,0.835,1.938,1412.38,235.11,51.0,0.0,0.98,2
66,1.187,0.453,1209.7,310.0,72.0,0.0,1.14,2
67,1.072,-0.688,1140.49,281.85,88.0,0.0,0.33,2
68,0.549,-0.168,892.58,210.19,57.0,0.0,1.59,2
69,1.549,-1.506,884.4,249.95,50.0,0.0,0.73,2
70,0.767,-2.2,726.54,123.37,60.0,0.0,0.41,2
71,1.689,-0.191,652.25,175.7,47.0,0.0,2.11,2
72,0.047,1.455,281.74,62.42,20.0,0.0,3.27,2
73,0.406,-1.681,273.48,44.69,30.0,0.0,0.14,2
74,-0.338,2.222,271.99,46.48,11.0,0.0,0.22,2
75,-0.19,-0.223,247.29,51.61,35.0,0.0,1.1,2
76,2.127,0.057,197.05,15.28,29.0,0.0,0.91,2
77,1.871,0.746,190.27,44.88,16.0,0.0,0.29,2
78,0.638,1.21,179.88,22.16,37.0,1.0,0.2,2
79,-0.333,-3.073,169.66,36.56,14.0,0.0,0.18,2
80,2.225,-1.932,146.19,15.04,15.0,1.0,0.3,2
81,-0.994,-0.173,115.31,31.81,10.0,0.0,0.18,2
82,1.141,2.561,84.99,4.5,17.0,1.0,999.9,2
83,0.371,-0.92,70.11,15.72,22.0,0.0,2.54,2
84,1.833,1.854,63.16,11.04,9.0,0.0,0.32,2
85,0.651,2.819,61.7,9.29,26.0,0.0,0.0,2
86,2.255,-1.356,53.66,6.86,14.0,0.0,0.21,2
87,2.559,1.632,52.89,7.89,0.0,0.0,6.94,2
88,0.305,1.992,37.34,5.23,32.0,0.0,1.03,2
89,-0.385,0.701,34.29,7.13,22.0,0.0,0.52,2
90,-0.113,-2.409,31.75,7.75,14.0,0.0,0.0,2
91,-3.34,-1.063,27.76,6.16,0.0,0.0,3.73,2
92,0.368,-0.879,1435.72,351.53,64.0,0.0,0.52,3
93,-0.143,-2.891,1087.56,207.23,37.0,0.0,0.07,3
94,0.54,-1.585,900.25,215.29,34.0,0.0,1.99,3
95,-0.483,1.845,880.73,168.26,44.0,0.0,0.21,3
96,0.606,1.876,805.33,181.25,26.0,0.0,1.54,3
97,-0.756,0.195,674.75,166.15,23.0,0.0,0.05,3
98,0.646,0.789,667.88,195.7,50.0,0.0,0.6,3
99,-0.136,-1.87,651.61,148.52,20.0,0.0,0.16,3
100,1.028,3.135,636.88,142.58,34.0,1.0,0.08,3
101,-0.365,-1.13,592.06,124.26,42.0,0.0,2.1,3
102,0.402,2.65,484.46,75.69,30.0,0.0,1.28,3
103,-0.017,0.038,426.55,91.26,16.0,1.0,0.53,3
104,1.337,2.476,240.49,61.43,36.0,1.0,0.34,3
105,1.195,-1.352,202.7,43.46,21.0,0.0,0.28,3
106,1.467,-0.687,201.83,46.87,23.0,0.0,1.19,3
107,1.217,0.462,146.09,37.54,31.0,0.0,0.79,3
108,-1.299,1.867,136.27,18.61,10.0,0.0,1.15,3
109,-1.497,-0.384,135.59,39.03,10.0,0.0,0.97,3
110,-1.177,-1.901,119.68,18.79,12.0,0.0,0.7,3
111,-0.895,1.276,109.62,7.0,16.0,0.0,0.0,3
112,-1.056,-2.433,99.3,16.44,13.0,1.0,0.1,3
113,-2.092,-2.85,92.97,19.04,11.0,0.0,0.99,3
114,-0.289,0.561,86.86,2.55,36.0,1.0,1.0,3
115,0.956,-0.499,67.87,13.99,38.0,0.0,1.24,3
116,2.116,-1.152,54.91,11.85,13.0,0.0,0.19,3
117,-0.64,-0.44,49.22,10.0,16.0,0.0,4.13,3
118,1.075,-1.951,44.77,5.21,14.0,0.0,0.0,3
119,1.746,1.383,43.55,8.35,7.0,0.0,4.56,3
120,-1.694,1.485,42.12,3.13,7.0,0.0,999.9,3
121,3.096,2.247,35.37,6.65,0.0,0.0,999.9,3
122,2.729,0.604,33.65,5.55,0.0,0.0,999.9,3
123,-1.73,-2.047,27.24,6.49,14.0,1.0,999.9,3
124,-1.485,3.077,26.92,6.97,14.0,0.0,1.97,3
125,-4.396,-3.066,26.21,8.13,0.0,0.0,3.76,3
126,-1.865,2.295,25.12,8.17,3.0,0.0,9.92,3
127,1.853,0.08,23.24,6.47,9.0,0.0,2.17,3
128,-2.681,3.014,22.89,5.12,1.0,0.0,999.9,3
129,-0.407,1.758,2076.53,680.04,54.0,0.0,0.24,4
130,-0.419,-1.388,1744.92,440.11,56.0,0.0,0.83,4
131,-0.014,-0.937,1130.23,298.81,37.0,0.0,0.15,4
132,-0.054,2.824,969.88,260.99,53.0,1.0,0.79,4
133,-0.993,0.929,925.18,279.04,48.0,0.0,0.27,4
134,0.034,-2.852,741.95,236.11,73.0,0.0,0.38,4
135,0.531,-0.279,730.47,222.48,47.0,1.0,0.3,4
136,0.099,-2.162,608.35,172.11,36.0,0.0,0.7,4
137,-0.156,2.229,561.96,69.03,76.0,0.0,0.06,4
138,0.46,1.699,468.16,138.05,26.0,0.0,0.2,4
139,-0.242,-0.237,457.26,80.51,38.0,0.0,0.6,4
140,0.881,2.58,369.17,91.57,27.0,0.0,0.77,4
141,0.778,-2.153,362.02,96.21,15.0,0.0,0.43,4
142,0.41,0.491,360.55,78.75,30.0,0.0,0.89,4
143,-1.075,-2.737,324.42,87.81,15.0,0.0,0.07,4
144,-1.431,-1.491,319.34,102.23,26.0,0.0,0.81,4
145,-1.198,0.248,302.6,46.89,32.0,0.0,0.18,4
146,-1.593,2.454,287.66,82.28,13.0,0.0,0.1,4
147,0.145,1.07,256.28,59.69,23.0,0.0,0.45,4
148,-1.495,1.836,255.54,67.22,15.0,1.0,1.13,4
149,1.379,0.757,232.96,37.53,12.0,0.0,0.06,4
150,0.849,-1.064,174.7,31.85,23.0,1.0,0.0,4
151,0.772,-3.08,174.36,30.32,41.0,0.0,2.94,4
152,-1.073,-0.948,173.16,40.62,34.0,0.0,1.61,4
153,-1.804,-0.777,130.13,36.09,7.0,0.0,0.33,4
154,-0.362,1.042,113.51,10.65,30.0,0.0,0.28,4
155,1.475,2.988,106.24,25.36,13.0,0.0,0.77,4
156,1.041,0.39,85.2,13.15,20.0,1.0,3.0,4
157,-2.233,3.088,84.87,14.66,14.0,0.0,1.62,4
