,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.499,1.876,214.15,0.11,-1.0,15.0,222.11,1
1,-1.314,-0.826,139.36,0.11,1.0,12.0,208.64,6
2,2.336,2.992,28.43,0.11,1.0,38.0,30.12,10
3,2.015,0.911,20.72,0.11,1.0,25.0,24.13,11
4,-1.531,0.612,23.15,0.11,1.0,21.0,31.5,12
5,0.382,0.901,129.04,0.11,1.0,20.0,323.99,16
6,-1.118,2.336,53.15,0.11,-1.0,16.0,346.99,16
7,2.081,2.55,57.35,0.11,1.0,31.0,58.03,17
8,1.03,2.383,101.52,0.11,1.0,10.0,103.17,19
9,1.28,1.855,26.12,0.11,1.0,21.0,58.99,20
10,-0.752,1.07,155.61,0.11,-1.0,28.0,264.36,25
11,-1.827,2.192,51.89,0.11,1.0,26.0,57.07,25
12,-2.099,0.963,28.78,0.11,-1.0,32.0,29.29,27
13,1.021,1.716,18.72,0.11,1.0,9.0,145.99,29
14,0.756,-2.478,194.87,0.11,1.0,33.0,273.14,34
15,0.916,-2.793,52.86,0.11,-1.0,33.0,258.44,34
16,-1.604,1.976,143.23,0.11,1.0,19.0,167.18,36
17,0.804,1.595,97.76,0.11,-1.0,25.0,181.97,39
18,1.92,-0.025,28.16,0.11,-1.0,34.0,29.03,39
19,-0.457,0.559,334.15,0.11,1.0,15.0,372.19,51
20,1.901,-1.409,35.48,0.11,1.0,36.0,35.0,56
21,2.147,2.804,30.1,0.11,-1.0,26.0,33.28,57
22,1.922,2.882,60.55,0.11,-1.0,13.0,63.11,59
23,-1.744,-0.381,53.83,0.11,-1.0,34.0,66.27,59
24,-1.924,0.478,33.8,0.11,1.0,29.0,34.04,59
25,-0.429,-0.493,263.98,0.11,-1.0,14.0,561.99,62
26,-1.174,0.402,164.44,0.11,-1.0,31.0,245.17,63
27,-1.418,-3.032,11.86,0.11,-1.0,35.0,20.99,63
28,-1.622,-1.047,100.42,0.11,1.0,20.0,111.18,70
29,-1.852,-1.045,49.96,0.11,-1.0,24.0,61.35,73
30,-1.995,1.296,21.53,0.11,-1.0,29.0,23.09,76
31,2.262,-0.886,32.33,0.11,-1.0,14.0,33.02,78
32,1.616,0.789,89.82,0.11,-1.0,25.0,102.09,86
33,-1.99,0.432,13.8,0.11,1.0,32.0,15.99,94
34,-1.773,-0.105,37.86,0.11,-1.0,25.0,38.0,97
35,-2.04,-1.996,65.19,0.11,1.0,36.0,69.13,99
36,-1.179,-0.467,38.3,0.11,1.0,21.0,87.99,99
37,1.216,-2.076,109.0,0.11,1.0,8.0,117.07,103
38,-2.159,1.371,68.99,0.11,1.0,30.0,70.22,103
39,-1.872,-2.11,34.07,0.11,-1.0,27.0,83.11,107
40,-1.335,-1.292,50.28,0.11,1.0,25.0,76.99,113
41,1.29,-0.679,50.5,0.11,1.0,29.0,51.0,117
42,-1.799,-3.029,41.92,0.11,-1.0,32.0,42.1,118
43,2.255,0.896,19.38,0.11,-1.0,34.0,20.03,120
44,0.952,-0.774,239.91,0.11,-1.0,33.0,260.07,122
45,0.55,-0.298,88.44,0.11,1.0,25.0,102.66,122
46,1.719,-2.379,41.8,0.11,1.0,18.0,53.99,126
47,-1.866,0.623,73.29,0.11,-1.0,24.0,78.2,130
48,1.479,2.539,29.27,0.11,1.0,24.0,33.1,158
49,-2.038,0.282,76.56,0.11,1.0,36.0,77.01,161
50,-1.645,-0.535,115.06,0.11,1.0,30.0,120.26,162
51,-1.006,0.129,18.77,0.11,1.0,19.0,32.99,166
