,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-1.285,-1.176,143.52,0.0,0.0,0.0,0.0,7
1,-0.149,1.7,48.84,0.0,0.0,0.0,0.0,15
2,-1.43,2.804,148.23,0.0,0.0,0.0,0.0,25
3,1.113,-0.491,1590.48,0.0,0.0,0.0,0.0,28
4,-0.661,-0.393,1527.56,0.0,0.0,0.0,0.0,43
5,1.22,0.666,2440.43,0.0,0.0,0.0,0.0,48
6,0.374,-2.332,623.92,0.0,0.0,0.0,0.0,53
7,1.635,1.052,825.84,0.0,0.0,0.0,0.0,56
8,-0.264,-0.128,370.59,0.0,0.0,0.0,0.0,58
9,-0.006,1.842,1851.09,0.0,0.0,0.0,0.0,63
10,0.672,-1.004,862.61,0.0,0.0,0.0,0.0,64
11,0.376,-3.0,1152.96,0.0,0.0,0.0,0.0,72
12,-0.74,-2.488,108.97,0.0,0.0,0.0,0.0,77
13,-0.049,2.326,56.97,0.0,0.0,0.0,0.0,86
14,-0.068,2.163,2245.28,0.0,0.0,0.0,0.0,89
15,-0.098,-1.891,970.27,0.0,0.0,0.0,0.0,103
16,-0.407,1.138,3759.77,0.0,0.0,0.0,0.0,114
17,-0.647,-0.795,600.11,0.0,0.0,0.0,0.0,122
18,0.568,1.527,1548.5,0.0,0.0,0.0,0.0,134
19,0.696,-2.313,3729.25,0.0,0.0,0.0,0.0,139
20,0.22,0.134,3282.29,0.0,0.0,0.0,0.0,141
21,-0.347,2.311,577.49,0.0,0.0,0.0,0.0,144
22,-0.647,-2.351,521.53,0.0,0.0,0.0,0.0,155
23,-0.241,-3.122,4393.15,0.0,0.0,0.0,0.0,175
24,0.898,-1.301,680.6,0.0,0.0,0.0,0.0,193
25,-0.447,3.004,98.7,0.0,0.0,0.0,0.0,217
26,-0.04,-1.939,272.72,0.0,0.0,0.0,0.0,222
27,-0.512,-0.737,2438.66,0.0,0.0,0.0,0.0,231
28,-0.056,-3.025,2972.3,0.0,0.0,0.0,0.0,238
29,-1.651,2.586,1655.27,0.0,0.0,0.0,0.0,242
30,0.432,-2.669,171.88,0.0,0.0,0.0,0.0,248
31,-1.282,2.588,236.02,0.0,0.0,0.0,0.0,249
32,-0.018,-2.517,3066.82,0.0,0.0,0.0,0.0,261
33,-0.12,2.321,56.06,0.0,0.0,0.0,0.0,262
34,2.202,-2.015,22.73,0.0,0.0,0.0,0.0,266
35,0.026,0.067,2130.73,0.0,0.0,0.0,0.0,273
36,-0.219,-2.788,2536.33,0.0,0.0,0.0,0.0,276
37,0.306,2.95,2982.57,0.0,0.0,0.0,0.0,291
38,0.565,0.377,981.48,0.0,0.0,0.0,0.0,306
39,0.686,-1.968,673.23,0.0,0.0,0.0,0.0,322
40,0.423,1.161,98.98,0.0,0.0,0.0,0.0,339
