,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.0,-2.056,2868.34,0.0,0.0,0.0,0.0
1,0.0,-0.51,1468.74,0.0,0.0,0.0,0.0
2,0.0,3.137,586.38,0.0,0.0,0.0,0.0
3,0.0,1.513,345.19,0.0,0.0,0.0,0.0
4,0.0,-0.52,71.2,0.0,0.0,0.0,0.0
5,0.0,2.884,649.8,0.0,0.0,0.0,0.0
6,0.0,-1.265,222.19,0.0,0.0,0.0,0.0
7,0.0,-0.826,1661.81,0.0,0.0,0.0,0.0
8,0.0,-1.305,219.06,0.0,0.0,0.0,0.0
9,0.0,0.886,484.48,0.0,0.0,0.0,0.0
10,0.0,1.708,798.92,0.0,0.0,0.0,0.0
11,0.0,3.04,79.15,0.0,0.0,0.0,0.0
12,0.0,-0.784,306.68,0.0,0.0,0.0,0.0
13,0.0,2.896,66.46,0.0,0.0,0.0,0.0
14,0.0,2.618,530.31,0.0,0.0,0.0,0.0
15,0.0,1.675,1315.05,0.0,0.0,0.0,0.0
16,0.0,-0.363,578.66,0.0,0.0,0.0,0.0
17,0.0,-0.411,481.87,0.0,0.0,0.0,0.0
18,0.0,-0.823,495.43,0.0,0.0,0.0,0.0
19,0.0,0.935,165.76,0.0,0.0,0.0,0.0
20,0.0,1.943,299.73,0.0,0.0,0.0,0.0
21,0.0,2.463,1784.96,0.0,0.0,0.0,0.0
22,0.0,-1.135,768.69,0.0,0.0,0.0,0.0
23,0.0,1.271,303.15,0.0,0.0,0.0,0.0
24,0.0,1.682,408.75,0.0,0.0,0.0,0.0
25,0.0,-1.059,1162.21,0.0,0.0,0.0,0.0
26,0.0,-2.677,879.27,0.0,0.0,0.0,0.0
27,0.0,1.402,134.39,0.0,0.0,0.0,0.0
28,0.0,0.791,269.51,0.0,0.0,0.0,0.0
29,0.0,1.042,1897.36,0.0,0.0,0.0,0.0
30,0.0,-2.233,293.36,0.0,0.0,0.0,0.0
31,0.0,2.753,1547.73,0.0,0.0,0.0,0.0
32,0.0,2.661,147.04,0.0,0.0,0.0,0.0
33,0.0,0.2,765.82,0.0,0.0,0.0,0.0
34,0.0,1.929,456.09,0.0,0.0,0.0,0.0
35,0.0,-1.937,222.18,0.0,0.0,0.0,0.0
36,0.0,2.942,303.1,0.0,0.0,0.0,0.0
37,0.0,3.136,375.02,0.0,0.0,0.0,0.0
38,0.0,2.271,95.47,0.0,0.0,0.0,0.0
39,0.0,0.289,369.51,0.0,0.0,0.0,0.0
40,0.0,-0.816,253.89,0.0,0.0,0.0,0.0
41,0.0,-0.04,2264.89,0.0,0.0,0.0,0.0
42,0.0,2.382,248.33,0.0,0.0,0.0,0.0
43,0.0,-0.678,1132.19,0.0,0.0,0.0,0.0
44,0.0,-2.268,1657.47,0.0,0.0,0.0,0.0
45,0.0,-0.653,1194.41,0.0,0.0,0.0,0.0
46,0.0,-1.56,1049.97,0.0,0.0,0.0,0.0
47,0.0,-0.96,33.16,0.0,0.0,0.0,0.0
48,0.0,-3.089,383.09,0.0,0.0,0.0,0.0
49,0.0,1.283,116.3,0.0,0.0,0.0,0.0
