,eta,phi,PT,jmass,ntrk,btag,hadem
0,-2.074,1.489,92.53,0.0,1.0,0.0,0.0
1,1.76,-0.897,1368.95,0.0,-1.0,0.0,0.0
2,0.73,-2.462,1756.17,0.0,1.0,0.0,0.0
3,-0.035,1.414,630.06,0.0,-1.0,0.0,0.0
4,1.895,1.99,137.0,0.0,-1.0,0.0,0.0
5,-1.122,2.849,744.19,0.0,-1.0,0.0,0.0
6,-1.51,-0.718,766.98,0.0,-1.0,0.0,0.0
7,-1.04,-2.529,526.07,0.0,-1.0,0.0,0.0
8,0.863,1.076,1129.37,0.0,-1.0,0.0,0.0
9,-0.411,0.281,108.51,0.0,1.0,0.0,0.0
10,0.273,-0.13,10.19,0.0,1.0,0.0,0.0
11,-0.604,0.405,4093.2,0.0,1.0,0.0,0.0
12,-0.653,-2.969,2114.05,0.0,-1.0,0.0,0.0
13,-0.531,1.1,1196.79,0.0,1.0,0.0,0.0
14,-0.649,0.186,643.15,0.0,-1.0,0.0,0.0
15,-0.613,0.343,516.38,0.0,1.0,0.0,0.0
16,-1.414,-1.984,464.2,0.0,-1.0,0.0,0.0
17,-1.405,-0.401,1375.21,0.0,-1.0,0.0,0.0
18,0.284,-2.946,352.0,0.0,1.0,0.0,0.0
19,1.194,2.201,1188.3,0.0,1.0,0.0,0.0
20,0.274,-0.33,1236.23,0.0,1.0,0.0,0.0
21,0.915,0.696,678.06,0.0,1.0,0.0,0.0
22,-0.647,1.637,224.23,0.0,-1.0,0.0,0.0
23,-2.27,-2.035,219.37,0.0,1.0,0.0,0.0
24,2.103,1.804,36.35,0.0,-1.0,0.0,0.0
25,-0.273,2.668,1887.4,0.0,-1.0,0.0,0.0
26,1.316,1.971,836.4,0.0,1.0,0.0,0.0
27,0.552,-1.534,3932.04,0.0,1.0,0.0,0.0
28,0.64,-1.67,1258.87,0.0,-1.0,0.0,0.0
29,-0.973,1.384,2105.8,0.0,1.0,0.0,0.0
30,0.496,0.39,1327.3,0.0,-1.0,0.0,0.0
31,0.913,0.214,3004.83,0.0,1.0,0.0,0.0
32,1.111,-3.002,191.05,0.0,-1.0,0.0,0.0
33,1.119,0.976,2041.3,0.0,1.0,0.0,0.0
34,0.109,-1.622,2155.99,0.0,1.0,0.0,0.0
35,0.66,-2.26,2450.79,0.0,-1.0,0.0,0.0
36,-1.624,1.22,1400.49,0.0,-1.0,0.0,0.0
37,0.455,0.658,1353.75,0.0,-1.0,0.0,0.0
38,0.94,-2.575,1344.6,0.0,1.0,0.0,0.0
39,-0.13,2.187,225.6,0.0,-1.0,0.0,0.0
40,-0.326,2.252,1139.44,0.0,1.0,0.0,0.0
41,-1.537,1.968,1012.39,0.0,-1.0,0.0,0.0
42,-1.41,2.337,139.28,0.0,-1.0,0.0,0.0
43,1.233,1.136,116.94,0.0,1.0,0.0,0.0
44,0.224,1.583,355.78,0.0,1.0,0.0,0.0
45,-0.599,1.068,4672.05,0.0,1.0,0.0,0.0
46,0.531,1.805,178.07,0.0,-1.0,0.0,0.0
47,0.354,-2.443,35.05,0.0,-1.0,0.0,0.0
48,-1.032,2.774,788.87,0.0,1.0,0.0,0.0
49,0.93,-2.101,1357.03,0.0,1.0,0.0,0.0
50,2.048,-0.378,1062.72,0.0,-1.0,0.0,0.0
51,-0.753,-2.869,1750.9,0.0,1.0,0.0,0.0
52,0.13,-2.341,910.42,0.0,1.0,0.0,0.0
53,0.841,-2.942,594.01,0.0,1.0,0.0,0.0
54,-0.499,2.608,3211.45,0.0,-1.0,0.0,0.0
55,-0.37,-2.94,1348.98,0.0,1.0,0.0,0.0
56,1.443,-1.904,302.66,0.0,-1.0,0.0,0.0
57,0.362,-2.293,3290.82,0.0,1.0,0.0,0.0
58,0.352,-2.751,4958.63,0.0,-1.0,0.0,0.0
59,0.201,0.212,2735.37,0.0,-1.0,0.0,0.0
60,1.267,2.399,943.92,0.0,1.0,0.0,0.0
61,0.568,-1.057,208.91,0.0,-1.0,0.0,0.0
62,0.355,-2.476,3109.43,0.0,1.0,0.0,0.0
63,0.577,0.807,1635.57,0.0,1.0,0.0,0.0
64,1.724,-2.263,173.17,0.0,-1.0,0.0,0.0
65,-0.479,-1.282,357.95,0.0,-1.0,0.0,0.0
66,0.327,2.084,1341.13,0.0,-1.0,0.0,0.0
67,-0.694,1.874,693.53,0.0,-1.0,0.0,0.0
68,-0.333,3.085,2066.78,0.0,-1.0,0.0,0.0
69,0.481,0.519,250.22,0.0,-1.0,0.0,0.0
70,-0.591,1.253,460.65,0.0,1.0,0.0,0.0
71,0.228,2.597,290.48,0.0,1.0,0.0,0.0
72,-0.037,-0.292,2771.12,0.0,1.0,0.0,0.0
73,0.605,1.442,1908.29,0.0,1.0,0.0,0.0
74,-0.403,2.594,1000.2,0.0,1.0,0.0,0.0
75,0.321,-2.332,1114.38,0.0,-1.0,0.0,0.0
76,0.305,-1.549,892.81,0.0,1.0,0.0,0.0
77,-0.336,-2.816,3277.8,0.0,-1.0,0.0,0.0
78,0.402,2.655,1836.23,0.0,1.0,0.0,0.0
79,-1.077,0.009,1249.73,0.0,-1.0,0.0,0.0
80,-0.247,-0.856,405.84,0.0,1.0,0.0,0.0
81,0.607,0.972,1525.89,0.0,1.0,0.0,0.0
82,0.647,0.861,391.24,0.0,-1.0,0.0,0.0
83,-0.601,1.888,2151.39,0.0,1.0,0.0,0.0
84,0.607,0.973,1024.12,0.0,-1.0,0.0,0.0
85,0.065,-0.859,763.52,0.0,-1.0,0.0,0.0
86,0.227,-2.131,2338.46,0.0,1.0,0.0,0.0
87,-0.815,-2.284,673.48,0.0,-1.0,0.0,0.0
88,-0.226,-2.82,1358.48,0.0,-1.0,0.0,0.0
