,eta,phi,PT,jmass,ntrk,btag,hadem
0,1.801,1.249,565.48,17.81,-1.0,0.0,12.03
1,-0.301,0.32,1320.72,86.02,-1.0,0.0,12.32
2,-0.881,0.293,82.7,9.9,1.0,0.0,0.83
3,-1.105,-0.132,35.72,7.54,1.0,0.0,0.0
4,-0.087,-1.459,2590.17,114.89,1.0,0.0,1.53
5,-2.237,-0.416,439.27,39.44,1.0,0.0,5.84
6,0.775,-1.494,765.98,4.02,1.0,0.0,0.0
7,-0.606,-2.135,423.79,0.14,1.0,0.0,999.9
8,0.011,-0.809,1928.54,179.29,1.0,0.0,1.52
9,-0.85,-0.405,1588.4,61.8,-1.0,0.0,1.6
10,-1.161,-0.091,48.64,3.53,-1.0,0.0,0.0
11,-0.885,2.967,720.99,2.45,1.0,0.0,0.0
12,0.498,2.639,713.97,64.12,-1.0,0.0,0.09
13,1.713,-2.413,122.53,5.06,1.0,0.0,999.9
14,0.176,2.217,2731.86,45.06,-1.0,0.0,0.0
15,0.077,2.164,518.44,15.98,1.0,0.0,0.0
16,-0.425,2.016,558.91,59.35,1.0,0.0,1.6
17,-0.669,2.424,30.92,3.3,1.0,0.0,999.9
18,-1.18,-3.002,32.66,0.8,-1.0,0.0,0.0
19,1.261,-1.055,609.76,23.12,1.0,0.0,0.0
20,1.113,0.121,392.0,29.02,1.0,0.0,0.42
21,0.324,-1.618,2569.97,326.21,-1.0,0.0,0.75
22,0.795,1.162,1326.69,4.4,-1.0,0.0,0.0
23,-1.331,-0.319,774.66,4.68,1.0,0.0,0.0
24,-0.364,1.387,633.98,70.88,1.0,0.0,4.59
25,-0.916,1.761,1520.95,67.72,-1.0,0.0,0.04
26,-0.816,1.675,27.67,4.56,1.0,0.0,0.0
27,1.396,2.902,123.22,10.37,1.0,0.0,0.0
28,0.113,-1.891,420.31,5.1,-1.0,0.0,0.0
29,-0.246,2.203,286.32,21.19,-1.0,0.0,0.1
30,0.05,3.116,398.45,62.14,1.0,0.0,0.4
31,0.445,2.119,1706.3,138.95,1.0,0.0,3.33
32,-1.147,-0.927,258.08,16.24,-1.0,0.0,3.02
33,1.101,-2.931,43.81,5.04,1.0,0.0,3.93
34,-0.73,0.327,362.52,61.56,-1.0,0.0,1.81
35,-0.369,0.368,901.78,9.6,-1.0,0.0,999.9
36,-0.096,-3.137,1413.36,28.03,-1.0,0.0,0.12
37,1.811,0.207,71.9,11.36,1.0,0.0,20.97
38,0.147,-1.553,2081.84,81.63,1.0,0.0,15.57
39,0.51,-2.186,235.29,0.11,-1.0,0.0,999.9
40,0.323,-0.732,1799.76,160.65,-1.0,0.0,0.54
41,0.029,0.27,1949.68,14.79,-1.0,0.0,0.0
42,1.17,-0.038,1763.92,85.34,1.0,0.0,17.94
43,1.416,-1.11,239.91,25.7,-1.0,0.0,0.0
44,1.267,-2.906,333.56,51.61,-1.0,0.0,3.45
45,-1.473,0.661,1107.07,55.45,-1.0,0.0,0.09
46,-0.162,-1.726,1767.51,101.71,1.0,0.0,8.09
47,0.026,0.789,294.27,21.0,1.0,0.0,0.0
48,1.293,0.824,293.0,13.74,-1.0,0.0,0.08
49,-0.116,-1.598,24.0,2.25,1.0,0.0,2.19
50,-0.036,2.679,942.16,3.4,1.0,0.0,0.0
51,0.02,2.214,2348.51,386.42,1.0,0.0,0.11
52,-0.649,-1.161,662.32,65.58,1.0,0.0,2.35
53,0.732,-0.235,632.45,74.38,1.0,0.0,0.64
54,-0.782,2.024,2885.41,12.4,1.0,0.0,0.0
55,-0.446,-0.749,1397.64,56.8,-1.0,0.0,0.94
56,0.277,2.987,1083.4,73.59,-1.0,0.0,0.1
57,0.355,-3.028,1773.67,174.31,1.0,0.0,0.44
58,-1.168,-0.262,143.9,13.28,1.0,0.0,2.49
59,-1.071,2.624,1345.42,26.11,1.0,0.0,0.07
60,-0.083,1.336,1365.47,5.19,-1.0,0.0,0.0
61,1.712,-1.018,146.35,25.02,1.0,0.0,0.22
62,1.463,1.913,128.63,14.75,-1.0,0.0,3.24
63,0.102,1.828,2237.45,1.2,-1.0,0.0,999.9
64,0.053,0.188,803.95,161.2,-1.0,0.0,3.69
65,-2.075,2.526,359.27,15.49,1.0,0.0,999.9
66,0.193,-0.848,3939.83,317.95,-1.0,0.0,0.34
67,0.124,-0.397,1281.29,36.33,-1.0,0.0,0.94
68,0.307,-0.516,2754.83,22.55,-1.0,0.0,0.0
69,-0.403,1.799,1649.58,141.05,-1.0,0.0,0.44
70,0.025,0.908,2741.43,290.59,1.0,0.0,0.88
71,-0.269,0.578,458.8,34.83,1.0,0.0,0.33
72,1.423,-2.978,188.97,11.32,-1.0,0.0,0.66
73,-0.903,-2.215,2102.21,97.4,1.0,0.0,1.69
74,-1.103,-1.456,475.46,20.55,1.0,0.0,0.03
75,0.801,2.274,924.32,0.0,1.0,0.0,999.9
76,0.315,-2.882,1125.03,3.44,1.0,0.0,0.0
77,1.36,-1.838,415.73,27.97,-1.0,0.0,2.14
78,0.951,1.488,1082.17,222.11,1.0,0.0,0.24
79,-1.665,-1.212,690.46,67.97,1.0,0.0,0.16
80,1.37,0.74,352.17,74.37,1.0,0.0,0.9
81,0.775,-1.4,3146.49,214.66,-1.0,0.0,0.3
82,-0.281,-0.503,2122.7,108.15,1.0,0.0,0.82
83,0.753,2.689,213.2,15.47,-1.0,0.0,0.4
84,0.476,-2.98,23.11,1.94,-1.0,0.0,999.9
85,0.02,-2.752,2963.15,215.02,1.0,0.0,0.45
86,-1.238,1.988,1580.49,165.49,-1.0,0.0,0.51
87,-1.058,2.616,1308.12,124.01,1.0,0.0,8.39
88,0.9,-1.263,307.74,2.73,1.0,0.0,0.0
89,-0.493,2.308,1057.91,111.3,-1.0,0.0,1.62
