,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,1.115,2.728,1103.61,0.0,-1.0,0.0,0.0,12
1,0.586,1.635,2483.16,0.0,1.0,0.0,0.0,19
2,-0.209,0.522,3424.38,0.0,1.0,0.0,0.0,25
3,-0.541,0.074,654.71,0.0,1.0,0.0,0.0,25
4,-1.202,2.414,1172.41,0.0,-1.0,0.0,0.0,33
5,0.189,2.646,2253.36,0.0,1.0,0.0,0.0,54
6,0.654,0.63,3559.74,0.0,-1.0,0.0,0.0,57
7,-0.272,-2.913,2952.84,0.0,1.0,0.0,0.0,57
8,-1.031,2.661,115.29,0.0,1.0,0.0,0.0,78
9,0.444,0.703,69.17,0.0,-1.0,0.0,0.0,81
10,-0.636,-2.051,109.11,0.0,1.0,0.0,0.0,93
11,0.375,-2.197,1078.06,0.0,1.0,0.0,0.0,99
12,1.055,1.73,86.02,0.0,1.0,0.0,0.0,108
13,1.397,2.094,1475.92,0.0,-1.0,0.0,0.0,110
14,0.468,-1.093,2135.3,0.0,-1.0,0.0,0.0,114
15,-0.608,1.811,774.28,0.0,1.0,0.0,0.0,114
16,-1.986,2.136,659.32,0.0,-1.0,0.0,0.0,115
17,0.169,-1.358,1694.08,0.0,-1.0,0.0,0.0,116
18,0.183,0.722,3018.22,0.0,1.0,0.0,0.0,124
19,0.228,-2.717,1611.87,0.0,1.0,0.0,0.0,126
20,0.727,-2.05,2638.68,0.0,1.0,0.0,0.0,134
21,0.572,3.017,2875.36,0.0,1.0,0.0,0.0,135
22,0.096,-0.336,922.73,0.0,1.0,0.0,0.0,142
23,0.388,2.411,1147.48,0.0,1.0,0.0,0.0,147
24,0.087,-1.843,1718.04,0.0,1.0,0.0,0.0,154
25,0.006,0.191,455.91,0.0,-1.0,0.0,0.0,187
26,-0.115,0.049,95.47,0.0,1.0,0.0,0.0,187
27,-0.387,2.32,738.44,0.0,-1.0,0.0,0.0,194
28,-1.219,-1.572,555.51,0.0,1.0,0.0,0.0,212
29,1.147,1.216,1637.95,0.0,-1.0,0.0,0.0,214
30,-0.018,-2.394,2065.2,0.0,1.0,0.0,0.0,222
31,-0.151,-0.822,2362.6,0.0,-1.0,0.0,0.0,223
32,0.703,2.582,141.18,0.0,1.0,0.0,0.0,236
33,0.434,0.083,1117.07,0.0,1.0,0.0,0.0,240
34,1.642,-0.103,844.12,0.0,-1.0,0.0,0.0,247
35,-0.179,-0.17,2366.46,0.0,1.0,0.0,0.0,248
36,-0.307,-0.01,81.94,0.0,-1.0,0.0,0.0,248
37,-1.666,3.058,87.46,0.0,-1.0,0.0,0.0,253
38,0.43,2.075,2599.58,0.0,1.0,0.0,0.0,279
39,0.546,-2.797,1806.76,0.0,-1.0,0.0,0.0,304
40,-0.147,-1.595,569.65,0.0,1.0,0.0,0.0,329
41,-0.416,0.76,768.37,0.0,1.0,0.0,0.0,341
42,-2.291,2.143,249.19,0.0,-1.0,0.0,0.0,341
43,1.632,1.765,113.68,0.0,1.0,0.0,0.0,350
44,1.759,1.06,786.56,0.0,-1.0,0.0,0.0,357
45,-0.604,1.223,174.27,0.0,-1.0,0.0,0.0,405
46,-0.585,-2.588,2211.23,0.0,1.0,0.0,0.0,409
47,1.804,-2.621,313.2,0.0,1.0,0.0,0.0,411
48,-1.102,-1.203,2634.1,0.0,-1.0,0.0,0.0,426
49,-0.24,2.461,1191.8,0.0,1.0,0.0,0.0,428
50,0.835,2.83,53.69,0.0,1.0,0.0,0.0,428
51,-0.866,1.097,29.69,0.0,1.0,0.0,0.0,431
52,0.383,-1.993,3722.03,0.0,1.0,0.0,0.0,434
53,-0.407,-1.756,2035.1,0.0,1.0,0.0,0.0,446
54,-0.008,0.129,65.12,0.0,1.0,0.0,0.0,469
55,1.616,3.117,1713.08,0.0,1.0,0.0,0.0,478
56,-1.02,-1.985,239.82,0.0,-1.0,0.0,0.0,484
57,-0.386,-1.682,103.56,0.0,1.0,0.0,0.0,488
58,-0.101,-2.591,3198.17,0.0,1.0,0.0,0.0,493
59,-0.013,2.12,1256.75,0.0,-1.0,0.0,0.0,541
60,-0.531,2.769,1093.24,0.0,-1.0,0.0,0.0,548
61,0.033,0.095,4178.34,0.0,1.0,0.0,0.0,556
62,0.462,2.068,2998.44,0.0,-1.0,0.0,0.0,569
63,-1.104,3.11,448.5,0.0,1.0,0.0,0.0,569
64,0.31,1.762,2083.57,0.0,1.0,0.0,0.0,583
65,-0.058,-0.857,2472.21,0.0,1.0,0.0,0.0,660
66,-0.363,-0.139,983.29,0.0,1.0,0.0,0.0,665
67,-0.016,-1.283,1963.42,0.0,-1.0,0.0,0.0,677
68,-0.178,-0.531,1279.71,0.0,1.0,0.0,0.0,681
69,-0.78,0.294,682.94,0.0,1.0,0.0,0.0,702
70,-1.395,0.362,795.29,0.0,1.0,0.0,0.0,704
71,-1.127,2.884,2149.05,0.0,-1.0,0.0,0.0,713
72,0.808,-1.426,1682.0,0.0,1.0,0.0,0.0,716
73,0.308,-0.641,640.92,0.0,-1.0,0.0,0.0,728
74,-0.126,-0.344,1660.09,0.0,1.0,0.0,0.0,735
75,0.713,1.776,1150.1,0.0,-1.0,0.0,0.0,735
76,0.314,0.614,3172.74,0.0,-1.0,0.0,0.0,737
77,-0.181,-0.733,418.55,0.0,-1.0,0.0,0.0,751
78,1.265,1.853,407.47,0.0,1.0,0.0,0.0,751
79,-1.231,-0.492,40.39,0.0,1.0,0.0,0.0,766
80,0.23,1.47,2693.64,0.0,-1.0,0.0,0.0,778
81,-0.447,2.629,347.29,0.0,1.0,0.0,0.0,778
82,0.377,-2.083,19.87,0.0,1.0,0.0,0.0,790
83,-0.281,0.919,525.95,0.0,1.0,0.0,0.0,810
84,-0.043,-0.215,1073.22,0.0,1.0,0.0,0.0,826
85,0.641,2.319,227.84,0.0,1.0,0.0,0.0,831
86,-0.313,-2.962,312.15,0.0,1.0,0.0,0.0,842
87,0.162,-1.056,2100.42,0.0,1.0,0.0,0.0,865
88,-1.057,2.814,46.83,0.0,1.0,0.0,0.0,869
89,-0.031,2.006,923.53,0.0,1.0,0.0,0.0,870
90,0.222,-2.215,223.6,0.0,1.0,0.0,0.0,890
91,-0.311,0.755,1227.39,0.0,1.0,0.0,0.0,891
92,-0.214,-0.742,42.6,0.0,-1.0,0.0,0.0,891
93,0.194,-1.605,2116.82,0.0,-1.0,0.0,0.0,898
94,-0.515,-3.005,166.65,0.0,1.0,0.0,0.0,902
95,-1.521,-0.78,871.84,0.0,-1.0,0.0,0.0,911
96,-0.789,-0.679,1118.13,0.0,1.0,0.0,0.0,913
97,1.091,2.063,551.2,0.0,1.0,0.0,0.0,933
98,-0.384,1.007,524.68,0.0,1.0,0.0,0.0,981
99,0.218,0.392,1893.57,0.0,1.0,0.0,0.0,984
100,-0.176,-2.135,602.32,0.0,-1.0,0.0,0.0,994
101,-0.876,0.964,477.03,0.0,1.0,0.0,0.0,994
102,-0.012,-2.302,253.38,0.0,1.0,0.0,0.0,994
103,0.482,1.05,1715.55,0.0,-1.0,0.0,0.0,997
104,0.387,2.862,1121.25,0.0,1.0,0.0,0.0,1000
105,1.347,-0.6,364.3,0.0,1.0,0.0,0.0,1000
106,-1.289,2.975,886.08,0.0,1.0,0.0,0.0,1003
107,-1.224,1.061,1278.41,0.0,-1.0,0.0,0.0,1007
108,-1.99,1.28,62.75,0.0,1.0,0.0,0.0,1021
109,-1.387,-1.217,55.08,0.0,1.0,0.0,0.0,1051
110,0.4,2.082,1037.07,0.0,-1.0,0.0,0.0,1052
111,-0.613,2.812,233.82,0.0,1.0,0.0,0.0,1054
112,0.028,-2.106,2234.26,0.0,1.0,0.0,0.0,1057
113,0.127,-2.404,698.66,0.0,-1.0,0.0,0.0,1068
114,-0.314,-1.131,4038.57,0.0,-1.0,0.0,0.0,1073
115,-0.647,1.416,678.49,0.0,1.0,0.0,0.0,1089
116,0.581,1.624,454.52,0.0,-1.0,0.0,0.0,1089
117,-0.366,1.892,1826.91,0.0,-1.0,0.0,0.0,1118
118,0.752,2.644,1286.07,0.0,-1.0,0.0,0.0,1137
119,0.808,-2.855,157.49,0.0,1.0,0.0,0.0,1159
120,-0.475,-2.053,250.47,0.0,1.0,0.0,0.0,1165
121,-0.793,1.347,230.07,0.0,1.0,0.0,0.0,1172
122,1.81,0.52,158.66,0.0,-1.0,0.0,0.0,1172
123,2.117,-2.486,123.14,0.0,-1.0,0.0,0.0,1184
124,-1.118,2.302,238.65,0.0,1.0,0.0,0.0,1251
125,-0.294,2.109,784.14,0.0,1.0,0.0,0.0,1277
126,0.525,-0.862,407.62,0.0,1.0,0.0,0.0,1285
127,-1.253,2.54,315.87,0.0,-1.0,0.0,0.0,1301
128,-0.396,0.875,1232.97,0.0,1.0,0.0,0.0,1306
129,0.562,0.02,984.71,0.0,-1.0,0.0,0.0,1308
130,-0.252,-0.606,2328.83,0.0,-1.0,0.0,0.0,1312
131,0.534,-2.031,2116.92,0.0,1.0,0.0,0.0,1323
132,-0.547,-0.253,1601.41,0.0,-1.0,0.0,0.0,1329
133,-0.633,-1.266,3081.72,0.0,-1.0,0.0,0.0,1338
134,-0.018,2.351,2335.88,0.0,1.0,0.0,0.0,1346
135,-1.062,3.075,151.06,0.0,1.0,0.0,0.0,1356
136,-1.203,1.167,93.25,0.0,-1.0,0.0,0.0,1367
137,0.703,-2.972,234.05,0.0,1.0,0.0,0.0,1368
138,1.089,1.219,555.95,0.0,1.0,0.0,0.0,1383
139,-0.366,0.047,2927.99,0.0,-1.0,0.0,0.0,1387
140,-0.219,-2.272,1998.79,0.0,1.0,0.0,0.0,1393
