,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.067,-1.783,2882.55,0.0,-1.0,0.0,0.0,2
1,0.079,-2.578,1203.86,0.0,-1.0,0.0,0.0,8
2,1.112,2.807,322.84,0.0,-1.0,0.0,0.0,9
3,0.906,0.483,1858.85,0.0,1.0,0.0,0.0,13
4,-1.18,-3.048,205.06,0.0,-1.0,0.0,0.0,13
5,-0.209,0.522,3832.39,0.0,1.0,0.0,0.0,26
6,0.537,-3.099,2421.32,0.0,1.0,0.0,0.0,40
7,0.568,-3.041,819.33,0.0,-1.0,0.0,0.0,40
8,0.697,-2.823,2136.78,0.0,1.0,0.0,0.0,41
9,-0.37,0.043,1484.23,0.0,1.0,0.0,0.0,45
10,-1.619,-2.302,47.76,0.0,1.0,0.0,0.0,55
11,0.654,0.63,3687.83,0.0,-1.0,0.0,0.0,57
12,-0.362,-1.597,1154.68,0.0,1.0,0.0,0.0,57
13,0.662,1.983,1581.72,0.0,1.0,0.0,0.0,69
14,-0.378,-0.233,709.47,0.0,1.0,0.0,0.0,75
15,-0.597,-2.588,2315.14,0.0,1.0,0.0,0.0,125
16,0.727,-2.05,2969.39,0.0,1.0,0.0,0.0,136
17,-0.02,-1.933,980.92,0.0,1.0,0.0,0.0,151
18,-1.393,-1.414,238.91,0.0,-1.0,0.0,0.0,157
19,-0.334,1.385,3604.88,0.0,1.0,0.0,0.0,165
20,-0.751,-2.293,1895.01,0.0,-1.0,0.0,0.0,165
21,-0.564,-3.029,3874.07,0.0,1.0,0.0,0.0,189
22,-0.548,-0.233,3406.77,0.0,1.0,0.0,0.0,204
23,0.006,-1.549,1117.72,0.0,-1.0,0.0,0.0,212
24,-0.357,-1.632,1078.12,0.0,1.0,0.0,0.0,237
25,0.117,1.011,2002.92,0.0,-1.0,0.0,0.0,241
26,-0.361,0.643,105.36,0.0,1.0,0.0,0.0,247
27,-0.643,-3.032,64.4,0.0,1.0,0.0,0.0,266
28,1.438,1.462,384.56,0.0,1.0,0.0,0.0,271
29,0.713,-2.303,2571.29,0.0,1.0,0.0,0.0,292
30,0.43,2.075,3485.68,0.0,1.0,0.0,0.0,294
31,-0.317,0.097,1169.69,0.0,-1.0,0.0,0.0,294
32,-1.542,-2.362,958.3,0.0,-1.0,0.0,0.0,323
33,0.05,-2.165,1858.42,0.0,-1.0,0.0,0.0,344
34,0.196,-0.754,1248.51,0.0,1.0,0.0,0.0,354
35,-1.122,-0.535,1254.85,0.0,-1.0,0.0,0.0,396
36,-2.392,1.494,53.45,0.0,1.0,0.0,0.0,397
37,0.98,1.967,125.16,0.0,-1.0,0.0,0.0,401
38,1.528,-1.53,1470.33,0.0,-1.0,0.0,0.0,407
39,-1.542,2.529,136.87,0.0,1.0,0.0,0.0,418
40,0.417,1.296,947.33,0.0,1.0,0.0,0.0,423
41,-1.116,1.463,2006.78,0.0,1.0,0.0,0.0,427
42,-1.048,0.532,676.3,0.0,1.0,0.0,0.0,433
43,-0.333,2.728,328.01,0.0,1.0,0.0,0.0,451
44,-1.276,1.818,473.91,0.0,1.0,0.0,0.0,470
45,-0.101,-2.591,3612.38,0.0,1.0,0.0,0.0,475
46,0.717,3.015,788.96,0.0,-1.0,0.0,0.0,475
47,-0.864,0.712,43.65,0.0,1.0,0.0,0.0,479
48,0.499,2.093,1550.05,0.0,1.0,0.0,0.0,483
49,0.094,0.317,2029.06,0.0,-1.0,0.0,0.0,486
50,-0.066,2.644,2078.95,0.0,-1.0,0.0,0.0,502
51,-0.516,1.652,3730.89,0.0,1.0,0.0,0.0,505
52,0.581,-2.934,1270.09,0.0,-1.0,0.0,0.0,506
53,0.905,3.135,1061.44,0.0,1.0,0.0,0.0,522
54,0.491,-0.406,1695.98,0.0,-1.0,0.0,0.0,530
55,0.444,-0.493,500.68,0.0,1.0,0.0,0.0,530
56,0.033,0.095,4318.7,0.0,1.0,0.0,0.0,535
57,-0.255,3.071,3559.21,0.0,-1.0,0.0,0.0,535
58,-0.057,2.669,3276.26,0.0,1.0,0.0,0.0,543
59,-0.096,-1.389,2341.52,0.0,1.0,0.0,0.0,547
60,0.192,-0.511,2301.02,0.0,1.0,0.0,0.0,556
61,0.584,0.28,4330.42,0.0,1.0,0.0,0.0,559
62,-1.186,1.532,1467.06,0.0,1.0,0.0,0.0,562
63,0.004,2.81,3380.41,0.0,1.0,0.0,0.0,568
64,-0.002,-1.787,4034.84,0.0,1.0,0.0,0.0,569
65,-0.482,-0.906,3785.54,0.0,-1.0,0.0,0.0,573
66,-1.182,-2.616,2125.83,0.0,-1.0,0.0,0.0,599
67,0.705,2.206,3280.21,0.0,1.0,0.0,0.0,616
68,0.106,1.005,3269.89,0.0,1.0,0.0,0.0,621
69,0.058,3.059,2681.28,0.0,-1.0,0.0,0.0,621
70,1.465,1.054,194.5,0.0,1.0,0.0,0.0,636
71,-1.327,0.602,566.17,0.0,1.0,0.0,0.0,643
72,0.691,-2.633,16.11,0.0,1.0,0.0,0.0,655
73,-0.08,-1.153,1541.5,0.0,1.0,0.0,0.0,666
74,0.265,-2.564,2705.08,0.0,1.0,0.0,0.0,711
75,0.111,1.541,2201.38,0.0,1.0,0.0,0.0,713
76,0.758,-0.861,552.46,0.0,1.0,0.0,0.0,721
77,0.356,-1.476,1069.59,0.0,1.0,0.0,0.0,726
78,-2.054,0.228,122.22,0.0,1.0,0.0,0.0,733
79,-0.285,1.07,1910.42,0.0,-1.0,0.0,0.0,745
80,0.11,0.634,2753.97,0.0,1.0,0.0,0.0,749
81,-0.824,-2.951,1650.49,0.0,1.0,0.0,0.0,775
82,-0.722,0.598,2427.22,0.0,-1.0,0.0,0.0,801
83,0.819,2.915,596.12,0.0,1.0,0.0,0.0,801
84,-0.908,0.444,1437.37,0.0,1.0,0.0,0.0,874
85,-0.611,-1.991,1867.29,0.0,-1.0,0.0,0.0,898
86,0.402,-0.449,1460.11,0.0,1.0,0.0,0.0,902
87,1.454,1.881,572.43,0.0,1.0,0.0,0.0,993
88,0.912,0.785,2103.99,0.0,1.0,0.0,0.0,998
89,0.576,-2.565,906.84,0.0,1.0,0.0,0.0,1012
90,0.116,2.14,1585.03,0.0,1.0,0.0,0.0,1060
91,0.378,-3.113,2164.2,0.0,-1.0,0.0,0.0,1061
92,2.126,3.001,591.06,0.0,-1.0,0.0,0.0,1078
93,0.265,1.663,1665.03,0.0,1.0,0.0,0.0,1081
94,0.031,-1.805,3328.35,0.0,1.0,0.0,0.0,1109
95,-0.41,0.156,4207.54,0.0,1.0,0.0,0.0,1114
96,-0.448,-1.986,1055.91,0.0,1.0,0.0,0.0,1145
97,0.587,1.344,112.89,0.0,1.0,0.0,0.0,1179
98,-0.423,3.065,1894.28,0.0,1.0,0.0,0.0,1192
99,-0.604,-0.376,1354.11,0.0,1.0,0.0,0.0,1206
100,-0.234,-0.308,461.76,0.0,-1.0,0.0,0.0,1220
101,-0.324,1.481,1623.16,0.0,1.0,0.0,0.0,1239
102,-0.096,0.122,155.66,0.0,1.0,0.0,0.0,1269
103,0.647,-0.485,1916.44,0.0,1.0,0.0,0.0,1276
104,-1.348,-2.687,1810.73,0.0,-1.0,0.0,0.0,1277
105,1.331,-2.143,1612.05,0.0,-1.0,0.0,0.0,1311
106,0.507,1.845,118.44,0.0,1.0,0.0,0.0,1313
107,0.576,1.861,1440.49,0.0,1.0,0.0,0.0,1321
108,-0.751,-2.815,122.7,0.0,1.0,0.0,0.0,1342
109,0.741,1.818,990.31,0.0,1.0,0.0,0.0,1344
110,0.801,1.037,2754.36,0.0,1.0,0.0,0.0,1352
111,-0.053,1.458,1425.45,0.0,1.0,0.0,0.0,1353
112,-1.526,2.515,898.13,0.0,-1.0,0.0,0.0,1353
113,-0.568,-0.834,2570.17,0.0,1.0,0.0,0.0,1354
114,-0.173,0.539,207.91,0.0,1.0,0.0,0.0,1457
115,-1.1,1.314,552.48,0.0,1.0,0.0,0.0,1460
116,0.138,-2.72,889.94,0.0,-1.0,0.0,0.0,1479
117,-0.366,0.047,3402.44,0.0,-1.0,0.0,0.0,1480
118,-0.05,0.477,1544.04,0.0,1.0,0.0,0.0,1487
119,-0.556,-2.066,2756.91,0.0,1.0,0.0,0.0,1499
120,0.154,1.933,518.02,0.0,1.0,0.0,0.0,1500
121,0.288,-2.852,390.27,0.0,1.0,0.0,0.0,1533
122,0.146,-1.932,116.05,0.0,1.0,0.0,0.0,1551
123,-0.78,2.236,1990.53,0.0,1.0,0.0,0.0,1575
124,1.249,-1.589,1989.57,0.0,1.0,0.0,0.0,1590
125,0.146,-2.318,1883.25,0.0,-1.0,0.0,0.0,1590
126,0.595,-2.513,2395.31,0.0,-1.0,0.0,0.0,1618
127,-0.776,-0.847,574.66,0.0,1.0,0.0,0.0,1621
128,1.139,-0.986,1294.49,0.0,1.0,0.0,0.0,1630
129,0.57,-2.265,319.99,0.0,1.0,0.0,0.0,1664
130,1.971,1.628,989.68,0.0,1.0,0.0,0.0,1678
131,-2.409,2.617,84.77,0.0,1.0,0.0,0.0,1825
132,0.58,-1.824,3315.77,0.0,1.0,0.0,0.0,1827
133,2.1,0.014,666.54,0.0,1.0,0.0,0.0,1830
134,-1.186,2.835,61.81,0.0,-1.0,0.0,0.0,1841
135,1.818,-2.879,942.17,0.0,1.0,0.0,0.0,1853
136,-0.856,-2.236,2923.7,0.0,-1.0,0.0,0.0,1857
137,-0.827,0.992,537.67,0.0,1.0,0.0,0.0,1857
138,-1.626,1.495,238.65,0.0,1.0,0.0,0.0,1877
139,0.43,1.426,3155.27,0.0,1.0,0.0,0.0,1904
140,-0.451,1.751,2855.46,0.0,1.0,0.0,0.0,1949
141,0.782,0.583,1417.35,0.0,1.0,0.0,0.0,1952
142,1.199,-1.111,1708.02,0.0,1.0,0.0,0.0,1981
143,-1.319,-1.945,303.84,0.0,1.0,0.0,0.0,1998
144,-1.044,-0.396,373.14,0.0,1.0,0.0,0.0,2080
145,-1.16,-0.862,102.13,0.0,-1.0,0.0,0.0,2080
146,1.519,-0.71,770.16,0.0,1.0,0.0,0.0,2107
147,0.597,2.425,2013.8,0.0,-1.0,0.0,0.0,2126
148,-1.53,-2.033,107.09,0.0,1.0,0.0,0.0,2150
149,2.174,-1.471,205.17,0.0,1.0,0.0,0.0,2157
150,0.421,-1.907,615.91,0.0,1.0,0.0,0.0,2162
151,-0.467,2.384,102.86,0.0,1.0,0.0,0.0,2209
152,-0.499,-1.904,720.85,0.0,1.0,0.0,0.0,2220
153,0.792,-1.298,1333.05,0.0,1.0,0.0,0.0,2236
154,-0.524,-0.59,27.16,0.0,1.0,0.0,0.0,2243
155,0.148,-1.056,45.08,0.0,-1.0,0.0,0.0,2268
156,0.205,0.446,665.43,0.0,1.0,0.0,0.0,2272
157,0.876,0.474,2293.54,0.0,1.0,0.0,0.0,2287
158,-0.517,1.626,31.67,0.0,1.0,0.0,0.0,2310
159,0.392,-0.021,2897.76,0.0,1.0,0.0,0.0,2330
160,-0.336,-3.056,3750.98,0.0,1.0,0.0,0.0,2333
161,-0.315,-0.313,2474.11,0.0,1.0,0.0,0.0,2346
162,1.964,-2.009,111.94,0.0,1.0,0.0,0.0,2373
163,0.905,-0.297,1919.44,0.0,1.0,0.0,0.0,2374
164,-0.771,0.69,1726.93,0.0,1.0,0.0,0.0,2400
165,0.306,1.505,2033.58,0.0,1.0,0.0,0.0,2431
166,-0.841,-2.287,3155.41,0.0,1.0,0.0,0.0,2438
167,0.188,1.533,2677.6,0.0,1.0,0.0,0.0,2450
168,0.546,1.839,2937.99,0.0,1.0,0.0,0.0,2455
169,0.268,2.405,2079.91,0.0,-1.0,0.0,0.0,2469
170,0.691,-2.145,2761.45,0.0,1.0,0.0,0.0,2499
171,-1.482,-2.229,785.36,0.0,1.0,0.0,0.0,2505
172,-0.616,1.457,4006.63,0.0,1.0,0.0,0.0,2521
173,0.011,-1.659,1973.09,0.0,-1.0,0.0,0.0,2530
174,-1.072,2.295,1301.12,0.0,1.0,0.0,0.0,2531
175,0.927,-2.515,3020.97,0.0,1.0,0.0,0.0,2554
176,-1.035,0.359,573.76,0.0,-1.0,0.0,0.0,2554
177,0.424,-2.784,543.91,0.0,1.0,0.0,0.0,2570
178,0.316,-1.269,907.0,0.0,1.0,0.0,0.0,2577
179,0.901,0.463,2258.67,0.0,-1.0,0.0,0.0,2596
180,-0.295,2.538,70.54,0.0,1.0,0.0,0.0,2612
181,-0.229,0.194,934.53,0.0,1.0,0.0,0.0,2624
182,0.322,-1.901,627.73,0.0,1.0,0.0,0.0,2635
183,0.079,-2.943,912.76,0.0,1.0,0.0,0.0,2657
184,-0.428,-0.768,734.33,0.0,-1.0,0.0,0.0,2657
185,0.16,-0.324,121.76,0.0,-1.0,0.0,0.0,2663
186,-0.39,1.941,1406.84,0.0,1.0,0.0,0.0,2684
187,-0.022,2.428,3468.63,0.0,-1.0,0.0,0.0,2691
188,1.324,-0.534,1285.0,0.0,1.0,0.0,0.0,2692
189,0.455,-1.908,2827.31,0.0,1.0,0.0,0.0,2699
190,-0.308,-2.404,1410.78,0.0,1.0,0.0,0.0,2727
191,-0.226,1.042,1498.99,0.0,1.0,0.0,0.0,2743
192,0.078,2.05,2941.13,0.0,-1.0,0.0,0.0,2797
193,0.063,2.137,28.78,0.0,1.0,0.0,0.0,2818
194,-0.108,1.558,2942.92,0.0,-1.0,0.0,0.0,2822
195,0.228,0.788,4119.46,0.0,1.0,0.0,0.0,2832
196,-0.795,1.658,1094.82,0.0,1.0,0.0,0.0,2880
197,-0.222,-2.178,1201.44,0.0,1.0,0.0,0.0,2883
198,1.275,-0.739,172.56,0.0,1.0,0.0,0.0,2892
199,0.939,-0.721,568.86,0.0,1.0,0.0,0.0,2902
200,-0.028,1.054,552.88,0.0,-1.0,0.0,0.0,2934
201,-1.01,2.07,1638.36,0.0,1.0,0.0,0.0,2943
202,1.429,2.019,1887.84,0.0,-1.0,0.0,0.0,2963
203,0.084,0.473,3477.73,0.0,1.0,0.0,0.0,3008
204,-0.283,1.546,2783.89,0.0,-1.0,0.0,0.0,3018
205,-0.793,2.843,3136.68,0.0,1.0,0.0,0.0,3028
206,-0.999,-1.821,2372.0,0.0,1.0,0.0,0.0,3039
207,-0.169,0.979,257.04,0.0,1.0,0.0,0.0,3093
208,0.188,-0.898,1975.5,0.0,1.0,0.0,0.0,3099
209,1.249,1.324,764.36,0.0,1.0,0.0,0.0,3141
210,-0.656,0.237,622.71,0.0,-1.0,0.0,0.0,3144
