,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.0,-1.021,1546.71,0.0,0.0,0.0,0.0
1,0.0,2.261,520.89,0.0,0.0,0.0,0.0
2,0.0,-1.5,802.02,0.0,0.0,0.0,0.0
3,0.0,1.139,3016.43,0.0,0.0,0.0,0.0
4,0.0,2.863,514.52,0.0,0.0,0.0,0.0
5,0.0,-0.688,78.33,0.0,0.0,0.0,0.0
6,0.0,-0.237,110.33,0.0,0.0,0.0,0.0
7,0.0,1.304,920.9,0.0,0.0,0.0,0.0
8,0.0,-2.547,3087.66,0.0,0.0,0.0,0.0
9,0.0,2.671,1675.57,0.0,0.0,0.0,0.0
10,0.0,2.938,579.68,0.0,0.0,0.0,0.0
11,0.0,-0.672,621.31,0.0,0.0,0.0,0.0
12,0.0,3.123,1304.71,0.0,0.0,0.0,0.0
13,0.0,-2.99,2288.0,0.0,0.0,0.0,0.0
14,0.0,0.343,34.44,0.0,0.0,0.0,0.0
15,0.0,2.807,2730.16,0.0,0.0,0.0,0.0
16,0.0,-1.744,839.43,0.0,0.0,0.0,0.0
17,0.0,-1.084,1693.48,0.0,0.0,0.0,0.0
18,0.0,2.028,120.73,0.0,0.0,0.0,0.0
19,0.0,-0.485,236.76,0.0,0.0,0.0,0.0
20,0.0,-2.907,517.97,0.0,0.0,0.0,0.0
21,0.0,2.794,3140.1,0.0,0.0,0.0,0.0
22,0.0,-2.286,424.91,0.0,0.0,0.0,0.0
23,0.0,-1.274,290.34,0.0,0.0,0.0,0.0
24,0.0,-0.411,205.42,0.0,0.0,0.0,0.0
25,0.0,0.756,289.57,0.0,0.0,0.0,0.0
26,0.0,-2.512,1353.89,0.0,0.0,0.0,0.0
27,0.0,-2.462,256.81,0.0,0.0,0.0,0.0
28,0.0,-1.67,436.37,0.0,0.0,0.0,0.0
29,0.0,1.291,18.0,0.0,0.0,0.0,0.0
30,0.0,2.857,63.03,0.0,0.0,0.0,0.0
31,0.0,-2.369,233.15,0.0,0.0,0.0,0.0
32,0.0,-1.021,2545.99,0.0,0.0,0.0,0.0
33,0.0,-0.387,54.38,0.0,0.0,0.0,0.0
34,0.0,0.94,387.44,0.0,0.0,0.0,0.0
35,0.0,-2.163,519.87,0.0,0.0,0.0,0.0
36,0.0,1.392,295.45,0.0,0.0,0.0,0.0
37,0.0,2.216,343.75,0.0,0.0,0.0,0.0
38,0.0,2.308,666.66,0.0,0.0,0.0,0.0
39,0.0,-1.789,1726.07,0.0,0.0,0.0,0.0
40,0.0,-0.344,71.96,0.0,0.0,0.0,0.0
41,0.0,2.011,1461.14,0.0,0.0,0.0,0.0
42,0.0,1.471,30.98,0.0,0.0,0.0,0.0
43,0.0,-1.761,335.91,0.0,0.0,0.0,0.0
44,0.0,0.971,114.06,0.0,0.0,0.0,0.0
45,0.0,1.148,982.88,0.0,0.0,0.0,0.0
46,0.0,2.311,600.77,0.0,0.0,0.0,0.0
47,0.0,-1.189,86.56,0.0,0.0,0.0,0.0
