,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.113,0.525,359.83,0.0,0.0,0.0,0.0
1,0.465,1.109,35.69,0.0,0.0,0.0,0.0
2,-0.347,2.198,4029.0,0.0,0.0,0.0,0.0
3,-0.089,-1.643,388.93,0.0,0.0,0.0,0.0
4,0.914,-2.362,2865.82,0.0,0.0,0.0,0.0
5,-0.601,-0.216,141.95,0.0,0.0,0.0,0.0
6,-0.376,-2.247,60.97,0.0,0.0,0.0,0.0
7,-0.359,2.485,1826.56,0.0,0.0,0.0,0.0
8,-0.063,1.992,1704.29,0.0,0.0,0.0,0.0
9,1.427,-0.911,70.79,0.0,0.0,0.0,0.0
10,-2.173,-1.159,14.86,0.0,0.0,0.0,0.0
11,-0.311,-0.225,76.24,0.0,0.0,0.0,0.0
12,-0.163,1.0,1901.65,0.0,0.0,0.0,0.0
13,0.385,-0.348,1940.37,0.0,0.0,0.0,0.0
14,-1.564,1.669,72.09,0.0,0.0,0.0,0.0
15,-1.568,2.745,297.78,0.0,0.0,0.0,0.0
16,-1.074,-1.829,1930.05,0.0,0.0,0.0,0.0
17,0.484,-1.095,1185.15,0.0,0.0,0.0,0.0
18,-1.255,0.815,32.21,0.0,0.0,0.0,0.0
19,-0.13,-2.174,35.83,0.0,0.0,0.0,0.0
20,1.391,-2.595,13.48,0.0,0.0,0.0,0.0
21,1.304,0.709,1058.99,0.0,0.0,0.0,0.0
22,2.084,1.393,49.51,0.0,0.0,0.0,0.0
23,1.281,-0.439,1284.21,0.0,0.0,0.0,0.0
24,1.264,-1.38,275.62,0.0,0.0,0.0,0.0
25,0.046,-1.942,141.87,0.0,0.0,0.0,0.0
26,-1.222,-0.749,734.89,0.0,0.0,0.0,0.0
27,-0.75,2.761,1857.77,0.0,0.0,0.0,0.0
28,-1.304,-1.367,2312.16,0.0,0.0,0.0,0.0
29,-0.956,1.089,44.46,0.0,0.0,0.0,0.0
30,0.292,-1.869,3920.7,0.0,0.0,0.0,0.0
31,-0.829,-0.412,1587.53,0.0,0.0,0.0,0.0
32,0.717,-2.296,11.1,0.0,0.0,0.0,0.0
33,0.065,-1.813,3093.51,0.0,0.0,0.0,0.0
34,-0.124,-2.506,1574.25,0.0,0.0,0.0,0.0
35,0.33,3.121,68.37,0.0,0.0,0.0,0.0
36,2.302,2.066,37.35,0.0,0.0,0.0,0.0
37,2.473,0.422,601.35,0.0,0.0,0.0,0.0
38,2.353,-1.527,17.04,0.0,0.0,0.0,0.0
39,1.533,-0.193,13.14,0.0,0.0,0.0,0.0
40,-0.68,2.026,822.75,0.0,0.0,0.0,0.0
41,0.979,2.933,2293.92,0.0,0.0,0.0,0.0
42,-0.382,-1.916,17.6,0.0,0.0,0.0,0.0
43,0.292,0.787,88.85,0.0,0.0,0.0,0.0
44,-1.718,-0.289,96.77,0.0,0.0,0.0,0.0
45,-1.73,2.299,25.11,0.0,0.0,0.0,0.0
46,0.491,1.783,55.63,0.0,0.0,0.0,0.0
47,-0.441,2.844,3947.6,0.0,0.0,0.0,0.0
48,-1.105,-1.194,1898.84,0.0,0.0,0.0,0.0
49,-0.283,-1.34,3931.36,0.0,0.0,0.0,0.0
50,0.147,1.521,4405.54,0.0,0.0,0.0,0.0
51,1.526,1.475,254.86,0.0,0.0,0.0,0.0
52,-0.653,0.664,10.0,0.0,0.0,0.0,0.0
53,-1.875,-0.524,373.43,0.0,0.0,0.0,0.0
54,2.076,-2.272,40.02,0.0,0.0,0.0,0.0
55,-0.682,0.313,2625.68,0.0,0.0,0.0,0.0
56,0.207,1.812,4842.36,0.0,0.0,0.0,0.0
57,-0.435,2.708,27.97,0.0,0.0,0.0,0.0
58,0.463,1.886,3776.03,0.0,0.0,0.0,0.0
59,-1.292,-0.549,2174.44,0.0,0.0,0.0,0.0
60,-1.436,-1.772,1663.8,0.0,0.0,0.0,0.0
61,0.123,2.145,2503.55,0.0,0.0,0.0,0.0
62,-0.799,1.125,83.98,0.0,0.0,0.0,0.0
63,0.412,2.067,2252.01,0.0,0.0,0.0,0.0
64,-0.012,0.322,66.44,0.0,0.0,0.0,0.0
65,0.011,-1.436,623.72,0.0,0.0,0.0,0.0
66,-1.857,-0.987,1182.53,0.0,0.0,0.0,0.0
67,0.039,-2.418,1084.19,0.0,0.0,0.0,0.0
68,-0.153,-1.507,218.73,0.0,0.0,0.0,0.0
69,-0.967,-1.948,994.94,0.0,0.0,0.0,0.0
70,-0.438,1.852,247.05,0.0,0.0,0.0,0.0
71,0.386,1.141,32.62,0.0,0.0,0.0,0.0
72,-0.399,1.096,865.44,0.0,0.0,0.0,0.0
73,1.704,-0.035,26.58,0.0,0.0,0.0,0.0
74,1.224,2.953,978.97,0.0,0.0,0.0,0.0
75,0.239,-0.125,88.89,0.0,0.0,0.0,0.0
76,-1.521,2.805,102.27,0.0,0.0,0.0,0.0
77,2.122,2.498,11.05,0.0,0.0,0.0,0.0
78,0.792,-1.534,989.77,0.0,0.0,0.0,0.0
79,0.254,-2.258,22.0,0.0,0.0,0.0,0.0
80,-0.448,-2.24,3522.36,0.0,0.0,0.0,0.0
81,0.04,-0.292,859.94,0.0,0.0,0.0,0.0
82,1.47,0.544,1132.67,0.0,0.0,0.0,0.0
83,-0.155,1.127,2031.09,0.0,0.0,0.0,0.0
84,1.069,-1.966,2032.12,0.0,0.0,0.0,0.0
85,-0.329,0.146,939.91,0.0,0.0,0.0,0.0
86,-0.633,1.967,2073.77,0.0,0.0,0.0,0.0
87,0.547,-3.125,65.47,0.0,0.0,0.0,0.0
88,-0.652,2.771,2624.44,0.0,0.0,0.0,0.0
89,-1.199,-0.87,2227.59,0.0,0.0,0.0,0.0
90,-1.091,-2.48,671.6,0.0,0.0,0.0,0.0
91,-2.062,-2.101,47.48,0.0,0.0,0.0,0.0
92,0.83,-3.107,1843.31,0.0,0.0,0.0,0.0
93,-0.722,-0.806,30.02,0.0,0.0,0.0,0.0
94,-0.073,-1.496,4276.31,0.0,0.0,0.0,0.0
95,1.45,-0.013,1684.39,0.0,0.0,0.0,0.0
96,0.894,0.775,32.9,0.0,0.0,0.0,0.0
97,-0.194,0.499,548.15,0.0,0.0,0.0,0.0
98,0.27,-1.708,4570.34,0.0,0.0,0.0,0.0
99,-0.327,-0.653,15.62,0.0,0.0,0.0,0.0
100,0.417,-3.001,11.78,0.0,0.0,0.0,0.0
101,-1.124,1.299,726.39,0.0,0.0,0.0,0.0
102,-1.768,-2.025,1060.16,0.0,0.0,0.0,0.0
103,0.451,-2.979,336.32,0.0,0.0,0.0,0.0
104,1.534,0.421,46.9,0.0,0.0,0.0,0.0
105,-1.927,-2.15,18.53,0.0,0.0,0.0,0.0
106,-2.006,3.098,96.5,0.0,0.0,0.0,0.0
107,1.545,-0.936,241.97,0.0,0.0,0.0,0.0
108,0.093,1.304,3132.2,0.0,0.0,0.0,0.0
109,-0.668,-1.297,217.45,0.0,0.0,0.0,0.0
110,0.918,-1.868,117.61,0.0,0.0,0.0,0.0
111,0.052,-0.484,314.64,0.0,0.0,0.0,0.0
112,-0.162,1.531,1771.88,0.0,0.0,0.0,0.0
113,-0.035,-1.679,4018.1,0.0,0.0,0.0,0.0
114,2.224,1.239,813.87,0.0,0.0,0.0,0.0
115,-0.624,-2.58,3448.44,0.0,0.0,0.0,0.0
116,0.227,-2.529,3753.23,0.0,0.0,0.0,0.0
117,0.661,-0.537,3044.32,0.0,0.0,0.0,0.0
118,-0.102,-0.036,4354.39,0.0,0.0,0.0,0.0
119,-1.917,-2.007,450.15,0.0,0.0,0.0,0.0
120,-0.813,1.128,121.92,0.0,0.0,0.0,0.0
121,0.867,-2.004,13.43,0.0,0.0,0.0,0.0
122,-0.266,2.965,862.52,0.0,0.0,0.0,0.0
123,0.271,-2.462,1377.9,0.0,0.0,0.0,0.0
124,-1.137,1.236,359.24,0.0,0.0,0.0,0.0
125,1.034,2.903,27.72,0.0,0.0,0.0,0.0
126,0.509,2.072,3280.89,0.0,0.0,0.0,0.0
127,-0.261,-1.691,2873.98,0.0,0.0,0.0,0.0
128,1.655,-2.301,13.58,0.0,0.0,0.0,0.0
129,0.137,1.862,38.23,0.0,0.0,0.0,0.0
130,0.846,1.331,87.4,0.0,0.0,0.0,0.0
131,1.387,-1.864,995.52,0.0,0.0,0.0,0.0
132,0.37,2.731,23.57,0.0,0.0,0.0,0.0
133,1.832,1.75,956.73,0.0,0.0,0.0,0.0
134,-0.765,0.956,538.43,0.0,0.0,0.0,0.0
135,-0.393,0.207,3859.16,0.0,0.0,0.0,0.0
136,-0.94,-2.12,61.18,0.0,0.0,0.0,0.0
137,-0.772,1.522,534.1,0.0,0.0,0.0,0.0
138,1.407,-3.02,2251.17,0.0,0.0,0.0,0.0
139,0.08,-2.855,3135.43,0.0,0.0,0.0,0.0
140,-0.033,3.083,2395.08,0.0,0.0,0.0,0.0
141,0.262,1.368,268.09,0.0,0.0,0.0,0.0
142,1.111,2.996,218.09,0.0,0.0,0.0,0.0
143,-0.781,2.085,1902.02,0.0,0.0,0.0,0.0
144,-0.171,-1.42,3399.36,0.0,0.0,0.0,0.0
145,0.153,-1.845,912.76,0.0,0.0,0.0,0.0
146,-1.998,-1.105,891.49,0.0,0.0,0.0,0.0
147,0.454,-1.59,1774.65,0.0,0.0,0.0,0.0
148,-0.365,-2.69,2852.95,0.0,0.0,0.0,0.0
149,0.095,1.496,3861.74,0.0,0.0,0.0,0.0
150,1.202,1.407,1086.67,0.0,0.0,0.0,0.0
151,-0.684,1.418,2505.77,0.0,0.0,0.0,0.0
152,0.236,2.79,1054.25,0.0,0.0,0.0,0.0
153,-0.748,0.253,307.49,0.0,0.0,0.0,0.0
154,-1.381,-2.574,117.55,0.0,0.0,0.0,0.0
155,0.613,-2.135,2923.8,0.0,0.0,0.0,0.0
156,0.574,-2.682,2161.92,0.0,0.0,0.0,0.0
157,1.73,-2.553,124.5,0.0,0.0,0.0,0.0
158,-0.593,-2.339,674.55,0.0,0.0,0.0,0.0
159,0.357,-2.597,2403.54,0.0,0.0,0.0,0.0
160,1.813,2.977,12.1,0.0,0.0,0.0,0.0
161,0.544,1.347,11.56,0.0,0.0,0.0,0.0
162,0.496,-1.34,2307.86,0.0,0.0,0.0,0.0
163,-1.017,-1.869,868.34,0.0,0.0,0.0,0.0
164,0.918,2.27,362.2,0.0,0.0,0.0,0.0
165,0.028,-0.154,68.41,0.0,0.0,0.0,0.0
166,0.699,-2.783,878.06,0.0,0.0,0.0,0.0
167,-1.159,2.255,527.29,0.0,0.0,0.0,0.0
168,-0.563,0.893,48.45,0.0,0.0,0.0,0.0
169,-0.324,1.805,1883.47,0.0,0.0,0.0,0.0
170,-0.081,3.067,180.2,0.0,0.0,0.0,0.0
171,0.544,-0.454,4259.1,0.0,0.0,0.0,0.0
172,0.905,2.714,3152.28,0.0,0.0,0.0,0.0
173,-0.076,-0.124,2302.49,0.0,0.0,0.0,0.0
174,0.739,1.5,25.33,0.0,0.0,0.0,0.0
175,1.582,2.738,28.6,0.0,0.0,0.0,0.0
176,-0.113,-2.417,4215.81,0.0,0.0,0.0,0.0
177,0.56,2.348,535.24,0.0,0.0,0.0,0.0
178,-0.212,-2.919,615.05,0.0,0.0,0.0,0.0
179,0.143,0.363,3544.32,0.0,0.0,0.0,0.0
180,-1.249,-1.393,1139.64,0.0,0.0,0.0,0.0
181,0.71,-1.866,1606.12,0.0,0.0,0.0,0.0
182,0.07,1.961,71.26,0.0,0.0,0.0,0.0
183,0.452,-2.762,41.97,0.0,0.0,0.0,0.0
184,-1.009,0.771,1732.4,0.0,0.0,0.0,0.0
185,2.184,0.448,19.63,0.0,0.0,0.0,0.0
186,-0.108,-0.729,94.81,0.0,0.0,0.0,0.0
187,0.459,-1.994,3058.7,0.0,0.0,0.0,0.0
188,-0.308,2.404,2067.95,0.0,0.0,0.0,0.0
189,0.394,1.792,2298.19,0.0,0.0,0.0,0.0
190,-0.542,1.009,679.35,0.0,0.0,0.0,0.0
191,-1.36,2.567,66.41,0.0,0.0,0.0,0.0
192,-0.621,-1.775,2921.28,0.0,0.0,0.0,0.0
193,2.113,-0.008,818.41,0.0,0.0,0.0,0.0
194,0.493,-2.414,70.89,0.0,0.0,0.0,0.0
195,-1.14,0.6,2073.77,0.0,0.0,0.0,0.0
196,1.202,-1.542,86.96,0.0,0.0,0.0,0.0
197,-0.03,0.841,2837.58,0.0,0.0,0.0,0.0
198,1.071,2.813,2388.59,0.0,0.0,0.0,0.0
199,0.264,1.985,2428.96,0.0,0.0,0.0,0.0
200,0.493,2.105,20.17,0.0,0.0,0.0,0.0
201,0.195,2.1,26.34,0.0,0.0,0.0,0.0
202,0.803,-2.64,66.74,0.0,0.0,0.0,0.0
203,0.701,-1.193,24.18,0.0,0.0,0.0,0.0
204,-0.744,-0.314,2638.09,0.0,0.0,0.0,0.0
205,0.286,-0.589,35.9,0.0,0.0,0.0,0.0
206,-0.43,-2.022,2342.66,0.0,0.0,0.0,0.0
207,0.507,2.356,1389.51,0.0,0.0,0.0,0.0
208,-0.015,2.546,2854.28,0.0,0.0,0.0,0.0
209,-0.886,-1.315,890.95,0.0,0.0,0.0,0.0
210,2.315,-0.237,225.77,0.0,0.0,0.0,0.0
211,-0.016,-1.412,2624.78,0.0,0.0,0.0,0.0
212,-0.191,2.122,1598.08,0.0,0.0,0.0,0.0
213,0.61,0.97,400.77,0.0,0.0,0.0,0.0
214,-1.325,-2.589,35.89,0.0,0.0,0.0,0.0
215,0.922,-0.009,1940.95,0.0,0.0,0.0,0.0
216,0.784,0.053,14.55,0.0,0.0,0.0,0.0
217,-0.932,-2.036,2149.0,0.0,0.0,0.0,0.0
218,-0.184,-0.523,16.81,0.0,0.0,0.0,0.0
219,-0.09,-1.272,1003.84,0.0,0.0,0.0,0.0
220,-0.043,-2.328,3309.62,0.0,0.0,0.0,0.0
221,-0.425,-0.449,45.91,0.0,0.0,0.0,0.0
222,-0.282,0.454,611.95,0.0,0.0,0.0,0.0
223,0.943,3.109,2290.67,0.0,0.0,0.0,0.0
224,0.148,0.157,1814.42,0.0,0.0,0.0,0.0
225,0.515,2.047,767.92,0.0,0.0,0.0,0.0
226,0.457,3.0,25.95,0.0,0.0,0.0,0.0
227,0.165,1.053,2875.75,0.0,0.0,0.0,0.0
228,-2.056,-2.504,49.39,0.0,0.0,0.0,0.0
229,0.403,-0.347,2029.78,0.0,0.0,0.0,0.0
230,0.891,3.035,22.56,0.0,0.0,0.0,0.0
231,1.578,1.977,1408.51,0.0,0.0,0.0,0.0
232,-0.365,-2.775,3106.36,0.0,0.0,0.0,0.0
233,-0.706,-2.392,959.77,0.0,0.0,0.0,0.0
234,-0.04,1.925,81.17,0.0,0.0,0.0,0.0
235,0.637,-0.731,482.27,0.0,0.0,0.0,0.0
236,0.558,-1.137,3069.9,0.0,0.0,0.0,0.0
237,-0.391,2.768,382.42,0.0,0.0,0.0,0.0
238,-0.033,-0.344,47.86,0.0,0.0,0.0,0.0
239,-0.536,-2.484,2708.52,0.0,0.0,0.0,0.0
240,-0.042,0.66,1699.59,0.0,0.0,0.0,0.0
241,-1.637,-2.519,1033.44,0.0,0.0,0.0,0.0
242,0.495,-0.226,4065.17,0.0,0.0,0.0,0.0
243,0.215,-0.226,1473.78,0.0,0.0,0.0,0.0
244,1.742,-0.373,857.31,0.0,0.0,0.0,0.0
245,-0.505,2.521,173.88,0.0,0.0,0.0,0.0
246,-0.899,1.932,214.08,0.0,0.0,0.0,0.0
247,0.265,0.105,3075.6,0.0,0.0,0.0,0.0
248,-0.094,1.404,3579.96,0.0,0.0,0.0,0.0
249,-1.323,2.437,391.21,0.0,0.0,0.0,0.0
250,0.509,-0.073,19.67,0.0,0.0,0.0,0.0
251,0.518,0.217,1403.57,0.0,0.0,0.0,0.0
252,-0.322,2.245,487.35,0.0,0.0,0.0,0.0
253,-0.38,-1.04,2756.38,0.0,0.0,0.0,0.0
254,0.224,1.046,24.26,0.0,0.0,0.0,0.0
255,-1.591,-2.801,18.9,0.0,0.0,0.0,0.0
256,0.713,-2.008,3410.47,0.0,0.0,0.0,0.0
257,0.571,-0.806,133.98,0.0,0.0,0.0,0.0
258,1.32,3.082,26.51,0.0,0.0,0.0,0.0
259,-1.355,2.397,201.29,0.0,0.0,0.0,0.0
260,0.399,-0.711,1919.47,0.0,0.0,0.0,0.0
261,0.789,-2.441,32.23,0.0,0.0,0.0,0.0
262,0.873,-2.508,2893.63,0.0,0.0,0.0,0.0
263,0.921,-2.455,1494.78,0.0,0.0,0.0,0.0
264,-0.275,-2.689,155.8,0.0,0.0,0.0,0.0
265,0.228,-2.071,165.03,0.0,0.0,0.0,0.0
266,-0.077,1.353,39.91,0.0,0.0,0.0,0.0
267,1.19,-0.345,1584.64,0.0,0.0,0.0,0.0
268,1.308,-3.012,39.42,0.0,0.0,0.0,0.0
269,-0.266,-0.226,1072.25,0.0,0.0,0.0,0.0
270,1.282,-1.295,30.03,0.0,0.0,0.0,0.0
271,0.049,1.691,161.99,0.0,0.0,0.0,0.0
272,-0.902,2.77,169.99,0.0,0.0,0.0,0.0
273,0.57,-3.111,77.4,0.0,0.0,0.0,0.0
274,0.911,-0.68,1848.29,0.0,0.0,0.0,0.0
275,0.249,-1.341,3878.62,0.0,0.0,0.0,0.0
276,-0.092,-2.315,268.8,0.0,0.0,0.0,0.0
277,-0.109,-1.49,3473.37,0.0,0.0,0.0,0.0
278,1.851,0.174,1305.21,0.0,0.0,0.0,0.0
279,-0.923,1.171,108.16,0.0,0.0,0.0,0.0
280,-0.187,-2.514,414.54,0.0,0.0,0.0,0.0
281,0.606,1.246,2350.28,0.0,0.0,0.0,0.0
282,0.106,-0.902,615.54,0.0,0.0,0.0,0.0
283,-1.434,-1.207,11.47,0.0,0.0,0.0,0.0
284,-1.865,0.629,1173.97,0.0,0.0,0.0,0.0
285,0.521,2.77,2192.45,0.0,0.0,0.0,0.0
286,-0.694,2.784,1179.92,0.0,0.0,0.0,0.0
287,-0.044,-0.934,198.27,0.0,0.0,0.0,0.0
288,0.564,0.906,277.14,0.0,0.0,0.0,0.0
289,-0.778,1.587,2468.87,0.0,0.0,0.0,0.0
290,-0.373,-0.233,676.33,0.0,0.0,0.0,0.0
291,-0.263,2.768,2429.75,0.0,0.0,0.0,0.0
292,-0.861,2.721,87.26,0.0,0.0,0.0,0.0
293,-0.613,-1.551,3493.0,0.0,0.0,0.0,0.0
294,0.036,0.952,612.6,0.0,0.0,0.0,0.0
295,0.751,0.907,14.62,0.0,0.0,0.0,0.0
296,2.002,-0.341,11.86,0.0,0.0,0.0,0.0
297,-0.216,-2.612,3368.15,0.0,0.0,0.0,0.0
298,1.116,0.901,29.98,0.0,0.0,0.0,0.0
299,-1.216,1.48,274.24,0.0,0.0,0.0,0.0
300,0.013,2.266,11.59,0.0,0.0,0.0,0.0
301,-0.451,-0.126,2215.31,0.0,0.0,0.0,0.0
302,-0.116,1.864,630.8,0.0,0.0,0.0,0.0
303,0.418,-2.751,835.21,0.0,0.0,0.0,0.0
304,0.754,-2.075,2966.75,0.0,0.0,0.0,0.0
305,-0.358,-2.747,478.09,0.0,0.0,0.0,0.0
306,-0.22,2.422,999.31,0.0,0.0,0.0,0.0
307,0.559,-1.812,1308.0,0.0,0.0,0.0,0.0
308,1.247,-1.511,261.8,0.0,0.0,0.0,0.0
309,-0.722,0.535,3606.76,0.0,0.0,0.0,0.0
310,-0.167,-2.17,622.55,0.0,0.0,0.0,0.0
311,0.07,-1.074,3310.6,0.0,0.0,0.0,0.0
312,-0.202,3.04,2858.26,0.0,0.0,0.0,0.0
313,0.212,2.039,3314.12,0.0,0.0,0.0,0.0
314,-0.612,-0.216,321.13,0.0,0.0,0.0,0.0
315,0.096,2.557,18.74,0.0,0.0,0.0,0.0
316,0.693,2.249,683.65,0.0,0.0,0.0,0.0
317,-1.127,-0.36,2102.08,0.0,0.0,0.0,0.0
318,-0.429,-1.394,1632.98,0.0,0.0,0.0,0.0
319,-0.097,2.877,3962.0,0.0,0.0,0.0,0.0
320,0.671,0.672,1479.91,0.0,0.0,0.0,0.0
321,-0.257,-0.342,2505.99,0.0,0.0,0.0,0.0
322,0.607,-2.203,3513.31,0.0,0.0,0.0,0.0
323,-0.873,1.85,2421.98,0.0,0.0,0.0,0.0
324,-1.796,1.676,62.82,0.0,0.0,0.0,0.0
325,-0.844,0.153,3025.71,0.0,0.0,0.0,0.0
326,1.913,2.405,39.72,0.0,0.0,0.0,0.0
327,-0.743,0.777,1842.1,0.0,0.0,0.0,0.0
328,0.782,-0.93,764.87,0.0,0.0,0.0,0.0
329,0.107,2.139,492.57,0.0,0.0,0.0,0.0
330,-1.136,-2.286,18.79,0.0,0.0,0.0,0.0
331,0.275,-0.758,55.43,0.0,0.0,0.0,0.0
332,-1.22,-3.018,23.15,0.0,0.0,0.0,0.0
333,0.684,-2.958,18.58,0.0,0.0,0.0,0.0
334,1.177,-0.004,1813.37,0.0,0.0,0.0,0.0
335,1.367,0.389,45.09,0.0,0.0,0.0,0.0
336,0.055,-2.538,10.46,0.0,0.0,0.0,0.0
337,0.165,-2.174,2094.15,0.0,0.0,0.0,0.0
338,0.471,0.65,2636.81,0.0,0.0,0.0,0.0
339,2.164,1.564,686.71,0.0,0.0,0.0,0.0
340,-1.896,0.635,240.07,0.0,0.0,0.0,0.0
341,0.104,-1.456,493.4,0.0,0.0,0.0,0.0
342,0.179,1.911,3554.3,0.0,0.0,0.0,0.0
343,0.66,1.404,17.76,0.0,0.0,0.0,0.0
344,1.055,-0.098,511.74,0.0,0.0,0.0,0.0
345,-0.427,0.892,162.96,0.0,0.0,0.0,0.0
346,-0.055,1.415,3956.7,0.0,0.0,0.0,0.0
347,-0.103,1.033,51.63,0.0,0.0,0.0,0.0
348,2.061,-1.22,932.12,0.0,0.0,0.0,0.0
349,-0.144,1.528,188.66,0.0,0.0,0.0,0.0
350,-0.135,1.464,2240.05,0.0,0.0,0.0,0.0
351,0.21,0.486,198.68,0.0,0.0,0.0,0.0
352,-0.72,-0.114,2888.03,0.0,0.0,0.0,0.0
353,0.293,-1.189,1549.4,0.0,0.0,0.0,0.0
354,-1.875,-0.02,67.96,0.0,0.0,0.0,0.0
355,0.917,-2.733,1251.99,0.0,0.0,0.0,0.0
356,-0.092,-2.778,702.38,0.0,0.0,0.0,0.0
357,1.323,-2.08,283.57,0.0,0.0,0.0,0.0
358,0.874,2.86,3236.21,0.0,0.0,0.0,0.0
359,-1.464,-0.151,221.53,0.0,0.0,0.0,0.0
360,-0.414,0.993,2593.25,0.0,0.0,0.0,0.0
361,1.36,2.904,218.86,0.0,0.0,0.0,0.0
362,0.018,-1.296,429.98,0.0,0.0,0.0,0.0
363,0.619,1.09,3277.41,0.0,0.0,0.0,0.0
364,-0.104,-0.693,152.03,0.0,0.0,0.0,0.0
365,0.888,1.439,2862.52,0.0,0.0,0.0,0.0
366,0.91,2.069,2853.02,0.0,0.0,0.0,0.0
367,-1.158,-0.07,13.74,0.0,0.0,0.0,0.0
368,0.688,-2.463,174.47,0.0,0.0,0.0,0.0
369,-0.059,-1.039,57.81,0.0,0.0,0.0,0.0
370,-0.338,0.147,692.05,0.0,0.0,0.0,0.0
371,0.129,1.381,3378.85,0.0,0.0,0.0,0.0
372,0.154,-3.068,1359.55,0.0,0.0,0.0,0.0
373,1.815,-0.509,1532.78,0.0,0.0,0.0,0.0
374,-1.049,2.865,2538.53,0.0,0.0,0.0,0.0
375,0.77,-0.975,1654.32,0.0,0.0,0.0,0.0
376,0.514,-2.533,3873.93,0.0,0.0,0.0,0.0
377,0.122,2.667,1845.17,0.0,0.0,0.0,0.0
378,-0.031,-2.284,459.39,0.0,0.0,0.0,0.0
379,-1.267,-2.17,872.21,0.0,0.0,0.0,0.0
380,0.461,-1.308,829.64,0.0,0.0,0.0,0.0
381,0.649,1.218,259.69,0.0,0.0,0.0,0.0
382,0.462,2.045,2997.87,0.0,0.0,0.0,0.0
383,-1.202,0.837,126.5,0.0,0.0,0.0,0.0
