,eta,phi,PT,jmass,ntrk,btag,hadem
0,-0.354,3.003,379.28,62.89,-1.0,0.0,0.09
1,-0.42,0.074,430.24,10.44,1.0,0.0,999.9
2,0.981,-1.811,925.39,99.05,1.0,0.0,0.45
3,0.832,0.72,1100.09,0.14,1.0,0.0,999.9
4,0.021,1.872,3502.54,90.45,-1.0,0.0,0.1
5,0.481,-2.848,494.68,1.7,-1.0,0.0,0.0
6,-1.366,1.138,96.76,12.18,1.0,0.0,0.0
7,-0.646,-1.451,608.29,77.88,1.0,0.0,0.05
8,-1.401,0.707,28.98,5.57,1.0,0.0,0.59
9,-0.953,-0.342,53.39,8.17,1.0,0.0,999.9
10,0.503,1.296,2970.57,108.76,-1.0,0.0,1.96
11,-0.197,0.224,1853.37,60.5,-1.0,0.0,0.01
12,1.385,0.713,37.28,7.46,1.0,0.0,3.93
13,0.494,0.521,3020.63,50.87,1.0,0.0,0.0
14,1.87,-0.111,24.58,5.29,1.0,0.0,4.01
15,-0.14,-0.551,3431.57,68.11,1.0,0.0,0.11
16,0.226,-0.119,4073.33,580.07,-1.0,0.0,0.64
17,1.056,-1.282,26.83,3.92,1.0,0.0,1.99
18,0.344,-2.622,3159.88,186.38,1.0,0.0,0.03
19,0.182,0.114,2329.45,116.89,-1.0,0.0,0.6
20,1.459,-2.79,27.01,4.89,-1.0,0.0,18.01
21,-0.399,0.414,1735.73,213.69,1.0,0.0,0.56
22,0.217,-1.598,1550.66,109.52,1.0,0.0,2.68
23,0.843,0.549,162.28,31.36,1.0,0.0,1.11
24,0.235,-0.547,1655.67,38.68,-1.0,0.0,999.9
25,0.147,-2.253,72.98,12.05,1.0,0.0,0.12
26,-0.144,-0.865,113.76,21.22,-1.0,0.0,0.44
27,-0.671,-1.447,692.14,60.84,1.0,0.0,0.0
28,-0.298,0.881,431.34,70.7,1.0,0.0,0.08
29,-1.209,1.506,1476.51,117.51,-1.0,0.0,0.08
30,0.107,1.301,807.13,70.65,1.0,0.0,2.99
31,0.345,-1.056,2714.28,28.04,1.0,0.0,0.0
32,-1.064,-2.933,317.01,9.61,1.0,0.0,0.42
33,-0.015,1.898,1155.98,0.14,-1.0,0.0,999.9
34,-0.01,-2.507,23.43,6.56,-1.0,0.0,3.76
35,0.131,-2.639,983.63,45.95,1.0,0.0,1.62
36,1.56,-0.53,50.62,2.63,-1.0,0.0,0.48
37,-0.641,-2.585,4020.17,216.39,1.0,0.0,2.17
38,-1.243,-2.807,1525.18,156.21,-1.0,0.0,0.19
39,0.437,0.38,36.31,4.27,1.0,0.0,0.0
40,-0.583,1.712,1690.27,35.94,1.0,0.0,0.97
41,-0.403,-2.446,1448.26,113.73,1.0,0.0,1.05
42,0.432,2.002,2899.47,79.38,-1.0,0.0,1.55
43,-0.809,-1.574,99.79,16.83,-1.0,0.0,1.4
44,1.522,1.663,1294.9,81.92,-1.0,0.0,2.21
45,1.391,2.69,100.27,8.82,1.0,0.0,0.0
46,0.985,2.708,2162.47,172.3,-1.0,0.0,1.05
47,0.194,-0.892,1739.75,93.12,1.0,0.0,0.55
48,-0.124,2.016,2780.44,76.84,1.0,0.0,0.4
49,0.642,0.244,138.58,30.27,1.0,0.0,0.64
50,-0.54,2.749,1271.97,98.07,1.0,0.0,0.02
51,-0.056,-3.061,725.7,12.22,-1.0,0.0,0.0
52,-1.057,-2.85,1964.56,326.42,1.0,0.0,0.13
53,-0.996,1.374,468.27,14.04,1.0,0.0,80.97
54,-0.489,1.481,1424.1,148.48,-1.0,0.0,1.91
55,0.474,0.12,358.88,19.53,1.0,0.0,0.1
56,-0.931,2.7,29.25,1.94,1.0,0.0,0.0
57,-0.175,-1.426,2634.89,27.62,1.0,0.0,0.0
58,0.651,-2.741,2956.72,272.82,-1.0,0.0,0.01
59,1.038,-2.344,70.28,13.52,-1.0,0.0,0.95
60,1.552,0.681,429.01,72.79,1.0,0.0,0.85
61,0.181,0.838,1355.76,287.93,1.0,0.0,1.48
62,0.472,2.843,2554.43,81.64,-1.0,0.0,0.84
63,-0.477,-2.623,1376.8,279.13,1.0,0.0,0.1
64,-0.479,-3.034,987.85,77.41,1.0,0.0,1.17
65,2.127,-0.574,80.51,8.51,-1.0,0.0,1.8
66,-0.004,-1.049,2161.93,143.4,-1.0,0.0,0.24
67,-2.068,1.969,474.8,42.97,-1.0,0.0,0.11
68,-0.732,-2.511,731.27,127.0,-1.0,0.0,0.07
69,-0.581,-2.012,97.83,13.21,-1.0,0.0,0.46
70,1.349,2.678,221.78,21.55,-1.0,0.0,4.17
71,0.252,-1.567,131.96,0.14,-1.0,0.0,999.9
72,0.795,-0.261,1100.1,44.52,-1.0,0.0,1.72
73,-0.315,0.879,1586.12,78.39,1.0,0.0,0.0
74,-0.359,-2.819,3351.01,359.45,-1.0,0.0,0.8
75,-0.038,2.1,1330.43,205.17,-1.0,0.0,0.88
