,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.293,-2.558,3852.58,0.0,0.0,0.0,0.0
1,0.722,0.73,3712.76,0.0,0.0,0.0,0.0
2,1.367,1.965,82.38,0.0,0.0,0.0,0.0
3,0.49,0.064,1484.87,0.0,0.0,0.0,0.0
4,-0.624,2.133,24.84,0.0,0.0,0.0,0.0
5,1.527,-1.261,800.08,0.0,0.0,0.0,0.0
6,-2.065,1.692,1062.78,0.0,0.0,0.0,0.0
7,-1.182,1.08,43.94,0.0,0.0,0.0,0.0
8,0.885,3.126,58.11,0.0,0.0,0.0,0.0
9,0.807,3.12,15.66,0.0,0.0,0.0,0.0
10,-0.462,0.678,694.11,0.0,0.0,0.0,0.0
11,0.714,0.687,3348.61,0.0,0.0,0.0,0.0
12,-1.835,-2.376,1295.79,0.0,0.0,0.0,0.0
13,-0.017,-0.663,116.7,0.0,0.0,0.0,0.0
14,-0.663,1.378,236.46,0.0,0.0,0.0,0.0
15,-0.316,-2.899,2687.31,0.0,0.0,0.0,0.0
16,0.209,-2.625,50.25,0.0,0.0,0.0,0.0
17,-1.003,-1.602,351.21,0.0,0.0,0.0,0.0
18,-0.741,-1.305,1388.48,0.0,0.0,0.0,0.0
19,-0.023,-2.56,2696.71,0.0,0.0,0.0,0.0
20,-0.022,-1.551,789.41,0.0,0.0,0.0,0.0
21,1.91,1.613,11.65,0.0,0.0,0.0,0.0
22,0.705,1.895,48.5,0.0,0.0,0.0,0.0
23,0.923,2.145,27.16,0.0,0.0,0.0,0.0
24,-0.39,3.004,152.89,0.0,0.0,0.0,0.0
25,-0.103,2.43,3646.23,0.0,0.0,0.0,0.0
26,0.837,0.713,11.35,0.0,0.0,0.0,0.0
27,-0.888,0.811,910.95,0.0,0.0,0.0,0.0
28,1.72,-1.53,318.11,0.0,0.0,0.0,0.0
29,0.695,0.072,1357.39,0.0,0.0,0.0,0.0
30,0.046,1.05,2782.93,0.0,0.0,0.0,0.0
31,-0.178,-0.1,91.48,0.0,0.0,0.0,0.0
