,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.0,-1.159,299.1,0.0,0.0,0.0,0.0,0
1,0.0,1.215,770.31,0.0,0.0,0.0,0.0,1
2,0.0,-3.141,628.21,0.0,0.0,0.0,0.0,2
3,0.0,1.058,262.74,0.0,0.0,0.0,0.0,3
4,0.0,-3.071,314.69,0.0,0.0,0.0,0.0,4
5,0.0,-0.826,200.81,0.0,0.0,0.0,0.0,5
6,0.0,0.375,129.42,0.0,0.0,0.0,0.0,6
7,0.0,1.304,414.68,0.0,0.0,0.0,0.0,7
8,0.0,2.374,703.82,0.0,0.0,0.0,0.0,8
9,0.0,-2.963,566.6,0.0,0.0,0.0,0.0,9
10,0.0,-0.19,15.78,0.0,0.0,0.0,0.0,10
11,0.0,0.729,782.12,0.0,0.0,0.0,0.0,11
12,0.0,-1.202,2120.36,0.0,0.0,0.0,0.0,12
13,0.0,2.975,838.47,0.0,0.0,0.0,0.0,13
14,0.0,1.55,1350.7,0.0,0.0,0.0,0.0,14
15,0.0,2.801,35.37,0.0,0.0,0.0,0.0,15
16,0.0,2.396,245.07,0.0,0.0,0.0,0.0,16
17,0.0,-2.205,251.3,0.0,0.0,0.0,0.0,17
18,0.0,2.373,593.37,0.0,0.0,0.0,0.0,18
19,0.0,0.566,542.51,0.0,0.0,0.0,0.0,19
20,0.0,-2.802,956.11,0.0,0.0,0.0,0.0,20
21,0.0,-0.23,1048.46,0.0,0.0,0.0,0.0,21
22,0.0,1.29,362.74,0.0,0.0,0.0,0.0,22
23,0.0,1.211,1212.06,0.0,0.0,0.0,0.0,23
24,0.0,-2.979,434.84,0.0,0.0,0.0,0.0,24
25,0.0,-2.264,1724.5,0.0,0.0,0.0,0.0,25
26,0.0,-0.206,149.38,0.0,0.0,0.0,0.0,26
27,0.0,2.489,269.66,0.0,0.0,0.0,0.0,27
28,0.0,-1.908,834.39,0.0,0.0,0.0,0.0,28
29,0.0,2.337,2437.56,0.0,0.0,0.0,0.0,29
30,0.0,-0.721,878.34,0.0,0.0,0.0,0.0,30
31,0.0,1.59,244.97,0.0,0.0,0.0,0.0,31
32,0.0,0.576,56.72,0.0,0.0,0.0,0.0,32
33,0.0,-3.033,648.28,0.0,0.0,0.0,0.0,33
34,0.0,-2.156,2048.39,0.0,0.0,0.0,0.0,34
35,0.0,2.969,103.23,0.0,0.0,0.0,0.0,35
36,0.0,-0.607,435.9,0.0,0.0,0.0,0.0,36
37,0.0,-1.99,739.27,0.0,0.0,0.0,0.0,37
38,0.0,-2.87,2719.9,0.0,0.0,0.0,0.0,38
