,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-0.72,-1.373,598.42,0.11,1.0,5.0,598.0,12
1,-0.596,-0.848,2978.93,0.11,1.0,4.0,2979.0,13
2,0.705,0.115,1058.18,0.11,-1.0,4.0,1058.02,17
3,0.1,-0.826,1582.99,0.11,-1.0,6.0,1798.23,21
4,1.855,-1.829,493.66,0.11,-1.0,5.0,499.01,28
5,-0.464,-2.515,122.39,0.11,-1.0,6.0,124.02,34
6,-0.367,2.915,1844.8,0.11,-1.0,5.0,1847.01,46
7,0.842,2.485,261.8,0.11,-1.0,4.0,262.0,49
8,-0.241,-1.559,1364.45,0.11,1.0,6.0,1364.0,52
9,-0.138,-0.248,247.44,0.11,1.0,5.0,247.0,58
10,-0.666,-3.003,126.13,0.11,1.0,12.0,140.35,77
11,-1.466,2.242,414.93,0.11,-1.0,6.0,415.0,83
12,0.095,-2.046,3869.62,0.11,-1.0,6.0,4094.08,88
13,0.386,-3.102,1694.81,0.11,1.0,5.0,1695.0,88
14,-1.075,-0.444,1418.26,0.11,-1.0,7.0,1418.0,93
15,-0.015,1.926,1379.44,0.11,-1.0,8.0,1379.0,93
16,1.927,1.665,186.19,0.11,1.0,8.0,189.02,93
17,1.578,2.164,115.13,0.11,-1.0,8.0,115.05,93
18,0.046,-2.198,1788.45,0.11,1.0,3.0,1788.0,96
19,1.503,-2.258,595.53,0.11,-1.0,4.0,596.15,116
20,-0.478,0.092,165.92,0.11,1.0,5.0,170.0,127
21,-1.068,-0.818,3343.21,0.11,1.0,5.0,3344.0,133
22,-0.328,-1.478,313.69,0.11,-1.0,5.0,316.0,133
23,0.828,3.103,727.7,0.11,-1.0,10.0,738.03,142
24,0.177,-1.678,2010.5,0.11,1.0,3.0,2011.0,146
25,0.449,0.807,1736.07,0.11,-1.0,4.0,1739.0,146
26,1.244,-1.48,258.02,0.11,1.0,8.0,258.0,157
27,0.831,1.507,1269.5,0.11,1.0,13.0,1270.0,162
28,2.023,2.076,349.62,0.11,1.0,7.0,350.0,170
29,-0.603,-2.646,547.35,0.11,1.0,10.0,547.0,183
30,0.083,1.784,1556.4,0.11,1.0,5.0,1556.0,189
31,-1.024,-0.487,821.73,0.11,1.0,4.0,822.0,189
32,-1.974,1.321,84.09,0.11,1.0,4.0,85.0,201
33,-0.79,-1.304,1270.58,0.11,1.0,9.0,1276.03,209
