,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.48,1.809,196.22,27.09,1.0,0.0,3.7,1
1,-1.626,2.596,86.01,0.56,1.0,0.0,0.0,8
2,0.899,1.053,103.46,13.12,1.0,0.0,0.48,10
3,0.442,-2.264,45.95,4.79,1.0,0.0,0.0,17
4,1.04,2.806,1221.33,-0.0,1.0,0.0,999.9,18
5,0.948,-1.08,95.93,10.76,1.0,0.0,20.84,21
6,0.645,2.487,1581.81,77.61,1.0,0.0,0.19,24
7,-0.654,-2.469,2097.72,33.9,1.0,0.0,0.62,25
8,0.705,0.289,947.66,80.54,-1.0,0.0,0.0,38
9,0.053,-0.099,30.36,4.16,-1.0,0.0,10.03,47
10,-0.158,-2.856,1432.73,134.56,-1.0,0.0,1.59,52
11,-1.221,-0.836,736.25,135.12,1.0,0.0,0.44,58
12,0.654,-1.842,410.47,31.96,-1.0,0.0,0.96,61
13,1.468,-0.796,85.05,9.78,1.0,0.0,0.2,63
14,0.011,0.703,1858.55,362.18,1.0,0.0,0.8,68
15,-0.264,0.686,690.2,57.35,-1.0,0.0,0.94,75
16,0.851,-0.39,454.14,52.92,1.0,0.0,0.24,75
17,0.979,-2.488,303.64,26.3,1.0,0.0,0.47,85
18,0.492,-2.466,97.94,19.11,1.0,0.0,0.23,85
19,0.74,-2.032,37.69,7.57,1.0,0.0,0.0,85
20,0.793,-0.046,621.47,99.19,-1.0,0.0,0.39,87
21,0.391,-1.835,1063.66,89.07,-1.0,0.0,0.79,92
22,0.908,-1.741,40.01,5.36,-1.0,0.0,0.0,92
23,0.349,-0.456,1003.14,170.49,1.0,0.0,0.19,94
24,-0.125,-0.665,550.7,112.35,1.0,0.0,0.37,105
25,-0.76,-1.459,902.73,3.42,1.0,0.0,0.0,112
26,-0.414,1.08,271.21,17.72,-1.0,0.0,0.73,112
27,0.255,1.627,1848.66,234.62,1.0,0.0,0.24,117
28,0.215,2.102,507.24,37.95,1.0,0.0,0.69,117
