,eta,phi,PT,jmass,ntrk,btag,hadem
0,-0.673,1.929,1957.99,101.86,27.0,1.0,2.0
1,-0.806,-1.698,689.45,52.21,25.0,0.0,1.26
2,2.129,-1.461,542.8,53.05,11.0,0.0,0.66
3,-0.015,-0.687,469.12,16.4,7.0,0.0,2.21
4,-1.458,-1.181,314.98,49.83,34.0,0.0,0.44
5,-1.262,-2.15,172.62,30.75,18.0,0.0,1.18
6,-0.169,0.661,154.84,34.1,13.0,0.0,2.51
7,-0.663,1.125,152.25,24.85,28.0,0.0,0.06
8,0.664,1.716,93.65,12.19,11.0,0.0,1.09
9,-1.448,2.774,91.68,19.28,15.0,0.0,2.25
10,-1.392,-2.852,64.63,15.02,14.0,0.0,2.96
11,-0.313,2.565,43.63,9.14,10.0,0.0,0.51
12,0.73,2.355,39.76,7.22,9.0,0.0,2.67
13,-0.441,0.139,3690.35,272.37,82.0,0.0,0.14
14,0.222,-2.984,2641.0,381.14,35.0,0.0,0.06
15,0.469,-2.39,798.99,101.88,44.0,0.0,0.36
16,-0.552,2.637,566.01,41.93,24.0,0.0,0.36
17,-1.625,1.21,94.89,10.29,8.0,0.0,2.04
18,-1.086,0.422,1535.64,72.59,11.0,1.0,3.27
19,-0.756,1.287,138.94,14.05,13.0,0.0,0.18
20,-1.454,0.758,70.26,10.16,12.0,0.0,0.34
21,-0.407,-1.764,1561.38,85.09,29.0,0.0,0.69
22,-0.882,1.95,1153.49,154.24,26.0,0.0,0.37
23,1.198,-0.725,429.72,24.84,14.0,0.0,0.14
24,-0.755,-1.203,131.79,23.12,20.0,0.0,1.63
25,0.34,0.843,55.39,10.34,7.0,0.0,999.9
26,0.66,-2.436,37.14,8.1,12.0,0.0,0.0
27,2.948,2.12,33.93,4.83,0.0,0.0,0.86
28,-0.98,-0.58,25.8,4.61,4.0,0.0,0.97
29,-1.724,1.753,25.19,4.97,4.0,0.0,0.18
30,1.046,-0.051,1523.61,72.74,31.0,0.0,0.02
31,-1.404,0.617,1231.16,73.07,26.0,0.0,0.45
32,0.195,-2.795,1001.87,69.16,14.0,0.0,0.63
33,-0.442,-3.111,940.93,168.69,26.0,0.0,0.91
34,0.486,2.722,444.41,20.47,13.0,0.0,0.05
35,0.464,-2.059,384.81,24.34,9.0,0.0,0.09
36,-0.724,3.131,2186.81,174.78,22.0,0.0,0.11
37,-0.782,-0.117,1792.4,60.84,29.0,0.0,1.31
38,0.834,0.134,1580.21,0.0,0.0,0.0,999.9
39,-0.529,2.203,212.23,25.14,17.0,0.0,0.45
40,-0.623,-2.296,184.36,24.07,10.0,0.0,0.28
41,1.495,-3.129,127.3,20.91,17.0,0.0,1.63
42,-0.271,2.664,1667.97,121.25,23.0,0.0,0.83
43,-0.752,-0.097,1049.45,-0.0,0.0,0.0,999.9
44,1.666,-0.961,595.96,35.83,19.0,0.0,1.39
45,0.257,2.231,2111.09,94.96,20.0,0.0,0.95
46,-0.323,-1.722,1375.08,112.53,49.0,0.0,0.13
47,-0.941,0.428,876.08,69.62,16.0,0.0,1.18
48,0.79,0.162,717.65,55.31,14.0,0.0,1.4
49,0.266,-1.156,487.03,30.9,10.0,0.0,1.59
50,-0.296,2.821,234.42,8.55,5.0,1.0,999.9
51,-0.963,-1.751,179.36,14.35,14.0,1.0,0.48
52,-1.109,-0.432,86.07,10.97,12.0,1.0,0.0
53,0.233,0.38,59.15,8.29,8.0,0.0,0.65
54,-2.702,2.939,37.19,6.19,0.0,0.0,999.9
55,0.443,-2.611,23.69,3.77,6.0,0.0,999.9
56,-1.111,-2.8,1666.06,74.88,23.0,1.0,1.96
57,1.129,0.638,1333.82,123.48,18.0,0.0,2.97
58,0.795,0.2,695.59,34.37,16.0,0.0,0.01
59,1.243,-2.509,541.81,71.21,19.0,0.0,0.05
60,-1.815,-1.326,157.1,16.36,11.0,0.0,0.23
61,0.299,0.76,89.41,7.41,7.0,0.0,0.63
62,0.71,-2.178,81.38,14.5,20.0,0.0,1.47
63,0.284,1.779,39.33,7.54,5.0,0.0,9.3
64,-0.332,-2.861,37.79,7.9,11.0,0.0,0.42
65,-0.682,-0.447,34.74,6.21,8.0,0.0,999.9
66,-0.667,-1.601,3174.79,159.12,44.0,0.0,0.04
67,0.278,1.552,3057.82,107.32,28.0,0.0,0.0
68,0.258,1.113,220.88,9.18,23.0,0.0,0.22
69,-0.18,-1.202,181.73,17.1,12.0,0.0,1.3
70,0.561,2.299,158.71,17.37,16.0,0.0,0.23
71,1.228,2.284,72.18,10.49,13.0,0.0,3.8
72,0.803,1.73,27.76,6.32,12.0,0.0,1.74
73,0.106,-0.06,2039.8,97.04,19.0,0.0,0.0
74,0.405,2.457,1673.93,67.49,27.0,0.0,1.59
75,-0.365,-1.94,1477.9,0.0,1.0,1.0,999.9
76,0.766,0.069,220.65,25.67,16.0,0.0,0.31
77,-0.743,-1.568,167.71,5.56,6.0,0.0,0.65
78,0.475,0.597,23.38,2.67,7.0,0.0,6.68
79,0.421,-1.233,1786.36,239.13,28.0,0.0,0.61
80,1.234,0.879,1235.58,102.57,51.0,0.0,0.99
81,-1.604,2.609,1167.47,75.62,14.0,0.0,5.11
82,-0.302,-3.057,470.4,21.0,10.0,0.0,0.21
83,-0.025,0.725,118.05,13.05,6.0,0.0,0.14
84,0.726,-1.578,46.75,4.14,26.0,1.0,0.0
85,0.758,1.036,27.7,5.73,26.0,0.0,0.45
86,-0.109,1.875,2239.57,77.1,18.0,0.0,0.12
87,-0.144,1.23,539.08,16.78,15.0,0.0,2.02
88,-0.704,2.076,181.36,22.15,18.0,0.0,0.48
89,0.63,3.048,970.97,86.52,19.0,0.0,7.0
90,1.606,0.333,611.44,23.27,13.0,0.0,0.2
91,1.162,2.823,106.75,0.11,5.0,0.0,999.9
92,0.742,-0.825,2623.64,120.2,10.0,0.0,2.41
93,-1.143,2.878,1936.98,0.0,0.0,0.0,999.9
94,0.526,1.412,1026.91,115.19,26.0,0.0,0.19
95,-0.995,1.109,102.06,18.27,19.0,0.0,0.25
96,-2.229,-0.13,88.79,18.72,17.0,0.0,0.87
97,0.008,1.797,88.04,11.08,10.0,0.0,0.0
98,-0.556,0.939,24.78,3.59,14.0,0.0,999.9
99,-1.348,-1.777,1789.08,85.78,11.0,0.0,0.63
100,0.507,2.326,1761.63,55.25,20.0,0.0,1.67
101,0.555,-0.679,792.67,37.38,13.0,0.0,3.78
102,-0.666,2.331,1865.52,60.52,14.0,0.0,0.8
103,0.572,1.17,1441.5,56.45,8.0,0.0,11.56
104,0.206,-1.082,1302.6,116.63,33.0,1.0,1.15
105,0.277,2.378,683.84,145.59,34.0,0.0,1.36
106,0.092,-2.084,558.33,53.62,28.0,0.0,0.09
107,-1.447,1.944,50.9,5.78,4.0,0.0,0.61
108,0.861,-2.196,43.11,5.63,8.0,0.0,0.0
109,-0.717,-2.606,25.46,4.37,5.0,0.0,1.86
110,-0.051,1.875,1638.18,125.62,21.0,1.0,0.24
111,-0.021,-2.275,1431.23,259.2,56.0,0.0,0.84
