,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.493,-0.101,1104.96,0.11,1.0,5.0,1106.0,15
1,-0.713,-0.685,130.03,0.11,-1.0,4.0,131.0,18
2,1.018,-2.451,685.6,0.11,1.0,4.0,686.0,22
3,0.88,0.137,3009.99,0.11,1.0,5.0,3010.0,54
4,-0.777,-0.661,301.25,0.11,-1.0,4.0,302.0,54
5,-0.54,0.256,821.94,0.11,1.0,4.0,822.0,68
6,-0.34,-1.499,1240.03,0.11,-1.0,6.0,1240.07,78
7,0.333,2.011,187.15,0.11,1.0,4.0,192.04,83
8,-1.724,2.002,673.65,0.11,-1.0,3.0,674.0,90
9,-1.466,1.893,286.08,0.11,1.0,5.0,286.0,110
10,1.651,2.24,495.42,0.11,1.0,4.0,495.01,115
11,0.597,2.256,1262.51,0.11,1.0,6.0,1263.0,123
12,-0.436,0.461,333.14,0.11,1.0,3.0,333.03,134
13,1.894,1.528,215.39,0.11,-1.0,9.0,215.0,141
14,-0.138,1.59,1133.78,0.11,1.0,4.0,1135.07,145
15,0.414,-1.674,712.47,0.11,1.0,8.0,712.0,154
16,0.403,0.603,922.68,0.11,1.0,7.0,923.02,160
17,1.853,-2.952,837.92,0.11,1.0,2.0,838.0,170
18,-1.334,-0.571,1253.94,0.11,-1.0,8.0,1254.0,176
19,-1.196,-1.712,156.87,0.11,1.0,3.0,157.0,183
20,-0.688,1.401,170.62,0.11,1.0,6.0,171.03,201
21,0.922,0.089,421.42,0.11,1.0,6.0,421.0,220
22,0.255,-1.459,706.61,0.11,-1.0,5.0,910.18,221
23,-0.882,1.884,1483.32,0.11,-1.0,3.0,1483.0,240
24,0.19,-1.202,1260.42,0.11,1.0,6.0,1270.04,240
25,-0.273,3.107,2071.67,0.11,1.0,4.0,2123.05,263
26,-0.212,-1.519,2591.9,0.11,1.0,6.0,2592.0,276
27,1.055,1.628,305.54,0.11,1.0,3.0,375.21,277
28,1.166,-0.452,488.02,0.11,-1.0,4.0,493.01,288
29,-0.509,-0.627,174.76,0.11,1.0,6.0,176.05,299
30,-0.314,2.343,938.19,0.11,1.0,3.0,941.0,308
31,0.032,1.337,320.5,0.11,1.0,2.0,321.0,315
32,0.844,-1.942,421.27,0.11,-1.0,4.0,428.03,317
33,-0.695,-1.463,320.01,0.11,-1.0,6.0,320.0,318
34,1.395,2.572,473.67,0.11,-1.0,7.0,474.0,326
35,0.813,-1.637,1411.37,0.11,1.0,6.0,1972.04,351
36,0.721,-1.575,557.75,0.11,-1.0,6.0,1977.13,351
37,-1.502,-0.829,90.2,0.11,-1.0,4.0,90.0,367
38,0.452,0.567,924.25,0.11,-1.0,4.0,1369.03,371
39,0.365,0.45,444.33,0.11,1.0,4.0,1369.06,371
40,-0.4,-1.063,173.3,0.11,1.0,7.0,173.0,376
41,0.328,0.151,3282.26,0.11,1.0,5.0,3282.0,383
42,-2.193,1.02,487.61,0.11,-1.0,3.0,488.0,383
43,-0.095,-1.704,459.57,0.11,-1.0,9.0,462.08,394
44,1.428,1.587,1393.35,0.11,-1.0,7.0,1393.0,403
45,0.424,-0.255,225.19,0.11,1.0,2.0,225.0,416
46,1.515,-0.975,115.52,0.11,1.0,2.0,116.02,420
47,0.161,-2.888,1006.59,0.11,-1.0,3.0,1009.01,424
48,-1.48,-2.065,1251.4,0.11,1.0,2.0,1251.0,432
49,0.144,2.975,2257.65,0.11,1.0,3.0,2258.07,436
50,-1.152,-0.95,775.3,0.11,-1.0,5.0,793.05,441
51,0.025,-1.964,617.6,0.11,1.0,5.0,618.0,445
52,-0.283,2.244,94.73,0.11,1.0,6.0,95.0,445
53,0.782,2.093,73.22,0.11,1.0,3.0,75.0,446
54,0.497,-2.96,337.75,0.11,1.0,3.0,362.05,456
55,-0.52,0.951,1802.02,0.11,1.0,5.0,1803.0,461
56,-0.263,-0.522,10.68,0.11,-1.0,4.0,11.0,461
57,0.695,-1.102,392.05,0.11,1.0,5.0,392.0,462
58,-0.8,-0.911,781.82,0.11,-1.0,4.0,782.0,472
