,eta,phi,PT,jmass,ntrk,btag,hadem
0,1.042,0.907,17.19,0.0,0.0,0.0,0.0
1,-2.424,2.633,11.4,0.0,0.0,0.0,0.0
2,0.917,-2.226,48.98,0.0,0.0,0.0,0.0
3,-0.601,2.355,66.98,0.0,0.0,0.0,0.0
4,-1.41,2.492,730.55,0.0,0.0,0.0,0.0
5,-0.037,0.146,2160.19,0.0,0.0,0.0,0.0
6,0.911,0.215,10.96,0.0,0.0,0.0,0.0
7,-1.321,-0.481,50.31,0.0,0.0,0.0,0.0
8,0.187,2.628,3192.29,0.0,0.0,0.0,0.0
9,0.029,0.595,2414.35,0.0,0.0,0.0,0.0
10,-1.096,0.397,12.22,0.0,0.0,0.0,0.0
11,0.766,0.696,1054.14,0.0,0.0,0.0,0.0
12,-1.528,-1.686,145.97,0.0,0.0,0.0,0.0
13,0.027,0.114,105.44,0.0,0.0,0.0,0.0
14,-2.43,1.339,195.12,0.0,0.0,0.0,0.0
15,-0.317,-1.49,78.42,0.0,0.0,0.0,0.0
16,-1.099,0.751,1802.02,0.0,0.0,0.0,0.0
17,-1.489,-2.297,387.22,0.0,0.0,0.0,0.0
18,-1.408,-1.189,16.8,0.0,0.0,0.0,0.0
19,0.237,-0.674,384.31,0.0,0.0,0.0,0.0
20,0.222,-2.517,921.38,0.0,0.0,0.0,0.0
21,0.186,0.807,2820.36,0.0,0.0,0.0,0.0
22,-0.489,-0.399,85.17,0.0,0.0,0.0,0.0
23,-0.624,0.912,265.06,0.0,0.0,0.0,0.0
24,0.894,-0.263,1805.24,0.0,0.0,0.0,0.0
25,-0.128,1.591,69.69,0.0,0.0,0.0,0.0
26,0.394,-1.465,1042.8,0.0,0.0,0.0,0.0
27,0.143,1.301,26.09,0.0,0.0,0.0,0.0
28,0.467,0.575,14.93,0.0,0.0,0.0,0.0
29,1.435,1.121,293.48,0.0,0.0,0.0,0.0
30,0.438,-0.811,1747.94,0.0,0.0,0.0,0.0
31,-1.666,-1.715,1037.9,0.0,0.0,0.0,0.0
32,-1.074,-0.403,257.01,0.0,0.0,0.0,0.0
33,2.027,0.482,643.55,0.0,0.0,0.0,0.0
34,0.455,-0.25,2928.51,0.0,0.0,0.0,0.0
35,-0.797,0.703,52.12,0.0,0.0,0.0,0.0
36,0.155,-1.37,1099.13,0.0,0.0,0.0,0.0
37,-1.442,3.122,504.02,0.0,0.0,0.0,0.0
38,1.004,-2.952,333.74,0.0,0.0,0.0,0.0
39,-0.007,-1.154,475.34,0.0,0.0,0.0,0.0
40,-1.577,2.668,67.49,0.0,0.0,0.0,0.0
41,1.695,3.044,226.48,0.0,0.0,0.0,0.0
42,-0.975,2.448,2224.54,0.0,0.0,0.0,0.0
43,1.243,1.735,909.75,0.0,0.0,0.0,0.0
44,-0.432,-1.199,1753.13,0.0,0.0,0.0,0.0
45,-0.059,-0.875,2198.6,0.0,0.0,0.0,0.0
46,-2.402,-2.378,28.4,0.0,0.0,0.0,0.0
47,0.225,0.076,125.78,0.0,0.0,0.0,0.0
48,0.799,-1.655,59.14,0.0,0.0,0.0,0.0
49,-1.668,-1.256,228.68,0.0,0.0,0.0,0.0
50,2.109,-2.095,746.8,0.0,0.0,0.0,0.0
51,0.571,1.664,1233.44,0.0,0.0,0.0,0.0
52,-0.474,0.663,2239.3,0.0,0.0,0.0,0.0
53,-1.547,2.408,69.3,0.0,0.0,0.0,0.0
54,0.089,-0.722,506.0,0.0,0.0,0.0,0.0
55,0.361,-1.026,705.78,0.0,0.0,0.0,0.0
56,0.134,2.838,1006.53,0.0,0.0,0.0,0.0
57,-0.539,1.31,1013.96,0.0,0.0,0.0,0.0
58,0.162,0.643,1383.86,0.0,0.0,0.0,0.0
59,0.305,-0.482,432.0,0.0,0.0,0.0,0.0
60,-0.348,1.188,566.98,0.0,0.0,0.0,0.0
61,-0.948,-1.489,2040.13,0.0,0.0,0.0,0.0
62,0.676,1.494,2153.78,0.0,0.0,0.0,0.0
63,-0.916,0.468,1470.89,0.0,0.0,0.0,0.0
64,0.458,-2.073,104.64,0.0,0.0,0.0,0.0
65,1.928,-0.321,599.71,0.0,0.0,0.0,0.0
