,eta,phi,PT,jmass,ntrk,btag,hadem
0,-1.516,-2.518,165.92,11.89,-1.0,0.0,0.0
1,0.129,-2.411,582.6,9.17,1.0,0.0,0.0
2,0.605,-0.012,1929.65,495.71,-1.0,0.0,0.4
3,-0.92,-0.208,694.32,1.04,-1.0,0.0,0.0
4,-0.755,2.596,1235.78,231.18,1.0,0.0,0.5
5,0.97,2.099,399.95,43.14,1.0,0.0,0.59
6,0.687,0.349,238.05,29.91,-1.0,0.0,2.95
7,0.166,-0.099,400.59,13.23,1.0,0.0,0.0
8,0.203,-3.0,1236.26,206.23,1.0,0.0,0.64
9,0.374,-1.783,300.31,0.0,-1.0,0.0,999.9
10,2.003,-2.387,191.18,10.06,-1.0,0.0,999.9
11,-0.734,-2.405,1436.99,7.63,1.0,0.0,0.0
12,0.31,-0.091,1496.77,317.08,1.0,0.0,0.93
13,0.909,2.953,92.1,1.22,1.0,0.0,999.9
14,0.138,0.206,2132.67,374.05,-1.0,0.0,0.63
15,-0.218,0.508,811.35,115.79,1.0,0.0,8.32
16,0.124,0.072,806.72,13.49,1.0,0.0,0.19
17,0.593,-2.351,467.64,16.25,-1.0,0.0,0.15
18,0.763,2.213,132.52,6.99,-1.0,0.0,999.9
19,-0.284,-2.596,48.1,6.26,1.0,0.0,0.64
20,-1.013,2.757,22.81,2.7,1.0,0.0,3.43
21,0.431,1.617,2500.77,234.99,1.0,0.0,1.29
22,0.005,-0.066,1673.48,6.61,1.0,0.0,0.0
23,0.7,-2.945,743.15,9.59,-1.0,0.0,999.9
24,-0.461,-1.125,2329.74,22.73,-1.0,0.0,0.0
25,-0.394,-1.493,595.68,57.2,1.0,0.0,0.06
26,-1.101,-1.567,782.46,68.96,-1.0,0.0,1.71
27,1.503,2.644,132.21,0.0,1.0,0.0,999.9
28,-0.638,0.317,2820.87,89.22,1.0,0.0,0.27
29,0.798,1.135,667.14,37.65,-1.0,0.0,0.02
30,0.888,-1.727,1153.65,31.65,1.0,0.0,999.9
31,-0.421,0.425,385.15,40.2,1.0,0.0,0.35
32,0.267,0.195,371.45,39.27,-1.0,0.0,0.0
33,-1.496,1.371,298.67,73.47,-1.0,0.0,1.56
34,-0.39,1.48,1759.02,424.4,1.0,0.0,0.24
35,0.646,-2.558,1167.83,64.06,-1.0,0.0,0.68
36,1.613,-1.102,503.64,113.04,-1.0,0.0,1.22
37,1.09,-2.996,1055.4,16.74,1.0,0.0,0.0
38,2.426,-0.011,122.4,21.87,-1.0,0.0,2.32
39,-0.208,2.59,1873.27,77.31,1.0,0.0,1.0
40,-0.834,-0.836,96.41,17.72,1.0,0.0,1.11
41,-0.046,2.01,1628.51,79.16,1.0,0.0,0.07
42,0.393,-2.833,1379.43,14.22,1.0,0.0,0.0
43,0.491,2.046,436.74,35.37,-1.0,0.0,2.06
44,-1.069,-0.99,601.55,42.92,-1.0,0.0,0.04
45,0.587,0.116,1347.85,179.32,1.0,0.0,0.25
46,0.997,0.617,135.78,16.47,1.0,0.0,0.0
47,-0.287,0.08,654.96,137.06,-1.0,0.0,0.7
48,0.216,2.673,655.81,104.39,1.0,0.0,0.13
49,-0.665,-0.367,1642.06,71.89,1.0,0.0,0.0
50,-0.769,-0.807,1408.41,178.88,-1.0,0.0,1.17
51,-0.068,1.945,2266.14,98.43,-1.0,0.0,0.32
52,0.676,1.492,2584.0,18.78,1.0,0.0,0.0
53,0.78,-2.917,1260.34,205.54,-1.0,0.0,0.0
54,-1.11,-1.7,286.58,45.64,1.0,0.0,0.26
55,0.223,0.012,34.56,4.62,-1.0,0.0,0.0
56,-0.305,0.678,273.5,65.12,1.0,0.0,2.52
57,-1.013,-1.464,206.14,31.36,1.0,0.0,0.06
58,-0.606,1.427,39.24,4.95,1.0,0.0,8.87
