,eta,phi,PT,jmass,ntrk,btag,hadem
0,-1.518,-2.519,152.15,12.48,-1.0,0.0,0.0
1,0.1,-0.121,23.29,0.0,-1.0,0.0,999.9
2,-0.223,2.967,1175.6,72.47,-1.0,0.0,0.64
3,0.597,-0.008,1879.47,482.62,-1.0,0.0,0.25
4,-0.918,-0.208,688.33,2.78,-1.0,0.0,0.0
5,-0.996,-0.829,34.73,9.47,1.0,0.0,1.83
6,0.475,1.072,241.91,19.49,-1.0,0.0,0.37
7,0.453,1.591,1147.65,176.32,1.0,0.0,0.2
8,-1.343,0.479,22.54,3.65,-1.0,0.0,11.39
9,0.406,0.276,2885.05,492.63,-1.0,0.0,0.67
10,-0.443,3.075,1740.91,105.63,-1.0,0.0,0.0
11,0.17,-0.092,416.84,12.12,1.0,0.0,0.0
12,0.375,-1.784,314.91,7.85,-1.0,0.0,999.9
13,-2.026,-2.644,584.74,1.49,1.0,0.0,0.0
14,1.94,-2.329,210.35,5.2,-1.0,0.0,999.9
15,-0.017,0.301,287.19,11.57,1.0,0.0,0.0
16,-0.683,1.225,1531.07,156.59,-1.0,0.0,0.07
17,-0.484,2.46,1318.12,200.01,-1.0,0.0,0.14
18,1.405,-1.558,491.41,45.64,1.0,0.0,10.53
19,-0.223,0.511,786.09,106.83,1.0,0.0,4.97
20,0.433,1.619,2426.59,225.23,1.0,0.0,0.27
21,-1.258,3.055,163.57,12.25,-1.0,0.0,0.0
22,0.035,-0.044,1642.31,66.56,1.0,0.0,0.91
23,0.188,-2.929,539.52,7.27,1.0,0.0,0.0
24,0.207,-1.452,721.9,89.28,-1.0,0.0,0.7
25,-1.264,-1.302,2132.43,0.0,1.0,0.0,999.9
26,0.706,-2.943,827.68,10.99,-1.0,0.0,999.9
27,-0.08,-3.132,1889.2,232.89,-1.0,0.0,1.22
28,1.901,2.933,131.64,15.61,-1.0,0.0,0.85
29,-0.465,-1.095,2378.4,98.51,-1.0,0.0,0.9
30,0.415,1.482,434.02,78.84,1.0,0.0,0.05
31,-0.393,-1.492,589.77,62.37,1.0,0.0,0.01
32,0.976,-2.379,306.79,51.2,-1.0,0.0,0.39
33,0.762,-2.231,1870.37,127.32,1.0,0.0,15.24
34,-1.293,-2.971,546.84,33.79,1.0,0.0,0.31
35,1.352,-2.569,56.18,5.84,-1.0,0.0,1.96
36,-1.021,2.16,835.62,93.97,1.0,0.0,0.61
37,0.677,1.513,339.83,22.57,1.0,0.0,0.21
38,-1.769,2.912,220.0,52.04,-1.0,0.0,0.59
39,-1.417,1.542,78.76,5.07,1.0,0.0,0.02
40,-0.415,0.437,417.74,43.79,1.0,0.0,0.77
41,0.648,-2.558,1219.24,61.54,-1.0,0.0,0.14
42,-0.33,2.655,2093.31,77.35,-1.0,0.0,1.3
43,-0.408,1.733,1404.78,101.63,-1.0,0.0,0.34
44,-0.881,0.88,399.62,41.06,-1.0,0.0,0.1
45,0.85,-1.867,420.9,57.0,-1.0,0.0,0.1
46,1.08,-2.991,1044.2,17.62,1.0,0.0,0.24
47,-0.873,-2.005,50.03,3.39,1.0,0.0,999.9
48,-1.618,-2.387,630.73,57.52,1.0,0.0,0.21
49,-0.211,2.595,1861.72,59.49,1.0,0.0,1.17
50,-0.337,-1.567,890.06,158.97,-1.0,0.0,0.28
51,-1.427,2.136,35.47,2.33,-1.0,0.0,0.43
52,-0.021,-2.467,3512.32,592.02,-1.0,0.0,1.38
53,-0.132,1.276,148.57,10.94,1.0,0.0,0.0
54,-1.072,-0.991,554.32,30.67,-1.0,0.0,0.0
55,0.588,0.111,1351.11,188.72,1.0,0.0,0.16
56,-2.229,1.474,342.29,26.34,-1.0,0.0,16.36
57,0.216,2.667,636.04,103.18,1.0,0.0,0.18
58,-0.665,-0.365,1725.78,74.67,1.0,0.0,0.0
59,-0.066,1.946,2183.38,106.39,-1.0,0.0,0.75
60,0.677,1.493,2402.68,16.66,1.0,0.0,0.0
61,0.902,-1.105,103.16,8.15,-1.0,0.0,2.38
62,0.777,-2.921,1273.05,210.03,-1.0,0.0,0.03
63,0.222,0.024,32.98,4.8,-1.0,0.0,0.0
64,0.383,-1.119,2205.98,188.32,1.0,0.0,0.77
65,-0.952,1.296,141.52,7.72,1.0,0.0,0.0
66,-0.999,-1.48,214.98,37.61,1.0,0.0,0.12
67,-0.216,1.152,2717.57,11.51,-1.0,0.0,999.9
68,0.813,2.501,630.1,34.88,1.0,0.0,1.32
69,0.453,1.59,59.1,3.17,1.0,0.0,999.9
70,0.073,-2.758,2226.2,181.72,-1.0,0.0,0.9
71,2.363,2.511,263.78,30.8,1.0,0.0,0.99
72,0.396,0.118,1058.81,30.34,-1.0,0.0,0.0
73,-0.494,-0.313,347.25,14.33,-1.0,0.0,0.68
74,0.357,-0.08,590.32,38.1,1.0,0.0,0.0
75,-0.783,3.065,326.71,33.7,1.0,0.0,0.18
76,-1.321,-1.892,32.18,1.12,1.0,0.0,0.0
77,-0.438,0.478,1820.51,220.24,-1.0,0.0,0.0
78,0.094,0.296,65.43,8.27,-1.0,0.0,3.84
79,-0.836,0.117,1321.37,34.58,-1.0,0.0,1.57
80,0.854,0.4,1229.25,93.71,1.0,0.0,0.25
81,-1.562,-1.129,315.43,20.53,-1.0,0.0,0.72
82,-0.331,2.508,2660.01,60.13,1.0,0.0,0.0
83,0.145,-2.946,167.61,1.01,1.0,0.0,0.0
84,0.4,-2.837,676.08,5.77,1.0,0.0,0.08
85,0.505,2.806,586.73,36.92,1.0,0.0,0.23
86,0.359,-3.06,1406.16,92.08,-1.0,0.0,0.17
87,-0.111,-0.732,250.24,45.04,1.0,0.0,0.0
88,-0.811,-1.592,1371.29,56.9,1.0,0.0,1.1
89,0.755,-0.909,994.81,5.36,1.0,0.0,0.0
90,0.303,-1.175,2408.74,38.35,-1.0,0.0,0.23
91,0.582,0.853,916.45,172.76,-1.0,0.0,0.71
92,0.324,0.655,2026.81,47.78,-1.0,0.0,0.0
93,0.069,1.29,883.61,88.05,1.0,0.0,0.03
94,-0.958,-0.398,91.14,8.26,1.0,0.0,0.0
95,-0.765,-2.286,1378.34,137.63,1.0,0.0,0.56
96,0.449,0.265,1341.61,3.49,-1.0,0.0,0.0
97,-0.472,-0.081,1978.78,213.6,1.0,0.0,0.0
98,1.22,-0.787,29.05,4.01,-1.0,0.0,0.0
99,1.539,2.92,38.44,5.56,-1.0,0.0,0.88
100,-0.137,2.007,1331.82,108.67,1.0,0.0,1.38
101,-0.324,1.242,105.72,6.35,1.0,0.0,0.0
102,-1.706,-0.425,81.46,0.73,1.0,0.0,0.0
103,1.253,1.717,467.45,10.79,-1.0,0.0,0.57
104,0.541,0.076,387.6,2.79,1.0,0.0,0.0
