,eta,phi,PT,jmass,ntrk,btag,hadem
0,-1.285,-1.176,143.52,0.0,0.0,0.0,0.0
1,-0.149,1.7,48.84,0.0,0.0,0.0,0.0
2,-1.43,2.804,148.23,0.0,0.0,0.0,0.0
3,1.113,-0.491,1590.48,0.0,0.0,0.0,0.0
4,-0.661,-0.393,1527.56,0.0,0.0,0.0,0.0
5,1.22,0.666,2440.43,0.0,0.0,0.0,0.0
6,0.374,-2.332,623.92,0.0,0.0,0.0,0.0
7,1.635,1.052,825.84,0.0,0.0,0.0,0.0
8,-0.264,-0.128,370.59,0.0,0.0,0.0,0.0
9,-0.006,1.842,1851.09,0.0,0.0,0.0,0.0
10,0.672,-1.004,862.61,0.0,0.0,0.0,0.0
11,0.376,-3.0,1152.96,0.0,0.0,0.0,0.0
12,-0.74,-2.488,108.97,0.0,0.0,0.0,0.0
13,-0.049,2.326,56.97,0.0,0.0,0.0,0.0
14,-0.068,2.163,2245.28,0.0,0.0,0.0,0.0
15,-0.098,-1.891,970.27,0.0,0.0,0.0,0.0
16,-0.407,1.138,3759.77,0.0,0.0,0.0,0.0
17,-0.647,-0.795,600.11,0.0,0.0,0.0,0.0
18,0.568,1.527,1548.5,0.0,0.0,0.0,0.0
19,0.696,-2.313,3729.25,0.0,0.0,0.0,0.0
20,0.22,0.134,3282.29,0.0,0.0,0.0,0.0
21,-0.347,2.311,577.49,0.0,0.0,0.0,0.0
22,-0.647,-2.351,521.53,0.0,0.0,0.0,0.0
23,-0.241,-3.122,4393.15,0.0,0.0,0.0,0.0
24,0.898,-1.301,680.6,0.0,0.0,0.0,0.0
25,-0.447,3.004,98.7,0.0,0.0,0.0,0.0
26,-0.04,-1.939,272.72,0.0,0.0,0.0,0.0
27,-0.512,-0.737,2438.66,0.0,0.0,0.0,0.0
28,-0.056,-3.025,2972.3,0.0,0.0,0.0,0.0
29,-1.651,2.586,1655.27,0.0,0.0,0.0,0.0
30,0.432,-2.669,171.88,0.0,0.0,0.0,0.0
31,-1.282,2.588,236.02,0.0,0.0,0.0,0.0
32,-0.018,-2.517,3066.82,0.0,0.0,0.0,0.0
33,-0.12,2.321,56.06,0.0,0.0,0.0,0.0
34,2.202,-2.015,22.73,0.0,0.0,0.0,0.0
35,0.026,0.067,2130.73,0.0,0.0,0.0,0.0
36,-0.219,-2.788,2536.33,0.0,0.0,0.0,0.0
37,0.306,2.95,2982.57,0.0,0.0,0.0,0.0
38,0.565,0.377,981.48,0.0,0.0,0.0,0.0
39,0.686,-1.968,673.23,0.0,0.0,0.0,0.0
40,0.423,1.161,98.98,0.0,0.0,0.0,0.0
41,0.149,1.3,2009.58,0.0,0.0,0.0,0.0
42,-0.222,0.443,4351.87,0.0,0.0,0.0,0.0
43,2.229,-2.712,115.99,0.0,0.0,0.0,0.0
44,-0.825,0.313,41.54,0.0,0.0,0.0,0.0
45,-0.325,-2.4,37.78,0.0,0.0,0.0,0.0
46,0.529,-0.865,126.65,0.0,0.0,0.0,0.0
47,0.443,2.253,12.78,0.0,0.0,0.0,0.0
48,1.099,1.766,108.96,0.0,0.0,0.0,0.0
49,0.878,2.656,67.14,0.0,0.0,0.0,0.0
50,0.306,1.921,16.64,0.0,0.0,0.0,0.0
