,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.0,1.564,49.99,0.0,0.0,0.0,0.0
1,0.0,-0.193,17.38,0.0,0.0,0.0,0.0
2,0.0,-1.819,41.24,0.0,0.0,0.0,0.0
3,0.0,-1.508,43.67,0.0,0.0,0.0,0.0
4,0.0,1.4,19.56,0.0,0.0,0.0,0.0
5,0.0,-2.1,55.32,0.0,0.0,0.0,0.0
6,0.0,-2.739,8.09,0.0,0.0,0.0,0.0
7,0.0,-1.299,25.73,0.0,0.0,0.0,0.0
8,0.0,-0.73,41.91,0.0,0.0,0.0,0.0
9,0.0,-2.51,15.02,0.0,0.0,0.0,0.0
10,0.0,-2.124,49.55,0.0,0.0,0.0,0.0
11,0.0,1.715,43.79,0.0,0.0,0.0,0.0
12,0.0,0.078,32.51,0.0,0.0,0.0,0.0
13,0.0,0.141,87.59,0.0,0.0,0.0,0.0
14,0.0,2.324,153.62,0.0,0.0,0.0,0.0
15,0.0,-1.486,236.15,0.0,0.0,0.0,0.0
16,0.0,-2.786,22.31,0.0,0.0,0.0,0.0
17,0.0,1.754,81.79,0.0,0.0,0.0,0.0
18,0.0,0.144,62.68,0.0,0.0,0.0,0.0
19,0.0,0.629,33.26,0.0,0.0,0.0,0.0
20,0.0,2.938,15.8,0.0,0.0,0.0,0.0
21,0.0,-3.069,36.82,0.0,0.0,0.0,0.0
22,0.0,1.06,30.01,0.0,0.0,0.0,0.0
23,0.0,-0.322,79.22,0.0,0.0,0.0,0.0
24,0.0,-0.712,14.5,0.0,0.0,0.0,0.0
25,0.0,-1.218,53.61,0.0,0.0,0.0,0.0
26,0.0,1.637,30.37,0.0,0.0,0.0,0.0
27,0.0,-0.112,68.5,0.0,0.0,0.0,0.0
28,0.0,0.11,27.85,0.0,0.0,0.0,0.0
29,0.0,-1.229,34.96,0.0,0.0,0.0,0.0
30,0.0,2.3,38.16,0.0,0.0,0.0,0.0
31,0.0,-1.682,29.44,0.0,0.0,0.0,0.0
32,0.0,1.675,4.26,0.0,0.0,0.0,0.0
33,0.0,-1.68,39.24,0.0,0.0,0.0,0.0
34,0.0,-2.625,17.33,0.0,0.0,0.0,0.0
35,0.0,0.047,28.13,0.0,0.0,0.0,0.0
36,0.0,1.923,24.7,0.0,0.0,0.0,0.0
37,0.0,-2.147,100.04,0.0,0.0,0.0,0.0
38,0.0,-3.026,35.75,0.0,0.0,0.0,0.0
39,0.0,1.737,37.23,0.0,0.0,0.0,0.0
40,0.0,-2.254,53.94,0.0,0.0,0.0,0.0
41,0.0,1.632,21.89,0.0,0.0,0.0,0.0
42,0.0,-2.974,9.93,0.0,0.0,0.0,0.0
43,0.0,2.338,58.83,0.0,0.0,0.0,0.0
44,0.0,-2.995,2.69,0.0,0.0,0.0,0.0
45,0.0,-1.614,12.87,0.0,0.0,0.0,0.0
46,0.0,3.008,52.74,0.0,0.0,0.0,0.0
47,0.0,2.207,22.48,0.0,0.0,0.0,0.0
48,0.0,-2.638,51.04,0.0,0.0,0.0,0.0
49,0.0,-2.032,56.76,0.0,0.0,0.0,0.0
50,0.0,-2.359,45.4,0.0,0.0,0.0,0.0
51,0.0,-0.111,72.42,0.0,0.0,0.0,0.0
52,0.0,1.449,45.89,0.0,0.0,0.0,0.0
53,0.0,-2.408,76.23,0.0,0.0,0.0,0.0
54,0.0,-1.879,5.33,0.0,0.0,0.0,0.0
55,0.0,0.417,24.73,0.0,0.0,0.0,0.0
56,0.0,-1.712,16.41,0.0,0.0,0.0,0.0
57,0.0,1.295,97.09,0.0,0.0,0.0,0.0
58,0.0,-1.887,56.45,0.0,0.0,0.0,0.0
59,0.0,-1.847,270.94,0.0,0.0,0.0,0.0
60,0.0,-0.696,7.61,0.0,0.0,0.0,0.0
61,0.0,2.251,240.37,0.0,0.0,0.0,0.0
62,0.0,-2.832,74.44,0.0,0.0,0.0,0.0
63,0.0,-1.788,18.43,0.0,0.0,0.0,0.0
64,0.0,2.382,6.26,0.0,0.0,0.0,0.0
65,0.0,1.659,27.41,0.0,0.0,0.0,0.0
66,0.0,-2.151,7.82,0.0,0.0,0.0,0.0
67,0.0,1.78,39.66,0.0,0.0,0.0,0.0
68,0.0,0.614,116.74,0.0,0.0,0.0,0.0
69,0.0,-1.738,18.35,0.0,0.0,0.0,0.0
70,0.0,0.129,11.17,0.0,0.0,0.0,0.0
71,0.0,1.027,47.94,0.0,0.0,0.0,0.0
72,0.0,0.2,39.87,0.0,0.0,0.0,0.0
73,0.0,1.314,71.33,0.0,0.0,0.0,0.0
74,0.0,1.807,101.21,0.0,0.0,0.0,0.0
75,0.0,-2.582,28.72,0.0,0.0,0.0,0.0
76,0.0,-1.88,92.63,0.0,0.0,0.0,0.0
77,0.0,1.41,94.72,0.0,0.0,0.0,0.0
78,0.0,-2.285,7.85,0.0,0.0,0.0,0.0
79,0.0,0.483,20.11,0.0,0.0,0.0,0.0
80,0.0,2.781,45.68,0.0,0.0,0.0,0.0
81,0.0,0.333,79.41,0.0,0.0,0.0,0.0
82,0.0,-1.551,14.04,0.0,0.0,0.0,0.0
83,0.0,-1.644,92.11,0.0,0.0,0.0,0.0
84,0.0,2.795,69.76,0.0,0.0,0.0,0.0
85,0.0,0.841,78.34,0.0,0.0,0.0,0.0
86,0.0,-0.973,93.74,0.0,0.0,0.0,0.0
87,0.0,-1.693,51.69,0.0,0.0,0.0,0.0
88,0.0,-1.414,70.57,0.0,0.0,0.0,0.0
89,0.0,-2.002,46.85,0.0,0.0,0.0,0.0
90,0.0,-0.229,15.01,0.0,0.0,0.0,0.0
91,0.0,-1.522,60.42,0.0,0.0,0.0,0.0
92,0.0,2.23,31.4,0.0,0.0,0.0,0.0
93,0.0,1.733,15.98,0.0,0.0,0.0,0.0
94,0.0,-1.145,34.99,0.0,0.0,0.0,0.0
95,0.0,0.583,10.34,0.0,0.0,0.0,0.0
96,0.0,2.917,61.29,0.0,0.0,0.0,0.0
97,0.0,-1.11,18.12,0.0,0.0,0.0,0.0
98,0.0,-1.155,12.96,0.0,0.0,0.0,0.0
99,0.0,-1.168,113.14,0.0,0.0,0.0,0.0
100,0.0,-2.285,119.08,0.0,0.0,0.0,0.0
101,0.0,0.776,20.24,0.0,0.0,0.0,0.0
102,0.0,1.48,39.24,0.0,0.0,0.0,0.0
103,0.0,1.859,62.67,0.0,0.0,0.0,0.0
104,0.0,2.697,8.83,0.0,0.0,0.0,0.0
105,0.0,-3.054,145.45,0.0,0.0,0.0,0.0
106,0.0,-2.58,134.14,0.0,0.0,0.0,0.0
107,0.0,-1.381,3.94,0.0,0.0,0.0,0.0
108,0.0,-1.299,22.78,0.0,0.0,0.0,0.0
109,0.0,0.311,14.78,0.0,0.0,0.0,0.0
110,0.0,0.169,93.7,0.0,0.0,0.0,0.0
111,0.0,0.806,43.73,0.0,0.0,0.0,0.0
112,0.0,-2.097,8.76,0.0,0.0,0.0,0.0
113,0.0,1.61,9.59,0.0,0.0,0.0,0.0
114,0.0,0.082,39.99,0.0,0.0,0.0,0.0
115,0.0,1.649,32.65,0.0,0.0,0.0,0.0
116,0.0,1.232,16.54,0.0,0.0,0.0,0.0
117,0.0,-0.007,173.66,0.0,0.0,0.0,0.0
118,0.0,-2.724,51.27,0.0,0.0,0.0,0.0
119,0.0,-1.176,30.12,0.0,0.0,0.0,0.0
120,0.0,-2.425,28.84,0.0,0.0,0.0,0.0
121,0.0,2.124,6.55,0.0,0.0,0.0,0.0
122,0.0,2.767,45.95,0.0,0.0,0.0,0.0
123,0.0,0.511,32.11,0.0,0.0,0.0,0.0
124,0.0,0.747,127.7,0.0,0.0,0.0,0.0
125,0.0,0.617,50.57,0.0,0.0,0.0,0.0
126,0.0,-0.933,105.95,0.0,0.0,0.0,0.0
127,0.0,1.701,49.97,0.0,0.0,0.0,0.0
128,0.0,1.626,33.32,0.0,0.0,0.0,0.0
129,0.0,0.424,20.26,0.0,0.0,0.0,0.0
130,0.0,-0.142,70.33,0.0,0.0,0.0,0.0
131,0.0,1.596,98.53,0.0,0.0,0.0,0.0
132,0.0,-1.826,26.84,0.0,0.0,0.0,0.0
133,0.0,-2.631,19.43,0.0,0.0,0.0,0.0
134,0.0,0.029,60.73,0.0,0.0,0.0,0.0
135,0.0,1.417,35.14,0.0,0.0,0.0,0.0
136,0.0,0.281,62.71,0.0,0.0,0.0,0.0
137,0.0,2.564,66.03,0.0,0.0,0.0,0.0
138,0.0,1.886,32.91,0.0,0.0,0.0,0.0
139,0.0,1.219,38.07,0.0,0.0,0.0,0.0
140,0.0,1.214,149.86,0.0,0.0,0.0,0.0
141,0.0,-0.236,37.72,0.0,0.0,0.0,0.0
142,0.0,-1.206,29.44,0.0,0.0,0.0,0.0
143,0.0,0.982,46.74,0.0,0.0,0.0,0.0
144,0.0,2.296,7.17,0.0,0.0,0.0,0.0
145,0.0,-2.794,89.59,0.0,0.0,0.0,0.0
146,0.0,1.436,10.86,0.0,0.0,0.0,0.0
147,0.0,-0.296,45.85,0.0,0.0,0.0,0.0
148,0.0,2.168,45.33,0.0,0.0,0.0,0.0
149,0.0,-0.777,25.21,0.0,0.0,0.0,0.0
150,0.0,-2.7,129.23,0.0,0.0,0.0,0.0
151,0.0,-2.222,14.89,0.0,0.0,0.0,0.0
152,0.0,-2.887,18.04,0.0,0.0,0.0,0.0
153,0.0,2.454,113.22,0.0,0.0,0.0,0.0
154,0.0,2.786,24.11,0.0,0.0,0.0,0.0
155,0.0,0.707,26.6,0.0,0.0,0.0,0.0
156,0.0,-1.385,84.4,0.0,0.0,0.0,0.0
157,0.0,-1.875,33.57,0.0,0.0,0.0,0.0
158,0.0,2.447,63.57,0.0,0.0,0.0,0.0
159,0.0,2.415,29.94,0.0,0.0,0.0,0.0
160,0.0,-1.864,54.48,0.0,0.0,0.0,0.0
161,0.0,0.701,40.07,0.0,0.0,0.0,0.0
162,0.0,-2.812,23.59,0.0,0.0,0.0,0.0
163,0.0,-2.622,42.77,0.0,0.0,0.0,0.0
164,0.0,-1.139,13.61,0.0,0.0,0.0,0.0
165,0.0,2.99,76.15,0.0,0.0,0.0,0.0
166,0.0,-1.781,46.66,0.0,0.0,0.0,0.0
167,0.0,-2.152,73.14,0.0,0.0,0.0,0.0
168,0.0,3.085,17.12,0.0,0.0,0.0,0.0
169,0.0,-0.837,31.86,0.0,0.0,0.0,0.0
170,0.0,-2.458,43.58,0.0,0.0,0.0,0.0
171,0.0,2.301,52.07,0.0,0.0,0.0,0.0
172,0.0,-2.173,65.83,0.0,0.0,0.0,0.0
173,0.0,-0.842,64.07,0.0,0.0,0.0,0.0
174,0.0,0.22,54.54,0.0,0.0,0.0,0.0
175,0.0,0.864,5.67,0.0,0.0,0.0,0.0
176,0.0,-2.246,85.74,0.0,0.0,0.0,0.0
177,0.0,2.715,10.37,0.0,0.0,0.0,0.0
178,0.0,1.964,19.93,0.0,0.0,0.0,0.0
179,0.0,1.095,29.46,0.0,0.0,0.0,0.0
180,0.0,-2.206,24.7,0.0,0.0,0.0,0.0
181,0.0,2.104,122.41,0.0,0.0,0.0,0.0
182,0.0,1.384,18.81,0.0,0.0,0.0,0.0
183,0.0,-1.334,24.66,0.0,0.0,0.0,0.0
184,0.0,2.735,40.19,0.0,0.0,0.0,0.0
185,0.0,2.362,6.59,0.0,0.0,0.0,0.0
186,0.0,1.46,48.98,0.0,0.0,0.0,0.0
187,0.0,-0.874,44.71,0.0,0.0,0.0,0.0
188,0.0,-1.188,43.45,0.0,0.0,0.0,0.0
189,0.0,1.088,12.65,0.0,0.0,0.0,0.0
190,0.0,2.346,95.34,0.0,0.0,0.0,0.0
191,0.0,2.474,16.02,0.0,0.0,0.0,0.0
192,0.0,1.989,57.58,0.0,0.0,0.0,0.0
193,0.0,0.699,26.46,0.0,0.0,0.0,0.0
194,0.0,-2.249,68.64,0.0,0.0,0.0,0.0
195,0.0,-1.358,72.67,0.0,0.0,0.0,0.0
196,0.0,1.48,22.15,0.0,0.0,0.0,0.0
197,0.0,0.816,67.7,0.0,0.0,0.0,0.0
198,0.0,0.539,91.08,0.0,0.0,0.0,0.0
199,0.0,-0.941,39.76,0.0,0.0,0.0,0.0
200,0.0,3.018,80.22,0.0,0.0,0.0,0.0
201,0.0,-1.408,67.24,0.0,0.0,0.0,0.0
202,0.0,-0.429,22.92,0.0,0.0,0.0,0.0
203,0.0,-0.822,64.63,0.0,0.0,0.0,0.0
204,0.0,-1.853,60.45,0.0,0.0,0.0,0.0
205,0.0,0.183,8.83,0.0,0.0,0.0,0.0
206,0.0,0.888,69.31,0.0,0.0,0.0,0.0
207,0.0,-1.481,17.83,0.0,0.0,0.0,0.0
208,0.0,0.306,37.69,0.0,0.0,0.0,0.0
209,0.0,-2.892,27.7,0.0,0.0,0.0,0.0
210,0.0,-1.942,102.84,0.0,0.0,0.0,0.0
211,0.0,-1.393,17.57,0.0,0.0,0.0,0.0
212,0.0,1.79,58.98,0.0,0.0,0.0,0.0
213,0.0,-2.779,17.26,0.0,0.0,0.0,0.0
214,0.0,-0.54,58.21,0.0,0.0,0.0,0.0
215,0.0,-0.485,94.32,0.0,0.0,0.0,0.0
216,0.0,0.814,13.37,0.0,0.0,0.0,0.0
217,0.0,-0.123,38.8,0.0,0.0,0.0,0.0
218,0.0,2.953,55.94,0.0,0.0,0.0,0.0
219,0.0,-0.153,71.49,0.0,0.0,0.0,0.0
220,0.0,-1.952,60.81,0.0,0.0,0.0,0.0
221,0.0,1.173,75.71,0.0,0.0,0.0,0.0
222,0.0,0.112,47.32,0.0,0.0,0.0,0.0
223,0.0,-1.225,88.9,0.0,0.0,0.0,0.0
224,0.0,-2.217,51.42,0.0,0.0,0.0,0.0
225,0.0,-0.894,14.06,0.0,0.0,0.0,0.0
226,0.0,1.879,96.69,0.0,0.0,0.0,0.0
227,0.0,1.68,118.7,0.0,0.0,0.0,0.0
228,0.0,0.271,126.13,0.0,0.0,0.0,0.0
229,0.0,0.901,32.24,0.0,0.0,0.0,0.0
230,0.0,-2.291,10.58,0.0,0.0,0.0,0.0
231,0.0,1.491,85.21,0.0,0.0,0.0,0.0
232,0.0,-0.859,57.77,0.0,0.0,0.0,0.0
233,0.0,1.768,34.34,0.0,0.0,0.0,0.0
234,0.0,-0.176,7.95,0.0,0.0,0.0,0.0
235,0.0,-1.301,59.27,0.0,0.0,0.0,0.0
236,0.0,-0.068,18.5,0.0,0.0,0.0,0.0
237,0.0,-2.896,34.27,0.0,0.0,0.0,0.0
238,0.0,1.027,22.41,0.0,0.0,0.0,0.0
239,0.0,-2.786,43.78,0.0,0.0,0.0,0.0
240,0.0,-2.476,51.34,0.0,0.0,0.0,0.0
241,0.0,-0.794,19.42,0.0,0.0,0.0,0.0
242,0.0,-2.612,20.43,0.0,0.0,0.0,0.0
243,0.0,-0.137,122.78,0.0,0.0,0.0,0.0
244,0.0,-1.462,32.29,0.0,0.0,0.0,0.0
245,0.0,0.815,45.31,0.0,0.0,0.0,0.0
246,0.0,-2.013,48.75,0.0,0.0,0.0,0.0
247,0.0,2.388,36.99,0.0,0.0,0.0,0.0
248,0.0,1.01,23.62,0.0,0.0,0.0,0.0
249,0.0,-1.461,41.11,0.0,0.0,0.0,0.0
250,0.0,-0.64,46.46,0.0,0.0,0.0,0.0
251,0.0,1.989,49.24,0.0,0.0,0.0,0.0
252,0.0,0.138,55.1,0.0,0.0,0.0,0.0
253,0.0,1.412,16.85,0.0,0.0,0.0,0.0
254,0.0,-1.07,53.81,0.0,0.0,0.0,0.0
255,0.0,-0.192,59.57,0.0,0.0,0.0,0.0
256,0.0,2.341,9.59,0.0,0.0,0.0,0.0
257,0.0,1.957,33.55,0.0,0.0,0.0,0.0
258,0.0,-1.967,73.6,0.0,0.0,0.0,0.0
259,0.0,-2.288,24.01,0.0,0.0,0.0,0.0
260,0.0,1.657,110.94,0.0,0.0,0.0,0.0
261,0.0,-1.514,77.44,0.0,0.0,0.0,0.0
262,0.0,-2.321,27.43,0.0,0.0,0.0,0.0
263,0.0,0.723,92.9,0.0,0.0,0.0,0.0
264,0.0,-2.623,8.52,0.0,0.0,0.0,0.0
265,0.0,1.134,25.86,0.0,0.0,0.0,0.0
266,0.0,2.722,149.92,0.0,0.0,0.0,0.0
267,0.0,-1.532,22.87,0.0,0.0,0.0,0.0
268,0.0,0.334,40.7,0.0,0.0,0.0,0.0
269,0.0,0.645,128.58,0.0,0.0,0.0,0.0
270,0.0,2.385,69.56,0.0,0.0,0.0,0.0
271,0.0,3.137,9.53,0.0,0.0,0.0,0.0
272,0.0,-1.124,38.93,0.0,0.0,0.0,0.0
273,0.0,-2.783,40.14,0.0,0.0,0.0,0.0
274,0.0,1.615,101.1,0.0,0.0,0.0,0.0
275,0.0,-1.974,33.89,0.0,0.0,0.0,0.0
276,0.0,-2.819,86.17,0.0,0.0,0.0,0.0
277,0.0,-1.671,22.76,0.0,0.0,0.0,0.0
278,0.0,1.832,54.5,0.0,0.0,0.0,0.0
279,0.0,2.696,6.72,0.0,0.0,0.0,0.0
280,0.0,1.529,78.09,0.0,0.0,0.0,0.0
281,0.0,-0.877,27.84,0.0,0.0,0.0,0.0
282,0.0,-1.615,38.48,0.0,0.0,0.0,0.0
283,0.0,-2.622,76.38,0.0,0.0,0.0,0.0
284,0.0,0.287,52.46,0.0,0.0,0.0,0.0
285,0.0,2.384,86.4,0.0,0.0,0.0,0.0
286,0.0,-2.927,62.52,0.0,0.0,0.0,0.0
287,0.0,3.112,96.93,0.0,0.0,0.0,0.0
288,0.0,-0.899,33.16,0.0,0.0,0.0,0.0
289,0.0,2.693,10.97,0.0,0.0,0.0,0.0
290,0.0,-1.147,33.26,0.0,0.0,0.0,0.0
291,0.0,-1.381,7.68,0.0,0.0,0.0,0.0
292,0.0,-0.49,30.01,0.0,0.0,0.0,0.0
293,0.0,2.25,27.77,0.0,0.0,0.0,0.0
294,0.0,2.334,9.68,0.0,0.0,0.0,0.0
295,0.0,-3.137,54.94,0.0,0.0,0.0,0.0
296,0.0,0.392,71.13,0.0,0.0,0.0,0.0
297,0.0,-0.017,11.31,0.0,0.0,0.0,0.0
298,0.0,-1.308,68.66,0.0,0.0,0.0,0.0
299,0.0,-0.278,49.46,0.0,0.0,0.0,0.0
300,0.0,-1.562,56.19,0.0,0.0,0.0,0.0
301,0.0,-2.686,39.7,0.0,0.0,0.0,0.0
302,0.0,2.721,103.16,0.0,0.0,0.0,0.0
303,0.0,1.805,16.66,0.0,0.0,0.0,0.0
304,0.0,0.25,7.66,0.0,0.0,0.0,0.0
305,0.0,1.489,27.26,0.0,0.0,0.0,0.0
306,0.0,2.049,23.76,0.0,0.0,0.0,0.0
307,0.0,-0.301,10.77,0.0,0.0,0.0,0.0
308,0.0,-2.299,76.71,0.0,0.0,0.0,0.0
309,0.0,-0.745,175.12,0.0,0.0,0.0,0.0
310,0.0,0.689,33.18,0.0,0.0,0.0,0.0
311,0.0,1.192,114.04,0.0,0.0,0.0,0.0
312,0.0,-1.968,71.33,0.0,0.0,0.0,0.0
313,0.0,-0.688,116.99,0.0,0.0,0.0,0.0
