,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-1.199,-1.061,95.42,0.0,1.0,0.0,0.0,11
1,-0.996,1.928,148.56,0.0,-1.0,0.0,0.0,20
2,0.103,-0.036,351.44,0.0,-1.0,0.0,0.0,51
3,0.992,1.077,24.17,0.0,1.0,0.0,0.0,53
4,0.463,-2.32,17.74,0.0,1.0,0.0,0.0,66
5,-0.002,-2.653,114.36,0.0,1.0,0.0,0.0,78
6,-0.954,-2.498,564.04,0.0,-1.0,0.0,0.0,116
7,-0.124,-2.686,46.98,0.0,1.0,0.0,0.0,127
8,0.03,1.818,127.19,0.0,1.0,0.0,0.0,135
9,-1.836,2.623,292.5,0.0,-1.0,0.0,0.0,143
10,-1.495,1.369,16.77,0.0,1.0,0.0,0.0,144
11,-1.261,1.558,174.08,0.0,-1.0,0.0,0.0,165
12,-1.766,-2.15,141.0,0.0,1.0,0.0,0.0,177
13,-0.208,-0.087,412.43,0.0,1.0,0.0,0.0,184
14,0.637,2.048,347.34,0.0,1.0,0.0,0.0,215
15,0.379,2.904,44.85,0.0,1.0,0.0,0.0,228
16,-0.69,-2.922,174.41,0.0,1.0,0.0,0.0,230
17,0.358,-2.419,527.87,0.0,-1.0,0.0,0.0,237
18,-0.149,2.361,317.9,0.0,1.0,0.0,0.0,243
19,1.493,-2.247,102.5,0.0,1.0,0.0,0.0,253
20,-0.305,1.006,326.3,0.0,1.0,0.0,0.0,254
21,0.776,-0.539,360.91,0.0,1.0,0.0,0.0,265
22,1.04,0.586,417.53,0.0,1.0,0.0,0.0,277
23,-0.354,2.44,89.3,0.0,-1.0,0.0,0.0,321
24,-1.79,-3.061,60.48,0.0,-1.0,0.0,0.0,336
25,-0.201,-2.772,211.25,0.0,-1.0,0.0,0.0,340
26,-0.857,-0.241,119.59,0.0,-1.0,0.0,0.0,388
27,0.756,2.158,252.38,0.0,1.0,0.0,0.0,417
28,-0.78,0.111,175.32,0.0,-1.0,0.0,0.0,426
29,-0.637,1.927,12.43,0.0,-1.0,0.0,0.0,438
30,1.502,-3.03,18.73,0.0,1.0,0.0,0.0,469
31,0.337,2.519,42.43,0.0,1.0,0.0,0.0,480
32,0.309,1.455,95.45,0.0,1.0,0.0,0.0,488
33,0.241,2.356,189.1,0.0,-1.0,0.0,0.0,491
34,-0.435,1.49,67.16,0.0,1.0,0.0,0.0,493
35,-1.31,-0.5,420.58,0.0,-1.0,0.0,0.0,503
36,0.994,-0.625,121.14,0.0,-1.0,0.0,0.0,507
37,-0.161,-1.403,123.13,0.0,1.0,0.0,0.0,510
38,-0.16,-0.481,103.99,0.0,1.0,0.0,0.0,516
39,-0.255,-1.87,69.88,0.0,1.0,0.0,0.0,522
40,0.922,-1.402,222.16,0.0,1.0,0.0,0.0,528
41,0.366,0.66,258.98,0.0,1.0,0.0,0.0,548
42,0.969,0.3,315.59,0.0,-1.0,0.0,0.0,579
43,-0.406,0.793,345.59,0.0,-1.0,0.0,0.0,591
44,-0.752,3.093,289.22,0.0,1.0,0.0,0.0,593
45,1.315,-0.009,479.48,0.0,-1.0,0.0,0.0,605
46,-2.376,1.041,12.28,0.0,-1.0,0.0,0.0,616
47,-1.162,1.644,493.07,0.0,-1.0,0.0,0.0,617
48,-0.579,-1.725,88.97,0.0,1.0,0.0,0.0,617
49,0.196,-1.809,385.22,0.0,1.0,0.0,0.0,643
50,0.459,2.243,292.2,0.0,1.0,0.0,0.0,663
51,0.645,-1.696,43.07,0.0,-1.0,0.0,0.0,672
52,1.594,-2.432,122.13,0.0,1.0,0.0,0.0,722
53,-0.213,-0.34,26.34,0.0,-1.0,0.0,0.0,739
54,-0.391,0.87,114.98,0.0,1.0,0.0,0.0,754
55,0.877,3.015,524.87,0.0,1.0,0.0,0.0,775
56,1.245,-1.869,217.04,0.0,1.0,0.0,0.0,802
57,-0.288,-2.842,318.7,0.0,1.0,0.0,0.0,818
58,0.615,-0.425,73.08,0.0,1.0,0.0,0.0,826
59,1.231,2.834,189.55,0.0,-1.0,0.0,0.0,827
60,0.512,1.827,369.67,0.0,-1.0,0.0,0.0,831
61,-0.519,-0.222,332.92,0.0,-1.0,0.0,0.0,832
62,-0.221,2.17,31.72,0.0,-1.0,0.0,0.0,838
63,-1.027,-1.728,134.69,0.0,1.0,0.0,0.0,843
64,-0.944,-2.721,134.23,0.0,1.0,0.0,0.0,848
65,1.325,-0.787,265.75,0.0,-1.0,0.0,0.0,868
66,0.122,1.258,28.84,0.0,-1.0,0.0,0.0,877
67,-1.38,-1.435,93.65,0.0,-1.0,0.0,0.0,892
68,-0.711,2.133,74.83,0.0,1.0,0.0,0.0,896
69,-1.698,-2.56,237.69,0.0,1.0,0.0,0.0,898
70,-0.622,1.059,29.87,0.0,1.0,0.0,0.0,902
71,-0.381,2.091,127.1,0.0,-1.0,0.0,0.0,917
72,1.014,0.218,135.56,0.0,1.0,0.0,0.0,918
73,-0.856,-0.307,46.98,0.0,-1.0,0.0,0.0,926
74,-1.358,-0.334,136.88,0.0,-1.0,0.0,0.0,929
75,-1.271,1.924,26.62,0.0,-1.0,0.0,0.0,953
76,0.972,1.342,10.8,0.0,-1.0,0.0,0.0,954
77,-0.022,-0.439,339.23,0.0,-1.0,0.0,0.0,955
78,0.455,-3.068,19.66,0.0,-1.0,0.0,0.0,972
79,-1.034,1.53,485.13,0.0,1.0,0.0,0.0,975
80,-0.801,-2.219,96.12,0.0,-1.0,0.0,0.0,981
81,1.158,-0.62,474.27,0.0,-1.0,0.0,0.0,986
82,-1.181,0.407,40.88,0.0,-1.0,0.0,0.0,990
83,1.827,-3.1,136.06,0.0,-1.0,0.0,0.0,1012
84,0.142,-0.307,337.72,0.0,-1.0,0.0,0.0,1013
85,0.689,-0.423,403.75,0.0,-1.0,0.0,0.0,1039
86,-0.12,-1.734,231.3,0.0,1.0,0.0,0.0,1040
87,0.022,1.277,134.73,0.0,-1.0,0.0,0.0,1064
88,1.216,-3.0,200.52,0.0,1.0,0.0,0.0,1075
89,-0.992,1.683,212.0,0.0,1.0,0.0,0.0,1082
90,-0.472,-0.72,89.67,0.0,-1.0,0.0,0.0,1095
91,-0.611,-1.654,82.27,0.0,1.0,0.0,0.0,1105
92,-1.089,1.661,44.96,0.0,-1.0,0.0,0.0,1121
93,1.334,0.236,255.54,0.0,1.0,0.0,0.0,1122
94,-0.02,-2.8,14.52,0.0,1.0,0.0,0.0,1140
95,0.489,-1.762,26.35,0.0,-1.0,0.0,0.0,1148
96,0.133,2.901,175.56,0.0,1.0,0.0,0.0,1159
97,1.855,2.387,104.33,0.0,1.0,0.0,0.0,1176
98,-0.048,-2.929,131.51,0.0,-1.0,0.0,0.0,1194
99,-0.338,-1.367,170.11,0.0,1.0,0.0,0.0,1215
100,0.777,1.204,72.08,0.0,1.0,0.0,0.0,1237
101,1.01,1.614,187.24,0.0,-1.0,0.0,0.0,1238
102,-0.118,-2.302,96.57,0.0,-1.0,0.0,0.0,1250
103,0.125,-3.031,81.34,0.0,-1.0,0.0,0.0,1258
104,-1.451,0.204,27.42,0.0,-1.0,0.0,0.0,1275
105,-1.335,2.161,104.82,0.0,1.0,0.0,0.0,1291
106,0.599,-2.606,26.15,0.0,-1.0,0.0,0.0,1301
107,-0.112,-0.688,405.13,0.0,-1.0,0.0,0.0,1303
108,0.42,0.841,231.3,0.0,1.0,0.0,0.0,1305
109,0.103,-0.85,197.45,0.0,-1.0,0.0,0.0,1316
110,-0.25,-2.864,68.01,0.0,1.0,0.0,0.0,1324
111,0.59,-0.172,49.82,0.0,1.0,0.0,0.0,1328
112,1.535,-1.813,35.91,0.0,-1.0,0.0,0.0,1355
113,0.999,0.215,213.19,0.0,-1.0,0.0,0.0,1358
114,-0.458,-2.758,118.61,0.0,-1.0,0.0,0.0,1368
115,0.52,-0.653,171.14,0.0,1.0,0.0,0.0,1370
116,-0.685,-2.073,114.69,0.0,-1.0,0.0,0.0,1377
117,-1.611,-0.79,82.51,0.0,-1.0,0.0,0.0,1386
118,-0.984,2.858,19.56,0.0,-1.0,0.0,0.0,1400
119,-0.8,-2.725,329.01,0.0,1.0,0.0,0.0,1405
120,0.069,-2.765,291.94,0.0,1.0,0.0,0.0,1422
121,-0.039,1.536,289.57,0.0,-1.0,0.0,0.0,1424
122,-1.051,-0.153,29.33,0.0,1.0,0.0,0.0,1428
123,-0.239,1.624,213.12,0.0,1.0,0.0,0.0,1452
124,-0.21,-2.953,16.49,0.0,-1.0,0.0,0.0,1463
125,1.356,-2.823,26.31,0.0,-1.0,0.0,0.0,1471
126,0.393,2.307,346.0,0.0,-1.0,0.0,0.0,1472
127,-1.349,-0.059,77.07,0.0,-1.0,0.0,0.0,1499
128,1.33,-0.387,48.87,0.0,1.0,0.0,0.0,1501
129,1.24,-2.942,147.92,0.0,1.0,0.0,0.0,1505
130,0.409,-1.642,220.61,0.0,1.0,0.0,0.0,1510
131,0.359,2.469,89.27,0.0,1.0,0.0,0.0,1577
132,-0.515,0.907,472.72,0.0,1.0,0.0,0.0,1581
133,1.257,1.903,324.93,0.0,-1.0,0.0,0.0,1603
134,1.005,-1.49,77.26,0.0,1.0,0.0,0.0,1622
135,-0.439,-1.09,413.5,0.0,1.0,0.0,0.0,1635
136,1.191,2.311,354.64,0.0,1.0,0.0,0.0,1645
137,-0.298,2.459,316.52,0.0,1.0,0.0,0.0,1656
138,0.495,2.859,218.05,0.0,1.0,0.0,0.0,1658
139,-0.515,0.916,334.38,0.0,-1.0,0.0,0.0,1665
140,-0.631,2.502,58.57,0.0,-1.0,0.0,0.0,1667
141,0.864,0.78,192.63,0.0,1.0,0.0,0.0,1697
142,-0.545,2.285,90.66,0.0,1.0,0.0,0.0,1762
143,0.918,1.01,57.88,0.0,-1.0,0.0,0.0,1767
144,-0.138,-1.076,67.74,0.0,-1.0,0.0,0.0,1775
145,-0.487,2.371,108.4,0.0,-1.0,0.0,0.0,1820
146,0.868,1.654,15.84,0.0,1.0,0.0,0.0,1837
147,-0.432,0.901,404.72,0.0,-1.0,0.0,0.0,1891
148,-1.33,2.99,214.8,0.0,1.0,0.0,0.0,1904
149,0.325,-1.782,284.4,0.0,1.0,0.0,0.0,1907
150,0.106,-0.239,404.57,0.0,1.0,0.0,0.0,1913
151,2.317,1.754,136.37,0.0,1.0,0.0,0.0,1922
152,-0.566,-2.89,154.26,0.0,-1.0,0.0,0.0,1946
153,0.106,1.674,494.45,0.0,-1.0,0.0,0.0,1950
154,-0.907,-2.483,219.28,0.0,1.0,0.0,0.0,1965
155,-0.298,-1.518,332.38,0.0,-1.0,0.0,0.0,1971
156,-0.391,-1.412,108.54,0.0,1.0,0.0,0.0,1973
157,1.422,1.235,512.97,0.0,-1.0,0.0,0.0,1979
158,0.102,0.832,130.89,0.0,1.0,0.0,0.0,1982
159,0.552,-2.855,156.58,0.0,-1.0,0.0,0.0,2025
160,0.131,0.481,273.95,0.0,1.0,0.0,0.0,2052
161,-0.109,1.066,28.5,0.0,-1.0,0.0,0.0,2058
162,-1.706,1.804,45.35,0.0,1.0,0.0,0.0,2063
163,-0.515,-0.611,319.97,0.0,1.0,0.0,0.0,2065
164,0.364,1.579,174.8,0.0,1.0,0.0,0.0,2075
165,-0.04,1.325,70.59,0.0,-1.0,0.0,0.0,2077
166,-0.326,1.924,429.38,0.0,1.0,0.0,0.0,2086
167,0.601,-2.379,123.72,0.0,1.0,0.0,0.0,2176
168,1.137,-0.941,108.88,0.0,1.0,0.0,0.0,2183
169,0.471,0.743,103.76,0.0,-1.0,0.0,0.0,2196
170,1.044,-1.475,54.42,0.0,1.0,0.0,0.0,2196
