,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.645,-2.856,716.96,81.9,1.0,0.0,0.93,5
1,0.614,3.135,121.28,1.06,-1.0,0.0,0.0,8
2,-0.688,1.415,164.14,9.09,1.0,0.0,0.38,9
3,-3.472,0.331,45.63,11.32,-1.0,0.0,0.95,15
4,0.009,1.31,747.74,157.69,1.0,0.0,0.53,22
5,-1.16,-1.794,296.65,48.05,-1.0,0.0,0.0,28
6,1.174,2.441,111.73,25.36,1.0,0.0,0.28,37
7,-0.87,0.085,80.83,10.8,1.0,0.0,0.0,40
8,-0.709,-2.179,365.07,64.23,1.0,0.0,1.23,45
9,-0.29,-2.564,459.31,107.41,-1.0,0.0,3.37,70
10,-0.282,0.469,379.62,70.57,1.0,0.0,0.29,78
11,-0.515,-1.611,297.53,29.92,-1.0,0.0,1.9,84
12,-2.326,1.949,197.05,20.92,1.0,0.0,1.76,84
13,0.577,2.376,27.8,4.81,-1.0,0.0,999.9,102
14,-0.206,0.546,53.66,5.8,-1.0,0.0,0.0,105
15,-0.017,-0.715,300.21,49.85,1.0,0.0,1.07,117
16,0.095,2.074,145.16,30.98,-1.0,0.0,0.99,124
17,-0.325,-0.955,411.46,93.0,-1.0,0.0,0.31,125
18,1.112,-1.855,91.89,6.04,-1.0,0.0,0.0,129
19,0.329,1.547,460.01,72.35,1.0,0.0,0.14,130
20,0.272,-2.128,58.28,6.91,1.0,0.0,3.49,131
21,-0.017,-0.927,95.65,12.77,1.0,0.0,1.18,137
22,-0.857,0.622,511.77,94.95,-1.0,0.0,0.69,140
23,-0.635,-2.166,62.7,10.4,-1.0,0.0,0.0,146
24,0.395,1.36,572.87,86.2,1.0,0.0,0.23,150
25,1.124,-2.356,260.73,19.77,-1.0,0.0,0.22,159
26,0.139,2.257,81.63,8.44,-1.0,0.0,2.99,167
27,-0.271,-3.029,46.61,0.83,-1.0,0.0,0.0,175
28,0.282,-0.421,121.16,10.19,1.0,0.0,1.17,179
29,0.832,0.008,256.33,16.36,1.0,0.0,0.52,181
30,0.039,-2.558,382.2,77.68,-1.0,0.0,0.59,196
31,0.161,0.524,194.67,42.26,1.0,0.0,0.63,196
32,1.684,-1.117,105.21,6.03,-1.0,0.0,0.0,197
33,0.077,2.745,527.54,75.7,-1.0,0.0,0.01,199
34,1.189,-1.022,342.69,46.87,-1.0,0.0,3.89,202
35,-0.046,-2.308,107.23,19.75,-1.0,0.0,0.1,203
36,0.125,2.161,131.31,13.95,-1.0,0.0,2.21,208
37,-0.348,0.225,86.22,7.24,-1.0,0.0,0.0,223
38,1.396,0.092,27.56,1.86,1.0,0.0,0.0,233
39,0.63,0.78,184.13,31.01,-1.0,0.0,0.73,242
40,-0.27,1.495,81.73,7.93,-1.0,0.0,1.33,246
41,1.24,1.522,524.4,69.46,1.0,0.0,0.45,248
42,-0.827,-1.442,237.27,20.78,1.0,0.0,0.28,248
43,-0.419,2.056,47.3,4.61,-1.0,0.0,0.0,255
44,0.36,2.157,42.87,0.72,-1.0,0.0,0.0,264
45,0.202,3.013,129.97,31.49,-1.0,0.0,0.43,265
46,0.906,2.04,465.16,47.26,-1.0,0.0,0.31,275
47,1.058,-2.469,101.35,25.29,-1.0,0.0,1.45,276
48,-0.128,-0.394,516.84,63.19,1.0,0.0,0.64,296
49,0.86,2.458,200.61,24.86,-1.0,0.0,0.0,301
50,-0.118,1.724,155.73,13.69,-1.0,0.0,1.16,304
51,-0.467,1.877,392.8,53.28,-1.0,0.0,0.0,313
52,1.021,-2.612,569.56,110.68,-1.0,0.0,0.04,315
53,0.943,1.073,579.82,115.2,1.0,0.0,1.04,332
54,0.727,2.301,222.75,30.48,1.0,0.0,0.14,334
55,1.162,1.968,324.0,49.41,1.0,0.0,0.37,335
56,-0.941,-2.36,266.37,29.96,-1.0,0.0,0.14,338
57,0.95,0.028,44.54,3.59,-1.0,0.0,999.9,342
58,-1.254,0.492,271.79,64.36,-1.0,0.0,0.0,353
59,0.579,-1.054,187.69,23.52,-1.0,0.0,0.29,356
60,2.155,1.804,128.31,21.83,-1.0,0.0,3.3,363
61,0.145,-0.609,576.59,78.01,-1.0,0.0,1.97,364
62,1.879,-1.667,33.06,7.94,1.0,0.0,2.08,370
63,-0.223,-2.272,185.64,29.32,-1.0,0.0,0.09,372
64,0.873,-0.835,88.87,3.33,1.0,0.0,999.9,379
65,-0.85,-2.798,511.43,118.99,1.0,0.0,0.59,399
66,0.831,2.953,209.52,40.04,-1.0,0.0,0.08,403
67,0.446,-1.804,517.17,117.65,-1.0,0.0,999.9,406
68,1.76,2.045,32.88,5.6,-1.0,0.0,0.0,414
69,0.509,1.949,383.31,85.88,1.0,0.0,0.46,416
70,0.085,-1.297,32.32,5.92,1.0,0.0,0.0,417
71,-0.455,2.86,37.44,8.86,-1.0,0.0,0.97,418
72,0.719,-1.595,492.59,34.48,1.0,0.0,0.14,424
73,-0.141,2.464,28.46,3.77,1.0,0.0,4.06,425
74,0.558,-0.557,368.11,60.43,1.0,0.0,1.18,428
75,-0.937,3.089,254.89,11.5,-1.0,0.0,0.01,429
76,-1.409,0.493,108.53,0.32,1.0,0.0,0.0,429
77,0.815,-1.451,61.09,7.33,-1.0,0.0,0.83,432
78,1.636,-0.3,606.01,99.42,1.0,0.0,1.05,436
