,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.777,2.037,62.69,0.0,0.0,0.0,0.0
1,1.751,-2.395,254.35,0.0,0.0,0.0,0.0
2,0.263,-1.257,17.54,0.0,0.0,0.0,0.0
3,-1.144,1.691,61.83,0.0,0.0,0.0,0.0
4,-0.877,0.247,171.31,0.0,0.0,0.0,0.0
5,-2.077,0.084,28.56,0.0,0.0,0.0,0.0
6,-0.699,-3.137,83.38,0.0,0.0,0.0,0.0
7,1.077,-2.398,400.45,0.0,0.0,0.0,0.0
8,1.448,-0.262,68.29,0.0,0.0,0.0,0.0
9,0.21,-1.638,60.76,0.0,0.0,0.0,0.0
10,-0.607,2.332,149.42,0.0,0.0,0.0,0.0
11,-0.177,-1.023,16.92,0.0,0.0,0.0,0.0
12,-0.745,1.378,14.33,0.0,0.0,0.0,0.0
13,-0.712,1.783,52.02,0.0,0.0,0.0,0.0
14,-0.203,-1.826,34.33,0.0,0.0,0.0,0.0
15,0.366,-2.487,10.71,0.0,0.0,0.0,0.0
16,-0.466,-3.137,39.96,0.0,0.0,0.0,0.0
17,1.882,2.997,12.53,0.0,0.0,0.0,0.0
18,0.943,0.303,76.14,0.0,0.0,0.0,0.0
19,-2.157,-2.421,11.3,0.0,0.0,0.0,0.0
20,-1.612,-0.219,10.37,0.0,0.0,0.0,0.0
21,-0.299,2.152,25.16,0.0,0.0,0.0,0.0
22,-0.678,-1.959,57.73,0.0,0.0,0.0,0.0
23,0.064,-0.766,16.66,0.0,0.0,0.0,0.0
24,0.095,-2.906,115.87,0.0,0.0,0.0,0.0
25,-0.966,1.042,198.1,0.0,0.0,0.0,0.0
26,-1.329,-2.869,27.9,0.0,0.0,0.0,0.0
27,1.726,-1.38,38.7,0.0,0.0,0.0,0.0
28,-1.479,1.648,19.88,0.0,0.0,0.0,0.0
29,-2.475,-2.924,13.75,0.0,0.0,0.0,0.0
30,1.024,-1.943,31.26,0.0,0.0,0.0,0.0
31,1.335,-2.632,20.86,0.0,0.0,0.0,0.0
32,-0.868,-0.181,211.98,0.0,0.0,0.0,0.0
33,-2.069,-1.448,73.82,0.0,0.0,0.0,0.0
34,-0.053,-2.343,133.2,0.0,0.0,0.0,0.0
35,-0.7,-1.096,86.51,0.0,0.0,0.0,0.0
36,0.421,0.845,24.31,0.0,0.0,0.0,0.0
37,0.106,2.967,38.13,0.0,0.0,0.0,0.0
38,1.561,-1.007,20.37,0.0,0.0,0.0,0.0
39,0.499,-0.674,32.56,0.0,0.0,0.0,0.0
40,0.88,2.56,349.43,0.0,0.0,0.0,0.0
41,-0.159,1.654,158.21,0.0,0.0,0.0,0.0
42,-0.503,0.24,169.86,0.0,0.0,0.0,0.0
