,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-0.155,-0.93,2826.84,65.49,9.0,0.0,1.46,0
1,-0.029,2.572,2767.94,222.02,29.0,0.0,0.87,0
2,0.721,1.428,1447.92,177.92,31.0,0.0,0.1,0
3,0.251,2.178,766.58,31.81,29.0,0.0,0.14,0
4,1.22,2.471,264.87,21.74,15.0,0.0,0.46,0
5,-0.018,-1.799,78.53,9.5,8.0,0.0,0.0,0
6,0.782,2.343,25.62,4.03,17.0,0.0,0.0,0
7,0.096,-0.557,4234.4,545.84,84.0,0.0,0.55,1
8,-0.139,2.711,2385.35,124.92,24.0,0.0,0.58,1
9,0.981,1.899,1728.79,236.82,24.0,0.0,0.92,1
10,-1.603,-2.402,469.64,37.58,16.0,0.0,0.0,1
11,-0.428,-1.386,367.41,20.54,16.0,0.0,1.88,1
12,0.6,1.647,189.72,30.39,23.0,0.0,38.09,1
13,-0.246,-2.628,109.62,16.65,15.0,0.0,3.27,1
14,0.412,3.077,4171.28,124.99,44.0,0.0,0.0,2
15,-0.962,-0.097,2050.27,385.63,64.0,0.0,0.9,2
16,0.342,-0.344,1103.12,163.09,53.0,0.0,0.03,2
17,0.084,0.15,843.69,76.04,40.0,0.0,0.64,2
18,0.433,1.912,290.75,29.19,13.0,0.0,1.24,2
19,0.201,-2.393,157.56,21.33,13.0,0.0,2.25,2
20,-0.626,0.25,135.04,8.19,33.0,1.0,0.0,2
21,-0.165,-0.711,104.7,16.29,13.0,1.0,0.45,2
22,0.846,1.356,78.75,11.72,8.0,0.0,0.78,2
23,1.241,1.913,73.48,7.64,5.0,0.0,4.83,2
24,-1.054,-0.684,42.75,6.7,26.0,0.0,2.33,2
25,-2.812,0.627,32.44,3.66,0.0,0.0,999.9,2
26,-0.455,1.623,25.03,4.2,7.0,0.0,0.0,2
27,-0.329,3.133,1648.07,82.42,23.0,0.0,1.01,3
28,0.385,2.581,985.65,101.71,32.0,1.0,0.25,3
29,1.106,-2.966,730.28,85.04,16.0,0.0,0.59,3
30,-0.305,2.516,321.14,56.27,23.0,0.0,2.35,3
31,1.583,-2.463,52.54,7.82,3.0,1.0,2.15,3
32,-1.618,-2.476,1258.59,199.77,63.0,0.0,0.47,4
33,1.08,0.192,1084.54,69.36,17.0,0.0,0.32,4
34,0.369,2.191,921.7,53.83,26.0,0.0,0.33,4
35,0.294,-2.377,727.68,26.5,16.0,0.0,0.19,4
36,0.493,0.94,187.03,18.36,11.0,0.0,4.91,4
37,0.379,1.612,150.85,16.82,21.0,0.0,0.62,4
38,-0.213,-1.886,119.2,12.14,15.0,0.0,4.92,4
39,-0.782,2.014,49.62,8.9,10.0,0.0,8.42,4
40,-1.135,-2.468,43.23,5.46,35.0,0.0,0.0,4
41,-1.687,-2.918,22.56,1.58,35.0,0.0,999.9,4
42,0.218,-1.737,3159.5,114.75,29.0,0.0,1.64,5
43,-1.059,1.918,1810.88,73.54,28.0,0.0,0.15,5
44,0.447,3.018,1328.37,197.38,37.0,0.0,0.42,5
45,-0.452,1.211,603.32,38.49,12.0,0.0,0.38,5
46,0.574,-2.335,404.07,50.35,31.0,0.0,0.78,5
47,-0.345,-1.599,26.02,4.11,11.0,0.0,0.0,5
48,-0.579,1.946,25.42,5.69,27.0,0.0,1.28,5
49,1.248,2.088,2397.57,173.44,33.0,0.0,0.96,6
50,-0.482,-1.794,148.85,9.62,8.0,0.0,0.0,6
51,-2.238,2.213,87.55,13.71,17.0,0.0,0.26,6
52,-0.897,1.398,43.45,8.22,15.0,0.0,0.0,6
53,-1.101,1.488,2184.31,152.73,20.0,0.0,3.31,7
54,0.275,-2.123,997.57,54.07,27.0,0.0,1.64,7
55,0.698,-1.205,718.63,73.32,31.0,0.0,0.23,7
56,0.691,-1.956,435.71,55.71,38.0,1.0,0.0,7
57,-1.293,-0.883,260.44,14.12,7.0,0.0,0.56,7
58,-0.373,1.676,243.33,28.15,19.0,0.0,0.18,7
59,0.06,2.855,197.2,28.5,22.0,0.0,0.0,7
60,0.384,-1.477,90.37,5.58,34.0,1.0,50.89,7
61,0.102,-0.763,84.17,15.38,14.0,0.0,2.13,7
62,2.04,0.833,79.52,7.84,5.0,1.0,3.64,7
63,-0.31,0.192,2326.31,92.4,18.0,0.0,0.25,8
64,-0.117,2.215,1423.44,93.92,19.0,0.0,2.28,8
65,0.778,0.158,1093.99,93.01,33.0,0.0,0.03,8
66,-0.813,2.121,913.06,58.68,18.0,0.0,0.03,8
67,1.972,2.635,38.84,5.88,11.0,0.0,3.59,8
68,1.99,-0.609,31.67,4.75,4.0,0.0,0.7,8
69,-0.036,1.56,25.7,2.01,0.0,0.0,4.03,8
70,0.842,-2.357,1863.37,228.83,30.0,0.0,1.58,9
71,-0.173,1.09,1562.1,113.96,34.0,0.0,0.54,9
72,-1.379,0.463,1199.31,107.44,37.0,0.0,0.27,9
73,-0.426,-2.374,1075.54,185.57,44.0,0.0,0.26,9
74,2.086,-0.013,334.77,38.78,13.0,0.0,0.43,9
75,-0.419,-1.751,267.25,37.0,18.0,1.0,0.2,9
76,1.39,1.903,202.24,19.84,13.0,0.0,0.16,9
77,-1.811,0.611,134.87,13.29,33.0,0.0,2.07,9
78,0.41,2.772,86.11,18.39,9.0,1.0,0.0,9
79,-0.413,2.071,74.73,12.85,9.0,0.0,0.1,9
80,2.179,-0.55,54.74,9.37,10.0,0.0,1.66,9
81,1.949,0.419,50.61,2.66,9.0,0.0,0.0,9
82,1.509,1.458,44.25,5.16,11.0,0.0,0.0,9
83,2.578,-0.334,28.02,2.7,1.0,0.0,12.15,9
84,0.017,-2.842,25.45,6.68,15.0,0.0,2.59,9
85,-0.009,-2.096,24.19,2.75,27.0,1.0,0.0,9
86,0.194,3.124,2567.46,205.73,32.0,0.0,0.08,10
87,0.637,2.006,2022.38,298.29,33.0,0.0,5.94,10
88,-0.664,-0.813,1622.14,224.11,53.0,0.0,0.11,10
89,0.132,-0.169,516.5,23.64,14.0,0.0,0.05,10
90,-1.104,-0.496,419.09,41.62,33.0,0.0,0.29,10
91,-0.658,-0.232,355.21,19.32,29.0,0.0,0.0,10
92,-0.57,2.362,131.64,30.36,16.0,0.0,0.46,10
