,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.0,-0.902,1793.07,0.0,0.0,0.0,0.0
1,0.0,2.843,565.46,0.0,0.0,0.0,0.0
2,0.0,-0.617,245.81,0.0,0.0,0.0,0.0
3,0.0,-0.116,4114.44,0.0,0.0,0.0,0.0
4,0.0,0.15,1027.74,0.0,0.0,0.0,0.0
5,0.0,0.372,2741.54,0.0,0.0,0.0,0.0
6,0.0,1.642,131.33,0.0,0.0,0.0,0.0
7,0.0,-1.031,308.03,0.0,0.0,0.0,0.0
8,0.0,-2.784,1301.0,0.0,0.0,0.0,0.0
9,0.0,1.59,20.73,0.0,0.0,0.0,0.0
10,0.0,-0.228,1267.44,0.0,0.0,0.0,0.0
11,0.0,1.348,609.29,0.0,0.0,0.0,0.0
12,0.0,-2.542,2563.69,0.0,0.0,0.0,0.0
13,0.0,-0.641,1346.25,0.0,0.0,0.0,0.0
14,0.0,0.39,1648.23,0.0,0.0,0.0,0.0
15,0.0,1.245,254.66,0.0,0.0,0.0,0.0
16,0.0,-2.699,310.15,0.0,0.0,0.0,0.0
17,0.0,-1.902,295.93,0.0,0.0,0.0,0.0
18,0.0,-1.543,138.57,0.0,0.0,0.0,0.0
19,0.0,-2.207,894.71,0.0,0.0,0.0,0.0
20,0.0,1.516,228.27,0.0,0.0,0.0,0.0
21,0.0,1.573,3135.06,0.0,0.0,0.0,0.0
22,0.0,1.016,1927.05,0.0,0.0,0.0,0.0
23,0.0,3.088,682.0,0.0,0.0,0.0,0.0
24,0.0,0.844,219.63,0.0,0.0,0.0,0.0
25,0.0,1.07,555.78,0.0,0.0,0.0,0.0
26,0.0,0.234,2188.64,0.0,0.0,0.0,0.0
27,0.0,3.124,337.4,0.0,0.0,0.0,0.0
28,0.0,-2.011,239.72,0.0,0.0,0.0,0.0
29,0.0,0.816,139.11,0.0,0.0,0.0,0.0
30,0.0,-0.632,683.09,0.0,0.0,0.0,0.0
31,0.0,2.897,276.34,0.0,0.0,0.0,0.0
32,0.0,0.845,131.21,0.0,0.0,0.0,0.0
33,0.0,1.058,421.28,0.0,0.0,0.0,0.0
34,0.0,1.389,532.41,0.0,0.0,0.0,0.0
35,0.0,0.936,183.95,0.0,0.0,0.0,0.0
36,0.0,0.099,390.04,0.0,0.0,0.0,0.0
37,0.0,1.841,88.88,0.0,0.0,0.0,0.0
38,0.0,-0.766,219.44,0.0,0.0,0.0,0.0
39,0.0,-1.966,3251.67,0.0,0.0,0.0,0.0
40,0.0,1.177,149.45,0.0,0.0,0.0,0.0
41,0.0,2.224,1300.04,0.0,0.0,0.0,0.0
42,0.0,-2.173,184.28,0.0,0.0,0.0,0.0
43,0.0,1.122,101.97,0.0,0.0,0.0,0.0
44,0.0,1.675,646.06,0.0,0.0,0.0,0.0
45,0.0,2.966,862.06,0.0,0.0,0.0,0.0
46,0.0,-1.266,1026.43,0.0,0.0,0.0,0.0
47,0.0,0.657,2210.7,0.0,0.0,0.0,0.0
48,0.0,-1.675,1461.28,0.0,0.0,0.0,0.0
49,0.0,-2.67,548.41,0.0,0.0,0.0,0.0
50,0.0,-2.839,61.86,0.0,0.0,0.0,0.0
51,0.0,1.256,575.55,0.0,0.0,0.0,0.0
52,0.0,-1.1,154.03,0.0,0.0,0.0,0.0
53,0.0,0.206,1692.99,0.0,0.0,0.0,0.0
54,0.0,2.208,1287.55,0.0,0.0,0.0,0.0
55,0.0,2.155,949.43,0.0,0.0,0.0,0.0
56,0.0,-1.315,259.83,0.0,0.0,0.0,0.0
57,0.0,0.605,58.66,0.0,0.0,0.0,0.0
58,0.0,0.949,371.28,0.0,0.0,0.0,0.0
59,0.0,-1.803,1220.07,0.0,0.0,0.0,0.0
60,0.0,2.968,1646.84,0.0,0.0,0.0,0.0
61,0.0,0.073,131.76,0.0,0.0,0.0,0.0
62,0.0,-1.418,383.5,0.0,0.0,0.0,0.0
63,0.0,1.483,1768.33,0.0,0.0,0.0,0.0
64,0.0,-2.359,377.24,0.0,0.0,0.0,0.0
65,0.0,0.666,176.39,0.0,0.0,0.0,0.0
66,0.0,1.106,4057.02,0.0,0.0,0.0,0.0
67,0.0,0.045,483.75,0.0,0.0,0.0,0.0
68,0.0,-0.966,444.9,0.0,0.0,0.0,0.0
69,0.0,2.219,560.2,0.0,0.0,0.0,0.0
70,0.0,-0.317,845.26,0.0,0.0,0.0,0.0
71,0.0,-1.287,303.25,0.0,0.0,0.0,0.0
72,0.0,3.074,3903.83,0.0,0.0,0.0,0.0
73,0.0,1.956,1538.82,0.0,0.0,0.0,0.0
74,0.0,1.343,1511.06,0.0,0.0,0.0,0.0
75,0.0,1.531,113.27,0.0,0.0,0.0,0.0
76,0.0,-0.35,1065.02,0.0,0.0,0.0,0.0
77,0.0,2.781,3107.16,0.0,0.0,0.0,0.0
78,0.0,1.637,676.71,0.0,0.0,0.0,0.0
79,0.0,0.374,86.78,0.0,0.0,0.0,0.0
80,0.0,-0.369,1378.29,0.0,0.0,0.0,0.0
81,0.0,-1.429,154.26,0.0,0.0,0.0,0.0
82,0.0,-1.318,469.11,0.0,0.0,0.0,0.0
83,0.0,0.224,867.46,0.0,0.0,0.0,0.0
84,0.0,-2.184,571.92,0.0,0.0,0.0,0.0
85,0.0,-1.824,91.67,0.0,0.0,0.0,0.0
86,0.0,1.154,215.7,0.0,0.0,0.0,0.0
87,0.0,-0.365,895.83,0.0,0.0,0.0,0.0
88,0.0,-2.372,2321.92,0.0,0.0,0.0,0.0
89,0.0,2.5,316.23,0.0,0.0,0.0,0.0
90,0.0,0.121,708.17,0.0,0.0,0.0,0.0
91,0.0,-2.656,185.93,0.0,0.0,0.0,0.0
92,0.0,-0.871,423.04,0.0,0.0,0.0,0.0
93,0.0,0.903,76.67,0.0,0.0,0.0,0.0
94,0.0,1.24,859.87,0.0,0.0,0.0,0.0
95,0.0,-1.716,417.37,0.0,0.0,0.0,0.0
96,0.0,2.536,698.97,0.0,0.0,0.0,0.0
97,0.0,-2.827,403.1,0.0,0.0,0.0,0.0
98,0.0,-2.621,56.2,0.0,0.0,0.0,0.0
99,0.0,-1.903,521.33,0.0,0.0,0.0,0.0
100,0.0,-0.39,701.53,0.0,0.0,0.0,0.0
101,0.0,-0.027,1085.96,0.0,0.0,0.0,0.0
102,0.0,-0.378,504.46,0.0,0.0,0.0,0.0
103,0.0,-1.225,491.46,0.0,0.0,0.0,0.0
104,0.0,0.511,2297.28,0.0,0.0,0.0,0.0
105,0.0,0.259,285.41,0.0,0.0,0.0,0.0
106,0.0,-2.197,1886.33,0.0,0.0,0.0,0.0
107,0.0,-2.188,762.21,0.0,0.0,0.0,0.0
108,0.0,2.042,2263.25,0.0,0.0,0.0,0.0
109,0.0,2.762,2413.93,0.0,0.0,0.0,0.0
110,0.0,-1.125,163.78,0.0,0.0,0.0,0.0
111,0.0,-1.847,201.3,0.0,0.0,0.0,0.0
112,0.0,2.681,332.87,0.0,0.0,0.0,0.0
113,0.0,3.0,2048.45,0.0,0.0,0.0,0.0
114,0.0,-0.363,3583.79,0.0,0.0,0.0,0.0
115,0.0,-1.177,1120.57,0.0,0.0,0.0,0.0
116,0.0,2.453,461.81,0.0,0.0,0.0,0.0
117,0.0,-0.328,2177.37,0.0,0.0,0.0,0.0
118,0.0,-2.025,680.02,0.0,0.0,0.0,0.0
119,0.0,0.589,2163.53,0.0,0.0,0.0,0.0
120,0.0,-0.323,61.9,0.0,0.0,0.0,0.0
121,0.0,1.818,153.74,0.0,0.0,0.0,0.0
122,0.0,0.47,248.58,0.0,0.0,0.0,0.0
123,0.0,-0.589,362.7,0.0,0.0,0.0,0.0
124,0.0,2.174,323.74,0.0,0.0,0.0,0.0
125,0.0,2.953,715.62,0.0,0.0,0.0,0.0
126,0.0,-0.78,387.28,0.0,0.0,0.0,0.0
127,0.0,2.244,140.77,0.0,0.0,0.0,0.0
128,0.0,-1.826,241.21,0.0,0.0,0.0,0.0
129,0.0,2.382,1613.83,0.0,0.0,0.0,0.0
130,0.0,1.071,204.43,0.0,0.0,0.0,0.0
131,0.0,1.179,762.57,0.0,0.0,0.0,0.0
132,0.0,0.412,308.93,0.0,0.0,0.0,0.0
133,0.0,0.069,1086.58,0.0,0.0,0.0,0.0
134,0.0,0.753,441.03,0.0,0.0,0.0,0.0
135,0.0,-1.315,221.22,0.0,0.0,0.0,0.0
136,0.0,1.041,171.46,0.0,0.0,0.0,0.0
137,0.0,2.727,173.12,0.0,0.0,0.0,0.0
138,0.0,-0.427,1750.55,0.0,0.0,0.0,0.0
139,0.0,1.449,528.68,0.0,0.0,0.0,0.0
140,0.0,1.871,266.48,0.0,0.0,0.0,0.0
141,0.0,1.671,697.23,0.0,0.0,0.0,0.0
142,0.0,2.418,2465.07,0.0,0.0,0.0,0.0
143,0.0,-1.718,530.68,0.0,0.0,0.0,0.0
144,0.0,0.125,101.46,0.0,0.0,0.0,0.0
145,0.0,-1.701,578.15,0.0,0.0,0.0,0.0
146,0.0,1.041,780.91,0.0,0.0,0.0,0.0
147,0.0,0.896,199.81,0.0,0.0,0.0,0.0
148,0.0,-2.887,1271.92,0.0,0.0,0.0,0.0
149,0.0,0.582,103.46,0.0,0.0,0.0,0.0
150,0.0,-1.458,412.81,0.0,0.0,0.0,0.0
151,0.0,-1.21,249.46,0.0,0.0,0.0,0.0
152,0.0,-0.332,977.71,0.0,0.0,0.0,0.0
153,0.0,3.141,745.66,0.0,0.0,0.0,0.0
154,0.0,-2.773,418.7,0.0,0.0,0.0,0.0
155,0.0,0.767,2150.11,0.0,0.0,0.0,0.0
156,0.0,-1.122,228.71,0.0,0.0,0.0,0.0
157,0.0,-1.349,817.52,0.0,0.0,0.0,0.0
158,0.0,1.982,94.79,0.0,0.0,0.0,0.0
159,0.0,2.908,335.75,0.0,0.0,0.0,0.0
160,0.0,-2.696,555.08,0.0,0.0,0.0,0.0
161,0.0,2.303,753.88,0.0,0.0,0.0,0.0
162,0.0,-0.555,1902.35,0.0,0.0,0.0,0.0
163,0.0,-2.832,2008.64,0.0,0.0,0.0,0.0
164,0.0,1.646,1898.24,0.0,0.0,0.0,0.0
165,0.0,0.927,1251.3,0.0,0.0,0.0,0.0
166,0.0,2.967,301.89,0.0,0.0,0.0,0.0
167,0.0,0.337,854.04,0.0,0.0,0.0,0.0
168,0.0,2.481,1153.04,0.0,0.0,0.0,0.0
169,0.0,3.067,1940.57,0.0,0.0,0.0,0.0
170,0.0,2.593,1086.62,0.0,0.0,0.0,0.0
171,0.0,-2.621,1904.88,0.0,0.0,0.0,0.0
172,0.0,-2.828,1027.01,0.0,0.0,0.0,0.0
173,0.0,0.898,251.06,0.0,0.0,0.0,0.0
174,0.0,0.807,165.58,0.0,0.0,0.0,0.0
175,0.0,2.091,359.24,0.0,0.0,0.0,0.0
176,0.0,-0.786,359.07,0.0,0.0,0.0,0.0
177,0.0,-1.615,404.28,0.0,0.0,0.0,0.0
178,0.0,1.837,967.44,0.0,0.0,0.0,0.0
179,0.0,2.306,1118.01,0.0,0.0,0.0,0.0
180,0.0,0.297,268.93,0.0,0.0,0.0,0.0
181,0.0,0.717,132.2,0.0,0.0,0.0,0.0
182,0.0,1.814,254.71,0.0,0.0,0.0,0.0
183,0.0,2.855,566.01,0.0,0.0,0.0,0.0
184,0.0,-0.962,841.56,0.0,0.0,0.0,0.0
185,0.0,-0.943,304.65,0.0,0.0,0.0,0.0
186,0.0,0.939,717.79,0.0,0.0,0.0,0.0
187,0.0,-0.571,341.54,0.0,0.0,0.0,0.0
188,0.0,-1.38,1622.36,0.0,0.0,0.0,0.0
189,0.0,-2.952,2915.74,0.0,0.0,0.0,0.0
190,0.0,2.966,1423.41,0.0,0.0,0.0,0.0
191,0.0,0.104,1736.82,0.0,0.0,0.0,0.0
192,0.0,-2.829,1579.37,0.0,0.0,0.0,0.0
193,0.0,-1.915,623.3,0.0,0.0,0.0,0.0
194,0.0,0.499,1989.89,0.0,0.0,0.0,0.0
195,0.0,-0.003,311.53,0.0,0.0,0.0,0.0
196,0.0,3.042,45.52,0.0,0.0,0.0,0.0
