,eta,phi,PT,jmass,ntrk,btag,hadem
0,-0.728,2.515,3174.26,366.07,50.0,0.0,0.34
1,-0.119,-0.181,2659.0,102.92,31.0,0.0,1.1
2,0.471,-1.432,2082.34,105.82,21.0,0.0,1.12
3,-0.038,1.588,499.03,19.05,7.0,0.0,0.05
4,2.763,-3.139,267.11,20.26,1.0,0.0,0.89
5,0.283,-1.856,55.54,6.58,16.0,0.0,999.9
6,2.453,-2.676,53.87,6.69,5.0,0.0,0.46
7,-1.342,0.636,1757.02,135.48,30.0,0.0,0.11
8,0.564,-3.016,1705.51,5.85,1.0,0.0,0.17
9,0.092,-1.998,1533.58,60.42,13.0,0.0,0.3
10,-0.355,-0.258,1947.73,214.73,52.0,0.0,3.38
11,0.045,2.954,1933.75,310.8,65.0,0.0,0.67
12,0.066,-2.312,770.88,69.98,14.0,0.0,0.12
13,0.629,1.172,649.47,52.9,19.0,0.0,0.09
14,1.768,2.538,283.63,37.66,12.0,0.0,0.43
15,0.362,-0.945,241.01,27.0,18.0,0.0,0.48
16,1.253,-0.348,215.28,10.93,19.0,0.0,0.0
17,-0.544,-1.904,211.0,8.46,7.0,0.0,0.21
18,-0.301,-0.711,125.58,9.81,41.0,1.0,0.0
19,0.999,0.213,46.4,6.2,8.0,0.0,0.88
20,1.087,-2.322,36.19,10.03,4.0,0.0,0.65
21,0.445,-1.433,36.13,8.81,21.0,0.0,0.0
22,1.044,2.459,24.69,4.74,8.0,0.0,0.14
23,-0.149,-0.813,2800.58,421.5,71.0,1.0,0.37
24,0.485,1.475,2593.92,169.56,55.0,0.0,0.2
25,0.233,2.65,1208.37,78.42,20.0,0.0,2.19
26,-0.371,-2.367,1167.04,244.75,47.0,0.0,0.88
27,1.424,-1.556,510.06,62.61,16.0,0.0,1.53
28,0.085,1.864,132.78,17.89,33.0,1.0,0.0
29,0.153,0.902,110.64,21.47,21.0,0.0,1.19
30,-3.254,2.33,70.78,6.11,0.0,0.0,17.21
31,-0.175,2.264,57.83,5.52,22.0,1.0,0.0
32,-0.421,-0.117,29.47,5.67,6.0,0.0,0.27
33,0.484,1.427,2942.22,69.14,23.0,0.0,1.15
34,-0.246,-2.716,1747.34,96.33,33.0,0.0,0.03
35,0.925,-0.987,1404.28,89.77,36.0,0.0,0.21
36,-0.004,-0.478,1071.49,46.33,21.0,0.0,1.39
37,-0.713,-1.248,691.2,34.81,12.0,0.0,0.15
38,0.389,2.359,288.68,46.6,38.0,0.0,1.05
39,0.361,2.938,175.4,20.65,23.0,0.0,0.04
40,-3.052,2.304,77.02,7.43,0.0,0.0,1.27
41,-1.131,-2.052,65.53,11.81,7.0,0.0,0.6
42,-0.272,2.136,3016.7,562.37,82.0,0.0,0.24
43,-0.066,-0.977,2880.68,86.0,18.0,0.0,1.27
44,0.073,-0.226,1278.51,46.54,17.0,0.0,1.16
45,0.911,2.961,1068.74,84.52,27.0,1.0,0.14
46,0.033,0.989,681.18,52.59,17.0,0.0,0.1
47,0.296,-2.273,437.69,35.43,15.0,0.0,0.17
48,0.357,-1.477,268.12,10.2,11.0,0.0,0.0
49,1.198,-0.732,179.61,27.78,26.0,0.0,0.03
50,-0.611,2.863,128.68,12.45,12.0,1.0,0.24
51,-0.247,-2.973,113.13,18.95,19.0,0.0,1.21
52,0.214,2.912,107.63,8.36,6.0,0.0,0.93
