,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-0.371,-1.191,2498.15,517.5,64.0,0.0,0.81,0
1,-0.755,1.587,718.22,57.48,18.0,0.0,0.1,0
2,0.455,2.313,648.65,90.94,25.0,1.0,2.95,0
3,-0.011,1.352,507.15,57.49,32.0,1.0,0.22,0
4,1.116,-1.313,497.84,81.3,35.0,1.0,0.0,0
5,0.509,1.78,452.03,38.23,25.0,1.0,0.4,0
6,1.09,2.214,386.74,53.18,29.0,0.0,1.63,0
7,-0.208,2.052,370.87,32.95,23.0,1.0,0.19,0
8,0.728,-2.764,218.73,20.79,11.0,0.0,0.42,0
9,0.88,0.152,146.02,14.67,9.0,0.0,0.04,0
10,-0.195,2.709,121.05,15.03,14.0,0.0,0.29,0
11,0.105,-1.682,114.77,16.97,33.0,0.0,0.44,0
12,-0.795,0.62,31.74,5.05,10.0,0.0,0.62,0
13,0.658,-1.429,25.81,2.4,27.0,0.0,1.5,0
14,0.372,1.816,2767.17,118.3,22.0,0.0,0.11,1
15,-0.096,-1.415,2529.43,99.86,46.0,1.0,0.47,1
16,0.429,-0.738,1144.45,48.28,18.0,0.0,0.03,1
17,-0.867,2.221,982.51,137.28,43.0,0.0,1.07,1
18,1.672,-2.405,939.54,52.85,13.0,0.0,0.06,2
19,-1.182,0.274,781.71,33.71,23.0,0.0,0.13,2
20,-1.757,2.012,677.5,84.33,21.0,0.0,0.84,2
21,-0.981,0.745,571.85,29.83,16.0,0.0,1.05,2
22,1.11,-1.934,455.0,45.73,23.0,0.0,0.11,2
23,1.852,-1.736,146.29,18.38,19.0,0.0,0.15,2
24,-1.892,-1.928,303.87,15.45,6.0,0.0,0.31,3
25,-1.137,3.123,252.56,32.46,18.0,0.0,0.27,3
26,0.469,-2.856,1672.51,78.68,26.0,0.0,0.1,4
27,0.454,-0.215,1363.24,45.75,13.0,1.0,18.87,4
28,-0.879,-2.893,935.32,133.1,19.0,1.0,1.22,4
