,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-1.346,0.75,201.39,4.73,-1.0,0.0,0.73,3
1,-0.209,0.711,1199.47,52.74,-1.0,0.0,0.04,4
2,1.006,0.611,991.9,38.14,1.0,0.0,0.03,7
3,0.295,1.049,949.81,169.35,1.0,0.0,0.06,25
4,1.261,-3.113,1007.42,49.58,-1.0,0.0,1.11,32
5,-1.359,0.692,449.31,13.37,-1.0,0.0,0.0,32
6,0.192,-2.356,397.03,0.11,1.0,0.0,999.9,37
7,0.081,-2.719,23.67,3.9,1.0,0.0,0.0,39
8,-0.64,1.266,483.21,33.93,-1.0,0.0,0.57,50
9,0.618,1.068,522.0,3.72,1.0,0.0,999.9,54
10,0.064,1.312,1094.36,156.57,1.0,0.0,0.0,59
11,-1.522,1.881,56.86,0.8,1.0,0.0,0.0,59
12,-1.411,-0.004,1420.55,195.34,1.0,0.0,0.57,61
13,0.629,-1.949,564.51,61.44,1.0,0.0,0.75,77
14,-0.589,-2.843,1508.19,49.32,-1.0,0.0,1.29,79
15,0.74,-2.67,133.96,7.57,-1.0,0.0,2.47,83
16,-0.231,-0.37,231.83,33.48,-1.0,0.0,0.08,86
17,-0.58,2.944,916.11,14.39,-1.0,0.0,0.0,94
18,-0.176,0.012,493.99,69.29,-1.0,0.0,0.05,106
19,1.491,-3.136,752.9,17.54,1.0,0.0,0.02,111
20,-0.017,-0.556,414.87,21.64,1.0,0.0,2.51,111
21,1.095,-2.891,76.39,3.06,1.0,0.0,0.0,111
22,0.89,0.843,1441.67,191.96,-1.0,0.0,1.27,120
23,-0.594,1.232,1485.98,181.25,1.0,0.0,0.31,123
24,0.232,-0.507,1371.72,30.41,-1.0,0.0,0.22,126
25,-0.088,1.858,2465.44,77.9,1.0,0.0,0.02,131
26,0.282,1.834,1869.83,68.61,-1.0,0.0,0.0,134
27,1.858,-1.817,43.17,7.69,-1.0,0.0,0.0,134
28,-0.271,1.842,2515.13,8.27,-1.0,0.0,0.0,146
29,-0.489,0.084,160.24,29.98,1.0,0.0,0.0,148
30,-0.196,1.016,683.25,100.04,-1.0,0.0,0.0,151
31,-0.049,-2.5,394.52,4.65,1.0,0.0,0.05,153
32,0.149,1.236,65.05,10.94,-1.0,0.0,0.46,153
33,-0.725,1.539,1001.32,75.42,-1.0,0.0,0.03,162
34,-2.589,-2.406,22.31,4.45,-1.0,0.0,999.9,165
35,-0.328,-1.376,2975.06,530.59,-1.0,0.0,0.12,166
36,2.113,-2.56,112.13,4.01,1.0,0.0,0.64,166
37,0.054,-1.4,129.58,4.52,1.0,0.0,0.0,175
38,0.021,-2.341,300.64,14.84,-1.0,0.0,0.0,185
39,0.45,-2.857,691.12,1.4,-1.0,0.0,999.9,192
40,-0.686,0.35,91.85,11.01,-1.0,0.0,2.58,205
41,0.728,1.223,523.86,36.93,1.0,0.0,0.24,208
42,0.419,-0.969,117.18,3.7,-1.0,0.0,0.0,213
43,1.081,-0.067,50.13,5.94,-1.0,0.0,0.0,214
