,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-1.414,1.32,136.44,0.11,1.0,5.0,153.08,11
1,1.152,0.182,1162.91,0.11,1.0,2.0,1163.0,32
2,0.268,-0.605,221.23,0.11,1.0,7.0,225.23,35
3,1.968,-2.377,61.56,0.11,1.0,8.0,62.0,46
4,-2.244,-1.249,301.19,0.11,-1.0,8.0,301.06,69
5,0.119,1.75,1889.6,0.11,1.0,3.0,1893.0,100
6,-0.04,0.592,74.72,0.11,1.0,4.0,75.0,117
7,0.594,1.853,2102.88,0.11,-1.0,4.0,2103.01,125
8,-1.278,0.48,1099.89,0.11,-1.0,4.0,1100.0,136
9,-0.741,0.35,3256.75,0.11,-1.0,5.0,3259.0,156
10,0.216,2.435,2057.41,0.11,1.0,5.0,2196.15,161
11,-2.107,1.977,32.88,0.11,1.0,6.0,33.06,161
12,-0.404,-1.066,64.33,0.11,1.0,7.0,72.31,183
13,-0.197,-0.883,509.53,0.11,1.0,3.0,510.0,193
14,0.617,2.35,1955.17,0.11,1.0,7.0,2006.05,211
15,-0.958,1.105,1086.74,0.11,1.0,5.0,1087.04,212
16,1.072,2.462,2631.83,0.11,-1.0,4.0,2632.0,226
17,0.69,0.764,5033.59,0.11,1.0,4.0,5034.0,232
18,-0.604,0.361,10.63,0.11,1.0,4.0,11.0,242
19,1.084,-1.558,2240.18,0.11,1.0,2.0,2242.0,263
20,-1.102,2.482,179.15,0.11,-1.0,4.0,181.03,271
21,-0.388,0.44,1145.9,0.11,-1.0,6.0,1146.0,292
22,-0.362,0.268,91.87,0.11,1.0,3.0,93.0,300
23,-1.579,-2.18,1721.87,0.11,1.0,6.0,1722.0,331
24,0.294,3.068,1621.32,0.11,-1.0,7.0,1623.04,331
25,0.88,-1.012,447.05,0.11,1.0,6.0,448.0,338
26,-0.506,-0.484,1127.39,0.11,1.0,5.0,1128.0,342
27,1.326,-1.058,882.55,0.11,1.0,3.0,883.01,344
28,0.061,0.694,256.14,0.11,1.0,4.0,258.01,376
29,-0.25,1.02,1612.51,0.11,-1.0,4.0,1614.0,402
30,-0.161,1.865,1348.87,0.11,1.0,5.0,1351.0,402
31,-0.478,0.693,2576.89,0.11,1.0,5.0,2579.0,439
32,-1.134,0.257,989.83,0.11,-1.0,4.0,990.0,439
33,0.157,2.584,625.18,0.11,1.0,5.0,626.0,472
34,1.02,2.684,85.87,0.11,1.0,4.0,87.25,480
35,1.634,2.627,850.48,0.11,-1.0,4.0,852.0,488
36,0.734,-0.653,2260.37,0.11,1.0,4.0,2260.0,506
37,-0.75,1.061,304.97,0.11,1.0,8.0,305.0,550
38,-0.326,2.305,986.58,0.11,1.0,4.0,987.0,553
39,-0.801,-0.964,1604.23,0.11,1.0,3.0,1604.0,563
40,0.118,0.283,230.16,0.11,1.0,2.0,231.0,564
41,1.554,0.572,892.55,0.11,1.0,5.0,894.0,579
42,-0.288,0.485,3439.1,0.11,1.0,3.0,3449.01,626
43,0.449,-1.44,346.43,0.11,-1.0,3.0,346.0,635
44,-1.497,0.541,343.44,0.11,1.0,4.0,1454.99,643
45,-0.44,1.853,1238.76,0.11,1.0,3.0,1239.2,681
46,1.203,-0.22,11.01,0.11,1.0,4.0,13.0,682
47,0.387,1.139,5082.14,0.11,1.0,4.0,5083.01,687
48,0.558,-1.113,2778.95,0.11,1.0,2.0,2783.01,725
49,0.146,-1.064,271.39,0.11,1.0,3.0,271.01,727
50,-0.22,-0.032,2653.94,0.11,-1.0,5.0,2654.0,743
51,0.245,-2.261,1583.92,0.11,1.0,4.0,1584.01,743
52,-0.322,-0.031,400.06,0.11,1.0,3.0,400.0,745
53,1.182,0.995,1780.3,0.11,-1.0,7.0,1786.02,754
54,-0.471,-2.206,1496.84,0.11,1.0,4.0,1497.0,754
55,0.557,2.889,1531.94,0.11,1.0,4.0,1532.0,788
56,-0.602,2.098,1532.44,0.11,1.0,3.0,1533.0,823
57,-0.552,-2.008,88.0,0.11,1.0,5.0,89.05,829
58,0.414,-0.425,2462.95,0.11,1.0,3.0,2463.0,836
59,-0.416,-1.885,166.8,0.11,1.0,8.0,181.15,838
60,0.743,-0.248,146.54,0.11,1.0,3.0,147.0,843
61,1.0,-2.881,1476.03,0.11,1.0,3.0,1477.0,845
62,-2.086,-0.172,62.07,0.11,1.0,3.0,62.02,878
63,1.033,2.589,1866.95,0.11,1.0,4.0,1873.01,897
64,-0.922,0.71,516.57,0.11,1.0,5.0,517.01,916
65,-0.302,-2.152,1894.42,0.11,-1.0,5.0,1894.0,920
