,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.426,2.63,1253.18,179.34,38.0,1.0,0.45
1,0.31,1.43,430.64,70.64,33.0,1.0,1.09
2,0.698,1.627,252.39,15.77,26.0,0.0,1.38
3,0.705,-0.305,195.05,26.87,18.0,0.0,0.57
4,1.235,0.228,64.84,11.13,10.0,0.0,0.73
5,-0.137,2.148,29.57,6.91,13.0,0.0,0.0
6,-0.543,1.806,26.06,5.89,13.0,0.0,0.0
7,0.657,-0.971,4042.0,148.72,27.0,0.0,0.34
8,-0.009,2.287,2648.07,174.91,39.0,0.0,0.12
9,-0.217,1.075,899.29,51.16,11.0,0.0,3.32
10,-1.245,2.784,248.69,9.41,6.0,0.0,0.0
11,-0.97,3.097,29.07,3.89,10.0,0.0,999.9
12,-0.6,2.63,25.36,2.18,24.0,0.0,999.9
13,0.197,1.404,1933.16,184.59,38.0,0.0,0.0
14,-0.766,1.603,1108.14,28.82,16.0,0.0,0.03
15,0.943,2.066,372.11,39.96,18.0,0.0,0.62
16,-0.377,-2.785,3445.71,119.73,19.0,0.0,0.0
17,0.066,-0.661,2253.22,35.61,21.0,0.0,0.0
18,1.477,-0.684,205.08,10.94,10.0,0.0,0.15
19,1.753,-1.572,32.21,5.44,6.0,0.0,0.19
20,-0.377,-1.54,23.06,5.48,6.0,0.0,999.9
21,-0.982,-0.293,2610.82,78.03,15.0,0.0,1.28
22,1.26,-3.113,1463.07,66.33,48.0,1.0,0.0
23,0.617,2.866,679.04,33.1,6.0,0.0,17.16
24,-0.507,1.609,446.84,92.6,16.0,0.0,0.09
25,-1.42,-0.567,144.33,14.68,13.0,0.0,0.18
26,0.325,1.328,61.12,8.72,12.0,0.0,0.68
27,-0.216,1.208,36.25,3.3,18.0,0.0,999.9
28,0.148,-0.816,3276.26,178.62,38.0,0.0,0.57
29,0.57,2.052,2335.1,268.36,45.0,0.0,0.22
30,-1.429,2.647,505.08,63.97,43.0,1.0,0.89
31,-0.716,-2.904,459.82,49.11,25.0,0.0,0.68
32,-1.006,2.489,341.36,16.94,31.0,0.0,0.13
33,1.479,2.316,195.69,27.84,16.0,0.0,0.86
34,0.75,-0.666,109.78,17.63,15.0,0.0,3.49
35,0.583,-1.311,108.37,12.49,8.0,0.0,1.05
36,-1.807,2.097,71.13,9.88,10.0,0.0,1.05
37,0.859,0.031,27.09,4.52,6.0,0.0,0.85
38,0.54,1.978,1798.31,168.42,27.0,1.0,0.36
39,-0.819,-1.805,1527.2,0.0,0.0,0.0,999.9
40,-1.294,-0.744,1321.26,18.35,8.0,0.0,0.01
41,1.775,1.547,698.73,104.05,26.0,0.0,0.13
42,0.273,-2.358,35.84,5.59,5.0,0.0,0.0
43,-0.077,1.898,23.67,6.64,9.0,0.0,999.9
44,-0.044,-2.306,2236.16,179.58,34.0,0.0,0.04
45,-1.078,-1.184,1656.37,44.74,17.0,0.0,0.02
46,0.359,1.38,1577.41,104.72,31.0,0.0,1.11
47,0.756,1.251,1105.84,23.94,32.0,0.0,0.0
48,0.948,-1.645,299.1,34.74,19.0,0.0,0.27
49,0.453,0.64,2370.05,100.95,29.0,0.0,1.91
50,-0.081,0.727,1386.54,135.52,46.0,0.0,0.13
51,0.78,0.007,178.95,22.24,16.0,0.0,0.29
52,1.13,-0.358,49.84,7.37,14.0,0.0,4.48
53,-0.677,1.024,24.31,4.23,11.0,0.0,0.0
54,-1.815,-0.042,1269.42,232.38,22.0,0.0,0.19
55,1.224,-0.927,939.84,59.61,11.0,0.0,0.65
56,-1.248,0.143,69.74,15.56,25.0,1.0,8.9
57,0.285,-3.073,61.77,10.52,11.0,0.0,0.0
58,-1.209,-1.66,34.29,7.45,8.0,0.0,6.01
59,0.636,-2.211,24.08,6.19,3.0,0.0,3.11
60,-0.609,-1.027,3179.94,180.23,26.0,0.0,0.1
61,-0.46,1.83,1373.76,137.68,26.0,0.0,1.26
62,0.684,1.999,1312.35,127.16,48.0,0.0,0.17
63,1.162,-3.013,253.44,11.55,5.0,0.0,999.9
64,0.001,1.518,96.74,23.86,22.0,0.0,0.39
65,-1.609,-0.329,96.47,11.64,10.0,0.0,2.99
66,0.386,3.097,2541.45,74.12,12.0,0.0,0.0
67,-0.522,-1.02,1870.19,104.73,25.0,0.0,1.05
68,1.08,0.895,1450.84,93.94,25.0,0.0,0.08
69,-1.76,1.782,474.89,22.61,10.0,1.0,2.35
70,1.328,0.516,257.15,11.21,20.0,0.0,0.02
71,0.3,-0.308,2765.86,68.64,21.0,0.0,1.37
72,0.891,2.735,1568.9,58.68,10.0,0.0,0.0
73,-0.221,1.513,168.4,24.53,16.0,0.0,3.23
74,-0.433,-0.035,98.59,13.99,9.0,1.0,22.34
75,-1.222,-0.417,43.77,9.8,9.0,0.0,2.3
76,1.651,2.664,38.91,5.84,5.0,0.0,0.21
77,0.954,1.732,29.09,5.42,12.0,0.0,0.0
78,-0.271,-1.137,1204.44,42.49,23.0,0.0,0.51
79,0.679,1.163,742.07,75.98,45.0,0.0,0.06
80,1.764,-1.124,30.75,5.48,4.0,0.0,28.53
81,1.488,-1.671,29.17,6.25,8.0,0.0,0.2
82,-1.12,-1.768,27.62,7.04,6.0,0.0,0.2
83,1.14,-1.242,24.98,5.78,12.0,0.0,999.9
84,2.367,1.143,24.96,4.09,5.0,0.0,0.77
85,-1.259,2.901,1113.17,45.33,16.0,0.0,0.01
86,-0.84,0.133,794.47,35.36,15.0,0.0,1.27
87,2.771,-1.206,369.86,60.68,1.0,0.0,4.05
88,2.078,-0.718,81.72,4.82,5.0,1.0,12.05
89,0.902,2.354,31.2,6.87,8.0,0.0,0.0
90,2.75,-0.26,29.38,6.13,0.0,0.0,25.64
91,-0.465,0.131,1799.13,63.82,28.0,0.0,0.04
92,-0.873,-0.054,1495.11,0.0,23.0,0.0,999.9
93,0.316,-2.148,1273.26,159.36,38.0,0.0,0.75
94,0.811,1.388,2696.13,88.27,33.0,1.0,0.03
95,-1.678,-1.318,999.72,43.42,10.0,0.0,0.04
96,-0.828,2.65,224.61,24.23,13.0,0.0,0.48
97,-1.6,-2.399,95.24,10.3,9.0,0.0,0.51
98,-1.254,1.938,87.25,11.13,10.0,0.0,1.69
99,0.318,-2.662,76.55,14.95,14.0,0.0,0.59
100,-1.15,-1.271,39.45,9.02,9.0,0.0,999.9
101,0.712,2.346,961.56,21.16,13.0,0.0,0.0
102,-1.697,2.93,697.43,44.77,13.0,0.0,41.03
103,-1.996,-2.735,193.83,16.39,12.0,0.0,1.97
104,0.753,2.963,89.08,6.81,6.0,0.0,0.41
105,0.303,2.098,2578.74,35.61,26.0,0.0,0.0
106,-0.189,-1.448,2404.51,124.96,23.0,1.0,0.14
107,0.054,-0.755,2023.11,120.71,29.0,0.0,2.33
108,0.307,1.613,1020.24,74.75,41.0,1.0,0.19
109,-0.357,2.348,525.49,53.69,27.0,0.0,3.4
110,-0.571,1.804,69.01,8.79,13.0,0.0,0.0
111,0.706,-1.862,47.38,9.28,8.0,0.0,2.91
112,-0.077,-0.126,31.44,5.45,7.0,0.0,0.0
113,-0.767,2.843,3336.66,100.98,16.0,0.0,3.5
