,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-0.105,-0.448,524.56,0.11,1.0,3.0,525.0,14
1,0.363,2.8,955.59,0.11,1.0,5.0,956.0,36
2,-0.484,-0.782,171.5,0.11,1.0,5.0,175.0,53
3,-0.289,0.146,393.36,0.11,1.0,2.0,393.0,55
4,0.525,-3.097,3995.03,0.11,-1.0,4.0,3996.0,64
5,-1.245,-1.661,158.11,0.11,-1.0,5.0,159.05,66
6,1.45,-0.857,190.78,0.11,1.0,2.0,191.0,72
7,-0.969,-2.956,269.9,0.11,1.0,3.0,272.01,76
8,0.925,0.052,444.2,0.11,1.0,8.0,476.63,125
9,-0.627,-2.974,1032.29,0.11,1.0,4.0,1032.0,135
10,0.64,0.504,2212.3,0.11,1.0,5.0,2212.0,154
11,-0.056,2.288,426.52,0.11,-1.0,4.0,427.0,154
12,-0.201,1.281,1971.4,0.11,1.0,6.0,1971.0,157
13,-1.057,-2.731,340.57,0.11,-1.0,5.0,341.0,180
14,-0.404,-1.101,3448.49,0.11,-1.0,12.0,3603.04,184
15,0.133,2.439,1612.86,0.11,1.0,11.0,1704.11,184
16,0.85,-0.226,2271.51,0.11,-1.0,5.0,2640.24,195
17,0.365,-2.871,926.05,0.11,-1.0,8.0,926.0,196
18,1.954,-2.278,20.67,0.11,1.0,6.0,21.13,200
19,0.276,-0.519,847.03,0.11,1.0,4.0,849.0,201
20,-0.56,1.383,1585.14,0.11,-1.0,8.0,1591.0,227
21,1.94,0.633,62.33,0.11,1.0,7.0,65.03,236
22,-0.053,2.634,1680.47,0.11,-1.0,17.0,1687.01,243
23,0.323,-1.96,732.95,0.11,1.0,3.0,734.0,248
24,0.093,2.337,157.92,0.11,1.0,4.0,159.0,254
25,-0.03,-3.021,485.48,0.11,-1.0,7.0,485.02,279
26,1.184,-2.11,783.72,0.11,1.0,5.0,784.0,280
27,-0.211,-1.293,763.99,0.11,1.0,10.0,790.27,281
28,-0.887,-1.575,97.53,0.11,1.0,6.0,104.03,299
29,-1.985,-2.225,121.07,0.11,1.0,10.0,123.0,300
30,-0.861,-0.587,147.01,0.11,1.0,6.0,153.28,307
31,1.596,-2.778,461.63,0.11,1.0,7.0,468.01,312
32,-0.071,3.031,344.49,0.11,-1.0,3.0,345.0,341
33,-1.228,0.034,144.74,0.11,1.0,9.0,145.06,342
34,-1.151,-2.909,702.19,0.11,1.0,4.0,704.0,348
35,-1.272,-1.221,119.72,0.11,1.0,2.0,123.01,351
36,0.005,0.956,3553.28,0.11,-1.0,3.0,3553.0,368
37,-0.33,2.019,537.05,0.11,1.0,4.0,538.0,372
38,1.205,-1.447,55.58,0.11,1.0,2.0,56.0,374
39,2.05,1.384,1000.48,0.11,1.0,5.0,1000.01,381
40,-0.615,-1.27,148.87,0.11,1.0,5.0,149.01,386
41,0.608,-2.144,874.02,0.11,1.0,4.0,879.01,399
42,-0.931,0.313,2500.92,0.11,1.0,3.0,2501.0,403
43,2.384,-2.703,294.62,0.11,-1.0,8.0,296.0,406
44,-1.582,-1.888,21.14,0.11,-1.0,7.0,21.0,410
45,-0.354,-1.621,1751.69,0.11,1.0,4.0,1752.0,429
46,-0.351,0.93,774.02,0.11,1.0,3.0,774.0,429
47,0.179,0.895,1111.69,0.11,1.0,6.0,1458.3,446
48,-0.455,-2.259,545.11,0.11,1.0,4.0,557.02,452
49,-1.425,2.11,702.89,0.11,1.0,10.0,705.03,458
50,-0.333,-2.687,94.18,0.11,1.0,3.0,96.03,461
51,-0.801,-1.393,96.5,0.11,-1.0,8.0,112.13,462
