,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-0.669,-2.709,206.14,0.0,-1.0,0.0,0.0,0
1,-0.164,0.074,2761.09,0.0,1.0,0.0,0.0,11
2,0.964,2.679,42.59,0.0,-1.0,0.0,0.0,12
3,-1.052,-0.645,390.06,0.0,1.0,0.0,0.0,20
4,-0.921,-1.48,956.08,0.0,1.0,0.0,0.0,21
5,-1.136,2.612,15.43,0.0,1.0,0.0,0.0,28
6,-0.381,0.038,3885.99,0.0,1.0,0.0,0.0,49
7,-0.439,-0.135,64.22,0.0,-1.0,0.0,0.0,49
8,-0.805,2.013,1846.66,0.0,1.0,0.0,0.0,57
9,0.724,-2.834,192.3,0.0,1.0,0.0,0.0,59
10,-0.873,-2.67,823.45,0.0,1.0,0.0,0.0,60
11,-1.102,-1.658,67.72,0.0,1.0,0.0,0.0,75
12,1.917,0.085,148.73,0.0,1.0,0.0,0.0,86
13,0.811,-1.443,1647.83,0.0,1.0,0.0,0.0,95
14,-1.267,-2.658,854.43,0.0,-1.0,0.0,0.0,98
15,-1.476,-1.95,1072.5,0.0,1.0,0.0,0.0,105
16,1.665,2.048,205.96,0.0,-1.0,0.0,0.0,117
17,1.344,2.552,393.45,0.0,1.0,0.0,0.0,131
18,1.185,-0.72,2717.26,0.0,1.0,0.0,0.0,133
19,0.649,2.895,597.89,0.0,1.0,0.0,0.0,141
20,0.046,2.347,886.76,0.0,1.0,0.0,0.0,142
21,-1.384,0.029,2083.0,0.0,1.0,0.0,0.0,145
22,2.266,1.769,272.91,0.0,1.0,0.0,0.0,146
23,1.564,1.057,42.94,0.0,1.0,0.0,0.0,146
24,-1.824,2.613,282.2,0.0,1.0,0.0,0.0,149
25,1.738,-1.535,511.39,0.0,1.0,0.0,0.0,151
26,1.344,2.945,2158.95,0.0,1.0,0.0,0.0,165
27,-0.041,-1.742,346.21,0.0,1.0,0.0,0.0,185
28,1.947,-1.11,109.93,0.0,-1.0,0.0,0.0,188
29,0.808,1.796,1640.33,0.0,-1.0,0.0,0.0,203
30,1.068,2.085,63.46,0.0,1.0,0.0,0.0,207
31,-0.103,-1.428,4118.33,0.0,1.0,0.0,0.0,215
32,0.844,-1.734,1053.93,0.0,1.0,0.0,0.0,217
33,-0.757,-1.093,2856.24,0.0,1.0,0.0,0.0,229
34,-0.395,3.021,2279.46,0.0,-1.0,0.0,0.0,235
35,0.165,-1.344,735.2,0.0,1.0,0.0,0.0,241
36,0.569,-0.36,1994.22,0.0,1.0,0.0,0.0,242
37,-0.294,-2.652,1062.07,0.0,-1.0,0.0,0.0,242
38,0.624,-2.035,1938.82,0.0,-1.0,0.0,0.0,257
39,0.765,0.872,202.25,0.0,1.0,0.0,0.0,262
40,0.888,1.599,1388.53,0.0,1.0,0.0,0.0,276
41,-0.855,0.406,239.96,0.0,-1.0,0.0,0.0,276
42,-0.037,-0.952,1838.76,0.0,1.0,0.0,0.0,280
43,-0.445,-1.732,175.17,0.0,-1.0,0.0,0.0,288
44,0.462,1.511,1071.48,0.0,1.0,0.0,0.0,292
45,-0.273,-2.168,475.53,0.0,-1.0,0.0,0.0,304
46,-0.434,-2.187,40.32,0.0,1.0,0.0,0.0,309
47,-0.303,3.104,482.02,0.0,1.0,0.0,0.0,321
48,-1.072,0.919,1561.98,0.0,-1.0,0.0,0.0,324
49,-0.315,-0.531,1817.19,0.0,1.0,0.0,0.0,328
50,2.149,2.665,113.86,0.0,1.0,0.0,0.0,336
51,-0.222,1.886,1233.02,0.0,1.0,0.0,0.0,377
52,0.531,-1.768,1225.41,0.0,-1.0,0.0,0.0,382
53,1.023,-2.615,12.45,0.0,1.0,0.0,0.0,384
54,2.097,-2.727,350.69,0.0,1.0,0.0,0.0,395
55,-0.286,1.89,25.63,0.0,1.0,0.0,0.0,411
56,-0.424,2.567,639.29,0.0,1.0,0.0,0.0,416
57,1.15,-1.92,1359.45,0.0,1.0,0.0,0.0,432
58,-0.582,-2.865,940.11,0.0,1.0,0.0,0.0,433
59,-0.11,1.411,1880.2,0.0,1.0,0.0,0.0,448
60,1.164,1.658,1144.71,0.0,1.0,0.0,0.0,453
61,-1.097,-2.321,629.3,0.0,1.0,0.0,0.0,454
62,0.129,1.831,1442.71,0.0,-1.0,0.0,0.0,460
63,-0.772,-0.603,1410.51,0.0,1.0,0.0,0.0,478
64,-0.774,-0.7,93.95,0.0,-1.0,0.0,0.0,478
65,-0.027,-1.182,286.66,0.0,1.0,0.0,0.0,481
66,0.547,-0.246,1248.54,0.0,-1.0,0.0,0.0,483
67,0.984,2.949,427.65,0.0,-1.0,0.0,0.0,496
68,0.903,-0.073,176.08,0.0,1.0,0.0,0.0,505
69,-0.048,2.613,1393.75,0.0,1.0,0.0,0.0,521
70,-0.554,1.021,1906.99,0.0,-1.0,0.0,0.0,541
71,-1.17,0.784,119.93,0.0,1.0,0.0,0.0,543
72,-0.632,0.33,1090.97,0.0,1.0,0.0,0.0,566
73,-1.484,1.103,86.65,0.0,-1.0,0.0,0.0,599
74,-0.0,2.59,1226.43,0.0,-1.0,0.0,0.0,604
75,-2.185,-1.078,282.2,0.0,1.0,0.0,0.0,626
76,-1.26,-0.045,1086.11,0.0,1.0,0.0,0.0,634
77,-1.534,-1.021,574.8,0.0,1.0,0.0,0.0,636
78,-0.231,-0.095,1327.94,0.0,1.0,0.0,0.0,637
79,0.026,2.48,3017.44,0.0,-1.0,0.0,0.0,642
80,-0.737,-2.848,1847.9,0.0,1.0,0.0,0.0,643
81,-0.141,-2.343,918.42,0.0,-1.0,0.0,0.0,656
82,-2.091,1.637,160.73,0.0,1.0,0.0,0.0,662
83,0.922,-0.368,748.8,0.0,-1.0,0.0,0.0,683
84,1.474,0.836,368.62,0.0,1.0,0.0,0.0,693
85,-0.244,0.971,35.57,0.0,1.0,0.0,0.0,693
86,-0.17,1.423,544.26,0.0,1.0,0.0,0.0,700
87,-0.436,-1.413,613.63,0.0,-1.0,0.0,0.0,716
88,1.709,1.014,494.0,0.0,1.0,0.0,0.0,743
89,0.727,0.8,448.79,0.0,1.0,0.0,0.0,759
90,0.55,0.168,4202.61,0.0,1.0,0.0,0.0,783
91,-0.973,1.337,220.9,0.0,1.0,0.0,0.0,785
92,-2.241,1.093,32.45,0.0,1.0,0.0,0.0,826
93,-0.357,2.575,58.96,0.0,-1.0,0.0,0.0,828
94,-0.666,0.93,2961.57,0.0,1.0,0.0,0.0,834
95,1.689,2.375,46.3,0.0,1.0,0.0,0.0,834
96,-1.654,-2.807,16.63,0.0,1.0,0.0,0.0,847
97,0.535,-1.216,2860.33,0.0,-1.0,0.0,0.0,857
98,0.435,-2.793,2372.14,0.0,1.0,0.0,0.0,870
99,0.442,0.573,2150.86,0.0,1.0,0.0,0.0,877
100,-0.325,-0.868,1775.53,0.0,1.0,0.0,0.0,885
101,0.973,-2.753,108.48,0.0,1.0,0.0,0.0,888
102,0.196,-2.524,57.0,0.0,1.0,0.0,0.0,891
103,0.185,-1.055,173.28,0.0,-1.0,0.0,0.0,904
104,-0.988,1.508,524.28,0.0,-1.0,0.0,0.0,905
105,0.513,-2.873,552.22,0.0,1.0,0.0,0.0,908
106,-0.853,-0.04,678.17,0.0,-1.0,0.0,0.0,914
107,1.592,0.597,155.19,0.0,1.0,0.0,0.0,927
108,-0.039,0.261,2580.05,0.0,1.0,0.0,0.0,928
