,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,2.03,-1.412,785.06,0.11,1.0,6.0,785.0,14
1,0.765,-2.975,4063.71,0.11,1.0,3.0,4064.0,26
2,-0.189,-0.36,1735.26,0.11,-1.0,5.0,1735.0,26
3,-0.794,-0.29,1986.35,0.11,-1.0,7.0,1986.0,28
4,0.348,2.468,673.03,0.11,1.0,5.0,673.0,35
5,1.13,1.054,277.89,0.11,1.0,8.0,280.21,38
6,1.747,-0.508,905.21,0.11,-1.0,3.0,905.0,41
7,-0.652,-2.125,248.2,0.11,1.0,5.0,248.04,43
8,-0.236,1.119,1320.75,0.11,1.0,5.0,1321.0,52
9,0.508,-0.273,156.64,0.11,1.0,2.0,157.01,54
10,0.261,2.207,1198.92,0.11,1.0,10.0,1199.0,62
11,1.661,-1.158,217.63,0.11,-1.0,2.0,218.0,66
12,0.494,-1.897,796.32,0.11,1.0,4.0,800.0,68
13,-0.749,1.404,866.23,0.11,1.0,4.0,874.01,73
14,-0.401,0.795,1962.65,0.11,1.0,6.0,1963.01,81
15,-0.323,1.469,384.8,0.11,-1.0,6.0,385.0,81
16,0.197,-1.0,2784.82,0.11,1.0,5.0,2821.25,82
17,0.729,2.549,406.33,0.11,-1.0,9.0,435.18,82
18,-1.287,-0.997,465.48,0.11,-1.0,9.0,465.0,105
19,-0.696,2.955,1628.55,0.11,1.0,4.0,1629.0,110
20,-1.809,2.787,972.46,0.11,-1.0,7.0,974.05,111
21,1.67,3.077,385.6,0.11,1.0,9.0,386.01,118
22,-0.566,-2.074,377.54,0.11,-1.0,8.0,381.03,121
23,0.875,-1.862,286.19,0.11,1.0,4.0,287.01,131
24,0.123,1.564,449.87,0.11,1.0,3.0,450.0,139
25,2.028,0.218,62.8,0.11,1.0,5.0,67.14,140
26,0.504,0.854,969.46,0.11,-1.0,8.0,973.01,143
27,0.361,-0.396,1037.93,0.11,1.0,9.0,1041.01,148
28,0.042,-3.018,258.4,0.11,1.0,11.0,263.1,183
29,-0.948,0.002,1411.62,0.11,-1.0,6.0,1518.12,187
30,0.133,-2.68,191.66,0.11,1.0,6.0,197.0,188
31,1.665,0.408,283.27,0.11,1.0,8.0,283.0,203
32,-1.49,1.574,454.61,0.11,1.0,10.0,455.0,205
33,0.94,2.122,492.66,0.11,-1.0,5.0,493.06,215
34,-0.773,-2.462,414.97,0.11,-1.0,7.0,415.0,217
35,1.075,0.104,1156.11,0.11,1.0,4.0,1156.0,224
36,0.612,3.1,2012.1,0.11,1.0,5.0,2013.0,244
37,-0.246,-1.4,474.92,0.11,1.0,12.0,475.0,247
38,-0.449,-2.087,1822.82,0.11,-1.0,8.0,1823.0,256
39,0.227,1.76,295.33,0.11,-1.0,9.0,508.0,263
40,0.283,1.664,211.22,0.11,1.0,9.0,508.0,263
41,1.497,1.435,11.28,0.11,1.0,5.0,14.0,284
42,-0.12,-2.054,3926.45,0.11,-1.0,4.0,3927.02,293
43,1.378,0.197,168.91,0.11,1.0,5.0,172.02,294
44,-0.287,0.707,3331.9,0.11,1.0,4.0,3332.0,304
45,0.693,-0.755,1239.18,0.11,-1.0,7.0,1240.01,312
46,1.279,-2.84,612.67,0.11,1.0,9.0,692.19,324
47,-1.683,0.854,742.17,0.11,-1.0,9.0,743.0,331
48,0.112,-0.954,4627.06,0.11,-1.0,7.0,4627.0,339
49,2.317,-0.667,280.38,0.11,1.0,3.0,280.0,350
50,-0.633,-1.953,905.05,0.11,-1.0,13.0,906.01,359
51,0.004,1.046,53.72,0.11,1.0,3.0,54.13,382
52,1.427,0.611,1610.57,0.11,1.0,13.0,1611.0,399
53,0.771,1.686,1573.53,0.11,-1.0,4.0,1574.0,400
54,-0.634,1.494,125.85,0.11,1.0,3.0,126.0,400
55,-0.09,2.576,924.11,0.11,1.0,4.0,924.0,401
56,0.087,-1.271,735.27,0.11,-1.0,4.0,1321.22,418
57,-0.163,2.292,639.79,0.11,1.0,3.0,640.01,418
58,0.787,-2.03,180.45,0.11,1.0,5.0,4861.99,432
59,1.447,1.606,740.19,0.11,1.0,6.0,741.0,439
60,-0.403,0.321,333.26,0.11,1.0,5.0,346.04,446
61,-0.384,0.338,3533.81,0.11,-1.0,13.0,3578.01,447
62,-0.703,-1.901,371.44,0.11,-1.0,8.0,371.0,454
63,0.355,-2.019,69.43,0.11,1.0,9.0,69.0,456
64,0.564,-0.027,1190.4,0.11,-1.0,4.0,1191.0,475
65,-0.486,0.812,1391.16,0.11,1.0,7.0,1393.0,479
66,0.962,-3.013,973.25,0.11,-1.0,10.0,1255.0,481
67,0.772,-3.055,281.65,0.11,1.0,10.0,1255.0,481
68,0.148,0.352,730.69,0.11,1.0,2.0,731.0,482
69,-0.013,-0.066,2391.45,0.11,1.0,7.0,2629.24,488
70,-2.087,0.536,535.02,0.11,-1.0,3.0,539.01,490
71,-1.549,-0.491,25.95,0.11,1.0,6.0,26.0,540
72,2.072,0.286,518.36,0.11,-1.0,4.0,518.0,548
73,-0.489,2.389,458.15,0.11,-1.0,6.0,458.0,548
74,-0.43,-1.683,215.3,0.11,1.0,5.0,224.1,548
75,1.088,-1.933,898.14,0.11,-1.0,6.0,900.01,558
76,-0.61,1.246,243.92,0.11,-1.0,7.0,248.0,569
77,-0.463,2.546,2932.09,0.11,-1.0,6.0,2932.0,572
78,0.65,-1.644,1140.41,0.11,1.0,6.0,1141.0,572
79,-0.571,1.367,129.48,0.11,1.0,5.0,129.0,594
80,0.995,1.661,746.0,0.11,1.0,4.0,748.0,607
81,0.19,-2.785,159.67,0.11,1.0,5.0,160.03,608
82,0.131,2.631,1746.02,0.11,-1.0,5.0,1746.0,616
83,-1.101,-2.949,300.69,0.11,1.0,6.0,308.02,623
84,-0.904,-2.645,1499.94,0.11,1.0,3.0,1552.08,633
85,1.457,1.428,1525.41,0.11,1.0,4.0,1527.0,657
86,0.959,-1.98,427.35,0.11,1.0,12.0,433.02,664
87,-0.579,2.794,673.53,0.11,-1.0,5.0,675.01,665
88,-0.329,2.014,81.31,0.11,1.0,7.0,85.07,665
89,-0.455,-0.332,696.7,0.11,1.0,6.0,727.07,675
90,-1.487,-1.795,117.74,0.11,1.0,2.0,118.0,695
91,0.343,-0.962,1142.9,0.11,1.0,6.0,1143.0,696
92,-1.108,-0.863,349.72,0.11,-1.0,6.0,351.0,711
93,2.367,-0.422,75.19,0.11,1.0,6.0,75.0,714
94,1.365,0.837,57.88,0.11,1.0,8.0,58.06,718
95,0.934,-0.759,463.53,0.11,-1.0,3.0,464.0,735
96,1.983,2.729,27.81,0.11,1.0,9.0,29.09,735
97,-1.202,0.784,1632.52,0.11,1.0,11.0,1775.13,746
98,0.233,1.111,2046.72,0.11,1.0,6.0,3986.0,750
99,0.267,1.064,1939.59,0.11,-1.0,6.0,3986.0,750
100,0.244,0.104,783.94,0.11,1.0,11.0,794.03,751
101,-1.13,-0.793,28.07,0.11,1.0,4.0,28.0,760
102,-1.417,-0.996,1008.14,0.11,-1.0,7.0,1008.0,764
103,0.906,0.365,387.26,0.11,1.0,6.0,390.04,764
104,-0.542,0.47,1522.07,0.11,1.0,6.0,1571.08,770
105,-0.594,0.221,3112.38,0.11,-1.0,5.0,3125.0,771
106,0.684,3.086,707.51,0.11,1.0,6.0,710.0,771
107,-0.537,-2.868,355.86,0.11,1.0,6.0,356.0,774
108,0.146,1.569,559.54,0.11,-1.0,10.0,560.0,775
109,-0.178,2.539,2341.72,0.11,1.0,7.0,2342.0,779
110,0.099,2.566,661.22,0.11,-1.0,6.0,663.0,792
111,-0.497,0.141,661.2,0.11,1.0,5.0,661.02,796
112,1.326,-3.031,332.29,0.11,-1.0,3.0,332.0,797
113,-0.664,-1.738,968.71,0.11,-1.0,4.0,969.0,805
114,-1.048,1.816,77.0,0.11,1.0,9.0,79.0,822
115,1.222,0.413,120.99,0.11,1.0,4.0,782.99,827
116,0.001,-1.158,1336.06,0.11,1.0,5.0,1336.0,838
117,-0.839,-1.918,844.98,0.11,-1.0,5.0,845.16,847
118,0.083,-2.743,257.66,0.11,1.0,3.0,258.0,850
119,0.79,0.83,1918.36,0.11,1.0,6.0,1918.06,856
120,-0.866,-0.488,972.19,0.11,-1.0,6.0,972.01,865
121,2.032,1.115,383.1,0.11,1.0,12.0,383.03,880
122,0.731,-0.51,131.31,0.11,1.0,3.0,133.0,896
123,0.632,-0.202,5027.92,0.11,1.0,3.0,5028.0,906
124,0.308,-1.547,1582.46,0.11,-1.0,5.0,1583.0,909
125,-0.037,0.412,705.82,0.11,1.0,4.0,706.0,909
126,1.175,-0.448,1439.96,0.11,-1.0,3.0,1444.01,940
127,0.826,1.752,650.84,0.11,1.0,7.0,659.01,964
128,0.867,-0.585,134.27,0.11,1.0,5.0,142.1,975
129,-1.474,-0.554,1225.86,0.11,1.0,5.0,1226.0,996
130,-0.597,-0.105,2118.7,0.11,-1.0,4.0,2159.23,997
131,1.111,-0.569,15.86,0.11,-1.0,5.0,16.0,1019
132,-0.257,-1.815,3422.63,0.11,1.0,3.0,3423.0,1027
133,0.201,-0.866,371.18,0.11,1.0,3.0,371.0,1038
134,0.592,-0.676,1630.97,0.11,1.0,4.0,1631.0,1043
135,-0.395,-2.03,1236.55,0.11,-1.0,4.0,1237.0,1045
136,0.237,-0.612,1462.69,0.11,1.0,3.0,1463.0,1052
137,0.188,0.452,1046.11,0.11,-1.0,3.0,1307.08,1057
138,-0.021,-2.269,492.1,0.11,1.0,4.0,492.0,1071
139,0.949,-2.858,2046.8,0.11,-1.0,6.0,2047.0,1102
