,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-0.096,2.679,1836.94,266.8,1.0,0.0,1.55,2
1,1.089,-0.869,621.93,21.9,-1.0,0.0,0.24,6
2,0.392,-0.675,895.82,147.02,1.0,0.0,0.44,15
3,-0.957,1.21,1007.09,160.12,1.0,0.0,1.51,17
4,1.152,-1.635,108.51,6.4,-1.0,0.0,0.0,19
5,-0.596,1.378,1850.63,53.33,1.0,0.0,0.0,24
6,1.477,2.862,814.75,43.83,-1.0,0.0,0.07,35
7,1.346,-2.957,721.59,70.14,1.0,0.0,0.47,35
8,-1.943,-1.635,214.11,4.77,-1.0,0.0,0.0,42
9,-0.141,-0.418,589.3,57.62,1.0,0.0,0.28,57
10,-1.292,1.835,676.0,111.03,-1.0,0.0,0.09,59
11,-1.724,1.587,73.07,5.34,-1.0,0.0,999.9,59
12,0.3,-1.882,1367.12,15.3,-1.0,0.0,999.9,71
13,0.828,-1.467,222.0,26.33,1.0,0.0,2.29,83
14,-1.334,0.933,105.85,20.74,-1.0,0.0,0.62,83
15,0.138,1.355,1923.01,182.22,1.0,0.0,0.0,84
16,-1.818,1.197,933.21,16.29,1.0,0.0,8.41,85
17,-0.529,1.666,1319.69,50.6,-1.0,0.0,0.15,91
18,-3.474,-0.453,58.3,7.56,1.0,0.0,1.4,92
19,0.925,0.573,565.94,58.54,1.0,0.0,4.7,107
20,-0.501,-2.268,193.9,5.82,1.0,0.0,999.9,110
21,-0.35,0.144,349.01,2.82,-1.0,0.0,0.39,114
22,2.379,-0.783,31.11,5.82,1.0,0.0,1.3,133
23,-1.083,-0.252,218.23,6.58,1.0,0.0,0.35,134
24,0.305,-2.076,26.6,5.36,1.0,0.0,999.9,134
25,0.04,2.69,1371.48,85.96,1.0,0.0,0.18,136
26,0.823,-1.5,1521.81,188.51,-1.0,0.0,1.34,140
27,0.641,0.097,91.55,11.89,-1.0,0.0,5.53,143
28,-0.352,-1.007,1452.83,136.9,1.0,0.0,0.27,144
29,1.57,-1.297,992.24,127.19,-1.0,0.0,1.25,151
30,1.941,-1.597,129.47,15.38,-1.0,0.0,0.76,151
31,-0.03,-2.468,1927.93,8.05,-1.0,0.0,999.9,152
32,0.241,2.923,2085.48,364.56,-1.0,0.0,0.25,157
33,-0.512,3.038,2098.03,61.99,-1.0,0.0,0.0,159
34,1.159,1.896,962.09,54.46,1.0,0.0,0.02,160
35,0.274,-0.6,67.25,12.33,-1.0,0.0,1.25,167
36,-1.0,-3.081,252.08,2.37,1.0,0.0,0.0,168
37,1.352,-2.775,35.96,2.46,1.0,0.0,0.0,170
38,0.037,1.443,59.18,8.46,-1.0,0.0,0.79,175
39,-1.271,-0.295,653.79,4.96,-1.0,0.0,0.0,176
40,-0.233,1.692,2941.11,106.38,1.0,0.0,17.56,179
41,0.275,-0.457,66.57,13.03,1.0,0.0,0.79,183
42,-0.489,-0.084,2480.86,507.64,1.0,0.0,0.04,187
43,-0.908,0.988,32.63,3.27,-1.0,0.0,0.0,188
44,-1.416,1.389,244.23,35.65,-1.0,0.0,0.97,189
45,-0.92,1.723,712.21,11.23,1.0,0.0,0.4,191
46,-0.556,-2.603,1000.91,40.31,1.0,0.0,0.5,196
47,-0.804,-2.784,722.47,20.33,1.0,0.0,0.42,201
48,0.183,2.977,96.65,7.25,-1.0,0.0,0.48,205
49,0.917,1.116,111.53,1.36,1.0,0.0,0.0,206
50,0.345,2.483,999.62,54.49,1.0,0.0,0.04,217
51,1.674,-2.225,86.31,14.97,1.0,0.0,0.26,226
52,-0.198,-2.672,459.86,39.24,1.0,0.0,0.72,241
53,-0.37,-0.646,239.06,45.48,1.0,0.0,1.5,242
54,1.126,2.601,85.68,11.63,-1.0,0.0,0.04,251
55,0.969,2.676,116.09,7.42,1.0,0.0,8.49,254
56,-0.484,0.771,561.87,70.22,1.0,0.0,0.63,265
57,1.14,1.838,131.74,20.73,1.0,0.0,0.23,267
58,-0.907,3.008,746.07,122.84,-1.0,0.0,0.54,281
59,0.698,2.857,519.66,13.22,1.0,0.0,0.0,282
60,-0.846,0.009,27.27,5.85,-1.0,0.0,0.73,282
61,-0.276,2.808,640.8,50.83,1.0,0.0,0.44,285
62,2.553,3.026,84.25,5.74,-1.0,0.0,4.82,285
63,-0.273,3.133,293.31,57.61,-1.0,0.0,0.0,288
64,0.917,0.586,350.94,25.56,1.0,0.0,1.63,291
65,-0.659,-3.12,1052.15,1.33,1.0,0.0,0.0,300
66,-1.366,1.545,215.9,13.34,-1.0,0.0,0.93,302
67,-0.986,1.268,133.24,9.17,-1.0,0.0,0.3,302
68,-0.178,1.927,611.88,93.84,1.0,0.0,1.11,303
69,0.613,-0.262,807.95,58.01,1.0,0.0,0.04,305
70,0.245,0.103,24.77,4.27,1.0,0.0,0.0,305
71,0.33,1.004,516.05,19.69,1.0,0.0,0.0,322
72,0.881,1.809,26.46,6.24,1.0,0.0,4.96,327
73,0.685,2.159,356.69,48.42,1.0,0.0,1.21,332
74,-0.489,-3.034,1182.17,143.21,-1.0,0.0,0.4,342
75,-0.11,-0.963,1268.49,121.0,1.0,0.0,0.71,349
76,-0.832,-1.392,692.36,31.37,-1.0,0.0,0.07,358
77,0.196,-2.335,1052.98,87.03,-1.0,0.0,0.0,359
78,0.497,-0.319,1895.95,145.19,-1.0,0.0,0.87,362
79,0.092,-0.273,230.82,5.39,-1.0,0.0,0.0,362
80,1.897,1.484,795.87,39.18,-1.0,0.0,0.25,363
81,-0.697,-2.213,498.37,37.69,1.0,0.0,0.18,376
82,-0.784,-0.782,1969.74,159.25,-1.0,0.0,0.14,377
83,-0.035,-2.097,1306.55,253.92,-1.0,0.0,0.86,381
84,-0.183,3.092,1044.45,108.3,-1.0,0.0,0.69,386
85,0.058,1.803,192.6,3.21,1.0,0.0,999.9,386
86,-0.685,-2.879,52.76,10.78,-1.0,0.0,2.21,386
87,1.465,-2.639,58.65,9.13,-1.0,0.0,1.71,390
88,0.593,-0.372,56.58,2.0,-1.0,0.0,0.0,393
89,-1.278,-2.915,30.59,7.33,1.0,0.0,999.9,395
90,-0.439,-0.966,2018.31,273.79,-1.0,0.0,2.63,399
91,0.608,1.171,309.47,10.09,1.0,0.0,999.9,413
92,-1.009,-0.875,246.4,41.44,1.0,0.0,0.42,415
93,0.427,-0.271,320.68,1.08,1.0,0.0,0.0,427
94,-0.139,1.39,61.68,3.72,1.0,0.0,0.0,433
95,-0.112,1.471,233.79,11.11,-1.0,0.0,0.0,434
96,0.609,2.911,142.11,12.26,-1.0,0.0,0.0,441
97,-0.15,-1.073,589.65,5.98,-1.0,0.0,0.0,444
98,-0.496,1.345,35.49,0.0,1.0,0.0,999.9,451
99,-0.066,1.087,117.98,14.62,1.0,0.0,2.93,473
100,0.267,1.302,1718.96,8.54,-1.0,0.0,0.0,477
101,0.517,0.565,414.02,71.08,-1.0,0.0,0.0,481
102,0.217,1.19,67.96,6.42,1.0,0.0,16.36,483
103,1.038,-1.696,516.03,72.55,1.0,0.0,0.42,485
104,0.642,-1.993,24.24,6.32,1.0,0.0,2.89,485
105,0.092,-2.319,1528.7,319.89,1.0,0.0,1.26,490
106,0.021,2.02,170.14,6.25,1.0,0.0,0.92,493
107,0.963,1.618,1377.68,21.34,1.0,0.0,999.9,494
108,-0.164,-0.444,1014.44,9.93,-1.0,0.0,0.0,496
109,-0.632,0.64,1052.04,259.61,-1.0,0.0,0.14,501
110,0.048,1.349,173.29,27.63,1.0,0.0,1.56,505
111,0.126,-1.366,60.85,4.64,-1.0,0.0,999.9,521
112,1.65,0.81,374.35,5.38,1.0,0.0,0.0,528
113,-1.238,-2.926,1315.18,187.94,-1.0,0.0,0.07,529
114,0.164,-0.702,1809.23,187.18,1.0,0.0,0.97,530
115,-0.224,-0.427,25.7,5.82,1.0,0.0,999.9,530
116,1.86,-2.334,24.9,2.49,-1.0,0.0,5.57,557
117,0.631,-0.492,992.18,21.36,1.0,0.0,0.0,567
118,-0.11,-0.213,615.43,45.76,-1.0,0.0,0.22,568
119,3.128,2.608,37.15,7.29,-1.0,0.0,1.17,577
120,0.941,-1.358,80.84,9.9,1.0,0.0,0.18,582
121,1.697,2.044,171.68,5.47,1.0,0.0,8.13,587
122,0.296,1.455,2240.7,85.98,1.0,0.0,4.86,589
123,-0.84,0.813,809.21,20.55,1.0,0.0,1.04,594
124,1.31,2.663,554.71,76.55,1.0,0.0,0.45,598
125,-1.335,-2.97,885.05,68.6,1.0,0.0,0.09,603
126,1.23,1.397,748.03,79.84,-1.0,0.0,0.33,603
127,-0.066,1.315,654.08,10.91,1.0,0.0,0.0,611
128,0.749,-0.019,45.52,9.72,1.0,0.0,0.0,611
129,0.506,0.775,52.99,9.29,-1.0,0.0,4.0,613
130,-2.42,2.064,47.23,0.15,1.0,0.0,999.9,616
131,-0.018,-2.698,3233.31,76.31,1.0,0.0,0.59,621
132,-0.529,-0.426,2826.22,15.05,-1.0,0.0,0.0,626
133,-1.006,-2.346,2481.39,21.43,-1.0,0.0,0.0,641
134,2.189,3.097,29.85,2.6,1.0,0.0,18.37,643
135,0.86,0.661,977.48,31.97,1.0,0.0,0.0,656
136,-0.783,-0.938,1425.67,93.71,-1.0,0.0,0.21,662
137,0.218,0.57,52.62,4.0,-1.0,0.0,999.9,662
138,-0.986,1.645,149.89,2.27,1.0,0.0,0.0,663
139,-1.67,-3.115,308.9,21.96,1.0,0.0,0.21,664
140,-1.272,0.299,27.41,4.41,1.0,0.0,0.0,667
141,-2.044,-0.188,215.74,14.03,-1.0,0.0,0.21,668
142,-0.132,-1.297,30.74,2.33,1.0,0.0,0.0,669
143,-0.78,1.283,77.15,6.09,1.0,0.0,0.0,688
144,1.166,2.905,381.91,15.65,1.0,0.0,0.0,689
145,0.002,1.27,783.38,91.23,-1.0,0.0,0.4,693
146,-0.261,3.08,342.2,21.61,1.0,0.0,0.55,695
147,-1.903,-1.358,40.32,5.35,1.0,0.0,1.58,696
148,0.392,-2.272,637.33,76.55,-1.0,0.0,1.23,698
149,1.304,1.517,368.65,1.21,1.0,0.0,0.0,699
150,-0.496,-2.079,770.52,34.33,-1.0,0.0,0.96,708
151,-0.236,-2.416,41.18,4.18,1.0,0.0,999.9,714
152,-0.127,0.58,654.25,31.37,-1.0,0.0,2.05,719
153,1.612,2.088,521.7,0.14,1.0,0.0,999.9,719
154,0.794,2.723,1671.02,132.99,-1.0,0.0,0.27,730
155,-1.535,-0.873,772.97,88.38,1.0,0.0,0.69,732
156,-0.288,-0.085,937.26,37.33,1.0,0.0,0.0,733
157,-0.551,1.967,1358.35,118.89,1.0,0.0,1.43,738
158,-0.431,-1.725,406.57,60.68,-1.0,0.0,0.7,744
159,-0.398,2.518,2617.81,29.38,1.0,0.0,0.0,749
160,-0.086,-0.335,492.05,47.86,-1.0,0.0,0.47,758
161,0.239,0.508,655.72,31.79,1.0,0.0,1.76,767
162,0.556,0.661,93.8,12.16,-1.0,0.0,1.23,794
163,0.425,2.143,60.56,9.05,1.0,0.0,0.62,797
164,-0.312,0.398,1838.83,196.77,1.0,0.0,1.17,800
165,0.168,3.038,1161.59,97.01,1.0,0.0,0.44,817
166,0.295,2.1,2602.88,160.72,1.0,0.0,1.19,818
167,-1.08,-3.055,903.32,54.95,-1.0,0.0,0.24,825
168,-0.402,2.873,1542.86,265.71,1.0,0.0,0.36,831
169,0.208,2.798,539.97,101.32,1.0,0.0,0.1,832
170,0.104,-0.485,27.52,0.26,1.0,0.0,0.0,835
171,1.001,-0.305,1906.83,311.62,-1.0,0.0,0.39,858
172,-0.568,0.015,124.14,16.96,-1.0,0.0,0.0,862
173,0.076,3.107,343.29,44.83,-1.0,0.0,0.45,868
174,0.595,0.2,1139.98,130.69,-1.0,0.0,0.76,877
175,0.524,-0.065,587.82,85.73,1.0,0.0,0.12,896
176,1.303,1.454,1548.99,101.03,-1.0,0.0,0.11,909
177,0.165,-0.083,55.51,6.56,1.0,0.0,2.39,917
178,1.849,0.818,661.23,23.73,-1.0,0.0,999.9,924
179,-0.072,1.955,28.34,8.03,1.0,0.0,0.0,932
180,2.765,0.709,248.18,13.51,-1.0,0.0,2.74,960
181,-0.967,-1.541,1014.98,22.21,-1.0,0.0,0.46,962
182,0.538,-1.185,804.03,82.55,1.0,0.0,0.36,965
183,0.206,-1.429,2122.12,163.41,-1.0,0.0,0.01,971
184,1.158,2.289,515.57,23.63,1.0,0.0,0.67,983
185,-0.326,-1.467,1282.74,41.07,1.0,0.0,1.04,986
186,1.198,-0.789,67.51,2.8,1.0,0.0,999.9,1000
187,-1.004,-2.183,1635.48,9.19,1.0,0.0,999.9,1003
188,-0.461,-2.84,796.17,69.3,-1.0,0.0,1.2,1017
189,0.897,-0.141,2829.97,82.32,-1.0,0.0,0.01,1022
190,-0.988,-2.264,220.59,12.57,-1.0,0.0,0.0,1024
191,0.04,-0.595,834.4,88.24,1.0,0.0,0.77,1046
192,-0.217,-1.256,115.83,4.03,1.0,0.0,0.0,1046
193,1.065,-3.061,74.94,7.22,-1.0,0.0,0.6,1047
194,-0.551,-2.174,157.24,0.74,-1.0,0.0,0.0,1063
195,2.215,2.362,38.02,2.88,1.0,0.0,999.9,1063
196,0.504,-0.821,285.46,26.36,-1.0,0.0,1.27,1065
197,0.963,-1.315,1187.14,7.64,-1.0,0.0,999.9,1067
198,0.024,1.16,654.1,103.22,1.0,0.0,1.27,1068
199,-0.505,0.438,25.24,5.95,1.0,0.0,13.52,1068
200,-0.057,0.83,348.22,48.65,1.0,0.0,1.61,1076
201,0.133,2.8,1156.03,107.45,1.0,0.0,1.23,1079
202,0.477,-2.962,61.22,10.8,1.0,0.0,0.0,1083
203,-0.2,-1.066,1635.33,26.4,-1.0,0.0,0.11,1087
204,-0.14,-1.802,950.48,1.06,-1.0,0.0,999.9,1089
