,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-1.541,-0.143,530.27,0.0,0.0,0.0,0.0,5
1,0.806,1.417,1981.3,0.0,0.0,0.0,0.0,16
2,-0.452,-0.017,3081.8,0.0,0.0,0.0,0.0,28
3,-1.387,1.024,259.62,0.0,0.0,0.0,0.0,30
4,1.394,1.158,1149.33,0.0,0.0,0.0,0.0,38
5,0.08,-2.274,537.18,0.0,0.0,0.0,0.0,71
6,-1.16,0.138,27.08,0.0,0.0,0.0,0.0,74
7,1.217,2.517,856.1,0.0,0.0,0.0,0.0,81
8,-0.304,2.615,1223.19,0.0,0.0,0.0,0.0,95
9,0.562,2.695,52.99,0.0,0.0,0.0,0.0,105
10,0.567,-1.455,2028.47,0.0,0.0,0.0,0.0,109
11,-0.094,1.963,2416.91,0.0,0.0,0.0,0.0,116
12,-1.96,-0.863,442.73,0.0,0.0,0.0,0.0,117
13,-0.722,0.765,1115.93,0.0,0.0,0.0,0.0,123
14,1.014,-2.709,946.46,0.0,0.0,0.0,0.0,132
15,1.281,-2.098,176.39,0.0,0.0,0.0,0.0,148
16,2.491,-0.704,13.45,0.0,0.0,0.0,0.0,149
17,0.947,0.448,37.97,0.0,0.0,0.0,0.0,152
18,-0.415,-3.118,548.34,0.0,0.0,0.0,0.0,165
19,-0.247,-2.325,34.42,0.0,0.0,0.0,0.0,169
20,0.759,0.313,1194.79,0.0,0.0,0.0,0.0,170
21,0.309,0.996,130.63,0.0,0.0,0.0,0.0,170
22,0.708,2.891,3037.48,0.0,0.0,0.0,0.0,173
23,-0.251,3.012,2866.71,0.0,0.0,0.0,0.0,188
24,-0.396,-0.448,2736.17,0.0,0.0,0.0,0.0,201
25,1.247,-1.178,78.23,0.0,0.0,0.0,0.0,209
26,-0.784,-0.681,1509.29,0.0,0.0,0.0,0.0,215
27,-1.2,2.947,2096.19,0.0,0.0,0.0,0.0,234
28,0.909,-1.255,747.62,0.0,0.0,0.0,0.0,234
29,0.696,2.437,43.85,0.0,0.0,0.0,0.0,239
30,-0.223,-0.88,3176.99,0.0,0.0,0.0,0.0,240
31,-0.278,1.614,1796.17,0.0,0.0,0.0,0.0,249
