,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-1.16,1.196,53.52,0.0,0.0,0.0,0.0,0
1,1.05,-0.536,286.95,0.0,0.0,0.0,0.0,8
2,-0.503,-1.849,2758.38,0.0,0.0,0.0,0.0,29
3,-0.848,-0.324,1870.42,0.0,0.0,0.0,0.0,40
4,1.812,-0.278,986.11,0.0,0.0,0.0,0.0,41
5,0.98,-2.689,1705.08,0.0,0.0,0.0,0.0,46
6,-0.376,2.246,109.39,0.0,0.0,0.0,0.0,46
7,-0.679,-0.299,4133.47,0.0,0.0,0.0,0.0,61
8,-0.258,3.035,1349.89,0.0,0.0,0.0,0.0,64
9,0.405,-0.359,1373.74,0.0,0.0,0.0,0.0,66
10,1.371,0.003,2028.58,0.0,0.0,0.0,0.0,85
11,0.05,-0.016,322.41,0.0,0.0,0.0,0.0,103
12,0.526,-0.616,40.18,0.0,0.0,0.0,0.0,104
13,-0.587,0.304,1994.96,0.0,0.0,0.0,0.0,107
14,-0.274,-3.027,40.69,0.0,0.0,0.0,0.0,110
15,2.314,-2.058,156.96,0.0,0.0,0.0,0.0,113
16,-0.038,2.162,486.75,0.0,0.0,0.0,0.0,114
17,-1.234,-1.52,137.68,0.0,0.0,0.0,0.0,130
18,-1.033,-0.375,200.67,0.0,0.0,0.0,0.0,135
19,0.579,-0.731,3323.49,0.0,0.0,0.0,0.0,139
20,0.074,-0.221,1304.43,0.0,0.0,0.0,0.0,140
21,0.561,-1.964,17.81,0.0,0.0,0.0,0.0,145
22,-0.192,0.712,4533.71,0.0,0.0,0.0,0.0,151
23,1.413,-0.865,11.94,0.0,0.0,0.0,0.0,162
24,-1.35,-1.348,28.04,0.0,0.0,0.0,0.0,166
25,-0.695,1.058,136.47,0.0,0.0,0.0,0.0,180
26,0.523,-1.035,1742.75,0.0,0.0,0.0,0.0,188
27,0.653,2.755,3074.42,0.0,0.0,0.0,0.0,205
28,-0.5,-1.939,197.84,0.0,0.0,0.0,0.0,208
29,0.469,-2.264,1749.98,0.0,0.0,0.0,0.0,224
30,-0.109,1.771,898.62,0.0,0.0,0.0,0.0,228
31,0.103,1.067,60.88,0.0,0.0,0.0,0.0,235
32,-1.119,-2.738,314.13,0.0,0.0,0.0,0.0,241
33,-1.498,0.789,1697.57,0.0,0.0,0.0,0.0,244
34,1.123,-0.132,89.64,0.0,0.0,0.0,0.0,247
35,-0.399,2.784,3034.91,0.0,0.0,0.0,0.0,254
36,0.806,0.571,2673.14,0.0,0.0,0.0,0.0,257
37,-1.168,-2.258,647.51,0.0,0.0,0.0,0.0,257
38,-1.011,1.067,988.87,0.0,0.0,0.0,0.0,259
