,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.945,1.481,1949.58,0.0,1.0,0.0,0.0,8
1,-1.433,-1.434,1081.2,0.0,-1.0,0.0,0.0,8
2,0.888,-0.434,2755.53,0.0,1.0,0.0,0.0,11
3,0.022,2.084,1089.85,0.0,-1.0,0.0,0.0,12
4,2.027,0.663,318.53,0.0,-1.0,0.0,0.0,34
5,-0.971,3.077,1197.49,0.0,1.0,0.0,0.0,40
6,0.263,1.659,383.6,0.0,1.0,0.0,0.0,45
7,0.124,1.33,431.46,0.0,1.0,0.0,0.0,62
8,0.467,-0.955,991.6,0.0,-1.0,0.0,0.0,64
9,0.93,0.721,2539.88,0.0,1.0,0.0,0.0,80
10,0.115,1.704,621.93,0.0,-1.0,0.0,0.0,80
11,-0.789,-0.46,382.55,0.0,-1.0,0.0,0.0,90
12,1.263,0.934,825.26,0.0,1.0,0.0,0.0,99
13,-0.238,-0.076,2154.73,0.0,-1.0,0.0,0.0,106
14,-0.324,-2.849,208.65,0.0,1.0,0.0,0.0,107
15,0.088,-1.664,2784.55,0.0,1.0,0.0,0.0,109
16,1.431,2.533,2022.61,0.0,1.0,0.0,0.0,115
17,-1.064,1.143,1367.36,0.0,-1.0,0.0,0.0,120
18,-2.163,-1.441,573.66,0.0,1.0,0.0,0.0,128
19,-0.038,0.348,3223.25,0.0,1.0,0.0,0.0,132
20,0.293,-1.972,599.6,0.0,-1.0,0.0,0.0,132
21,-0.545,0.005,186.42,0.0,1.0,0.0,0.0,134
22,-0.012,1.497,1728.24,0.0,1.0,0.0,0.0,162
23,-1.671,1.256,262.59,0.0,1.0,0.0,0.0,174
24,2.138,2.343,84.58,0.0,-1.0,0.0,0.0,174
25,0.064,-2.223,4573.87,0.0,-1.0,0.0,0.0,178
26,0.04,-1.596,1032.91,0.0,1.0,0.0,0.0,188
27,-1.26,-0.526,1901.32,0.0,1.0,0.0,0.0,190
28,-0.679,-0.259,505.59,0.0,-1.0,0.0,0.0,218
29,-0.417,-1.045,1249.68,0.0,-1.0,0.0,0.0,220
30,1.018,-2.771,1020.72,0.0,-1.0,0.0,0.0,226
31,-0.331,0.665,1670.85,0.0,1.0,0.0,0.0,237
32,0.923,-0.682,408.15,0.0,1.0,0.0,0.0,240
33,-0.663,2.268,902.39,0.0,1.0,0.0,0.0,257
34,-0.315,-2.44,855.14,0.0,1.0,0.0,0.0,269
35,0.395,0.665,1587.26,0.0,1.0,0.0,0.0,282
36,-0.058,-1.411,4907.19,0.0,-1.0,0.0,0.0,287
37,-0.136,1.143,109.45,0.0,1.0,0.0,0.0,287
38,0.923,-0.101,681.14,0.0,1.0,0.0,0.0,289
39,-0.254,-2.655,741.51,0.0,-1.0,0.0,0.0,335
40,-0.545,0.771,1222.32,0.0,-1.0,0.0,0.0,352
41,1.728,0.377,27.95,0.0,1.0,0.0,0.0,355
42,-1.144,-0.191,226.41,0.0,1.0,0.0,0.0,357
43,0.51,2.919,708.82,0.0,1.0,0.0,0.0,358
44,0.319,-2.527,1259.73,0.0,-1.0,0.0,0.0,363
45,-0.106,2.051,51.15,0.0,1.0,0.0,0.0,363
46,-0.224,-1.653,2286.32,0.0,-1.0,0.0,0.0,365
47,-0.648,-1.724,2636.76,0.0,1.0,0.0,0.0,370
48,-0.65,-1.806,463.07,0.0,-1.0,0.0,0.0,370
49,-0.426,-2.692,287.29,0.0,1.0,0.0,0.0,394
50,1.229,-0.723,325.54,0.0,-1.0,0.0,0.0,399
51,0.645,1.395,1406.28,0.0,-1.0,0.0,0.0,400
52,0.832,-1.786,1556.27,0.0,-1.0,0.0,0.0,401
53,-1.03,0.846,1297.24,0.0,1.0,0.0,0.0,403
54,-0.333,-2.276,1910.38,0.0,1.0,0.0,0.0,404
55,0.142,-0.61,2549.62,0.0,1.0,0.0,0.0,427
56,0.33,-1.749,896.73,0.0,-1.0,0.0,0.0,427
57,-0.887,2.539,807.53,0.0,1.0,0.0,0.0,434
58,-1.23,0.997,837.82,0.0,1.0,0.0,0.0,444
59,-0.598,-2.327,1695.78,0.0,1.0,0.0,0.0,450
60,-2.112,-0.576,560.03,0.0,-1.0,0.0,0.0,464
61,0.428,-2.0,3611.07,0.0,1.0,0.0,0.0,488
62,-0.075,-2.264,1415.19,0.0,-1.0,0.0,0.0,489
63,-0.223,2.079,59.3,0.0,1.0,0.0,0.0,489
64,-1.368,2.839,497.12,0.0,-1.0,0.0,0.0,494
65,-1.233,1.64,84.79,0.0,1.0,0.0,0.0,506
66,1.389,-0.368,145.1,0.0,1.0,0.0,0.0,507
67,0.123,1.871,4530.22,0.0,1.0,0.0,0.0,516
68,0.132,-0.522,748.36,0.0,1.0,0.0,0.0,518
69,1.023,0.073,113.29,0.0,1.0,0.0,0.0,529
70,1.349,2.307,2304.01,0.0,-1.0,0.0,0.0,531
71,-0.587,-0.789,1223.06,0.0,-1.0,0.0,0.0,547
72,0.495,0.534,806.2,0.0,1.0,0.0,0.0,557
73,-0.89,-1.319,2389.46,0.0,1.0,0.0,0.0,558
74,0.012,-2.831,1547.25,0.0,-1.0,0.0,0.0,559
75,0.551,0.482,288.34,0.0,1.0,0.0,0.0,560
76,1.001,0.641,1057.2,0.0,1.0,0.0,0.0,561
77,-0.609,-2.748,3059.05,0.0,1.0,0.0,0.0,563
78,-0.186,1.509,3337.19,0.0,1.0,0.0,0.0,573
79,-0.193,-2.273,4577.3,0.0,1.0,0.0,0.0,591
80,1.076,-1.774,249.47,0.0,-1.0,0.0,0.0,598
81,0.388,-2.46,2716.22,0.0,1.0,0.0,0.0,599
82,0.849,-0.697,2775.5,0.0,1.0,0.0,0.0,603
83,-1.239,-1.118,313.82,0.0,1.0,0.0,0.0,628
84,0.449,-1.027,3564.6,0.0,-1.0,0.0,0.0,630
85,2.475,0.813,258.66,0.0,1.0,0.0,0.0,634
86,1.225,2.162,1127.73,0.0,-1.0,0.0,0.0,638
