,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.139,-2.427,3282.27,0.0,0.0,0.0,0.0
1,0.765,-1.676,119.18,0.0,0.0,0.0,0.0
2,0.801,-2.137,336.56,0.0,0.0,0.0,0.0
3,-1.342,2.76,342.15,0.0,0.0,0.0,0.0
4,-0.048,1.272,321.5,0.0,0.0,0.0,0.0
5,-0.049,-2.939,487.15,0.0,0.0,0.0,0.0
6,-0.932,-0.808,2926.58,0.0,0.0,0.0,0.0
7,1.373,1.217,110.0,0.0,0.0,0.0,0.0
8,0.15,-0.821,2441.77,0.0,0.0,0.0,0.0
9,-0.498,1.063,1871.84,0.0,0.0,0.0,0.0
10,-0.86,0.227,2375.82,0.0,0.0,0.0,0.0
11,-0.135,-0.337,832.34,0.0,0.0,0.0,0.0
12,-0.371,1.219,15.19,0.0,0.0,0.0,0.0
13,0.533,1.902,829.81,0.0,0.0,0.0,0.0
14,-1.16,-1.065,918.81,0.0,0.0,0.0,0.0
15,0.981,-1.452,159.21,0.0,0.0,0.0,0.0
16,0.263,-2.818,684.04,0.0,0.0,0.0,0.0
17,0.036,-0.274,15.81,0.0,0.0,0.0,0.0
18,-0.062,-0.496,612.14,0.0,0.0,0.0,0.0
19,0.529,2.948,249.05,0.0,0.0,0.0,0.0
20,1.344,2.066,59.59,0.0,0.0,0.0,0.0
21,-0.382,-2.319,901.14,0.0,0.0,0.0,0.0
22,-0.493,-2.237,2049.37,0.0,0.0,0.0,0.0
23,-0.3,-2.225,203.55,0.0,0.0,0.0,0.0
24,-0.911,-0.179,1410.56,0.0,0.0,0.0,0.0
25,-0.33,-1.682,677.82,0.0,0.0,0.0,0.0
26,0.961,0.743,2466.88,0.0,0.0,0.0,0.0
27,0.924,-1.347,1270.33,0.0,0.0,0.0,0.0
28,1.554,1.826,10.62,0.0,0.0,0.0,0.0
29,0.066,0.646,1231.09,0.0,0.0,0.0,0.0
30,1.093,0.532,462.1,0.0,0.0,0.0,0.0
31,-0.807,-0.717,1595.77,0.0,0.0,0.0,0.0
32,0.254,1.207,3243.05,0.0,0.0,0.0,0.0
