,eta,phi,PT,jmass,ntrk,btag,hadem
0,-0.121,-1.169,4399.6,0.0,-1.0,0.0,0.0
1,0.583,2.939,1254.77,0.0,1.0,0.0,0.0
2,-0.165,-1.642,1298.61,0.0,-1.0,0.0,0.0
3,0.369,1.079,2213.17,0.0,1.0,0.0,0.0
4,0.951,0.425,1300.42,0.0,-1.0,0.0,0.0
5,0.861,-0.631,168.47,0.0,1.0,0.0,0.0
6,0.059,-1.751,538.38,0.0,-1.0,0.0,0.0
7,-0.395,1.726,1939.33,0.0,-1.0,0.0,0.0
8,0.294,-0.823,228.53,0.0,1.0,0.0,0.0
9,0.743,1.564,402.21,0.0,-1.0,0.0,0.0
10,-0.349,-1.599,498.45,0.0,1.0,0.0,0.0
11,-0.307,1.912,1219.15,0.0,-1.0,0.0,0.0
12,-0.231,1.944,1008.68,0.0,1.0,0.0,0.0
13,2.044,2.845,246.0,0.0,1.0,0.0,0.0
14,1.286,2.117,207.27,0.0,1.0,0.0,0.0
15,2.017,2.375,159.39,0.0,-1.0,0.0,0.0
16,1.489,2.53,1657.85,0.0,1.0,0.0,0.0
17,-0.113,-1.14,2352.41,0.0,1.0,0.0,0.0
18,0.079,-0.221,1710.37,0.0,1.0,0.0,0.0
19,-0.966,2.912,467.2,0.0,1.0,0.0,0.0
20,-0.924,-1.394,2653.98,0.0,1.0,0.0,0.0
21,0.72,2.089,1774.66,0.0,-1.0,0.0,0.0
22,-1.558,2.73,64.84,0.0,1.0,0.0,0.0
23,0.003,-1.596,992.72,0.0,1.0,0.0,0.0
24,0.434,1.344,1949.47,0.0,-1.0,0.0,0.0
25,-1.171,2.612,41.03,0.0,1.0,0.0,0.0
26,0.064,2.603,201.31,0.0,-1.0,0.0,0.0
27,0.455,-1.004,792.6,0.0,1.0,0.0,0.0
28,0.4,-1.632,1123.23,0.0,1.0,0.0,0.0
29,-0.283,-0.581,1648.25,0.0,1.0,0.0,0.0
30,-0.644,2.102,2995.19,0.0,-1.0,0.0,0.0
31,-0.202,-2.0,2615.19,0.0,-1.0,0.0,0.0
32,1.145,2.822,267.84,0.0,-1.0,0.0,0.0
33,0.165,2.571,3644.57,0.0,1.0,0.0,0.0
