,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-0.537,-0.712,2075.47,0.11,1.0,5.0,2221.0,18
1,-0.713,-0.685,143.48,0.11,-1.0,5.0,2221.0,18
2,1.018,-2.451,821.27,0.11,1.0,5.0,821.0,22
3,-1.621,2.074,1028.08,0.11,1.0,5.0,1028.01,42
4,-0.777,-0.661,295.08,0.11,-1.0,3.0,296.0,54
5,-0.118,-2.899,1427.45,0.11,-1.0,6.0,1427.0,68
6,-0.34,-1.499,2357.23,0.11,-1.0,10.0,2357.04,78
7,0.333,2.011,184.52,0.11,1.0,4.0,189.11,83
8,0.611,1.794,1652.54,0.11,-1.0,3.0,1653.0,85
9,-1.724,2.002,1002.83,0.11,-1.0,3.0,1003.0,90
10,-1.466,1.893,296.29,0.11,1.0,6.0,296.01,110
11,1.651,2.24,413.79,0.11,1.0,4.0,416.02,115
12,0.597,2.256,883.01,0.11,1.0,6.0,884.0,123
13,-0.303,-1.465,2509.79,0.11,-1.0,4.0,2585.04,133
14,-0.436,0.461,331.05,0.11,1.0,3.0,331.04,134
15,1.894,1.528,206.12,0.11,-1.0,9.0,207.0,141
16,-0.138,1.59,1033.78,0.11,1.0,4.0,1035.07,145
17,0.414,-1.674,622.99,0.11,1.0,8.0,623.0,154
18,-1.58,2.83,1375.53,0.11,-1.0,9.0,1404.03,160
19,0.403,0.603,918.11,0.11,1.0,8.0,918.01,160
20,1.853,-2.952,1396.86,0.11,1.0,4.0,1397.0,170
21,-1.334,-0.571,1226.05,0.11,-1.0,4.0,1226.0,176
22,-1.196,-1.712,159.75,0.11,1.0,4.0,160.0,183
23,-0.688,1.401,171.52,0.11,1.0,6.0,172.0,201
24,0.922,0.089,384.04,0.11,1.0,6.0,384.0,220
25,0.255,-1.459,698.32,0.11,-1.0,4.0,813.18,221
26,-0.882,1.884,1792.64,0.11,-1.0,3.0,1793.0,240
27,-0.143,-0.536,117.16,0.11,1.0,2.0,118.01,243
28,-0.783,3.072,2300.88,0.11,1.0,6.0,2303.01,288
29,1.166,-0.452,687.79,0.11,-1.0,4.0,693.01,288
30,-0.509,-0.627,169.33,0.11,1.0,6.0,171.0,299
31,-0.314,2.343,901.83,0.11,1.0,3.0,904.0,308
32,0.105,1.407,1705.69,0.11,-1.0,3.0,2043.0,315
33,0.032,1.337,335.16,0.11,1.0,3.0,2041.0,315
34,-0.695,-1.463,324.42,0.11,-1.0,6.0,324.0,318
35,1.395,2.572,442.74,0.11,-1.0,7.0,443.0,326
36,0.813,-1.637,1367.75,0.11,1.0,5.0,1855.04,351
37,0.721,-1.575,484.28,0.11,-1.0,5.0,1858.13,351
38,-1.502,-0.829,86.47,0.11,-1.0,4.0,86.0,367
39,0.452,0.567,824.14,0.11,-1.0,5.0,1244.03,371
40,0.365,0.45,420.01,0.11,1.0,5.0,1244.07,371
41,-0.4,-1.063,177.58,0.11,1.0,10.0,178.0,376
