,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.0,0.838,605.32,0.0,0.0,0.0,0.0
1,0.0,2.486,348.13,0.0,0.0,0.0,0.0
2,0.0,0.818,505.24,0.0,0.0,0.0,0.0
3,0.0,2.777,64.54,0.0,0.0,0.0,0.0
4,0.0,2.053,56.21,0.0,0.0,0.0,0.0
5,0.0,1.152,198.38,0.0,0.0,0.0,0.0
6,0.0,-0.093,522.23,0.0,0.0,0.0,0.0
7,0.0,-0.79,217.93,0.0,0.0,0.0,0.0
8,0.0,-1.779,211.91,0.0,0.0,0.0,0.0
9,0.0,0.296,323.09,0.0,0.0,0.0,0.0
10,0.0,-1.772,1311.92,0.0,0.0,0.0,0.0
11,0.0,2.38,277.7,0.0,0.0,0.0,0.0
12,0.0,-2.442,598.85,0.0,0.0,0.0,0.0
13,0.0,1.628,410.65,0.0,0.0,0.0,0.0
14,0.0,0.429,895.52,0.0,0.0,0.0,0.0
15,0.0,-1.258,955.75,0.0,0.0,0.0,0.0
16,0.0,0.307,737.14,0.0,0.0,0.0,0.0
17,0.0,1.377,902.04,0.0,0.0,0.0,0.0
18,0.0,-0.709,1864.06,0.0,0.0,0.0,0.0
19,0.0,-0.504,721.68,0.0,0.0,0.0,0.0
20,0.0,2.722,42.34,0.0,0.0,0.0,0.0
21,0.0,0.517,367.38,0.0,0.0,0.0,0.0
22,0.0,2.836,181.07,0.0,0.0,0.0,0.0
23,0.0,-2.997,469.38,0.0,0.0,0.0,0.0
24,0.0,1.188,110.68,0.0,0.0,0.0,0.0
25,0.0,-2.571,2067.33,0.0,0.0,0.0,0.0
26,0.0,1.797,122.24,0.0,0.0,0.0,0.0
27,0.0,-2.258,169.04,0.0,0.0,0.0,0.0
28,0.0,0.247,373.81,0.0,0.0,0.0,0.0
29,0.0,2.447,208.12,0.0,0.0,0.0,0.0
30,0.0,1.572,111.38,0.0,0.0,0.0,0.0
31,0.0,0.997,703.94,0.0,0.0,0.0,0.0
32,0.0,-2.731,201.31,0.0,0.0,0.0,0.0
33,0.0,2.645,263.28,0.0,0.0,0.0,0.0
34,0.0,2.767,1396.89,0.0,0.0,0.0,0.0
35,0.0,-0.28,347.73,0.0,0.0,0.0,0.0
36,0.0,0.707,142.97,0.0,0.0,0.0,0.0
37,0.0,1.858,286.2,0.0,0.0,0.0,0.0
38,0.0,-1.703,627.02,0.0,0.0,0.0,0.0
39,0.0,-0.317,176.53,0.0,0.0,0.0,0.0
40,0.0,0.267,151.9,0.0,0.0,0.0,0.0
41,0.0,1.568,137.51,0.0,0.0,0.0,0.0
42,0.0,-1.919,235.0,0.0,0.0,0.0,0.0
43,0.0,-0.579,25.92,0.0,0.0,0.0,0.0
44,0.0,-0.835,1569.44,0.0,0.0,0.0,0.0
45,0.0,0.449,370.24,0.0,0.0,0.0,0.0
46,0.0,-2.317,285.8,0.0,0.0,0.0,0.0
47,0.0,-0.238,752.71,0.0,0.0,0.0,0.0
48,0.0,1.932,53.1,0.0,0.0,0.0,0.0
49,0.0,-2.462,590.69,0.0,0.0,0.0,0.0
50,0.0,-1.525,231.59,0.0,0.0,0.0,0.0
51,0.0,1.199,2268.5,0.0,0.0,0.0,0.0
52,0.0,-0.64,119.1,0.0,0.0,0.0,0.0
53,0.0,2.388,101.67,0.0,0.0,0.0,0.0
54,0.0,-3.141,437.23,0.0,0.0,0.0,0.0
55,0.0,-0.319,88.33,0.0,0.0,0.0,0.0
56,0.0,0.195,53.09,0.0,0.0,0.0,0.0
57,0.0,2.563,275.95,0.0,0.0,0.0,0.0
58,0.0,1.301,143.73,0.0,0.0,0.0,0.0
59,0.0,0.504,196.16,0.0,0.0,0.0,0.0
60,0.0,-0.27,2272.63,0.0,0.0,0.0,0.0
61,0.0,-1.532,128.34,0.0,0.0,0.0,0.0
62,0.0,0.948,283.56,0.0,0.0,0.0,0.0
63,0.0,-0.798,440.97,0.0,0.0,0.0,0.0
64,0.0,3.092,404.63,0.0,0.0,0.0,0.0
65,0.0,-0.343,31.04,0.0,0.0,0.0,0.0
66,0.0,-2.65,1700.67,0.0,0.0,0.0,0.0
67,0.0,2.14,75.79,0.0,0.0,0.0,0.0
68,0.0,-2.761,1970.66,0.0,0.0,0.0,0.0
69,0.0,-1.543,367.59,0.0,0.0,0.0,0.0
70,0.0,-1.332,2038.66,0.0,0.0,0.0,0.0
71,0.0,2.731,545.9,0.0,0.0,0.0,0.0
72,0.0,2.076,1560.04,0.0,0.0,0.0,0.0
73,0.0,1.334,209.5,0.0,0.0,0.0,0.0
74,0.0,-3.015,1258.74,0.0,0.0,0.0,0.0
75,0.0,1.083,45.39,0.0,0.0,0.0,0.0
76,0.0,0.95,548.42,0.0,0.0,0.0,0.0
77,0.0,2.318,78.29,0.0,0.0,0.0,0.0
78,0.0,0.398,1496.44,0.0,0.0,0.0,0.0
