,eta,phi,PT,jmass,ntrk,btag,hadem
0,2.452,3.117,118.57,0.0,1.0,0.0,0.0
1,0.668,1.232,436.41,0.0,-1.0,0.0,0.0
2,-0.027,1.186,1674.14,0.0,-1.0,0.0,0.0
3,-0.896,2.706,1166.84,0.0,1.0,0.0,0.0
4,0.405,-2.789,359.53,0.0,1.0,0.0,0.0
5,-1.061,-0.431,1195.72,0.0,1.0,0.0,0.0
6,0.318,1.828,1277.58,0.0,-1.0,0.0,0.0
7,0.184,0.772,1139.3,0.0,1.0,0.0,0.0
8,-0.367,-2.634,378.64,0.0,1.0,0.0,0.0
9,-1.321,0.129,62.85,0.0,1.0,0.0,0.0
10,-0.423,2.112,948.63,0.0,1.0,0.0,0.0
11,0.386,1.474,3593.45,0.0,-1.0,0.0,0.0
12,1.382,-2.758,142.57,0.0,1.0,0.0,0.0
13,-0.863,2.66,990.59,0.0,-1.0,0.0,0.0
14,0.512,-2.384,2593.23,0.0,1.0,0.0,0.0
15,1.02,2.892,33.09,0.0,1.0,0.0,0.0
16,0.729,-0.733,3214.38,0.0,-1.0,0.0,0.0
17,0.753,-0.962,1540.28,0.0,-1.0,0.0,0.0
18,0.127,2.362,831.44,0.0,1.0,0.0,0.0
19,-1.118,-1.996,762.21,0.0,-1.0,0.0,0.0
20,-0.134,-2.295,2531.96,0.0,-1.0,0.0,0.0
21,-0.134,-2.295,1128.17,0.0,1.0,0.0,0.0
22,-0.194,0.531,3142.33,0.0,1.0,0.0,0.0
23,0.706,1.092,1734.15,0.0,1.0,0.0,0.0
24,-0.436,2.222,1625.0,0.0,1.0,0.0,0.0
25,-1.118,-2.992,104.12,0.0,1.0,0.0,0.0
26,0.849,-2.371,1328.23,0.0,-1.0,0.0,0.0
27,-0.893,-0.269,1840.22,0.0,-1.0,0.0,0.0
28,0.516,-0.477,139.29,0.0,1.0,0.0,0.0
29,-1.385,-0.72,370.62,0.0,1.0,0.0,0.0
30,-1.042,1.725,1460.94,0.0,1.0,0.0,0.0
31,1.419,-1.295,150.79,0.0,1.0,0.0,0.0
32,0.294,-1.913,124.36,0.0,1.0,0.0,0.0
33,-0.845,-2.714,2212.33,0.0,1.0,0.0,0.0
34,0.834,1.59,1249.02,0.0,1.0,0.0,0.0
35,0.557,2.578,1581.99,0.0,1.0,0.0,0.0
36,1.443,-2.247,537.24,0.0,1.0,0.0,0.0
37,-0.519,1.217,2309.06,0.0,1.0,0.0,0.0
38,-1.206,-0.166,1272.44,0.0,-1.0,0.0,0.0
39,-0.113,0.799,48.48,0.0,-1.0,0.0,0.0
40,-1.771,2.827,333.55,0.0,1.0,0.0,0.0
41,0.124,-1.236,1849.05,0.0,-1.0,0.0,0.0
42,-0.369,-2.838,2039.86,0.0,1.0,0.0,0.0
43,-0.791,-0.718,2613.98,0.0,-1.0,0.0,0.0
44,-1.125,-2.12,37.13,0.0,1.0,0.0,0.0
45,-0.399,2.814,607.43,0.0,1.0,0.0,0.0
46,-0.33,-0.716,859.56,0.0,1.0,0.0,0.0
47,-1.21,-2.335,958.95,0.0,1.0,0.0,0.0
48,-1.302,-2.264,609.3,0.0,-1.0,0.0,0.0
49,-0.034,-2.178,2159.15,0.0,1.0,0.0,0.0
50,0.455,-2.48,759.37,0.0,1.0,0.0,0.0
51,1.084,-2.365,87.58,0.0,1.0,0.0,0.0
52,-0.863,1.768,569.9,0.0,1.0,0.0,0.0
53,0.154,-1.944,3568.82,0.0,1.0,0.0,0.0
54,-0.38,2.677,2703.7,0.0,1.0,0.0,0.0
55,-0.876,1.979,1252.55,0.0,1.0,0.0,0.0
56,-0.536,1.056,806.77,0.0,1.0,0.0,0.0
57,-0.158,2.793,679.69,0.0,1.0,0.0,0.0
58,-0.881,2.185,1914.76,0.0,1.0,0.0,0.0
59,-1.855,-1.129,18.52,0.0,1.0,0.0,0.0
60,0.822,0.831,169.43,0.0,1.0,0.0,0.0
61,1.655,2.532,921.18,0.0,-1.0,0.0,0.0
62,0.766,1.412,65.72,0.0,1.0,0.0,0.0
63,0.795,1.94,1102.75,0.0,1.0,0.0,0.0
64,1.245,0.92,96.48,0.0,1.0,0.0,0.0
65,-1.63,2.943,357.66,0.0,-1.0,0.0,0.0
66,0.235,2.257,866.63,0.0,1.0,0.0,0.0
67,1.054,-1.683,589.44,0.0,1.0,0.0,0.0
68,-1.076,1.198,704.19,0.0,1.0,0.0,0.0
69,0.668,2.784,361.79,0.0,1.0,0.0,0.0
70,-0.739,-0.613,253.17,0.0,-1.0,0.0,0.0
71,0.233,-0.571,2133.36,0.0,-1.0,0.0,0.0
72,0.291,2.067,801.26,0.0,1.0,0.0,0.0
73,-0.094,-1.424,1439.96,0.0,1.0,0.0,0.0
74,-0.479,0.015,3571.59,0.0,1.0,0.0,0.0
75,0.62,-2.904,2251.79,0.0,-1.0,0.0,0.0
76,0.342,0.444,361.1,0.0,1.0,0.0,0.0
77,0.52,2.979,720.46,0.0,-1.0,0.0,0.0
78,0.118,2.095,873.4,0.0,-1.0,0.0,0.0
79,-0.735,-0.932,161.38,0.0,-1.0,0.0,0.0
80,-0.759,-0.926,124.87,0.0,1.0,0.0,0.0
81,-0.243,3.141,1207.32,0.0,-1.0,0.0,0.0
82,0.524,-2.485,773.19,0.0,1.0,0.0,0.0
83,-0.702,0.561,1164.63,0.0,1.0,0.0,0.0
84,-1.747,-1.873,386.15,0.0,-1.0,0.0,0.0
85,1.916,0.605,905.9,0.0,1.0,0.0,0.0
86,0.831,-3.05,173.25,0.0,-1.0,0.0,0.0
87,0.233,2.768,1081.7,0.0,1.0,0.0,0.0
88,-0.033,-0.255,185.34,0.0,1.0,0.0,0.0
89,0.35,-0.315,1991.43,0.0,-1.0,0.0,0.0
90,-0.742,1.566,972.53,0.0,-1.0,0.0,0.0
91,-0.019,-1.594,16.18,0.0,1.0,0.0,0.0
92,-0.004,0.243,263.92,0.0,1.0,0.0,0.0
93,0.027,1.683,2827.66,0.0,1.0,0.0,0.0
94,0.333,2.953,510.85,0.0,1.0,0.0,0.0
95,1.281,-0.119,852.54,0.0,1.0,0.0,0.0
96,0.515,-3.059,2640.67,0.0,1.0,0.0,0.0
97,-0.587,2.706,272.56,0.0,-1.0,0.0,0.0
98,0.438,-1.484,1062.46,0.0,-1.0,0.0,0.0
99,-0.364,-0.248,84.59,0.0,1.0,0.0,0.0
100,-2.051,3.001,56.28,0.0,1.0,0.0,0.0
101,0.846,1.429,1476.4,0.0,1.0,0.0,0.0
102,0.485,2.894,571.14,0.0,-1.0,0.0,0.0
103,0.726,-1.728,510.39,0.0,-1.0,0.0,0.0
104,-0.559,-1.44,603.81,0.0,-1.0,0.0,0.0
105,0.618,0.829,980.81,0.0,1.0,0.0,0.0
106,0.09,1.102,2886.97,0.0,1.0,0.0,0.0
107,0.161,1.25,107.57,0.0,-1.0,0.0,0.0
108,0.46,0.376,415.04,0.0,-1.0,0.0,0.0
109,0.436,0.288,822.19,0.0,1.0,0.0,0.0
110,0.415,-1.638,1448.28,0.0,1.0,0.0,0.0
111,0.586,1.894,2116.24,0.0,-1.0,0.0,0.0
112,-0.963,1.138,979.19,0.0,-1.0,0.0,0.0
113,-0.386,0.585,2387.62,0.0,1.0,0.0,0.0
