,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.059,-1.589,1997.22,156.24,34.0,0.0,0.0,0
1,-0.023,1.941,1232.89,228.78,51.0,0.0,1.43,0
2,-0.368,0.614,628.43,45.45,13.0,0.0,0.09,0
3,-1.914,2.512,209.49,39.62,15.0,0.0,0.72,0
4,0.472,-1.34,2558.78,128.21,23.0,0.0,0.13,1
5,-0.04,1.725,1667.59,176.99,25.0,0.0,0.64,1
6,-0.209,0.451,1510.29,36.51,11.0,0.0,2.7,1
7,-0.218,2.956,1189.53,84.34,23.0,0.0,0.93,1
8,0.724,-2.645,390.64,12.85,11.0,1.0,0.55,1
9,1.043,-0.788,153.61,14.45,13.0,0.0,0.15,1
10,-0.652,1.856,77.76,12.11,15.0,0.0,0.11,1
11,1.882,-0.878,24.5,6.04,8.0,1.0,6.84,1
12,0.786,-1.615,2415.97,179.7,18.0,0.0,0.3,2
13,-0.535,2.762,2397.29,91.39,23.0,0.0,1.6,2
14,0.197,0.415,2005.46,218.89,49.0,0.0,0.15,2
15,-0.933,1.236,363.45,3.73,1.0,0.0,1.57,2
16,0.043,1.306,67.54,7.46,5.0,0.0,5.87,2
17,1.489,-1.506,56.63,7.94,5.0,0.0,3.49,2
18,-1.022,3.004,2205.59,58.31,12.0,0.0,1.5,3
19,0.683,0.108,1944.71,178.07,41.0,0.0,0.31,3
20,2.016,-1.073,646.5,32.17,7.0,0.0,1.05,3
21,-0.287,0.925,2473.51,105.57,24.0,0.0,0.45,4
22,1.115,-1.856,1475.32,93.23,18.0,0.0,0.02,4
23,-1.805,-1.706,526.4,27.92,18.0,1.0,1.03,4
24,-0.615,-2.685,429.82,75.05,28.0,0.0,0.73,4
25,0.138,2.587,164.27,45.61,17.0,0.0,2.35,4
26,-0.575,2.525,77.72,12.7,17.0,0.0,0.36,4
27,-1.371,-2.789,62.61,10.23,11.0,0.0,0.0,4
28,-2.255,-2.924,48.18,7.28,4.0,0.0,1.1,4
29,0.308,0.981,1773.66,104.37,23.0,0.0,0.22,5
30,0.792,-2.653,1255.86,240.53,40.0,0.0,0.5,5
31,-0.596,-1.852,662.95,69.0,34.0,0.0,0.7,5
32,0.455,-0.101,567.22,65.24,37.0,0.0,1.71,5
33,-1.835,2.372,511.75,91.48,21.0,0.0,2.46,5
34,0.027,-1.184,492.6,31.81,19.0,0.0,0.16,5
35,1.427,-2.009,301.26,50.66,20.0,0.0,1.71,5
36,-0.552,-2.927,1669.71,66.99,10.0,0.0,2.62,6
37,-0.554,2.627,1033.37,79.27,15.0,1.0,0.79,6
38,0.712,-0.874,127.31,22.51,17.0,0.0,6.79,6
39,-0.933,-1.17,2187.32,146.93,40.0,0.0,4.44,7
40,0.486,2.209,1085.42,52.52,22.0,0.0,0.61,7
41,0.388,2.906,909.73,30.67,10.0,0.0,0.0,7
42,1.677,1.329,717.88,88.83,8.0,1.0,8.1,7
43,-0.064,0.982,646.45,86.53,26.0,1.0,0.1,7
44,2.394,-1.588,66.85,8.0,2.0,0.0,999.9,7
45,-0.551,-2.352,51.68,5.77,1.0,0.0,0.0,7
46,-0.421,-0.976,28.44,3.6,12.0,0.0,4.19,7
47,-0.019,-1.17,2097.73,270.91,44.0,0.0,0.08,8
48,0.377,1.259,2021.95,151.71,42.0,0.0,0.0,8
49,-0.844,-3.019,960.52,177.05,13.0,0.0,0.02,8
50,-0.617,2.103,365.35,98.77,44.0,0.0,1.03,8
51,-2.161,-1.878,267.35,21.79,19.0,0.0,3.56,8
52,0.16,1.934,191.33,26.68,25.0,0.0,0.15,8
53,0.189,2.544,150.36,10.8,11.0,0.0,1.12,8
54,0.068,2.711,1769.34,49.74,20.0,0.0,3.55,9
55,0.299,0.932,1672.15,126.45,34.0,0.0,0.58,9
56,-0.65,-1.902,1417.8,204.37,27.0,0.0,0.85,9
57,0.928,-0.523,1201.12,106.67,21.0,1.0,1.2,9
58,-0.382,-2.342,293.85,8.95,18.0,1.0,0.0,9
59,0.26,-2.291,147.32,15.22,6.0,0.0,4.79,9
60,-2.752,1.191,126.16,9.31,1.0,0.0,7.54,9
61,0.95,-1.99,26.58,4.28,5.0,0.0,0.32,9
62,0.047,0.961,1951.63,199.13,43.0,0.0,0.29,10
63,0.38,-2.876,1066.58,121.14,39.0,0.0,0.37,10
64,1.401,-0.284,166.24,13.37,8.0,1.0,1.37,10
65,-0.356,1.434,158.27,26.98,35.0,0.0,0.0,10
66,1.908,-0.538,109.5,3.04,1.0,0.0,2.54,10
67,1.292,-2.421,101.7,14.03,6.0,0.0,1.03,10
68,-0.602,2.015,35.39,6.32,17.0,0.0,999.9,10
69,1.103,-1.669,28.3,5.21,5.0,0.0,1.57,10
70,0.959,-1.243,1484.13,89.11,21.0,0.0,0.06,11
71,-0.663,-3.118,1360.01,30.58,11.0,0.0,0.34,11
72,-1.234,-0.41,1086.31,64.82,17.0,0.0,0.84,11
73,0.543,1.597,1016.4,83.35,19.0,1.0,2.5,11
74,-0.235,2.073,534.91,80.01,31.0,0.0,0.57,11
75,0.694,0.587,419.95,37.01,11.0,0.0,0.36,11
76,1.349,-0.743,51.55,6.7,11.0,0.0,0.8,11
77,0.543,0.688,3604.24,279.42,71.0,0.0,0.35,12
78,-0.604,-2.569,2378.01,233.6,34.0,0.0,1.09,12
79,-0.129,-2.0,650.39,55.88,20.0,0.0,0.76,12
80,0.449,-2.232,43.16,8.31,10.0,0.0,5.45,12
81,-0.006,-1.8,2911.18,623.26,29.0,0.0,3.06,13
82,0.422,1.512,2094.21,251.66,36.0,0.0,2.85,13
83,0.336,0.215,993.85,63.2,17.0,0.0,1.85,13
84,-0.761,-2.742,865.51,64.96,40.0,0.0,0.29,13
85,0.122,0.99,562.84,71.84,27.0,0.0,0.41,13
86,-1.487,-1.363,94.92,11.06,12.0,0.0,3.19,13
87,-0.394,1.065,77.8,6.18,5.0,0.0,999.9,13
88,1.28,0.495,56.31,12.27,19.0,0.0,0.0,13
89,0.669,0.999,36.98,2.89,28.0,0.0,0.0,13
90,-0.011,0.368,2611.67,53.87,20.0,0.0,0.01,14
91,-0.468,-2.752,1804.12,68.14,22.0,0.0,1.4,14
92,0.552,-2.946,1317.04,136.34,37.0,1.0,0.92,14
93,-0.464,-2.064,533.34,11.9,15.0,0.0,0.52,14
94,0.936,1.458,85.08,18.73,13.0,0.0,1.14,14
95,1.19,2.87,57.88,8.56,10.0,0.0,1.46,14
96,0.227,-2.837,2635.15,99.77,20.0,0.0,0.0,15
