,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.0,1.196,700.44,0.0,0.0,0.0,0.0,0
1,0.0,-3.006,277.39,0.0,0.0,0.0,0.0,1
2,0.0,0.544,388.74,0.0,0.0,0.0,0.0,2
3,0.0,-0.82,43.18,0.0,0.0,0.0,0.0,3
4,0.0,1.427,165.32,0.0,0.0,0.0,0.0,4
5,0.0,1.505,86.26,0.0,0.0,0.0,0.0,5
6,0.0,-0.001,704.08,0.0,0.0,0.0,0.0,6
7,0.0,-0.986,326.12,0.0,0.0,0.0,0.0,7
8,0.0,-1.939,265.08,0.0,0.0,0.0,0.0,8
9,0.0,-0.396,314.3,0.0,0.0,0.0,0.0,9
10,0.0,-1.773,1303.55,0.0,0.0,0.0,0.0,10
11,0.0,1.93,279.53,0.0,0.0,0.0,0.0,11
12,0.0,-2.288,300.07,0.0,0.0,0.0,0.0,12
13,0.0,2.6,215.77,0.0,0.0,0.0,0.0,13
14,0.0,0.391,711.36,0.0,0.0,0.0,0.0,14
15,0.0,-0.771,1623.45,0.0,0.0,0.0,0.0,15
16,0.0,0.207,589.42,0.0,0.0,0.0,0.0,16
17,0.0,1.435,877.73,0.0,0.0,0.0,0.0,17
18,0.0,1.91,293.95,0.0,0.0,0.0,0.0,18
19,0.0,-0.402,664.09,0.0,0.0,0.0,0.0,19
20,0.0,1.227,221.83,0.0,0.0,0.0,0.0,20
21,0.0,0.514,272.27,0.0,0.0,0.0,0.0,21
22,0.0,2.533,108.05,0.0,0.0,0.0,0.0,22
23,0.0,-2.88,445.84,0.0,0.0,0.0,0.0,23
24,0.0,-1.037,24.49,0.0,0.0,0.0,0.0,24
25,0.0,-2.507,2160.02,0.0,0.0,0.0,0.0,25
26,0.0,-2.655,214.89,0.0,0.0,0.0,0.0,26
27,0.0,-2.513,206.29,0.0,0.0,0.0,0.0,27
28,0.0,0.403,308.04,0.0,0.0,0.0,0.0,28
29,0.0,-0.573,248.59,0.0,0.0,0.0,0.0,29
30,0.0,-1.256,77.3,0.0,0.0,0.0,0.0,30
31,0.0,1.067,628.87,0.0,0.0,0.0,0.0,31
32,0.0,-2.959,183.69,0.0,0.0,0.0,0.0,32
33,0.0,2.591,482.97,0.0,0.0,0.0,0.0,33
34,0.0,2.731,1380.51,0.0,0.0,0.0,0.0,34
35,0.0,-0.254,433.66,0.0,0.0,0.0,0.0,35
36,0.0,-2.297,528.32,0.0,0.0,0.0,0.0,36
37,0.0,2.242,400.91,0.0,0.0,0.0,0.0,37
38,0.0,-1.659,617.86,0.0,0.0,0.0,0.0,38
39,0.0,-1.573,132.46,0.0,0.0,0.0,0.0,39
40,0.0,-0.318,257.7,0.0,0.0,0.0,0.0,40
41,0.0,-0.402,119.8,0.0,0.0,0.0,0.0,41
42,0.0,-1.198,1206.32,0.0,0.0,0.0,0.0,42
43,0.0,2.965,126.87,0.0,0.0,0.0,0.0,43
44,0.0,-0.722,1595.15,0.0,0.0,0.0,0.0,44
45,0.0,0.621,546.58,0.0,0.0,0.0,0.0,45
46,0.0,-2.338,259.6,0.0,0.0,0.0,0.0,46
47,0.0,-0.292,802.82,0.0,0.0,0.0,0.0,47
48,0.0,-3.047,66.15,0.0,0.0,0.0,0.0,48
49,0.0,-2.512,521.5,0.0,0.0,0.0,0.0,49
50,0.0,-0.876,297.07,0.0,0.0,0.0,0.0,50
51,0.0,1.234,2216.01,0.0,0.0,0.0,0.0,51
52,0.0,-1.231,101.87,0.0,0.0,0.0,0.0,52
53,0.0,-2.057,213.3,0.0,0.0,0.0,0.0,53
54,0.0,0.159,2431.59,0.0,0.0,0.0,0.0,54
55,0.0,-1.131,127.44,0.0,0.0,0.0,0.0,55
56,0.0,0.44,59.11,0.0,0.0,0.0,0.0,56
57,0.0,2.244,237.71,0.0,0.0,0.0,0.0,57
58,0.0,2.007,252.2,0.0,0.0,0.0,0.0,58
59,0.0,0.035,273.87,0.0,0.0,0.0,0.0,59
60,0.0,-0.245,2378.27,0.0,0.0,0.0,0.0,60
61,0.0,-0.734,395.44,0.0,0.0,0.0,0.0,61
62,0.0,2.512,47.38,0.0,0.0,0.0,0.0,62
63,0.0,0.021,450.73,0.0,0.0,0.0,0.0,63
64,0.0,-3.018,587.3,0.0,0.0,0.0,0.0,64
65,0.0,0.946,111.81,0.0,0.0,0.0,0.0,65
66,0.0,-2.651,1741.48,0.0,0.0,0.0,0.0,66
67,0.0,2.478,235.03,0.0,0.0,0.0,0.0,67
68,0.0,-2.637,639.33,0.0,0.0,0.0,0.0,68
69,0.0,-1.349,435.69,0.0,0.0,0.0,0.0,69
70,0.0,-1.321,3712.51,0.0,0.0,0.0,0.0,70
71,0.0,-3.114,593.31,0.0,0.0,0.0,0.0,71
72,0.0,2.034,1555.29,0.0,0.0,0.0,0.0,72
73,0.0,2.083,134.24,0.0,0.0,0.0,0.0,73
74,0.0,-3.022,1243.34,0.0,0.0,0.0,0.0,74
75,0.0,1.12,225.21,0.0,0.0,0.0,0.0,75
76,0.0,0.87,627.26,0.0,0.0,0.0,0.0,76
77,0.0,2.593,119.1,0.0,0.0,0.0,0.0,77
78,0.0,0.896,2095.49,0.0,0.0,0.0,0.0,78
79,0.0,0.356,127.97,0.0,0.0,0.0,0.0,79
80,0.0,2.463,152.61,0.0,0.0,0.0,0.0,80
81,0.0,-0.232,388.96,0.0,0.0,0.0,0.0,81
82,0.0,0.631,666.25,0.0,0.0,0.0,0.0,82
83,0.0,1.463,1879.94,0.0,0.0,0.0,0.0,83
84,0.0,-2.081,588.89,0.0,0.0,0.0,0.0,84
85,0.0,0.579,72.76,0.0,0.0,0.0,0.0,85
86,0.0,-0.955,241.63,0.0,0.0,0.0,0.0,86
87,0.0,0.278,1557.44,0.0,0.0,0.0,0.0,87
88,0.0,0.653,72.06,0.0,0.0,0.0,0.0,88
89,0.0,-2.443,271.54,0.0,0.0,0.0,0.0,89
90,0.0,-2.066,779.06,0.0,0.0,0.0,0.0,90
91,0.0,-2.831,441.19,0.0,0.0,0.0,0.0,91
92,0.0,-1.169,2227.19,0.0,0.0,0.0,0.0,92
93,0.0,1.066,277.1,0.0,0.0,0.0,0.0,93
94,0.0,0.273,418.21,0.0,0.0,0.0,0.0,94
95,0.0,3.115,425.8,0.0,0.0,0.0,0.0,95
96,0.0,0.039,936.24,0.0,0.0,0.0,0.0,96
97,0.0,-0.229,597.99,0.0,0.0,0.0,0.0,97
98,0.0,-2.763,482.8,0.0,0.0,0.0,0.0,98
99,0.0,1.453,1177.27,0.0,0.0,0.0,0.0,99
100,0.0,1.02,86.27,0.0,0.0,0.0,0.0,100
101,0.0,0.624,1286.48,0.0,0.0,0.0,0.0,101
102,0.0,-2.969,237.93,0.0,0.0,0.0,0.0,102
103,0.0,1.085,1914.71,0.0,0.0,0.0,0.0,103
