,eta,phi,PT,jmass,ntrk,btag,hadem
0,2.452,3.117,113.76,0.0,1.0,0.0,0.0
1,0.668,1.232,432.07,0.0,-1.0,0.0,0.0
2,-0.027,1.186,1667.58,0.0,-1.0,0.0,0.0
3,-0.896,2.706,1177.32,0.0,1.0,0.0,0.0
4,0.405,-2.789,358.5,0.0,1.0,0.0,0.0
5,-0.036,0.154,2496.06,0.0,-1.0,0.0,0.0
6,-1.061,-0.431,1178.32,0.0,1.0,0.0,0.0
7,0.318,1.828,1244.44,0.0,-1.0,0.0,0.0
8,0.189,-2.188,2230.31,0.0,1.0,0.0,0.0
9,0.184,0.772,1159.43,0.0,1.0,0.0,0.0
10,-0.367,-2.634,384.11,0.0,1.0,0.0,0.0
11,-2.423,1.325,203.27,0.0,-1.0,0.0,0.0
12,-1.321,0.129,60.62,0.0,1.0,0.0,0.0
13,0.386,1.474,3576.65,0.0,-1.0,0.0,0.0
14,1.382,-2.758,141.88,0.0,1.0,0.0,0.0
15,-0.863,2.66,1001.28,0.0,-1.0,0.0,0.0
16,-0.624,0.918,441.29,0.0,1.0,0.0,0.0
17,0.729,-0.733,3255.76,0.0,-1.0,0.0,0.0
18,0.985,0.145,239.58,0.0,-1.0,0.0,0.0
19,-1.118,-1.996,747.2,0.0,-1.0,0.0,0.0
20,-0.134,-2.295,1898.28,0.0,-1.0,0.0,0.0
21,-0.134,-2.295,1764.79,0.0,1.0,0.0,0.0
22,-0.657,1.588,311.53,0.0,-1.0,0.0,0.0
23,-0.194,0.531,3164.38,0.0,1.0,0.0,0.0
24,0.706,1.092,1779.39,0.0,1.0,0.0,0.0
25,-1.118,-2.992,105.88,0.0,1.0,0.0,0.0
26,0.849,-2.371,1367.77,0.0,-1.0,0.0,0.0
27,-1.074,-0.402,418.7,0.0,1.0,0.0,0.0
28,0.516,-0.477,136.3,0.0,1.0,0.0,0.0
29,-1.042,1.725,1465.05,0.0,1.0,0.0,0.0
30,1.419,-1.295,158.19,0.0,1.0,0.0,0.0
31,0.294,-1.913,123.39,0.0,1.0,0.0,0.0
32,-0.845,-2.714,2190.93,0.0,1.0,0.0,0.0
33,2.022,0.487,663.03,0.0,-1.0,0.0,0.0
34,0.557,2.578,1567.02,0.0,1.0,0.0,0.0
35,0.148,-1.366,1474.26,0.0,-1.0,0.0,0.0
36,1.443,-2.247,561.22,0.0,1.0,0.0,0.0
37,-0.519,1.217,2291.77,0.0,1.0,0.0,0.0
38,-0.196,0.02,631.39,0.0,-1.0,0.0,0.0
39,-1.206,-0.166,1263.61,0.0,-1.0,0.0,0.0
40,1.694,3.044,235.56,0.0,1.0,0.0,0.0
41,1.247,1.741,1036.87,0.0,1.0,0.0,0.0
42,-1.771,2.827,361.0,0.0,1.0,0.0,0.0
43,0.124,-1.236,1845.76,0.0,-1.0,0.0,0.0
44,-1.125,-2.12,38.02,0.0,1.0,0.0,0.0
45,-0.399,2.814,606.89,0.0,1.0,0.0,0.0
46,-0.33,-0.716,863.65,0.0,1.0,0.0,0.0
47,-1.21,-2.335,1028.88,0.0,1.0,0.0,0.0
48,-1.302,-2.264,619.66,0.0,-1.0,0.0,0.0
49,-0.034,-2.178,2137.37,0.0,1.0,0.0,0.0
50,0.455,-2.48,748.35,0.0,1.0,0.0,0.0
51,1.084,-2.365,89.43,0.0,1.0,0.0,0.0
52,-0.863,1.768,574.23,0.0,1.0,0.0,0.0
53,-0.876,1.979,1305.13,0.0,1.0,0.0,0.0
54,-0.536,1.056,788.71,0.0,1.0,0.0,0.0
55,-0.158,2.793,684.86,0.0,1.0,0.0,0.0
56,0.35,-1.017,932.71,0.0,-1.0,0.0,0.0
57,-1.855,-1.129,17.0,0.0,1.0,0.0,0.0
58,-0.34,1.204,763.86,0.0,1.0,0.0,0.0
59,1.655,2.532,961.08,0.0,-1.0,0.0,0.0
60,-0.94,-1.497,2891.9,0.0,-1.0,0.0,0.0
61,0.766,1.412,66.71,0.0,1.0,0.0,0.0
62,0.795,1.94,1126.99,0.0,1.0,0.0,0.0
63,0.634,-0.032,942.93,0.0,1.0,0.0,0.0
64,0.332,-2.894,497.14,0.0,1.0,0.0,0.0
65,1.245,0.92,95.2,0.0,1.0,0.0,0.0
66,-1.63,2.943,355.11,0.0,-1.0,0.0,0.0
67,0.235,2.257,856.07,0.0,1.0,0.0,0.0
68,-1.39,-0.835,26.71,0.0,-1.0,0.0,0.0
69,1.261,0.676,329.68,0.0,-1.0,0.0,0.0
70,1.054,-1.683,594.5,0.0,1.0,0.0,0.0
71,-1.076,1.198,716.08,0.0,1.0,0.0,0.0
72,0.668,2.784,366.6,0.0,1.0,0.0,0.0
73,-0.469,-0.664,1212.06,0.0,-1.0,0.0,0.0
74,-0.739,-0.613,252.76,0.0,-1.0,0.0,0.0
75,0.291,2.067,794.08,0.0,1.0,0.0,0.0
76,0.342,0.444,364.97,0.0,1.0,0.0,0.0
77,0.52,2.979,733.36,0.0,-1.0,0.0,0.0
78,0.118,2.095,861.49,0.0,-1.0,0.0,0.0
79,-0.735,-0.932,164.2,0.0,-1.0,0.0,0.0
80,-0.243,3.141,1238.65,0.0,-1.0,0.0,0.0
81,0.54,-1.079,1075.67,0.0,-1.0,0.0,0.0
82,0.524,-2.485,758.56,0.0,1.0,0.0,0.0
83,-0.702,0.561,1148.81,0.0,1.0,0.0,0.0
84,-1.747,-1.873,370.74,0.0,-1.0,0.0,0.0
85,0.449,2.774,143.2,0.0,1.0,0.0,0.0
86,1.916,0.605,911.94,0.0,1.0,0.0,0.0
87,-1.482,0.083,1799.47,0.0,1.0,0.0,0.0
88,-0.409,-1.902,1215.53,0.0,1.0,0.0,0.0
89,0.831,-3.05,175.68,0.0,-1.0,0.0,0.0
90,0.233,2.768,1072.72,0.0,1.0,0.0,0.0
91,0.145,-2.931,3462.75,0.0,-1.0,0.0,0.0
92,1.684,-2.267,162.02,0.0,1.0,0.0,0.0
93,-0.033,-0.255,189.52,0.0,1.0,0.0,0.0
94,-0.222,-0.708,2238.53,0.0,1.0,0.0,0.0
95,0.004,2.125,1198.22,0.0,-1.0,0.0,0.0
96,0.341,2.999,267.08,0.0,1.0,0.0,0.0
97,0.35,-0.315,1928.22,0.0,-1.0,0.0,0.0
98,-0.742,1.566,968.37,0.0,-1.0,0.0,0.0
99,-0.019,-1.594,14.8,0.0,1.0,0.0,0.0
100,-0.004,0.243,259.59,0.0,1.0,0.0,0.0
101,0.027,1.683,2810.65,0.0,1.0,0.0,0.0
102,0.333,2.953,515.56,0.0,1.0,0.0,0.0
103,1.281,-0.119,849.79,0.0,1.0,0.0,0.0
104,0.515,-3.059,2619.14,0.0,1.0,0.0,0.0
105,-0.587,2.706,276.18,0.0,-1.0,0.0,0.0
106,0.438,-1.484,1081.79,0.0,-1.0,0.0,0.0
107,-0.364,-0.248,82.95,0.0,1.0,0.0,0.0
108,-2.106,2.775,372.05,0.0,-1.0,0.0,0.0
109,-2.051,3.001,56.65,0.0,1.0,0.0,0.0
110,0.846,1.429,1518.77,0.0,1.0,0.0,0.0
111,-0.398,-0.187,1179.95,0.0,-1.0,0.0,0.0
112,0.726,-1.728,499.32,0.0,-1.0,0.0,0.0
113,0.618,0.829,1010.14,0.0,1.0,0.0,0.0
114,0.09,1.102,2851.68,0.0,1.0,0.0,0.0
115,0.161,1.25,108.17,0.0,-1.0,0.0,0.0
116,0.46,0.376,405.57,0.0,-1.0,0.0,0.0
117,0.415,-1.638,1402.73,0.0,1.0,0.0,0.0
118,0.586,1.894,2092.88,0.0,-1.0,0.0,0.0
119,-0.963,1.138,1011.84,0.0,-1.0,0.0,0.0
120,-1.758,2.694,99.88,0.0,1.0,0.0,0.0
121,1.158,2.177,42.91,0.0,1.0,0.0,0.0
122,-0.267,-0.06,1853.85,0.0,-1.0,0.0,0.0
123,0.073,0.775,1160.63,0.0,1.0,0.0,0.0
124,-0.786,1.888,730.19,0.0,-1.0,0.0,0.0
125,0.912,2.015,1452.57,0.0,-1.0,0.0,0.0
126,0.861,0.954,301.8,0.0,-1.0,0.0,0.0
127,-1.085,-0.223,594.51,0.0,-1.0,0.0,0.0
128,-1.155,-3.003,23.16,0.0,1.0,0.0,0.0
129,0.57,0.6,1214.43,0.0,-1.0,0.0,0.0
130,0.526,-1.375,3124.45,0.0,-1.0,0.0,0.0
131,-0.387,-0.968,2482.25,0.0,1.0,0.0,0.0
132,-1.91,0.758,134.88,0.0,-1.0,0.0,0.0
133,0.666,-0.236,1025.68,0.0,-1.0,0.0,0.0
134,-0.486,-1.077,2049.87,0.0,1.0,0.0,0.0
135,-0.989,2.929,64.34,0.0,1.0,0.0,0.0
136,1.624,2.343,736.13,0.0,-1.0,0.0,0.0
137,0.429,-2.148,785.77,0.0,1.0,0.0,0.0
138,0.346,-0.083,3005.42,0.0,-1.0,0.0,0.0
139,-0.924,1.49,1187.63,0.0,-1.0,0.0,0.0
140,0.15,0.252,2099.94,0.0,1.0,0.0,0.0
141,-0.132,1.115,1879.62,0.0,1.0,0.0,0.0
142,-0.963,-2.391,338.48,0.0,-1.0,0.0,0.0
143,0.511,2.584,949.92,0.0,1.0,0.0,0.0
144,-0.44,-0.705,1180.36,0.0,-1.0,0.0,0.0
145,0.245,1.546,762.81,0.0,-1.0,0.0,0.0
146,0.103,2.776,3819.46,0.0,1.0,0.0,0.0
147,-1.874,0.103,245.76,0.0,1.0,0.0,0.0
148,0.351,-3.137,2366.57,0.0,1.0,0.0,0.0
149,0.434,1.619,3080.66,0.0,1.0,0.0,0.0
150,0.778,1.731,1391.71,0.0,1.0,0.0,0.0
151,1.069,1.003,795.06,0.0,1.0,0.0,0.0
152,-1.243,-0.198,183.44,0.0,1.0,0.0,0.0
153,0.254,0.496,1826.34,0.0,1.0,0.0,0.0
154,-1.417,2.588,1096.79,0.0,-1.0,0.0,0.0
155,1.534,-0.79,20.38,0.0,1.0,0.0,0.0
156,0.135,2.219,837.66,0.0,1.0,0.0,0.0
157,0.996,0.119,247.65,0.0,1.0,0.0,0.0
158,0.554,0.011,1954.32,0.0,-1.0,0.0,0.0
159,-1.135,0.656,322.08,0.0,1.0,0.0,0.0
160,0.007,-2.01,330.0,0.0,1.0,0.0,0.0
161,-0.251,-0.548,748.34,0.0,-1.0,0.0,0.0
162,-1.341,1.034,544.86,0.0,1.0,0.0,0.0
163,0.796,-2.833,57.08,0.0,1.0,0.0,0.0
164,0.652,-0.883,888.21,0.0,1.0,0.0,0.0
165,-0.924,2.495,256.09,0.0,-1.0,0.0,0.0
166,-0.74,-0.039,322.32,0.0,1.0,0.0,0.0
167,-0.261,-0.283,630.29,0.0,-1.0,0.0,0.0
168,-0.98,2.733,1042.9,0.0,1.0,0.0,0.0
169,1.705,2.693,643.41,0.0,-1.0,0.0,0.0
170,0.244,-1.087,1210.81,0.0,-1.0,0.0,0.0
171,0.536,0.345,2056.2,0.0,1.0,0.0,0.0
172,-0.683,2.416,868.44,0.0,-1.0,0.0,0.0
173,0.556,-0.001,2491.39,0.0,1.0,0.0,0.0
174,1.837,-1.394,249.9,0.0,1.0,0.0,0.0
175,-0.847,1.489,1090.41,0.0,1.0,0.0,0.0
176,0.274,2.299,601.38,0.0,-1.0,0.0,0.0
177,1.594,0.789,102.03,0.0,1.0,0.0,0.0
178,0.997,1.257,423.8,0.0,1.0,0.0,0.0
179,1.597,-0.145,58.5,0.0,1.0,0.0,0.0
180,-0.482,-1.662,698.98,0.0,-1.0,0.0,0.0
181,0.473,3.072,139.19,0.0,1.0,0.0,0.0
182,-1.025,-1.244,515.78,0.0,1.0,0.0,0.0
183,-0.724,-1.325,2091.27,0.0,1.0,0.0,0.0
184,-0.094,3.138,214.91,0.0,1.0,0.0,0.0
185,1.755,1.579,116.85,0.0,1.0,0.0,0.0
186,-0.441,2.972,2447.07,0.0,-1.0,0.0,0.0
187,-1.252,-0.861,1414.85,0.0,1.0,0.0,0.0
188,0.75,-1.009,1718.44,0.0,-1.0,0.0,0.0
189,0.619,-0.195,115.35,0.0,-1.0,0.0,0.0
190,-1.356,-1.816,260.8,0.0,1.0,0.0,0.0
191,-0.226,1.073,1938.99,0.0,-1.0,0.0,0.0
192,0.054,0.455,56.09,0.0,1.0,0.0,0.0
193,-0.205,0.011,1393.87,0.0,1.0,0.0,0.0
194,1.227,-0.577,269.03,0.0,1.0,0.0,0.0
195,-0.456,-3.001,1012.53,0.0,-1.0,0.0,0.0
196,-0.236,-2.203,345.73,0.0,-1.0,0.0,0.0
197,-0.075,0.726,1385.62,0.0,1.0,0.0,0.0
198,0.2,0.608,1498.54,0.0,1.0,0.0,0.0
199,-0.171,-1.354,3924.53,0.0,1.0,0.0,0.0
200,-0.356,-0.267,1276.49,0.0,1.0,0.0,0.0
201,1.465,-0.692,629.52,0.0,1.0,0.0,0.0
202,0.282,-2.673,3266.2,0.0,1.0,0.0,0.0
203,0.405,1.186,995.9,0.0,1.0,0.0,0.0
204,-0.403,0.353,2423.16,0.0,1.0,0.0,0.0
205,1.502,1.833,129.59,0.0,1.0,0.0,0.0
206,-0.929,-0.103,892.21,0.0,1.0,0.0,0.0
207,0.184,-0.713,1152.53,0.0,-1.0,0.0,0.0
208,0.927,1.812,558.54,0.0,1.0,0.0,0.0
209,0.856,0.663,317.79,0.0,-1.0,0.0,0.0
210,0.177,0.37,401.83,0.0,1.0,0.0,0.0
211,-1.617,1.945,1394.26,0.0,1.0,0.0,0.0
212,-0.212,-1.892,3364.55,0.0,-1.0,0.0,0.0
213,0.282,0.876,1049.76,0.0,1.0,0.0,0.0
214,-0.132,-1.036,2041.82,0.0,1.0,0.0,0.0
215,-1.202,-1.121,1818.8,0.0,1.0,0.0,0.0
216,-0.767,-1.539,288.89,0.0,1.0,0.0,0.0
217,-0.463,2.475,3423.02,0.0,-1.0,0.0,0.0
218,0.759,-1.978,2094.0,0.0,1.0,0.0,0.0
219,1.089,2.629,194.76,0.0,1.0,0.0,0.0
220,0.528,2.651,323.25,0.0,1.0,0.0,0.0
