,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.055,-1.586,2150.87,164.14,32.0,0.0,0.02
1,-0.024,1.955,1116.21,208.32,45.0,0.0,1.22
2,-0.381,0.623,719.75,48.09,13.0,0.0,3.48
3,-1.902,2.52,201.32,35.54,14.0,0.0,0.5
4,0.473,-1.339,2471.56,126.62,24.0,0.0,0.07
5,-0.036,1.728,1818.09,196.88,28.0,1.0,0.63
6,-0.201,0.44,1532.74,32.48,9.0,0.0,0.22
7,0.718,-2.642,371.92,11.94,12.0,0.0,0.1
8,1.041,-0.782,144.74,12.34,13.0,0.0,0.0
9,-0.616,1.869,98.81,12.53,20.0,1.0,1.62
10,1.911,-0.9,23.51,4.43,7.0,0.0,4.44
11,-0.536,2.751,2395.62,110.46,23.0,1.0,2.42
12,0.784,-1.617,2241.33,157.55,15.0,1.0,0.24
13,0.197,0.415,2009.61,218.78,48.0,0.0,0.31
14,-0.937,1.24,350.97,13.58,1.0,0.0,1.64
15,1.481,-1.485,52.41,7.78,6.0,0.0,0.0
16,0.071,1.294,49.96,6.73,4.0,0.0,4.19
17,-1.011,2.996,2272.47,83.64,14.0,0.0,0.0
18,0.686,0.105,1944.76,181.63,37.0,0.0,0.36
19,2.045,-1.079,605.44,10.66,7.0,0.0,0.01
20,-0.29,0.925,2402.14,101.68,25.0,0.0,0.28
21,1.116,-1.857,1477.09,90.38,20.0,0.0,0.01
22,0.128,-2.424,584.73,9.52,3.0,0.0,0.0
23,-1.806,-1.707,558.14,27.91,21.0,1.0,0.0
24,-0.603,-2.673,416.15,68.75,27.0,1.0,0.44
25,-0.418,2.55,139.05,36.43,18.0,1.0,0.61
26,0.343,2.621,88.21,10.05,15.0,0.0,0.99
27,-1.375,-2.797,72.71,12.07,9.0,0.0,0.22
28,-2.273,-2.928,50.36,7.13,4.0,0.0,1.15
29,0.143,-1.355,25.71,5.36,4.0,1.0,7.71
30,0.302,0.987,1821.82,117.56,23.0,0.0,1.05
31,0.794,-2.661,1248.11,245.06,42.0,0.0,1.09
32,-0.588,-1.853,643.27,70.12,32.0,0.0,0.74
33,0.451,-0.117,615.23,80.15,36.0,1.0,2.63
34,-1.84,2.359,565.77,108.0,20.0,0.0,1.86
35,0.032,-1.183,525.38,27.0,21.0,0.0,1.29
36,1.453,-1.994,271.58,48.47,20.0,0.0,1.32
37,-0.542,-2.926,1823.32,72.49,11.0,0.0,2.71
38,-0.562,2.633,1021.17,81.67,13.0,0.0,0.96
39,0.723,-0.908,143.63,25.07,14.0,0.0,6.65
40,-0.933,-1.159,2136.26,135.68,42.0,0.0,0.23
41,0.478,2.212,1106.82,58.23,21.0,0.0,1.31
42,0.385,2.909,909.06,30.54,11.0,0.0,0.01
43,1.649,1.365,754.78,61.33,9.0,0.0,1.61
44,-0.075,0.965,645.01,83.51,23.0,1.0,0.04
45,2.471,-1.501,74.38,9.43,1.0,0.0,999.9
46,-0.018,-1.17,2092.85,271.48,45.0,0.0,0.09
47,0.377,1.258,2064.96,155.81,40.0,0.0,0.23
48,-0.841,-3.03,961.36,181.9,12.0,0.0,0.21
49,-0.568,2.105,357.98,101.22,44.0,0.0,0.83
50,-2.152,-1.866,269.69,21.57,19.0,1.0,6.31
51,0.175,1.914,189.62,24.05,22.0,0.0,0.25
52,0.194,2.55,117.8,9.17,13.0,1.0,0.0
53,0.043,2.703,1876.76,98.62,18.0,0.0,5.15
54,0.296,0.931,1753.06,136.07,32.0,0.0,0.82
55,-0.642,-1.895,1281.4,177.74,28.0,1.0,0.29
56,0.939,-0.531,1214.73,111.93,22.0,0.0,0.77
57,-0.384,-2.341,304.9,9.06,20.0,0.0,0.0
58,0.262,-2.29,148.52,16.67,6.0,0.0,5.6
59,-2.774,1.196,123.55,10.06,1.0,0.0,8.1
60,0.946,-2.024,26.4,2.84,3.0,1.0,0.81
61,0.049,0.955,1944.37,196.97,43.0,1.0,0.16
62,0.379,-2.874,1071.85,121.87,39.0,0.0,0.49
63,-0.365,1.443,198.43,36.17,30.0,0.0,1.02
64,1.398,-0.281,145.76,8.45,8.0,1.0,0.31
65,1.931,-0.54,120.97,4.51,2.0,0.0,0.0
66,1.285,-2.384,104.42,18.07,9.0,0.0,0.87
67,1.108,-1.579,22.87,4.99,4.0,0.0,0.0
68,0.961,-1.24,1446.35,88.44,24.0,0.0,0.03
69,-0.657,-3.114,1380.04,41.91,10.0,0.0,0.4
70,-1.242,-0.417,1110.8,68.55,17.0,0.0,1.46
71,0.548,1.609,982.62,65.84,19.0,0.0,1.88
72,-0.234,2.075,527.45,81.46,32.0,0.0,0.64
73,0.692,0.59,325.46,20.91,9.0,0.0,0.02
74,1.406,-0.713,57.62,9.91,12.0,0.0,1.67
75,-3.901,2.757,27.27,8.6,0.0,0.0,2.52
76,0.545,0.684,3363.08,267.74,71.0,0.0,0.5
77,-0.584,-2.576,2461.31,242.09,34.0,1.0,2.15
78,-0.131,-1.985,618.57,44.37,22.0,0.0,0.62
79,0.463,-2.239,43.97,8.91,13.0,0.0,1.62
80,-0.563,2.21,23.49,6.06,6.0,0.0,2.21
81,-0.021,-1.814,2647.11,564.44,28.0,0.0,2.43
82,0.43,1.526,2094.83,257.42,36.0,0.0,3.41
83,0.34,0.207,1075.53,52.07,17.0,0.0,0.33
84,-0.756,-2.74,808.66,64.08,43.0,0.0,0.03
85,0.126,0.984,604.19,79.15,29.0,0.0,3.48
