,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-0.507,1.526,124.53,0.11,-1.0,4.0,130.0,2
1,-1.321,-0.775,23.64,0.11,-1.0,2.0,25.0,16
2,-1.565,1.247,434.36,0.11,1.0,6.0,435.01,17
3,0.033,2.167,92.06,0.11,-1.0,5.0,99.2,19
4,1.492,2.304,111.91,0.11,1.0,3.0,115.04,27
5,0.639,2.685,47.83,0.11,1.0,3.0,48.04,43
6,0.664,-2.033,81.26,0.11,-1.0,3.0,82.0,47
7,0.744,0.389,205.18,0.11,1.0,4.0,217.14,48
8,0.528,-0.569,22.64,0.11,-1.0,3.0,24.0,64
9,-1.769,1.318,310.58,0.11,1.0,4.0,313.0,65
10,-0.517,-1.375,104.05,0.11,-1.0,3.0,104.01,65
11,0.913,-1.692,55.44,0.11,-1.0,3.0,56.08,67
12,0.964,-0.613,396.57,0.11,1.0,4.0,401.0,110
13,0.725,-2.561,44.42,0.11,-1.0,3.0,44.0,112
14,-0.885,2.209,206.24,0.11,-1.0,4.0,251.21,121
15,0.793,1.752,66.63,0.11,1.0,4.0,67.0,126
16,0.619,-1.526,39.56,0.11,-1.0,3.0,40.08,134
17,-0.153,-1.502,167.31,0.11,-1.0,4.0,169.08,137
18,0.144,-1.227,206.5,0.11,1.0,6.0,207.0,161
19,-0.205,-2.829,137.82,0.11,1.0,4.0,138.0,163
20,0.163,-0.434,54.72,0.11,-1.0,3.0,55.0,168
21,-0.292,1.055,19.21,0.11,1.0,4.0,20.0,172
22,-0.321,0.748,145.47,0.11,1.0,4.0,153.65,175
23,-0.763,-2.762,17.95,0.11,1.0,3.0,20.0,180
24,1.251,0.555,119.81,0.11,1.0,5.0,120.01,181
25,-0.532,2.512,135.39,0.11,-1.0,3.0,139.04,193
26,1.059,-2.457,62.07,0.11,1.0,3.0,67.09,200
27,-0.678,0.602,572.19,0.11,1.0,3.0,613.11,203
28,1.107,-0.665,299.17,0.11,1.0,4.0,304.02,205
29,-0.747,-0.739,100.79,0.11,-1.0,6.0,109.07,213
30,0.706,-2.918,84.07,0.11,1.0,3.0,94.03,220
31,-0.832,-0.145,207.28,0.11,-1.0,3.0,209.02,232
32,-0.78,0.707,130.7,0.11,-1.0,5.0,131.09,236
33,0.961,2.495,486.79,0.11,1.0,5.0,487.0,239
34,1.582,-0.937,50.45,0.11,-1.0,3.0,60.12,257
35,1.216,0.949,141.26,0.11,1.0,5.0,141.0,260
36,-0.146,-0.286,168.91,0.11,1.0,4.0,169.05,261
37,-0.878,1.361,24.81,0.11,-1.0,4.0,25.06,274
38,1.401,-1.844,142.42,0.11,-1.0,3.0,146.0,277
39,-0.329,1.775,334.0,0.11,-1.0,3.0,337.0,278
40,-0.223,-0.403,225.78,0.11,-1.0,3.0,229.06,285
41,0.773,-1.044,208.8,0.11,1.0,3.0,211.0,301
42,0.827,-2.224,342.12,0.11,-1.0,4.0,381.16,306
43,0.273,1.194,219.38,0.11,-1.0,3.0,250.25,318
44,0.336,1.309,483.94,0.11,-1.0,3.0,492.01,320
45,0.056,0.761,12.35,0.11,1.0,2.0,13.0,350
46,1.821,1.541,174.83,0.11,-1.0,3.0,181.06,359
47,-0.225,0.364,104.1,0.11,1.0,3.0,109.08,360
48,0.707,1.387,124.35,0.11,-1.0,7.0,127.0,385
49,0.471,-2.605,123.76,0.11,-1.0,3.0,127.08,393
50,0.052,-0.689,143.15,0.11,-1.0,4.0,159.11,400
51,0.126,-0.434,348.82,0.11,1.0,4.0,351.03,407
52,-1.023,-3.131,243.29,0.11,-1.0,3.0,266.14,408
53,-1.517,2.33,227.56,0.11,-1.0,5.0,292.44,420
54,0.872,-1.838,334.61,0.11,-1.0,3.0,335.02,431
55,-0.364,-1.315,12.99,0.11,-1.0,3.0,13.0,443
56,-0.607,-0.559,106.68,0.11,-1.0,5.0,113.11,445
57,0.391,2.529,57.28,0.11,-1.0,4.0,58.0,452
58,0.389,0.948,41.5,0.11,-1.0,4.0,41.0,505
59,-0.472,2.421,57.39,0.11,1.0,3.0,60.21,508
60,-1.892,1.891,68.91,0.11,-1.0,3.0,71.0,510
61,-0.226,1.959,210.54,0.11,-1.0,3.0,211.11,528
62,-0.161,-0.626,493.46,0.11,1.0,4.0,494.0,532
63,0.779,1.072,476.7,0.11,-1.0,4.0,480.0,554
64,0.638,2.262,405.48,0.11,-1.0,3.0,407.01,584
65,1.334,0.85,196.18,0.11,1.0,4.0,202.13,590
66,1.302,3.048,110.32,0.11,-1.0,3.0,112.06,601
67,-0.085,-1.498,458.48,0.11,-1.0,4.0,507.08,608
68,-0.641,-2.326,344.46,0.11,-1.0,4.0,348.01,619
69,-0.099,-3.021,330.38,0.11,-1.0,7.0,333.01,629
70,0.452,-2.545,111.98,0.11,1.0,2.0,112.01,635
71,0.387,3.024,31.45,0.11,-1.0,2.0,31.0,640
72,2.057,-1.82,14.46,0.11,-1.0,4.0,14.06,642
73,0.311,0.252,16.54,0.11,1.0,4.0,17.0,667
74,-0.087,1.423,174.18,0.11,1.0,7.0,182.06,687
75,1.185,-0.741,127.01,0.11,1.0,3.0,132.04,762
76,-0.552,-0.573,384.45,0.11,-1.0,3.0,384.04,764
77,-0.074,-1.084,14.96,0.11,1.0,3.0,15.0,769
78,0.387,0.246,216.2,0.11,1.0,3.0,218.05,770
79,-0.754,-2.866,48.32,0.11,1.0,2.0,48.08,771
80,1.313,-0.891,225.39,0.11,-1.0,5.0,226.0,772
81,-0.697,1.561,53.49,0.11,-1.0,5.0,56.05,780
82,0.599,0.569,88.98,0.11,-1.0,4.0,96.09,783
83,0.453,1.854,25.18,0.11,-1.0,3.0,26.0,792
84,-0.059,0.75,452.25,0.11,-1.0,4.0,461.07,793
85,0.931,-0.035,317.22,0.11,1.0,3.0,318.02,801
86,2.267,2.923,31.83,0.11,-1.0,3.0,32.0,808
87,0.353,0.202,267.18,0.11,-1.0,2.0,287.04,809
88,0.738,-0.88,233.51,0.11,1.0,4.0,258.19,825
89,-0.047,0.59,403.58,0.11,1.0,3.0,409.02,880
90,-0.541,-2.889,80.41,0.11,-1.0,3.0,80.0,907
91,-0.902,-1.48,260.42,0.11,-1.0,2.0,334.07,915
92,1.35,0.167,52.44,0.11,-1.0,3.0,52.03,920
93,-1.487,-0.41,386.32,0.11,1.0,4.0,387.01,921
94,0.312,-0.322,82.27,0.11,1.0,3.0,82.0,942
95,-0.907,1.109,175.98,0.11,-1.0,3.0,176.1,944
96,-0.493,-1.273,242.29,0.11,1.0,5.0,244.0,946
97,0.763,-0.896,33.46,0.11,-1.0,3.0,34.0,964
98,0.004,1.103,201.8,0.11,-1.0,6.0,213.02,966
99,0.056,2.778,69.06,0.11,1.0,3.0,73.0,986
100,-0.435,2.654,158.48,0.11,-1.0,4.0,159.05,999
101,-2.221,-0.618,16.61,0.11,1.0,7.0,17.05,1016
102,0.114,0.171,123.6,0.11,-1.0,3.0,124.0,1041
103,0.347,-1.558,182.33,0.11,1.0,4.0,186.02,1054
104,0.641,-2.0,15.86,0.11,-1.0,3.0,16.19,1059
105,0.073,-2.384,281.75,0.11,-1.0,3.0,283.0,1076
106,-1.189,0.466,30.51,0.11,-1.0,2.0,35.04,1078
107,-1.543,-2.627,281.6,0.11,1.0,3.0,300.07,1092
108,1.564,-1.157,315.64,0.11,-1.0,3.0,322.05,1119
109,0.423,2.316,29.13,0.11,-1.0,3.0,34.0,1126
110,0.068,-0.205,313.25,0.11,-1.0,3.0,315.03,1137
111,-0.835,-0.628,215.87,0.11,-1.0,3.0,216.0,1169
112,-2.002,3.135,221.5,0.11,-1.0,6.0,228.14,1197
113,-0.205,-1.157,112.3,0.11,1.0,3.0,115.12,1227
114,0.188,-2.43,41.2,0.11,-1.0,3.0,42.0,1232
115,-0.556,-0.85,442.91,0.11,1.0,5.0,520.22,1247
116,0.863,-1.726,10.34,0.11,-1.0,4.0,11.0,1262
