,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.0,1.519,51.59,0.0,0.0,0.0,0.0
1,0.0,-0.797,251.24,0.0,0.0,0.0,0.0
2,0.0,1.531,328.08,0.0,0.0,0.0,0.0
3,0.0,2.126,403.82,0.0,0.0,0.0,0.0
4,0.0,-1.887,25.52,0.0,0.0,0.0,0.0
5,0.0,-2.908,72.68,0.0,0.0,0.0,0.0
6,0.0,1.959,38.04,0.0,0.0,0.0,0.0
7,0.0,-1.658,68.25,0.0,0.0,0.0,0.0
8,0.0,-2.983,349.5,0.0,0.0,0.0,0.0
9,0.0,-1.188,161.21,0.0,0.0,0.0,0.0
10,0.0,-1.07,22.11,0.0,0.0,0.0,0.0
11,0.0,-0.898,123.23,0.0,0.0,0.0,0.0
12,0.0,-2.567,94.68,0.0,0.0,0.0,0.0
13,0.0,2.618,28.73,0.0,0.0,0.0,0.0
14,0.0,-0.097,27.9,0.0,0.0,0.0,0.0
15,0.0,2.651,37.9,0.0,0.0,0.0,0.0
16,0.0,-1.808,16.43,0.0,0.0,0.0,0.0
17,0.0,1.519,141.97,0.0,0.0,0.0,0.0
18,0.0,-0.18,326.75,0.0,0.0,0.0,0.0
19,0.0,1.866,311.21,0.0,0.0,0.0,0.0
20,0.0,1.95,282.68,0.0,0.0,0.0,0.0
21,0.0,0.186,584.5,0.0,0.0,0.0,0.0
22,0.0,1.003,93.05,0.0,0.0,0.0,0.0
23,0.0,-2.89,65.07,0.0,0.0,0.0,0.0
24,0.0,2.992,94.81,0.0,0.0,0.0,0.0
25,0.0,-1.671,106.81,0.0,0.0,0.0,0.0
26,0.0,-0.825,87.37,0.0,0.0,0.0,0.0
27,0.0,2.527,329.18,0.0,0.0,0.0,0.0
28,0.0,-1.623,433.62,0.0,0.0,0.0,0.0
29,0.0,-1.545,103.56,0.0,0.0,0.0,0.0
30,0.0,3.031,238.86,0.0,0.0,0.0,0.0
31,0.0,1.855,39.82,0.0,0.0,0.0,0.0
32,0.0,1.58,140.49,0.0,0.0,0.0,0.0
33,0.0,-0.013,245.65,0.0,0.0,0.0,0.0
34,0.0,-1.86,58.76,0.0,0.0,0.0,0.0
35,0.0,1.895,109.82,0.0,0.0,0.0,0.0
36,0.0,-1.514,23.94,0.0,0.0,0.0,0.0
37,0.0,2.481,484.37,0.0,0.0,0.0,0.0
38,0.0,-0.94,299.16,0.0,0.0,0.0,0.0
39,0.0,-0.202,74.35,0.0,0.0,0.0,0.0
40,0.0,-0.345,91.68,0.0,0.0,0.0,0.0
41,0.0,0.376,24.65,0.0,0.0,0.0,0.0
42,0.0,-2.194,57.38,0.0,0.0,0.0,0.0
43,0.0,2.384,252.16,0.0,0.0,0.0,0.0
44,0.0,-0.487,126.31,0.0,0.0,0.0,0.0
45,0.0,-2.198,189.08,0.0,0.0,0.0,0.0
46,0.0,-0.122,142.03,0.0,0.0,0.0,0.0
47,0.0,-2.326,327.98,0.0,0.0,0.0,0.0
48,0.0,0.053,124.57,0.0,0.0,0.0,0.0
49,0.0,2.671,118.7,0.0,0.0,0.0,0.0
50,0.0,-2.548,26.19,0.0,0.0,0.0,0.0
51,0.0,-0.672,46.42,0.0,0.0,0.0,0.0
52,0.0,-2.127,320.39,0.0,0.0,0.0,0.0
53,0.0,0.484,341.78,0.0,0.0,0.0,0.0
54,0.0,2.61,13.29,0.0,0.0,0.0,0.0
55,0.0,-1.276,60.13,0.0,0.0,0.0,0.0
56,0.0,2.317,71.23,0.0,0.0,0.0,0.0
57,0.0,-2.363,131.5,0.0,0.0,0.0,0.0
58,0.0,0.694,1.18,0.0,0.0,0.0,0.0
59,0.0,-2.285,16.27,0.0,0.0,0.0,0.0
60,0.0,-1.195,25.83,0.0,0.0,0.0,0.0
61,0.0,2.533,188.04,0.0,0.0,0.0,0.0
62,0.0,2.897,99.72,0.0,0.0,0.0,0.0
63,0.0,2.941,197.62,0.0,0.0,0.0,0.0
64,0.0,-0.282,202.14,0.0,0.0,0.0,0.0
65,0.0,-1.061,95.74,0.0,0.0,0.0,0.0
66,0.0,-1.252,166.03,0.0,0.0,0.0,0.0
67,0.0,-2.621,157.41,0.0,0.0,0.0,0.0
68,0.0,0.169,141.02,0.0,0.0,0.0,0.0
69,0.0,-2.541,360.35,0.0,0.0,0.0,0.0
70,0.0,0.759,186.06,0.0,0.0,0.0,0.0
71,0.0,-1.124,28.24,0.0,0.0,0.0,0.0
72,0.0,-1.41,84.47,0.0,0.0,0.0,0.0
73,0.0,3.062,52.23,0.0,0.0,0.0,0.0
74,0.0,0.214,261.52,0.0,0.0,0.0,0.0
75,0.0,2.838,123.33,0.0,0.0,0.0,0.0
76,0.0,2.899,102.09,0.0,0.0,0.0,0.0
77,0.0,-2.956,69.77,0.0,0.0,0.0,0.0
78,0.0,-2.266,181.06,0.0,0.0,0.0,0.0
79,0.0,-0.951,150.58,0.0,0.0,0.0,0.0
80,0.0,-0.084,44.93,0.0,0.0,0.0,0.0
81,0.0,-2.95,137.51,0.0,0.0,0.0,0.0
82,0.0,-0.469,52.89,0.0,0.0,0.0,0.0
83,0.0,-0.821,78.3,0.0,0.0,0.0,0.0
84,0.0,-1.576,241.66,0.0,0.0,0.0,0.0
85,0.0,-2.21,118.52,0.0,0.0,0.0,0.0
86,0.0,2.456,106.06,0.0,0.0,0.0,0.0
87,0.0,-1.754,216.82,0.0,0.0,0.0,0.0
