,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.0,-0.503,1216.18,0.0,0.0,0.0,0.0,0
1,0.0,0.234,329.03,0.0,0.0,0.0,0.0,1
2,0.0,-2.424,1332.07,0.0,0.0,0.0,0.0,2
3,0.0,-3.008,414.31,0.0,0.0,0.0,0.0,3
4,0.0,-1.018,627.79,0.0,0.0,0.0,0.0,4
5,0.0,3.0,1279.75,0.0,0.0,0.0,0.0,5
6,0.0,-0.44,479.83,0.0,0.0,0.0,0.0,6
7,0.0,0.874,1459.94,0.0,0.0,0.0,0.0,7
8,0.0,0.951,372.3,0.0,0.0,0.0,0.0,8
9,0.0,-2.905,695.62,0.0,0.0,0.0,0.0,9
10,0.0,-1.789,1165.75,0.0,0.0,0.0,0.0,10
11,0.0,2.113,513.53,0.0,0.0,0.0,0.0,11
12,0.0,2.296,1028.56,0.0,0.0,0.0,0.0,12
13,0.0,2.158,161.13,0.0,0.0,0.0,0.0,13
14,0.0,-2.7,1233.1,0.0,0.0,0.0,0.0,14
15,0.0,1.095,538.94,0.0,0.0,0.0,0.0,15
16,0.0,-0.172,330.76,0.0,0.0,0.0,0.0,16
17,0.0,1.153,1543.9,0.0,0.0,0.0,0.0,17
18,0.0,-0.386,501.54,0.0,0.0,0.0,0.0,18
19,0.0,1.365,273.36,0.0,0.0,0.0,0.0,19
20,0.0,2.642,246.1,0.0,0.0,0.0,0.0,20
21,0.0,-0.556,879.86,0.0,0.0,0.0,0.0,21
22,0.0,0.537,633.9,0.0,0.0,0.0,0.0,22
23,0.0,-2.581,1281.8,0.0,0.0,0.0,0.0,23
24,0.0,-2.838,438.49,0.0,0.0,0.0,0.0,24
25,0.0,-2.412,501.1,0.0,0.0,0.0,0.0,25
26,0.0,0.573,903.58,0.0,0.0,0.0,0.0,26
27,0.0,0.382,1672.18,0.0,0.0,0.0,0.0,27
28,0.0,-0.887,702.21,0.0,0.0,0.0,0.0,28
29,0.0,-1.102,194.37,0.0,0.0,0.0,0.0,29
30,0.0,-1.171,1111.32,0.0,0.0,0.0,0.0,30
31,0.0,-3.091,328.53,0.0,0.0,0.0,0.0,31
32,0.0,-1.243,429.51,0.0,0.0,0.0,0.0,32
33,0.0,0.264,546.15,0.0,0.0,0.0,0.0,33
34,0.0,-0.075,595.58,0.0,0.0,0.0,0.0,34
35,0.0,-0.103,1725.58,0.0,0.0,0.0,0.0,35
36,0.0,-0.569,338.09,0.0,0.0,0.0,0.0,36
37,0.0,1.289,514.14,0.0,0.0,0.0,0.0,37
38,0.0,1.899,375.71,0.0,0.0,0.0,0.0,38
39,0.0,-1.845,561.34,0.0,0.0,0.0,0.0,39
40,0.0,0.337,258.81,0.0,0.0,0.0,0.0,40
41,0.0,-1.003,496.54,0.0,0.0,0.0,0.0,41
42,0.0,2.331,1019.11,0.0,0.0,0.0,0.0,42
43,0.0,-0.599,1061.54,0.0,0.0,0.0,0.0,43
44,0.0,-2.058,899.31,0.0,0.0,0.0,0.0,44
45,0.0,0.12,510.96,0.0,0.0,0.0,0.0,45
46,0.0,1.559,560.47,0.0,0.0,0.0,0.0,46
47,0.0,1.609,482.63,0.0,0.0,0.0,0.0,47
48,0.0,0.477,551.45,0.0,0.0,0.0,0.0,48
49,0.0,2.019,186.47,0.0,0.0,0.0,0.0,49
50,0.0,-2.641,538.14,0.0,0.0,0.0,0.0,50
51,0.0,1.153,281.44,0.0,0.0,0.0,0.0,51
52,0.0,-2.794,903.8,0.0,0.0,0.0,0.0,52
53,0.0,0.005,451.61,0.0,0.0,0.0,0.0,53
54,0.0,-0.762,224.98,0.0,0.0,0.0,0.0,54
55,0.0,-0.677,1102.22,0.0,0.0,0.0,0.0,55
56,0.0,0.411,172.96,0.0,0.0,0.0,0.0,56
57,0.0,-2.199,574.71,0.0,0.0,0.0,0.0,57
58,0.0,2.664,241.28,0.0,0.0,0.0,0.0,58
59,0.0,2.577,981.39,0.0,0.0,0.0,0.0,59
60,0.0,2.857,854.79,0.0,0.0,0.0,0.0,60
61,0.0,-0.7,305.83,0.0,0.0,0.0,0.0,61
62,0.0,2.638,1025.35,0.0,0.0,0.0,0.0,62
63,0.0,2.736,165.88,0.0,0.0,0.0,0.0,63
64,0.0,2.43,569.51,0.0,0.0,0.0,0.0,64
65,0.0,0.428,1299.26,0.0,0.0,0.0,0.0,65
66,0.0,-0.769,614.65,0.0,0.0,0.0,0.0,66
67,0.0,-1.994,899.63,0.0,0.0,0.0,0.0,67
68,0.0,2.323,186.4,0.0,0.0,0.0,0.0,68
69,0.0,-1.596,670.41,0.0,0.0,0.0,0.0,69
70,0.0,2.873,208.56,0.0,0.0,0.0,0.0,70
71,0.0,2.538,431.04,0.0,0.0,0.0,0.0,71
72,0.0,-3.11,490.93,0.0,0.0,0.0,0.0,72
73,0.0,-0.894,759.79,0.0,0.0,0.0,0.0,73
74,0.0,2.374,1037.69,0.0,0.0,0.0,0.0,74
75,0.0,-1.492,801.01,0.0,0.0,0.0,0.0,75
76,0.0,-2.859,634.5,0.0,0.0,0.0,0.0,76
77,0.0,-0.885,112.1,0.0,0.0,0.0,0.0,77
78,0.0,1.668,710.29,0.0,0.0,0.0,0.0,78
79,0.0,0.103,371.94,0.0,0.0,0.0,0.0,79
80,0.0,2.108,613.28,0.0,0.0,0.0,0.0,80
81,0.0,-2.809,662.78,0.0,0.0,0.0,0.0,81
82,0.0,2.324,280.64,0.0,0.0,0.0,0.0,82
83,0.0,-0.023,775.65,0.0,0.0,0.0,0.0,83
84,0.0,-1.987,1276.89,0.0,0.0,0.0,0.0,84
85,0.0,0.678,377.07,0.0,0.0,0.0,0.0,85
86,0.0,1.352,1538.74,0.0,0.0,0.0,0.0,86
87,0.0,3.041,467.27,0.0,0.0,0.0,0.0,87
88,0.0,1.63,783.95,0.0,0.0,0.0,0.0,88
89,0.0,-0.629,993.64,0.0,0.0,0.0,0.0,89
90,0.0,-0.325,403.92,0.0,0.0,0.0,0.0,90
91,0.0,-0.525,679.48,0.0,0.0,0.0,0.0,91
92,0.0,-0.063,242.75,0.0,0.0,0.0,0.0,92
93,0.0,2.547,542.8,0.0,0.0,0.0,0.0,93
94,0.0,-0.572,558.03,0.0,0.0,0.0,0.0,94
95,0.0,-0.581,956.22,0.0,0.0,0.0,0.0,95
96,0.0,-0.628,724.86,0.0,0.0,0.0,0.0,96
97,0.0,-2.482,504.07,0.0,0.0,0.0,0.0,97
98,0.0,-1.655,519.21,0.0,0.0,0.0,0.0,98
99,0.0,2.974,783.81,0.0,0.0,0.0,0.0,99
100,0.0,-2.097,1024.9,0.0,0.0,0.0,0.0,100
101,0.0,1.976,588.86,0.0,0.0,0.0,0.0,101
102,0.0,0.48,990.85,0.0,0.0,0.0,0.0,102
103,0.0,-2.775,360.7,0.0,0.0,0.0,0.0,103
104,0.0,2.928,903.89,0.0,0.0,0.0,0.0,104
105,0.0,0.704,1222.6,0.0,0.0,0.0,0.0,105
106,0.0,1.938,766.7,0.0,0.0,0.0,0.0,106
107,0.0,1.629,764.07,0.0,0.0,0.0,0.0,107
108,0.0,2.562,931.03,0.0,0.0,0.0,0.0,108
109,0.0,-1.319,203.73,0.0,0.0,0.0,0.0,109
110,0.0,2.437,457.27,0.0,0.0,0.0,0.0,110
111,0.0,0.712,366.75,0.0,0.0,0.0,0.0,111
112,0.0,1.719,591.25,0.0,0.0,0.0,0.0,112
113,0.0,1.871,195.23,0.0,0.0,0.0,0.0,113
114,0.0,-3.138,563.82,0.0,0.0,0.0,0.0,114
115,0.0,-0.103,340.66,0.0,0.0,0.0,0.0,115
116,0.0,-0.112,1411.19,0.0,0.0,0.0,0.0,116
117,0.0,-2.52,303.83,0.0,0.0,0.0,0.0,117
118,0.0,-1.231,331.11,0.0,0.0,0.0,0.0,118
119,0.0,1.209,197.08,0.0,0.0,0.0,0.0,119
120,0.0,1.176,280.82,0.0,0.0,0.0,0.0,120
121,0.0,-2.155,423.83,0.0,0.0,0.0,0.0,121
122,0.0,2.596,1100.77,0.0,0.0,0.0,0.0,122
123,0.0,-0.062,571.69,0.0,0.0,0.0,0.0,123
124,0.0,1.856,570.66,0.0,0.0,0.0,0.0,124
125,0.0,2.95,679.26,0.0,0.0,0.0,0.0,125
126,0.0,-1.076,736.73,0.0,0.0,0.0,0.0,126
127,0.0,0.771,897.55,0.0,0.0,0.0,0.0,127
128,0.0,-0.203,985.99,0.0,0.0,0.0,0.0,128
129,0.0,1.515,391.5,0.0,0.0,0.0,0.0,129
130,0.0,3.065,1856.17,0.0,0.0,0.0,0.0,130
131,0.0,-1.466,1180.75,0.0,0.0,0.0,0.0,131
132,0.0,2.857,861.82,0.0,0.0,0.0,0.0,132
133,0.0,-0.251,539.66,0.0,0.0,0.0,0.0,133
134,0.0,0.197,587.39,0.0,0.0,0.0,0.0,134
135,0.0,-2.11,1235.76,0.0,0.0,0.0,0.0,135
136,0.0,2.759,570.08,0.0,0.0,0.0,0.0,136
137,0.0,2.68,700.48,0.0,0.0,0.0,0.0,137
138,0.0,-1.237,224.84,0.0,0.0,0.0,0.0,138
139,0.0,-2.958,247.76,0.0,0.0,0.0,0.0,139
140,0.0,1.231,1237.55,0.0,0.0,0.0,0.0,140
141,0.0,2.292,462.12,0.0,0.0,0.0,0.0,141
142,0.0,2.335,1258.2,0.0,0.0,0.0,0.0,142
143,0.0,0.397,871.58,0.0,0.0,0.0,0.0,143
144,0.0,0.981,681.17,0.0,0.0,0.0,0.0,144
145,0.0,0.408,545.98,0.0,0.0,0.0,0.0,145
146,0.0,0.097,1192.64,0.0,0.0,0.0,0.0,146
147,0.0,-1.611,1461.8,0.0,0.0,0.0,0.0,147
148,0.0,0.113,1169.15,0.0,0.0,0.0,0.0,148
149,0.0,2.892,1217.99,0.0,0.0,0.0,0.0,149
150,0.0,-2.905,475.43,0.0,0.0,0.0,0.0,150
151,0.0,-2.91,1748.92,0.0,0.0,0.0,0.0,151
152,0.0,0.369,1393.12,0.0,0.0,0.0,0.0,152
153,0.0,2.243,596.89,0.0,0.0,0.0,0.0,153
154,0.0,0.176,545.22,0.0,0.0,0.0,0.0,154
155,0.0,1.774,150.43,0.0,0.0,0.0,0.0,155
156,0.0,-2.324,352.43,0.0,0.0,0.0,0.0,156
157,0.0,2.203,1811.47,0.0,0.0,0.0,0.0,157
158,0.0,0.883,1412.01,0.0,0.0,0.0,0.0,158
159,0.0,-0.849,775.87,0.0,0.0,0.0,0.0,159
160,0.0,0.657,263.36,0.0,0.0,0.0,0.0,160
161,0.0,1.621,436.62,0.0,0.0,0.0,0.0,161
162,0.0,1.373,488.83,0.0,0.0,0.0,0.0,162
163,0.0,-3.001,153.22,0.0,0.0,0.0,0.0,163
164,0.0,1.656,918.51,0.0,0.0,0.0,0.0,164
165,0.0,1.495,696.33,0.0,0.0,0.0,0.0,165
166,0.0,2.196,177.55,0.0,0.0,0.0,0.0,166
167,0.0,-2.097,832.17,0.0,0.0,0.0,0.0,167
168,0.0,2.369,677.66,0.0,0.0,0.0,0.0,168
169,0.0,-2.571,629.53,0.0,0.0,0.0,0.0,169
170,0.0,0.578,1456.78,0.0,0.0,0.0,0.0,170
171,0.0,2.669,709.4,0.0,0.0,0.0,0.0,171
172,0.0,2.677,397.68,0.0,0.0,0.0,0.0,172
