,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.0,-2.17,515.33,0.0,0.0,0.0,0.0,0
1,0.0,2.594,555.73,0.0,0.0,0.0,0.0,1
2,0.0,1.877,1029.79,0.0,0.0,0.0,0.0,2
3,0.0,2.007,1455.31,0.0,0.0,0.0,0.0,3
4,0.0,-2.933,195.76,0.0,0.0,0.0,0.0,4
5,0.0,1.119,1344.1,0.0,0.0,0.0,0.0,5
6,0.0,-2.141,821.08,0.0,0.0,0.0,0.0,6
7,0.0,1.942,1342.55,0.0,0.0,0.0,0.0,7
8,0.0,0.756,1041.75,0.0,0.0,0.0,0.0,8
9,0.0,0.31,514.18,0.0,0.0,0.0,0.0,9
10,0.0,-1.581,1132.54,0.0,0.0,0.0,0.0,10
11,0.0,1.078,889.47,0.0,0.0,0.0,0.0,11
12,0.0,1.523,850.48,0.0,0.0,0.0,0.0,12
13,0.0,1.686,339.48,0.0,0.0,0.0,0.0,13
14,0.0,-0.686,552.4,0.0,0.0,0.0,0.0,14
15,0.0,0.469,1195.62,0.0,0.0,0.0,0.0,15
16,0.0,-3.025,700.33,0.0,0.0,0.0,0.0,16
17,0.0,-1.31,1012.17,0.0,0.0,0.0,0.0,17
18,0.0,2.43,357.78,0.0,0.0,0.0,0.0,18
19,0.0,2.823,1793.84,0.0,0.0,0.0,0.0,19
20,0.0,0.278,1192.53,0.0,0.0,0.0,0.0,20
21,0.0,1.594,555.94,0.0,0.0,0.0,0.0,21
22,0.0,2.152,1014.19,0.0,0.0,0.0,0.0,22
23,0.0,0.709,166.54,0.0,0.0,0.0,0.0,23
24,0.0,-2.893,638.43,0.0,0.0,0.0,0.0,24
25,0.0,1.774,555.92,0.0,0.0,0.0,0.0,25
26,0.0,-1.461,755.17,0.0,0.0,0.0,0.0,26
27,0.0,-2.112,1379.82,0.0,0.0,0.0,0.0,27
28,0.0,2.529,1127.91,0.0,0.0,0.0,0.0,28
29,0.0,0.854,181.55,0.0,0.0,0.0,0.0,29
30,0.0,-1.902,1153.33,0.0,0.0,0.0,0.0,30
31,0.0,2.967,759.69,0.0,0.0,0.0,0.0,31
32,0.0,-0.405,1075.11,0.0,0.0,0.0,0.0,32
