,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.474,-1.167,1282.86,0.0,1.0,0.0,0.0,1
1,0.78,-1.594,520.99,0.0,1.0,0.0,0.0,6
2,-0.37,2.315,1388.8,0.0,1.0,0.0,0.0,11
3,-1.145,-2.072,1089.27,0.0,1.0,0.0,0.0,13
4,-0.246,1.256,159.14,0.0,1.0,0.0,0.0,15
5,-0.596,-2.776,481.66,0.0,1.0,0.0,0.0,16
6,0.515,-1.6,907.83,0.0,1.0,0.0,0.0,17
7,-0.626,-1.735,1460.0,0.0,1.0,0.0,0.0,20
8,-0.816,-2.186,61.39,0.0,1.0,0.0,0.0,24
9,1.612,-0.335,26.77,0.0,1.0,0.0,0.0,28
10,1.314,0.116,790.44,0.0,1.0,0.0,0.0,32
11,-1.361,0.35,151.87,0.0,-1.0,0.0,0.0,36
12,-0.979,2.476,922.92,0.0,1.0,0.0,0.0,38
13,1.236,0.827,130.84,0.0,-1.0,0.0,0.0,38
14,1.25,2.61,562.35,0.0,1.0,0.0,0.0,43
15,1.129,-1.196,511.62,0.0,1.0,0.0,0.0,44
16,0.093,-2.761,669.97,0.0,1.0,0.0,0.0,50
17,-1.264,-2.538,429.66,0.0,1.0,0.0,0.0,53
18,0.502,-2.664,650.61,0.0,1.0,0.0,0.0,64
19,-1.721,-0.427,75.23,0.0,1.0,0.0,0.0,69
20,0.176,-0.477,313.89,0.0,1.0,0.0,0.0,80
21,-0.613,0.063,717.56,0.0,1.0,0.0,0.0,81
22,-0.232,1.096,815.35,0.0,1.0,0.0,0.0,82
23,0.243,1.129,2365.2,0.0,1.0,0.0,0.0,91
24,-0.43,2.069,740.9,0.0,1.0,0.0,0.0,93
25,0.68,-0.796,712.56,0.0,1.0,0.0,0.0,101
26,0.509,1.285,437.63,0.0,1.0,0.0,0.0,102
27,-0.333,1.26,1515.85,0.0,1.0,0.0,0.0,106
28,0.36,2.05,479.01,0.0,1.0,0.0,0.0,111
29,0.658,-2.862,143.91,0.0,1.0,0.0,0.0,114
30,-0.721,-1.806,647.66,0.0,1.0,0.0,0.0,115
31,-0.422,2.959,871.42,0.0,1.0,0.0,0.0,116
32,1.25,2.289,61.02,0.0,-1.0,0.0,0.0,120
33,1.453,2.373,904.64,0.0,1.0,0.0,0.0,130
34,-0.876,-0.018,1883.88,0.0,1.0,0.0,0.0,131
35,1.784,-1.527,694.59,0.0,1.0,0.0,0.0,132
36,0.305,-0.74,2023.72,0.0,1.0,0.0,0.0,140
37,1.951,-0.67,51.44,0.0,1.0,0.0,0.0,142
38,-1.071,0.044,883.09,0.0,1.0,0.0,0.0,143
39,2.23,1.164,399.36,0.0,1.0,0.0,0.0,144
40,0.38,0.502,1299.93,0.0,1.0,0.0,0.0,145
41,-0.098,-1.847,228.34,0.0,1.0,0.0,0.0,146
42,0.829,2.849,990.79,0.0,1.0,0.0,0.0,150
43,-0.382,-0.483,206.24,0.0,1.0,0.0,0.0,150
44,-0.364,-0.183,1418.91,0.0,1.0,0.0,0.0,153
45,-1.146,1.618,185.92,0.0,1.0,0.0,0.0,156
46,1.44,-0.001,511.55,0.0,1.0,0.0,0.0,159
47,0.06,-1.393,114.34,0.0,-1.0,0.0,0.0,160
48,0.921,-1.91,500.06,0.0,1.0,0.0,0.0,165
49,-1.162,1.804,552.8,0.0,1.0,0.0,0.0,166
50,-0.411,2.954,383.01,0.0,1.0,0.0,0.0,167
51,-0.23,-1.739,795.82,0.0,1.0,0.0,0.0,173
52,-0.994,-1.155,1298.78,0.0,1.0,0.0,0.0,178
53,0.022,-2.329,918.23,0.0,1.0,0.0,0.0,182
54,-1.277,-0.497,625.45,0.0,1.0,0.0,0.0,183
55,-0.227,-2.866,465.65,0.0,1.0,0.0,0.0,188
56,-0.217,1.687,1304.91,0.0,1.0,0.0,0.0,189
57,0.377,1.374,295.73,0.0,1.0,0.0,0.0,191
58,-0.842,3.054,614.87,0.0,1.0,0.0,0.0,192
59,1.438,1.663,31.58,0.0,1.0,0.0,0.0,198
60,0.612,-2.656,447.02,0.0,1.0,0.0,0.0,199
61,0.961,1.217,578.29,0.0,1.0,0.0,0.0,201
62,0.737,-2.161,380.97,0.0,1.0,0.0,0.0,203
63,0.868,-0.74,690.26,0.0,1.0,0.0,0.0,205
64,0.221,-2.186,344.26,0.0,-1.0,0.0,0.0,210
65,-0.336,-0.555,58.56,0.0,-1.0,0.0,0.0,216
66,-0.656,-0.441,837.86,0.0,1.0,0.0,0.0,220
67,0.318,-1.802,245.79,0.0,1.0,0.0,0.0,221
68,2.283,1.682,194.79,0.0,1.0,0.0,0.0,222
69,-1.312,-1.727,100.96,0.0,-1.0,0.0,0.0,230
70,0.48,0.63,523.33,0.0,1.0,0.0,0.0,231
71,0.279,1.33,1092.29,0.0,1.0,0.0,0.0,234
72,1.292,0.707,596.57,0.0,1.0,0.0,0.0,235
73,0.464,-1.361,1142.98,0.0,1.0,0.0,0.0,243
74,-0.273,0.554,1497.0,0.0,1.0,0.0,0.0,245
75,0.87,-2.087,275.53,0.0,1.0,0.0,0.0,246
76,-0.076,-1.51,916.88,0.0,1.0,0.0,0.0,250
77,-0.914,1.882,25.57,0.0,1.0,0.0,0.0,250
78,1.015,-0.552,1150.57,0.0,1.0,0.0,0.0,253
79,-0.078,-1.799,439.92,0.0,1.0,0.0,0.0,253
80,0.525,-1.593,956.05,0.0,1.0,0.0,0.0,255
81,-0.19,2.665,681.04,0.0,1.0,0.0,0.0,259
82,1.36,-0.091,654.95,0.0,1.0,0.0,0.0,263
83,-1.573,-0.506,1153.14,0.0,1.0,0.0,0.0,265
84,0.194,2.783,977.93,0.0,1.0,0.0,0.0,267
85,-0.5,1.431,172.59,0.0,-1.0,0.0,0.0,270
86,-0.514,1.29,930.77,0.0,1.0,0.0,0.0,275
87,0.399,1.397,601.68,0.0,1.0,0.0,0.0,276
88,1.157,2.35,102.48,0.0,1.0,0.0,0.0,281
89,-0.318,2.884,1061.64,0.0,1.0,0.0,0.0,288
90,-0.35,-2.501,495.71,0.0,1.0,0.0,0.0,291
91,1.72,-0.941,35.02,0.0,-1.0,0.0,0.0,293
92,-0.806,-0.282,150.31,0.0,1.0,0.0,0.0,295
93,-0.65,3.134,666.13,0.0,1.0,0.0,0.0,297
94,-1.117,2.947,267.86,0.0,-1.0,0.0,0.0,300
95,-1.554,-1.577,102.08,0.0,1.0,0.0,0.0,300
96,-0.337,-0.878,25.97,0.0,1.0,0.0,0.0,301
97,0.4,1.109,795.64,0.0,1.0,0.0,0.0,303
98,0.044,-1.644,498.53,0.0,1.0,0.0,0.0,303
99,0.867,-2.378,285.97,0.0,1.0,0.0,0.0,307
100,-0.499,-0.792,2093.13,0.0,1.0,0.0,0.0,308
101,0.008,-0.291,289.93,0.0,1.0,0.0,0.0,310
102,-0.2,1.894,1240.1,0.0,1.0,0.0,0.0,311
103,1.413,-2.273,213.18,0.0,1.0,0.0,0.0,313
104,1.454,-0.983,155.98,0.0,1.0,0.0,0.0,315
105,-0.797,-1.473,1694.35,0.0,1.0,0.0,0.0,316
106,1.416,0.394,54.97,0.0,-1.0,0.0,0.0,316
107,1.523,-2.135,431.6,0.0,-1.0,0.0,0.0,319
108,1.009,0.814,426.05,0.0,1.0,0.0,0.0,323
109,0.861,-2.413,1250.02,0.0,1.0,0.0,0.0,324
110,0.317,-1.973,1506.58,0.0,1.0,0.0,0.0,331
111,-0.374,1.679,449.43,0.0,1.0,0.0,0.0,331
112,-0.307,-2.297,224.03,0.0,1.0,0.0,0.0,334
113,-0.333,-0.975,789.71,0.0,1.0,0.0,0.0,338
114,0.761,-1.594,1911.8,0.0,1.0,0.0,0.0,340
115,-0.356,-3.04,474.77,0.0,1.0,0.0,0.0,342
116,-1.082,-1.117,1219.32,0.0,1.0,0.0,0.0,344
117,0.099,-1.287,789.7,0.0,1.0,0.0,0.0,345
118,0.923,3.061,1035.73,0.0,1.0,0.0,0.0,347
119,0.595,2.86,196.1,0.0,1.0,0.0,0.0,348
120,-0.078,1.45,619.04,0.0,1.0,0.0,0.0,349
121,2.019,-0.011,159.82,0.0,1.0,0.0,0.0,351
122,1.102,1.458,430.95,0.0,1.0,0.0,0.0,352
123,2.39,2.844,334.71,0.0,1.0,0.0,0.0,361
124,1.444,2.509,411.76,0.0,1.0,0.0,0.0,365
125,0.19,0.408,491.43,0.0,1.0,0.0,0.0,370
126,-0.431,2.763,697.68,0.0,1.0,0.0,0.0,372
127,-0.333,1.39,1357.64,0.0,1.0,0.0,0.0,373
128,0.951,0.392,175.05,0.0,1.0,0.0,0.0,382
129,0.284,0.084,941.61,0.0,1.0,0.0,0.0,385
130,0.382,0.749,1726.56,0.0,1.0,0.0,0.0,386
131,0.894,1.286,1116.51,0.0,1.0,0.0,0.0,387
132,0.09,-0.958,641.86,0.0,1.0,0.0,0.0,388
133,0.373,0.22,1502.6,0.0,1.0,0.0,0.0,389
134,-1.095,-0.134,305.62,0.0,1.0,0.0,0.0,390
135,0.115,1.116,1327.49,0.0,1.0,0.0,0.0,412
136,-0.82,-1.784,262.93,0.0,1.0,0.0,0.0,415
137,-0.316,-2.667,592.81,0.0,1.0,0.0,0.0,419
138,1.29,0.474,734.31,0.0,1.0,0.0,0.0,420
139,0.254,1.945,882.22,0.0,1.0,0.0,0.0,426
140,-0.258,-1.756,1055.58,0.0,1.0,0.0,0.0,430
141,-1.026,1.64,46.34,0.0,1.0,0.0,0.0,432
142,1.445,-0.641,589.08,0.0,1.0,0.0,0.0,433
143,-1.157,1.826,1141.78,0.0,1.0,0.0,0.0,436
144,-0.183,0.137,123.91,0.0,1.0,0.0,0.0,437
145,1.336,1.979,29.26,0.0,-1.0,0.0,0.0,441
146,0.256,0.988,1402.53,0.0,-1.0,0.0,0.0,445
147,-1.045,-0.38,299.53,0.0,1.0,0.0,0.0,445
148,0.933,-0.993,202.57,0.0,1.0,0.0,0.0,446
149,-0.87,0.271,89.02,0.0,1.0,0.0,0.0,448
150,-0.687,-0.425,828.26,0.0,1.0,0.0,0.0,452
151,0.969,-0.306,632.58,0.0,1.0,0.0,0.0,454
152,1.398,-1.535,140.24,0.0,1.0,0.0,0.0,459
153,0.239,0.72,1130.37,0.0,1.0,0.0,0.0,461
154,2.442,-2.872,34.08,0.0,-1.0,0.0,0.0,461
155,0.062,0.093,653.97,0.0,1.0,0.0,0.0,462
156,-1.013,-2.377,29.8,0.0,-1.0,0.0,0.0,464
157,-1.453,2.502,95.66,0.0,1.0,0.0,0.0,465
158,0.591,0.311,100.2,0.0,-1.0,0.0,0.0,466
159,-1.021,-1.243,538.37,0.0,1.0,0.0,0.0,467
160,-1.208,-2.932,492.51,0.0,1.0,0.0,0.0,470
161,-0.184,0.947,80.42,0.0,1.0,0.0,0.0,473
162,0.343,-0.371,860.59,0.0,1.0,0.0,0.0,476
163,0.431,-2.747,671.59,0.0,1.0,0.0,0.0,478
164,-0.386,-2.2,1713.32,0.0,1.0,0.0,0.0,481
165,0.106,-0.411,415.56,0.0,1.0,0.0,0.0,483
166,-0.837,2.1,1304.24,0.0,1.0,0.0,0.0,485
167,0.2,-1.797,575.74,0.0,1.0,0.0,0.0,486
168,-0.731,-2.372,863.73,0.0,1.0,0.0,0.0,491
169,-0.647,-0.772,1067.58,0.0,1.0,0.0,0.0,502
170,-0.952,-2.409,1174.44,0.0,1.0,0.0,0.0,503
171,0.005,-1.474,323.9,0.0,1.0,0.0,0.0,504
172,-0.579,-0.192,333.41,0.0,-1.0,0.0,0.0,508
173,-0.442,-0.056,1276.98,0.0,1.0,0.0,0.0,513
174,1.169,2.666,121.74,0.0,1.0,0.0,0.0,514
175,-0.995,0.746,355.85,0.0,1.0,0.0,0.0,517
176,0.017,1.664,1374.51,0.0,1.0,0.0,0.0,519
177,0.334,-0.735,645.78,0.0,1.0,0.0,0.0,520
178,0.806,1.576,93.67,0.0,1.0,0.0,0.0,522
179,0.116,-0.917,1022.96,0.0,1.0,0.0,0.0,523
180,0.042,-1.874,275.76,0.0,1.0,0.0,0.0,524
181,0.716,2.283,509.76,0.0,1.0,0.0,0.0,527
182,0.355,2.873,527.97,0.0,1.0,0.0,0.0,530
183,-0.052,-2.574,966.81,0.0,1.0,0.0,0.0,532
184,-0.569,-2.384,268.06,0.0,1.0,0.0,0.0,534
185,-1.792,2.159,391.07,0.0,1.0,0.0,0.0,536
186,0.211,1.146,706.59,0.0,1.0,0.0,0.0,538
187,-0.381,3.042,1443.48,0.0,1.0,0.0,0.0,539
188,-0.186,2.189,2887.86,0.0,1.0,0.0,0.0,545
189,-0.426,1.678,365.13,0.0,1.0,0.0,0.0,548
190,0.808,-1.683,259.32,0.0,1.0,0.0,0.0,555
191,1.074,-2.605,1641.75,0.0,1.0,0.0,0.0,557
192,-0.668,-0.888,57.55,0.0,1.0,0.0,0.0,559
193,-0.207,0.785,855.01,0.0,1.0,0.0,0.0,560
194,1.287,-2.489,920.38,0.0,1.0,0.0,0.0,561
195,1.019,-0.458,763.84,0.0,1.0,0.0,0.0,562
196,-1.729,-2.528,533.41,0.0,1.0,0.0,0.0,571
197,0.1,2.777,799.14,0.0,1.0,0.0,0.0,578
198,0.034,2.985,338.97,0.0,1.0,0.0,0.0,579
199,0.104,-1.956,213.94,0.0,-1.0,0.0,0.0,584
200,0.179,1.844,1467.29,0.0,1.0,0.0,0.0,586
201,-0.133,1.957,486.96,0.0,1.0,0.0,0.0,590
202,0.52,0.139,250.45,0.0,-1.0,0.0,0.0,594
203,0.231,1.543,38.26,0.0,1.0,0.0,0.0,596
204,0.883,1.121,271.46,0.0,-1.0,0.0,0.0,597
205,-0.522,-2.258,428.28,0.0,1.0,0.0,0.0,599
206,-0.228,0.354,717.07,0.0,1.0,0.0,0.0,602
207,-0.94,-0.657,937.31,0.0,1.0,0.0,0.0,605
208,0.769,-0.609,205.64,0.0,1.0,0.0,0.0,607
209,-1.522,2.968,84.24,0.0,-1.0,0.0,0.0,608
210,0.051,0.881,661.54,0.0,1.0,0.0,0.0,611
211,-0.925,-1.495,1046.11,0.0,1.0,0.0,0.0,621
212,0.894,-2.699,413.88,0.0,-1.0,0.0,0.0,625
213,-0.216,-1.382,1417.58,0.0,1.0,0.0,0.0,626
214,2.452,1.206,89.2,0.0,-1.0,0.0,0.0,631
215,-0.228,-0.837,1263.07,0.0,1.0,0.0,0.0,632
216,-1.264,0.814,344.16,0.0,1.0,0.0,0.0,633
217,-0.404,1.273,438.91,0.0,1.0,0.0,0.0,638
