,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,-1.233,-1.499,15.93,0.0,0.0,0.0,0.0,3
1,-0.031,-0.243,499.7,0.0,0.0,0.0,0.0,4
2,-0.344,-1.515,386.66,0.0,0.0,0.0,0.0,9
3,0.075,1.678,555.09,0.0,0.0,0.0,0.0,15
4,-0.952,2.692,10.21,0.0,0.0,0.0,0.0,20
5,-0.808,1.336,501.97,0.0,0.0,0.0,0.0,22
6,-0.389,-1.538,66.28,0.0,0.0,0.0,0.0,30
7,0.468,2.367,825.9,0.0,0.0,0.0,0.0,31
8,-0.486,0.725,842.94,0.0,0.0,0.0,0.0,35
9,-0.762,-1.064,80.27,0.0,0.0,0.0,0.0,41
10,0.904,1.857,1191.53,0.0,0.0,0.0,0.0,44
11,0.347,-1.105,287.83,0.0,0.0,0.0,0.0,56
12,-1.401,0.269,90.05,0.0,0.0,0.0,0.0,78
13,-1.184,2.007,278.48,0.0,0.0,0.0,0.0,84
14,-0.785,2.87,121.96,0.0,0.0,0.0,0.0,93
15,0.929,0.076,1391.6,0.0,0.0,0.0,0.0,107
16,-1.601,2.57,23.15,0.0,0.0,0.0,0.0,109
17,0.319,-1.836,919.44,0.0,0.0,0.0,0.0,112
18,-0.695,1.925,178.03,0.0,0.0,0.0,0.0,119
19,0.669,-0.982,248.59,0.0,0.0,0.0,0.0,124
20,-0.752,-1.671,475.62,0.0,0.0,0.0,0.0,126
21,-1.429,1.876,39.03,0.0,0.0,0.0,0.0,146
22,0.275,0.307,815.3,0.0,0.0,0.0,0.0,149
23,0.193,-2.928,18.68,0.0,0.0,0.0,0.0,149
24,-0.042,1.654,59.7,0.0,0.0,0.0,0.0,151
25,0.964,-2.442,502.85,0.0,0.0,0.0,0.0,154
26,0.259,-0.545,186.86,0.0,0.0,0.0,0.0,157
27,-0.213,-0.074,947.92,0.0,0.0,0.0,0.0,169
28,0.326,-0.182,178.05,0.0,0.0,0.0,0.0,173
29,0.494,0.949,162.99,0.0,0.0,0.0,0.0,186
30,-1.868,2.705,10.55,0.0,0.0,0.0,0.0,199
31,-1.606,-1.785,653.14,0.0,0.0,0.0,0.0,207
32,2.37,-2.959,65.72,0.0,0.0,0.0,0.0,223
33,-0.632,1.48,532.13,0.0,0.0,0.0,0.0,224
34,0.059,-0.586,1807.19,0.0,0.0,0.0,0.0,238
35,-1.427,2.103,201.35,0.0,0.0,0.0,0.0,244
36,1.079,-0.445,31.08,0.0,0.0,0.0,0.0,253
37,0.368,-1.242,431.71,0.0,0.0,0.0,0.0,257
38,-0.532,-0.025,104.06,0.0,0.0,0.0,0.0,261
39,-1.201,2.804,543.21,0.0,0.0,0.0,0.0,268
40,0.133,1.717,154.6,0.0,0.0,0.0,0.0,269
41,-0.155,-2.845,665.96,0.0,0.0,0.0,0.0,270
42,-1.706,-0.497,423.01,0.0,0.0,0.0,0.0,271
43,-0.404,-2.273,204.34,0.0,0.0,0.0,0.0,274
44,1.527,1.617,253.5,0.0,0.0,0.0,0.0,278
45,-0.212,-2.836,74.38,0.0,0.0,0.0,0.0,284
46,0.579,0.841,904.15,0.0,0.0,0.0,0.0,289
47,2.152,-0.797,39.83,0.0,0.0,0.0,0.0,291
48,1.435,2.845,510.12,0.0,0.0,0.0,0.0,296
49,0.75,-0.928,554.37,0.0,0.0,0.0,0.0,298
50,0.49,-2.228,37.8,0.0,0.0,0.0,0.0,299
51,0.423,-1.298,97.09,0.0,0.0,0.0,0.0,302
52,-1.645,-2.943,554.27,0.0,0.0,0.0,0.0,305
53,1.055,-2.04,180.12,0.0,0.0,0.0,0.0,320
54,0.119,3.114,621.54,0.0,0.0,0.0,0.0,327
